frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.98,7.72,3.98,7.72,-7.71,-6.69,-4.31,-3.73,-3.73,-3.74
20.20,4.01,7.74,4.00,7.74,-7.74,-6.80,-4.42,-3.73,-3.73,-3.73
20.40,4.02,7.75,4.03,7.76,-7.77,-6.91,-4.54,-3.75,-3.74,-3.73
20.61,4.05,7.78,4.06,7.79,-7.80,-7.02,-4.66,-3.75,-3.74,-3.73
20.81,4.10,7.83,4.09,7.82,-7.83,-7.12,-4.78,-3.73,-3.74,-3.73
21.02,4.13,7.86,4.13,7.86,-7.86,-7.23,-4.91,-3.73,-3.73,-3.73
21.23,4.16,7.89,4.16,7.89,-7.89,-7.33,-5.04,-3.73,-3.72,-3.73
21.44,4.19,7.92,4.19,7.92,-7.91,-7.43,-5.17,-3.72,-3.72,-3.73
21.66,4.23,7.95,4.22,7.95,-7.95,-7.53,-5.31,-3.72,-3.72,-3.72
21.87,4.24,7.96,4.25,7.98,-7.97,-7.63,-5.45,-3.73,-3.72,-3.72
22.09,4.29,8.01,4.28,8.00,-8.00,-7.72,-5.60,-3.71,-3.73,-3.72
22.31,4.30,8.02,4.31,8.03,-8.03,-7.81,-5.75,-3.73,-3.72,-3.72
22.54,4.33,8.05,4.34,8.06,-8.05,-7.89,-5.90,-3.73,-3.72,-3.72
22.76,4.38,8.10,4.36,8.08,-8.08,-7.97,-6.06,-3.70,-3.72,-3.72
22.99,4.38,8.10,4.39,8.11,-8.10,-8.05,-6.22,-3.72,-3.71,-3.72
23.22,4.42,8.13,4.42,8.13,-8.13,-8.13,-6.38,-3.71,-3.71,-3.71
23.45,4.43,8.14,4.43,8.15,-8.15,-8.19,-6.55,-3.72,-3.72,-3.71
23.69,4.47,8.18,4.46,8.17,-8.17,-8.26,-6.72,-3.70,-3.71,-3.71
23.92,4.47,8.18,4.48,8.19,-8.20,-8.32,-6.90,-3.73,-3.71,-3.71
24.16,4.52,8.23,4.51,8.22,-8.22,-8.37,-7.07,-3.70,-3.71,-3.71
24.40,4.52,8.23,4.53,8.24,-8.24,-8.42,-7.26,-3.72,-3.71,-3.71
24.65,4.57,8.28,4.56,8.27,-8.26,-8.47,-7.44,-3.69,-3.70,-3.71
24.89,4.57,8.28,4.58,8.28,-8.28,-8.50,-7.63,-3.71,-3.71,-3.71
25.14,4.61,8.31,4.60,8.31,-8.31,-8.54,-7.82,-3.70,-3.70,-3.70
25.39,4.61,8.31,4.62,8.32,-8.33,-8.57,-8.02,-3.72,-3.71,-3.70
25.65,4.66,8.36,4.65,8.35,-8.35,-8.59,-8.22,-3.69,-3.70,-3.70
25.91,4.66,8.36,4.67,8.37,-8.37,-8.61,-8.41,-3.71,-3.70,-3.70
26.16,4.70,8.40,4.69,8.39,-8.39,-8.62,-8.61,-3.69,-3.69,-3.70
26.43,4.71,8.41,4.71,8.40,-8.40,-8.63,-8.81,-3.69,-3.70,-3.70
26.69,4.71,8.41,4.73,8.42,-8.42,-8.63,-9.01,-3.71,-3.69,-3.70
26.96,4.75,8.44,4.73,8.43,-8.43,-8.63,-9.21,-3.68,-3.70,-3.69
27.23,4.75,8.44,4.75,8.44,-8.45,-8.63,-9.40,-3.70,-3.70,-3.69
27.50,4.75,8.44,4.77,8.46,-8.46,-8.62,-9.59,-3.71,-3.69,-3.69
27.77,4.79,8.48,4.78,8.47,-8.47,-8.61,-9.78,-3.68,-3.69,-3.69
28.05,4.80,8.49,4.79,8.48,-8.48,-8.60,-9.96,-3.68,-3.69,-3.69
28.33,4.80,8.49,4.81,8.49,-8.49,-8.59,-10.13,-3.69,-3.69,-3.69
28.62,4.80,8.49,4.82,8.50,-8.50,-8.57,-10.30,-3.70,-3.69,-3.69
28.90,4.85,8.53,4.83,8.52,-8.51,-8.55,-10.45,-3.66,-3.68,-3.68
29.19,4.85,8.53,4.84,8.53,-8.52,-8.53,-10.59,-3.67,-3.68,-3.68
29.48,4.85,8.53,4.86,8.54,-8.53,-8.51,-10.72,-3.68,-3.68,-3.68
29.78,4.85,8.53,4.86,8.54,-8.55,-8.49,-10.83,-3.70,-3.68,-3.68
30.08,4.89,8.57,4.87,8.55,-8.56,-8.47,-10.92,-3.67,-3.69,-3.68
30.38,4.89,8.57,4.89,8.57,-8.57,-8.45,-11.00,-3.68,-3.68,-3.68
30.68,4.90,8.58,4.91,8.59,-8.59,-8.43,-11.05,-3.69,-3.68,-3.68
30.99,4.94,8.61,4.93,8.61,-8.61,-8.41,-11.09,-3.67,-3.68,-3.67
31.30,4.96,8.63,4.96,8.63,-8.63,-8.39,-11.11,-3.67,-3.67,-3.67
31.61,4.99,8.66,4.99,8.66,-8.65,-8.38,-11.10,-3.66,-3.67,-3.67
31.93,5.01,8.68,5.01,8.68,-8.68,-8.37,-11.08,-3.67,-3.67,-3.67
32.24,5.03,8.70,5.04,8.71,-8.70,-8.36,-11.04,-3.67,-3.66,-3.67
32.57,5.06,8.73,5.05,8.72,-8.72,-8.35,-10.98,-3.66,-3.67,-3.67
32.89,5.08,8.75,5.08,8.74,-8.74,-8.35,-10.90,-3.66,-3.67,-3.67
33.22,5.08,8.75,5.09,8.76,-8.76,-8.34,-10.81,-3.68,-3.67,-3.67
33.55,5.13,8.79,5.12,8.78,-8.78,-8.35,-10.70,-3.65,-3.66,-3.66
33.89,5.13,8.79,5.14,8.80,-8.80,-8.36,-10.58,-3.67,-3.66,-3.66
34.23,5.17,8.83,5.16,8.82,-8.82,-8.37,-10.45,-3.65,-3.66,-3.66
34.57,5.17,8.83,5.17,8.83,-8.83,-8.38,-10.31,-3.66,-3.66,-3.66
34.92,5.17,8.83,5.19,8.85,-8.85,-8.40,-10.16,-3.68,-3.66,-3.66
35.27,5.21,8.87,5.20,8.86,-8.86,-8.43,-10.01,-3.65,-3.66,-3.66
35.62,5.22,8.88,5.21,8.87,-8.87,-8.46,-9.85,-3.65,-3.65,-3.66
35.97,5.22,8.87,5.22,8.88,-8.87,-8.49,-9.69,-3.65,-3.65,-3.65
36.33,5.22,8.87,5.22,8.87,-8.88,-8.53,-9.52,-3.66,-3.65,-3.65
36.70,5.22,8.87,5.22,8.87,-8.88,-8.57,-9.36,-3.66,-3.66,-3.65
37.06,5.22,8.87,5.22,8.87,-8.87,-8.62,-9.19,-3.65,-3.65,-3.65
37.43,5.22,8.87,5.22,8.87,-8.87,-8.67,-9.03,-3.65,-3.65,-3.65
37.81,5.22,8.87,5.22,8.87,-8.86,-8.73,-8.86,-3.64,-3.64,-3.65
38.19,5.21,8.86,5.21,8.85,-8.85,-8.79,-8.70,-3.64,-3.64,-3.65
38.57,5.20,8.84,5.19,8.84,-8.84,-8.85,-8.54,-3.64,-3.65,-3.64
38.95,5.17,8.81,5.18,8.82,-8.83,-8.91,-8.39,-3.66,-3.65,-3.64
39.34,5.17,8.81,5.17,8.81,-8.82,-8.98,-8.23,-3.65,-3.65,-3.64
39.74,5.17,8.81,5.17,8.81,-8.81,-9.04,-8.08,-3.64,-3.64,-3.64
40.14,5.17,8.81,5.16,8.80,-8.79,-9.11,-7.94,-3.62,-3.63,-3.64
40.54,5.15,8.79,5.15,8.79,-8.78,-9.17,-7.79,-3.63,-3.63,-3.64
40.94,5.13,8.77,5.14,8.77,-8.78,-9.24,-7.66,-3.65,-3.64,-3.64
41.35,5.13,8.76,5.13,8.76,-8.77,-9.29,-7.52,-3.64,-3.64,-3.63
41.76,5.13,8.76,5.13,8.76,-8.77,-9.35,-7.40,-3.64,-3.64,-3.63
42.18,5.13,8.76,5.13,8.76,-8.76,-9.39,-7.27,-3.63,-3.63,-3.63
42.60,5.13,8.76,5.13,8.76,-8.76,-9.43,-7.15,-3.63,-3.63,-3.63
43.03,5.13,8.76,5.13,8.76,-8.76,-9.47,-7.04,-3.63,-3.63,-3.63
43.46,5.13,8.76,5.13,8.76,-8.76,-9.49,-6.93,-3.63,-3.63,-3.63
43.90,5.13,8.76,5.13,8.76,-8.76,-9.50,-6.82,-3.63,-3.63,-3.63
44.33,5.13,8.76,5.13,8.76,-8.76,-9.50,-6.72,-3.63,-3.63,-3.63
44.78,5.13,8.75,5.13,8.76,-8.75,-9.48,-6.63,-3.62,-3.62,-3.62
45.23,5.13,8.75,5.13,8.75,-8.75,-9.46,-6.54,-3.62,-3.62,-3.62
45.68,5.13,8.75,5.12,8.74,-8.74,-9.42,-6.45,-3.61,-3.62,-3.62
46.13,5.11,8.73,5.11,8.73,-8.73,-9.37,-6.37,-3.62,-3.62,-3.62
46.60,5.08,8.70,5.10,8.71,-8.72,-9.31,-6.29,-3.64,-3.62,-3.62
47.06,5.08,8.70,5.08,8.69,-8.70,-9.24,-6.22,-3.62,-3.62,-3.62
47.53,5.08,8.70,5.06,8.68,-8.68,-9.16,-6.15,-3.60,-3.62,-3.62
48.01,5.03,8.64,5.05,8.66,-8.66,-9.07,-6.08,-3.63,-3.61,-3.61
48.49,5.03,8.64,5.02,8.63,-8.63,-8.98,-6.02,-3.60,-3.61,-3.61
48.97,4.99,8.60,4.99,8.60,-8.60,-8.88,-5.97,-3.61,-3.61,-3.61
49.46,4.96,8.57,4.96,8.57,-8.57,-8.78,-5.91,-3.61,-3.61,-3.61
49.96,4.93,8.54,4.92,8.53,-8.53,-8.68,-5.87,-3.60,-3.61,-3.61
50.46,4.87,8.48,4.88,8.48,-8.49,-8.59,-5.82,-3.62,-3.61,-3.61
50.96,4.82,8.43,4.83,8.43,-8.44,-8.49,-5.78,-3.62,-3.61,-3.61
51.47,4.78,8.38,4.77,8.38,-8.38,-8.40,-5.74,-3.60,-3.61,-3.60
51.99,4.71,8.31,4.72,8.32,-8.31,-8.32,-5.70,-3.60,-3.60,-3.60
52.51,4.65,8.25,4.65,8.25,-8.24,-8.24,-5.67,-3.59,-3.59,-3.60
53.03,4.57,8.17,4.57,8.17,-8.16,-8.16,-5.64,-3.59,-3.60,-3.60
53.56,4.48,8.08,4.48,8.08,-8.08,-8.08,-5.61,-3.60,-3.60,-3.60
54.10,4.37,7.97,4.38,7.98,-7.98,-8.00,-5.59,-3.61,-3.60,-3.60
54.64,4.28,7.88,4.28,7.88,-7.87,-7.92,-5.57,-3.59,-3.60,-3.60
55.18,4.18,7.77,4.17,7.76,-7.76,-7.82,-5.54,-3.58,-3.59,-3.59
55.74,4.04,7.63,4.05,7.64,-7.64,-7.70,-5.53,-3.60,-3.59,-3.59
56.29,3.91,7.50,3.91,7.51,-7.51,-7.56,-5.51,-3.60,-3.60,-3.59
56.86,3.78,7.37,3.78,7.37,-7.38,-7.40,-5.49,-3.59,-3.60,-3.59
57.42,3.64,7.23,3.64,7.23,-7.23,-7.22,-5.48,-3.59,-3.59,-3.59
58.00,3.49,7.08,3.49,7.08,-7.08,-7.01,-5.47,-3.59,-3.58,-3.59
58.58,3.34,6.93,3.33,6.92,-6.91,-6.79,-5.46,-3.57,-3.58,-3.59
59.16,3.16,6.74,3.16,6.74,-6.74,-6.56,-5.45,-3.58,-3.58,-3.59
59.76,2.97,6.56,2.98,6.56,-6.56,-6.33,-5.44,-3.58,-3.58,-3.58
60.35,2.78,6.36,2.78,6.37,-6.36,-6.10,-5.43,-3.58,-3.58,-3.58
60.96,2.59,6.17,2.58,6.16,-6.16,-5.87,-5.42,-3.57,-3.58,-3.58
61.57,2.37,5.95,2.37,5.95,-5.95,-5.65,-5.41,-3.58,-3.58,-3.58
62.18,2.15,5.73,2.15,5.73,-5.74,-5.44,-5.40,-3.59,-3.58,-3.58
62.80,1.93,5.51,1.93,5.51,-5.51,-5.23,-5.39,-3.58,-3.58,-3.58
63.43,1.72,5.29,1.71,5.29,-5.28,-5.03,-5.39,-3.56,-3.57,-3.58
64.07,1.48,5.06,1.48,5.06,-5.05,-4.83,-5.38,-3.57,-3.56,-3.57
64.71,1.26,4.83,1.25,4.82,-4.81,-4.65,-5.38,-3.55,-3.56,-3.57
65.35,0.99,4.56,1.00,4.57,-4.57,-4.46,-5.37,-3.58,-3.56,-3.57
66.01,0.77,4.34,0.76,4.33,-4.33,-4.29,-5.37,-3.56,-3.57,-3.57
66.67,0.51,4.08,0.51,4.08,-4.09,-4.11,-5.36,-3.58,-3.57,-3.57
67.33,0.29,3.86,0.29,3.85,-3.85,-3.94,-5.36,-3.57,-3.57,-3.57
68.01,0.05,3.62,0.06,3.63,-3.63,-3.78,-5.36,-3.58,-3.57,-3.57
68.69,-0.14,3.43,-0.15,3.41,-3.42,-3.61,-5.36,-3.56,-3.57,-3.56
69.37,-0.35,3.21,-0.35,3.22,-3.23,-3.45,-5.36,-3.58,-3.58,-3.56
70.07,-0.53,3.03,-0.52,3.04,-3.05,-3.29,-5.36,-3.58,-3.57,-3.56
70.77,-0.67,2.89,-0.67,2.89,-2.89,-3.14,-5.36,-3.56,-3.56,-3.56
71.48,-0.80,2.76,-0.80,2.75,-2.75,-3.00,-5.37,-3.55,-3.55,-3.56
72.19,-0.91,2.65,-0.92,2.64,-2.63,-2.86,-5.37,-3.54,-3.55,-3.56
72.91,-1.04,2.52,-1.03,2.53,-2.52,-2.73,-5.38,-3.56,-3.55,-3.56
73.64,-1.10,2.45,-1.11,2.44,-2.44,-2.62,-5.40,-3.54,-3.55,-3.55
74.38,-1.19,2.36,-1.18,2.38,-2.37,-2.53,-5.41,-3.56,-3.55,-3.55
75.12,-1.21,2.34,-1.22,2.33,-2.33,-2.45,-5.43,-3.54,-3.55,-3.55
75.87,-1.24,2.31,-1.24,2.31,-2.31,-2.40,-5.45,-3.55,-3.55,-3.55
76.63,-1.24,2.31,-1.23,2.32,-2.32,-2.38,-5.47,-3.56,-3.55,-3.55
77.40,-1.19,2.36,-1.20,2.35,-2.36,-2.39,-5.50,-3.55,-3.56,-3.55
78.17,-1.13,2.42,-1.13,2.42,-2.44,-2.43,-5.53,-3.56,-3.56,-3.55
78.95,-1.03,2.52,-1.02,2.53,-2.54,-2.50,-5.56,-3.57,-3.56,-3.55
79.74,-0.88,2.66,-0.89,2.66,-2.67,-2.59,-5.60,-3.55,-3.55,-3.54
80.54,-0.72,2.82,-0.72,2.82,-2.83,-2.72,-5.64,-3.55,-3.55,-3.54
81.35,-0.54,3.00,-0.53,3.01,-3.01,-2.87,-5.68,-3.55,-3.54,-3.54
82.16,-0.33,3.21,-0.33,3.21,-3.21,-3.04,-5.73,-3.54,-3.54,-3.54
82.98,-0.11,3.43,-0.11,3.43,-3.42,-3.22,-5.78,-3.53,-3.53,-3.54
83.81,0.12,3.66,0.12,3.66,-3.65,-3.43,-5.84,-3.53,-3.53,-3.54
84.65,0.36,3.90,0.36,3.89,-3.88,-3.65,-5.90,-3.52,-3.52,-3.54
85.50,0.60,4.13,0.59,4.13,-4.12,-3.88,-5.96,-3.52,-3.53,-3.53
86.35,0.82,4.35,0.83,4.36,-4.36,-4.12,-6.03,-3.54,-3.53,-3.53
87.22,1.06,4.59,1.06,4.59,-4.59,-4.37,-6.10,-3.54,-3.53,-3.53
88.09,1.30,4.83,1.30,4.83,-4.83,-4.64,-6.18,-3.53,-3.53,-3.53
88.97,1.54,5.07,1.54,5.07,-5.07,-4.91,-6.26,-3.53,-3.53,-3.53
89.86,1.78,5.31,1.77,5.30,-5.30,-5.18,-6.35,-3.52,-3.53,-3.53
90.76,2.00,5.53,2.01,5.53,-5.53,-5.47,-6.44,-3.54,-3.53,-3.53
91.66,2.24,5.77,2.23,5.76,-5.76,-5.74,-6.53,-3.52,-3.53,-3.52
92.58,2.46,5.98,2.46,5.98,-5.99,-6.02,-6.63,-3.53,-3.53,-3.52
93.51,2.67,6.19,2.68,6.21,-6.20,-6.27,-6.74,-3.54,-3.52,-3.52
94.44,2.91,6.43,2.90,6.42,-6.41,-6.51,-6.84,-3.50,-3.52,-3.52
95.39,3.10,6.62,3.10,6.62,-6.61,-6.71,-6.96,-3.51,-3.51,-3.52
96.34,3.28,6.80,3.29,6.80,-6.80,-6.87,-7.07,-3.52,-3.51,-3.52
97.30,3.45,6.97,3.46,6.97,-6.97,-6.99,-7.19,-3.52,-3.51,-3.52
98.28,3.63,7.14,3.62,7.13,-7.13,-7.07,-7.32,-3.50,-3.51,-3.51
99.26,3.76,7.27,3.76,7.27,-7.27,-7.12,-7.44,-3.51,-3.51,-3.51
100.25,3.89,7.40,3.89,7.40,-7.40,-7.14,-7.57,-3.51,-3.51,-3.51
101.25,4.00,7.51,4.01,7.52,-7.52,-7.16,-7.71,-3.52,-3.51,-3.51
102.27,4.13,7.64,4.12,7.63,-7.63,-7.16,-7.84,-3.50,-3.51,-3.51
103.29,4.22,7.73,4.22,7.73,-7.73,-7.17,-7.98,-3.51,-3.51,-3.51
104.32,4.30,7.81,4.31,7.81,-7.81,-7.19,-8.12,-3.51,-3.51,-3.51
105.37,4.39,7.89,4.38,7.89,-7.89,-7.22,-8.26,-3.50,-3.50,-3.51
106.42,4.45,7.95,4.45,7.96,-7.95,-7.25,-8.39,-3.50,-3.50,-3.50
107.48,4.51,8.01,4.51,8.01,-8.01,-7.30,-8.53,-3.50,-3.49,-3.50
108.56,4.56,8.06,4.55,8.05,-8.05,-7.35,-8.67,-3.49,-3.50,-3.50
109.64,4.59,8.09,4.59,8.09,-8.09,-7.42,-8.80,-3.50,-3.50,-3.50
110.74,4.61,8.11,4.62,8.12,-8.12,-7.50,-8.93,-3.51,-3.50,-3.50
111.85,4.66,8.16,4.65,8.14,-8.15,-7.58,-9.05,-3.49,-3.50,-3.50
112.97,4.66,8.16,4.67,8.17,-8.17,-7.67,-9.17,-3.51,-3.49,-3.50
114.10,4.71,8.20,4.70,8.19,-8.19,-7.77,-9.28,-3.48,-3.49,-3.49
115.24,4.71,8.20,4.71,8.21,-8.21,-7.87,-9.37,-3.50,-3.49,-3.49
116.39,4.73,8.22,4.73,8.22,-8.23,-7.97,-9.46,-3.50,-3.49,-3.49
117.55,4.75,8.24,4.75,8.24,-8.25,-8.08,-9.53,-3.50,-3.50,-3.49
118.73,4.77,8.26,4.77,8.26,-8.27,-8.18,-9.59,-3.50,-3.49,-3.49
119.92,4.80,8.29,4.80,8.29,-8.29,-8.29,-9.63,-3.49,-3.49,-3.49
121.12,4.83,8.32,4.83,8.31,-8.32,-8.39,-9.66,-3.49,-3.49,-3.49
122.33,4.85,8.33,4.85,8.34,-8.34,-8.49,-9.66,-3.49,-3.49,-3.48
123.55,4.89,8.37,4.88,8.36,-8.36,-8.58,-9.65,-3.47,-3.49,-3.48
124.79,4.89,8.37,4.90,8.39,-8.38,-8.67,-9.62,-3.49,-3.48,-3.48
126.03,4.93,8.41,4.92,8.40,-8.40,-8.75,-9.56,-3.47,-3.47,-3.48
127.29,4.94,8.42,4.94,8.42,-8.41,-8.82,-9.49,-3.47,-3.47,-3.48
128.57,4.94,8.42,4.94,8.42,-8.41,-8.88,-9.39,-3.47,-3.47,-3.48
129.85,4.94,8.42,4.93,8.40,-8.40,-8.93,-9.28,-3.46,-3.48,-3.48
131.15,4.89,8.36,4.91,8.38,-8.39,-8.96,-9.15,-3.50,-3.48,-3.47
132.46,4.89,8.36,4.89,8.36,-8.37,-8.99,-9.00,-3.48,-3.48,-3.47
133.79,4.88,8.35,4.87,8.34,-8.35,-8.99,-8.84,-3.47,-3.48,-3.47
135.12,4.85,8.32,4.85,8.32,-8.32,-8.98,-8.66,-3.47,-3.47,-3.47
136.48,4.81,8.28,4.82,8.29,-8.29,-8.95,-8.47,-3.48,-3.47,-3.47
137.84,4.78,8.25,4.78,8.25,-8.25,-8.91,-8.27,-3.47,-3.47,-3.47
139.22,4.75,8.22,4.74,8.21,-8.21,-8.85,-8.05,-3.46,-3.47,-3.47
140.61,4.70,8.17,4.70,8.16,-8.16,-8.77,-7.83,-3.46,-3.46,-3.47
142.02,4.64,8.10,4.65,8.11,-8.11,-8.68,-7.61,-3.47,-3.46,-3.46
143.44,4.59,8.05,4.59,8.05,-8.05,-8.57,-7.37,-3.46,-3.47,-3.46
144.87,4.53,7.99,4.53,7.99,-7.99,-8.45,-7.13,-3.46,-3.47,-3.46
146.32,4.46,7.92,4.46,7.92,-7.92,-8.31,-6.89,-3.46,-3.46,-3.46
147.78,4.38,7.84,4.38,7.84,-7.84,-8.16,-6.65,-3.46,-3.46,-3.46
149.26,4.31,7.77,4.30,7.76,-7.76,-8.00,-6.40,-3.45,-3.45,-3.46
150.75,4.20,7.66,4.21,7.67,-7.66,-7.83,-6.15,-3.46,-3.45,-3.46
152.26,4.12,7.57,4.11,7.56,-7.56,-7.65,-5.90,-3.44,-3.45,-3.45
153.78,3.99,7.44,3.99,7.44,-7.44,-7.46,-5.65,-3.45,-3.45,-3.45
155.32,3.86,7.31,3.86,7.31,-7.31,-7.26,-5.40,-3.45,-3.45,-3.45
156.88,3.72,7.17,3.72,7.17,-7.18,-7.06,-5.16,-3.45,-3.45,-3.45
158.44,3.58,7.03,3.58,7.03,-7.03,-6.85,-4.91,-3.45,-3.45,-3.45
160.03,3.43,6.88,3.43,6.88,-6.87,-6.64,-4.66,-3.44,-3.44,-3.45
161.63,3.27,6.72,3.26,6.71,-6.71,-6.42,-4.42,-3.44,-3.45,-3.45
163.24,3.09,6.53,3.09,6.54,-6.54,-6.20,-4.17,-3.45,-3.45,-3.44
164.88,2.91,6.35,2.91,6.36,-6.36,-5.98,-3.93,-3.45,-3.45,-3.44
166.53,2.74,6.18,2.74,6.18,-6.18,-5.76,-3.69,-3.44,-3.44,-3.44
