frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.70,-3.36,-5.71,-3.37,3.39,2.94,0.52,-2.31,-2.32,-2.34
20.20,-5.69,-3.35,-5.68,-3.34,3.34,3.08,0.53,-2.36,-2.34,-2.34
20.40,-5.64,-3.30,-5.63,-3.29,3.28,3.21,0.55,-2.36,-2.35,-2.34
20.61,-5.57,-3.24,-5.58,-3.24,3.23,3.33,0.57,-2.35,-2.35,-2.34
20.81,-5.51,-3.18,-5.51,-3.17,3.17,3.43,0.58,-2.34,-2.34,-2.34
21.02,-5.44,-3.11,-5.44,-3.11,3.11,3.52,0.60,-2.33,-2.33,-2.34
21.23,-5.38,-3.05,-5.38,-3.05,3.05,3.58,0.62,-2.33,-2.33,-2.33
21.44,-5.32,-2.99,-5.32,-2.99,2.99,3.61,0.64,-2.33,-2.33,-2.33
21.66,-5.26,-2.93,-5.26,-2.93,2.93,3.62,0.66,-2.33,-2.33,-2.33
21.87,-5.19,-2.86,-5.20,-2.87,2.87,3.60,0.68,-2.33,-2.33,-2.33
22.09,-5.13,-2.80,-5.13,-2.80,2.80,3.56,0.70,-2.33,-2.33,-2.33
22.31,-5.07,-2.74,-5.07,-2.74,2.74,3.50,0.73,-2.33,-2.33,-2.33
22.54,-5.00,-2.68,-5.01,-2.68,2.68,3.41,0.75,-2.32,-2.33,-2.33
22.76,-4.95,-2.63,-4.94,-2.62,2.62,3.31,0.77,-2.33,-2.32,-2.32
22.99,-4.87,-2.55,-4.88,-2.56,2.56,3.19,0.80,-2.32,-2.32,-2.32
23.22,-4.81,-2.49,-4.82,-2.50,2.49,3.06,0.82,-2.32,-2.32,-2.32
23.45,-4.76,-2.44,-4.75,-2.43,2.43,2.93,0.85,-2.33,-2.32,-2.32
23.69,-4.68,-2.36,-4.69,-2.37,2.37,2.79,0.87,-2.31,-2.32,-2.32
23.92,-4.62,-2.30,-4.63,-2.31,2.31,2.65,0.90,-2.31,-2.32,-2.32
24.16,-4.57,-2.26,-4.56,-2.25,2.25,2.51,0.92,-2.32,-2.31,-2.32
24.40,-4.50,-2.19,-4.51,-2.19,2.19,2.37,0.95,-2.31,-2.32,-2.31
24.65,-4.44,-2.13,-4.45,-2.13,2.13,2.24,0.98,-2.31,-2.32,-2.31
24.89,-4.39,-2.08,-4.38,-2.07,2.07,2.11,1.00,-2.32,-2.31,-2.31
25.14,-4.32,-2.01,-4.32,-2.01,2.01,1.99,1.03,-2.31,-2.31,-2.31
25.39,-4.26,-1.95,-4.26,-1.95,1.95,1.87,1.06,-2.31,-2.31,-2.31
25.65,-4.20,-1.89,-4.20,-1.89,1.90,1.76,1.08,-2.31,-2.30,-2.31
25.91,-4.14,-1.84,-4.14,-1.84,1.84,1.65,1.11,-2.30,-2.30,-2.31
26.16,-4.08,-1.78,-4.08,-1.78,1.78,1.55,1.14,-2.30,-2.30,-2.30
26.43,-4.02,-1.72,-4.03,-1.72,1.72,1.45,1.16,-2.30,-2.31,-2.30
26.69,-3.97,-1.67,-3.97,-1.67,1.66,1.36,1.19,-2.31,-2.31,-2.30
26.96,-3.91,-1.61,-3.91,-1.61,1.60,1.28,1.21,-2.31,-2.30,-2.30
27.23,-3.83,-1.53,-3.85,-1.55,1.54,1.20,1.23,-2.29,-2.30,-2.30
27.50,-3.78,-1.48,-3.78,-1.48,1.48,1.12,1.25,-2.30,-2.29,-2.30
27.77,-3.72,-1.42,-3.71,-1.42,1.42,1.05,1.28,-2.30,-2.29,-2.30
28.05,-3.64,-1.35,-3.66,-1.36,1.36,0.99,1.29,-2.28,-2.30,-2.30
28.33,-3.60,-1.31,-3.59,-1.30,1.30,0.92,1.31,-2.31,-2.30,-2.29
28.62,-3.53,-1.24,-3.53,-1.24,1.23,0.86,1.33,-2.30,-2.30,-2.29
28.90,-3.46,-1.17,-3.47,-1.18,1.17,0.81,1.34,-2.29,-2.30,-2.29
29.19,-3.41,-1.12,-3.40,-1.11,1.12,0.75,1.35,-2.30,-2.28,-2.29
29.48,-3.33,-1.04,-3.34,-1.05,1.06,0.70,1.36,-2.27,-2.28,-2.29
29.78,-3.27,-0.99,-3.28,-0.99,1.00,0.65,1.37,-2.27,-2.28,-2.29
30.08,-3.23,-0.95,-3.23,-0.94,0.95,0.60,1.37,-2.29,-2.28,-2.29
30.38,-3.18,-0.90,-3.18,-0.90,0.89,0.56,1.37,-2.29,-2.29,-2.28
30.68,-3.13,-0.85,-3.13,-0.85,0.84,0.52,1.37,-2.30,-2.29,-2.28
30.99,-3.07,-0.79,-3.07,-0.79,0.79,0.48,1.36,-2.29,-2.28,-2.28
31.30,-3.00,-0.72,-3.01,-0.73,0.73,0.44,1.36,-2.27,-2.28,-2.28
31.61,-2.95,-0.67,-2.95,-0.67,0.68,0.40,1.35,-2.27,-2.27,-2.28
31.93,-2.90,-0.63,-2.90,-0.62,0.63,0.36,1.33,-2.28,-2.27,-2.28
32.24,-2.85,-0.58,-2.85,-0.58,0.57,0.33,1.31,-2.28,-2.28,-2.28
32.57,-2.80,-0.53,-2.80,-0.52,0.52,0.30,1.29,-2.28,-2.28,-2.27
32.89,-2.74,-0.47,-2.74,-0.47,0.47,0.26,1.27,-2.28,-2.28,-2.27
33.22,-2.68,-0.41,-2.68,-0.41,0.41,0.23,1.25,-2.27,-2.27,-2.27
33.55,-2.62,-0.35,-2.63,-0.36,0.36,0.20,1.22,-2.26,-2.26,-2.27
33.89,-2.57,-0.30,-2.58,-0.31,0.31,0.17,1.19,-2.26,-2.27,-2.27
34.23,-2.53,-0.26,-2.53,-0.26,0.25,0.14,1.16,-2.28,-2.27,-2.27
34.57,-2.47,-0.21,-2.47,-0.21,0.20,0.11,1.12,-2.27,-2.28,-2.27
34.92,-2.41,-0.15,-2.41,-0.15,0.14,0.08,1.08,-2.27,-2.27,-2.27
35.27,-2.35,-0.09,-2.35,-0.09,0.09,0.05,1.04,-2.26,-2.26,-2.26
35.62,-2.29,-0.03,-2.29,-0.03,0.04,0.03,1.00,-2.26,-2.26,-2.26
35.97,-2.24,0.02,-2.24,0.02,-0.02,-0.00,0.96,-2.26,-2.25,-2.26
36.33,-2.18,0.08,-2.19,0.07,-0.07,-0.03,0.92,-2.25,-2.26,-2.26
36.70,-2.15,0.11,-2.14,0.11,-0.11,-0.06,0.87,-2.27,-2.26,-2.26
37.06,-2.10,0.16,-2.10,0.16,-0.16,-0.08,0.83,-2.26,-2.26,-2.26
37.43,-2.04,0.21,-2.05,0.20,-0.20,-0.11,0.78,-2.24,-2.26,-2.26
37.81,-2.01,0.24,-2.01,0.25,-0.24,-0.14,0.73,-2.26,-2.25,-2.25
38.19,-1.96,0.29,-1.97,0.28,-0.28,-0.17,0.69,-2.25,-2.25,-2.25
38.57,-1.93,0.32,-1.93,0.32,-0.32,-0.19,0.64,-2.25,-2.25,-2.25
38.95,-1.90,0.35,-1.89,0.36,-0.36,-0.22,0.59,-2.26,-2.25,-2.25
39.34,-1.84,0.41,-1.85,0.39,-0.40,-0.25,0.54,-2.24,-2.26,-2.25
39.74,-1.81,0.43,-1.81,0.43,-0.44,-0.28,0.49,-2.25,-2.25,-2.25
40.14,-1.78,0.46,-1.77,0.48,-0.47,-0.31,0.44,-2.26,-2.24,-2.25
40.54,-1.72,0.52,-1.73,0.51,-0.51,-0.34,0.38,-2.23,-2.24,-2.24
40.94,-1.69,0.55,-1.69,0.55,-0.54,-0.37,0.33,-2.24,-2.24,-2.24
41.35,-1.66,0.58,-1.66,0.59,-0.58,-0.39,0.28,-2.24,-2.24,-2.24
41.76,-1.62,0.62,-1.63,0.61,-0.61,-0.42,0.23,-2.23,-2.24,-2.24
42.18,-1.60,0.64,-1.60,0.64,-0.64,-0.46,0.18,-2.25,-2.25,-2.24
42.60,-1.57,0.67,-1.56,0.67,-0.68,-0.49,0.13,-2.25,-2.24,-2.24
43.03,-1.53,0.70,-1.53,0.70,-0.71,-0.52,0.08,-2.24,-2.24,-2.24
43.46,-1.48,0.75,-1.50,0.74,-0.74,-0.55,0.02,-2.22,-2.24,-2.23
43.90,-1.48,0.75,-1.46,0.77,-0.77,-0.58,-0.03,-2.25,-2.23,-2.23
44.33,-1.43,0.80,-1.44,0.80,-0.80,-0.62,-0.08,-2.23,-2.23,-2.23
44.78,-1.39,0.84,-1.41,0.82,-0.83,-0.65,-0.13,-2.22,-2.23,-2.23
45.23,-1.39,0.84,-1.38,0.85,-0.85,-0.68,-0.18,-2.24,-2.23,-2.23
45.68,-1.34,0.89,-1.35,0.87,-0.87,-0.72,-0.23,-2.22,-2.23,-2.23
46.13,-1.34,0.88,-1.33,0.90,-0.89,-0.75,-0.29,-2.24,-2.22,-2.23
46.60,-1.29,0.93,-1.31,0.92,-0.91,-0.79,-0.34,-2.21,-2.22,-2.23
47.06,-1.29,0.93,-1.29,0.93,-0.93,-0.83,-0.39,-2.22,-2.22,-2.22
47.53,-1.29,0.93,-1.27,0.95,-0.94,-0.86,-0.44,-2.24,-2.22,-2.22
48.01,-1.25,0.97,-1.27,0.95,-0.96,-0.90,-0.49,-2.21,-2.23,-2.22
48.49,-1.25,0.97,-1.25,0.97,-0.97,-0.93,-0.55,-2.22,-2.22,-2.22
48.97,-1.25,0.97,-1.23,0.99,-0.98,-0.97,-0.60,-2.24,-2.22,-2.22
49.46,-1.20,1.01,-1.22,0.99,-1.00,-1.00,-0.65,-2.20,-2.22,-2.22
49.96,-1.20,1.01,-1.20,1.01,-1.01,-1.04,-0.70,-2.22,-2.22,-2.22
50.46,-1.20,1.01,-1.18,1.03,-1.03,-1.07,-0.75,-2.23,-2.21,-2.21
50.96,-1.15,1.06,-1.17,1.05,-1.05,-1.11,-0.80,-2.20,-2.21,-2.21
51.47,-1.15,1.06,-1.15,1.07,-1.07,-1.14,-0.85,-2.22,-2.21,-2.21
51.99,-1.11,1.10,-1.12,1.09,-1.09,-1.17,-0.90,-2.20,-2.21,-2.21
52.51,-1.11,1.10,-1.11,1.10,-1.11,-1.20,-0.95,-2.22,-2.21,-2.21
53.03,-1.07,1.13,-1.08,1.13,-1.13,-1.22,-0.99,-2.20,-2.21,-2.21
53.56,-1.06,1.14,-1.05,1.15,-1.15,-1.25,-1.04,-2.22,-2.21,-2.21
54.10,-1.01,1.19,-1.02,1.18,-1.18,-1.27,-1.09,-2.19,-2.20,-2.20
54.64,-1.01,1.19,-1.00,1.20,-1.20,-1.29,-1.13,-2.21,-2.20,-2.20
55.18,-0.97,1.23,-0.98,1.22,-1.22,-1.31,-1.17,-2.19,-2.20,-2.20
55.74,-0.97,1.23,-0.96,1.24,-1.23,-1.32,-1.21,-2.21,-2.20,-2.20
56.29,-0.94,1.26,-0.94,1.26,-1.25,-1.34,-1.25,-2.19,-2.19,-2.20
