frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.00,3.59,9.00,3.59,-3.58,-4.04,-1.92,5.42,5.42,5.41
20.20,9.01,3.60,9.02,3.61,-3.62,-4.04,-1.98,5.40,5.41,5.41
20.40,9.05,3.64,9.05,3.65,-3.65,-4.05,-2.03,5.40,5.40,5.41
20.61,9.09,3.68,9.09,3.68,-3.69,-4.05,-2.10,5.40,5.40,5.41
20.81,9.12,3.71,9.13,3.72,-3.72,-4.06,-2.16,5.40,5.41,5.41
21.02,9.17,3.76,9.17,3.76,-3.76,-4.06,-2.22,5.41,5.41,5.41
21.23,9.20,3.79,9.20,3.79,-3.79,-4.07,-2.28,5.41,5.41,5.41
21.44,9.23,3.82,9.24,3.83,-3.83,-4.08,-2.35,5.41,5.41,5.41
21.66,9.26,3.85,9.27,3.86,-3.86,-4.08,-2.42,5.40,5.41,5.41
21.87,9.31,3.90,9.31,3.90,-3.90,-4.09,-2.49,5.41,5.41,5.41
22.09,9.34,3.93,9.34,3.93,-3.93,-4.09,-2.56,5.41,5.41,5.41
22.31,9.37,3.96,9.38,3.97,-3.96,-4.10,-2.64,5.41,5.41,5.41
22.54,9.40,3.99,9.41,4.00,-4.00,-4.11,-2.71,5.41,5.41,5.41
22.76,9.44,4.03,9.44,4.03,-4.03,-4.12,-2.79,5.41,5.41,5.41
22.99,9.46,4.05,9.47,4.06,-4.06,-4.12,-2.87,5.40,5.41,5.41
23.22,9.49,4.08,9.49,4.09,-4.09,-4.13,-2.95,5.40,5.41,5.41
23.45,9.52,4.11,9.52,4.11,-4.12,-4.14,-3.03,5.41,5.40,5.41
23.69,9.55,4.14,9.55,4.14,-4.14,-4.15,-3.12,5.41,5.41,5.41
23.92,9.57,4.16,9.58,4.17,-4.17,-4.16,-3.21,5.40,5.41,5.41
24.16,9.61,4.20,9.61,4.20,-4.19,-4.17,-3.30,5.42,5.41,5.41
24.40,9.62,4.21,9.62,4.22,-4.22,-4.18,-3.39,5.41,5.41,5.41
24.65,9.65,4.24,9.65,4.24,-4.24,-4.19,-3.48,5.41,5.41,5.41
24.89,9.65,4.25,9.67,4.26,-4.26,-4.20,-3.57,5.39,5.40,5.41
25.14,9.70,4.29,9.69,4.28,-4.28,-4.22,-3.66,5.42,5.41,5.41
25.39,9.70,4.29,9.71,4.31,-4.30,-4.23,-3.76,5.40,5.41,5.41
25.65,9.74,4.33,9.73,4.32,-4.32,-4.24,-3.85,5.42,5.41,5.41
25.91,9.74,4.33,9.74,4.33,-4.33,-4.25,-3.94,5.41,5.41,5.41
26.16,9.74,4.33,9.76,4.35,-4.35,-4.27,-4.04,5.39,5.41,5.41
26.43,9.78,4.37,9.77,4.36,-4.37,-4.28,-4.13,5.42,5.40,5.41
26.69,9.78,4.37,9.78,4.37,-4.38,-4.29,-4.22,5.40,5.40,5.41
26.96,9.78,4.37,9.80,4.39,-4.39,-4.31,-4.32,5.39,5.41,5.41
27.23,9.82,4.41,9.81,4.40,-4.40,-4.32,-4.40,5.42,5.41,5.41
27.50,9.83,4.42,9.83,4.42,-4.41,-4.34,-4.49,5.42,5.42,5.41
27.77,9.83,4.42,9.83,4.43,-4.42,-4.35,-4.57,5.41,5.41,5.41
28.05,9.83,4.42,9.83,4.43,-4.43,-4.36,-4.66,5.40,5.40,5.41
