frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.62,4.73,4.62,4.73,-4.73,-5.01,-2.31,-0.11,-0.11,-0.11
20.20,4.65,4.76,4.64,4.75,-4.75,-5.01,-2.38,-0.10,-0.11,-0.11
20.40,4.65,4.76,4.65,4.76,-4.76,-5.01,-2.45,-0.12,-0.11,-0.11
20.61,4.67,4.78,4.67,4.78,-4.78,-5.01,-2.52,-0.11,-0.11,-0.11
20.81,4.69,4.80,4.68,4.79,-4.80,-5.01,-2.59,-0.11,-0.11,-0.11
21.02,4.70,4.81,4.70,4.81,-4.81,-5.01,-2.67,-0.12,-0.11,-0.11
21.23,4.73,4.84,4.72,4.83,-4.83,-5.01,-2.74,-0.11,-0.11,-0.11
21.44,4.73,4.84,4.74,4.85,-4.85,-5.01,-2.82,-0.12,-0.11,-0.11
21.66,4.77,4.88,4.76,4.87,-4.87,-5.01,-2.90,-0.10,-0.11,-0.11
21.87,4.78,4.89,4.78,4.89,-4.88,-5.01,-2.99,-0.11,-0.11,-0.11
22.09,4.79,4.90,4.79,4.90,-4.90,-5.01,-3.07,-0.11,-0.11,-0.11
22.31,4.82,4.93,4.81,4.92,-4.92,-5.01,-3.16,-0.10,-0.11,-0.11
22.54,4.82,4.93,4.83,4.94,-4.94,-5.01,-3.25,-0.12,-0.11,-0.11
22.76,4.85,4.96,4.84,4.95,-4.95,-5.01,-3.34,-0.11,-0.11,-0.11
22.99,4.86,4.97,4.85,4.96,-4.97,-5.01,-3.44,-0.11,-0.11,-0.11
23.22,4.86,4.97,4.88,4.99,-4.98,-5.02,-3.53,-0.13,-0.11,-0.11
23.45,4.91,5.02,4.89,5.00,-5.00,-5.02,-3.63,-0.09,-0.11,-0.11
23.69,4.91,5.02,4.91,5.02,-5.01,-5.02,-3.73,-0.11,-0.11,-0.11
23.92,4.91,5.02,4.92,5.03,-5.03,-5.02,-3.84,-0.12,-0.10,-0.11
24.16,4.95,5.06,4.93,5.04,-5.04,-5.02,-3.94,-0.09,-0.11,-0.11
24.40,4.95,5.06,4.94,5.05,-5.05,-5.02,-4.05,-0.11,-0.11,-0.11
24.65,4.95,5.06,4.95,5.06,-5.06,-5.02,-4.16,-0.12,-0.11,-0.11
24.89,4.95,5.06,4.96,5.07,-5.07,-5.02,-4.27,-0.13,-0.11,-0.11
25.14,4.99,5.10,4.97,5.08,-5.08,-5.02,-4.38,-0.10,-0.11,-0.11
25.39,4.99,5.10,4.98,5.09,-5.09,-5.02,-4.49,-0.11,-0.11,-0.11
