frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.12,5.11,6.12,5.11,-5.11,-4.65,-2.24,1.01,1.01,1.01
20.20,6.15,5.14,6.15,5.14,-5.14,-4.72,-2.31,1.01,1.01,1.01
20.40,6.18,5.16,6.18,5.16,-5.16,-4.79,-2.37,1.02,1.02,1.02
20.61,6.21,5.18,6.21,5.18,-5.19,-4.85,-2.44,1.02,1.02,1.03
20.81,6.24,5.21,6.24,5.21,-5.21,-4.92,-2.50,1.03,1.03,1.03
21.02,6.27,5.23,6.27,5.23,-5.23,-4.98,-2.57,1.03,1.03,1.04
21.23,6.30,5.26,6.30,5.26,-5.26,-5.04,-2.65,1.04,1.04,1.04
21.44,6.33,5.28,6.33,5.28,-5.28,-5.10,-2.72,1.05,1.05,1.05
21.66,6.36,5.30,6.35,5.30,-5.30,-5.16,-2.80,1.06,1.05,1.06
21.87,6.38,5.32,6.38,5.32,-5.32,-5.21,-2.87,1.06,1.06,1.06
22.09,6.41,5.34,6.40,5.34,-5.34,-5.26,-2.95,1.07,1.07,1.07
22.31,6.43,5.35,6.43,5.36,-5.36,-5.31,-3.04,1.07,1.07,1.08
22.54,6.46,5.38,6.45,5.37,-5.38,-5.35,-3.12,1.08,1.08,1.08
22.76,6.48,5.39,6.48,5.39,-5.39,-5.39,-3.21,1.08,1.09,1.09
22.99,6.51,5.41,6.50,5.41,-5.41,-5.43,-3.30,1.10,1.10,1.10
23.22,6.53,5.42,6.53,5.42,-5.42,-5.46,-3.39,1.10,1.11,1.11
23.45,6.56,5.44,6.55,5.44,-5.44,-5.49,-3.48,1.12,1.12,1.12
23.69,6.58,5.45,6.58,5.45,-5.45,-5.52,-3.57,1.13,1.13,1.13
23.92,6.60,5.46,6.60,5.46,-5.46,-5.54,-3.67,1.14,1.14,1.14
24.16,6.62,5.47,6.62,5.47,-5.47,-5.55,-3.77,1.15,1.15,1.15
24.40,6.64,5.48,6.64,5.48,-5.48,-5.57,-3.87,1.16,1.16,1.16
24.65,6.66,5.48,6.65,5.48,-5.48,-5.57,-3.97,1.18,1.17,1.18
24.89,6.67,5.48,6.67,5.48,-5.49,-5.58,-4.07,1.18,1.19,1.19
25.14,6.69,5.49,6.68,5.49,-5.49,-5.58,-4.18,1.20,1.19,1.20
25.39,6.70,5.49,6.70,5.49,-5.49,-5.58,-4.28,1.21,1.21,1.21
25.65,6.71,5.49,6.71,5.49,-5.49,-5.57,-4.39,1.21,1.22,1.22
25.91,6.73,5.49,6.72,5.49,-5.49,-5.56,-4.49,1.23,1.23,1.24
26.16,6.74,5.49,6.74,5.49,-5.49,-5.54,-4.60,1.25,1.24,1.25
26.43,6.75,5.49,6.75,5.49,-5.49,-5.53,-4.70,1.26,1.26,1.26
26.69,6.76,5.49,6.76,5.49,-5.48,-5.51,-4.80,1.27,1.27,1.27
26.96,6.77,5.48,6.76,5.48,-5.48,-5.48,-4.91,1.29,1.29,1.29
27.23,6.77,5.47,6.77,5.47,-5.47,-5.46,-5.01,1.30,1.30,1.30
27.50,6.78,5.46,6.77,5.46,-5.46,-5.43,-5.10,1.32,1.31,1.32
27.77,6.78,5.45,6.78,5.45,-5.45,-5.40,-5.20,1.33,1.33,1.33
28.05,6.78,5.43,6.78,5.43,-5.44,-5.36,-5.29,1.34,1.34,1.35
28.33,6.78,5.42,6.78,5.42,-5.42,-5.33,-5.37,1.36,1.36,1.36
28.62,6.78,5.40,6.78,5.40,-5.40,-5.29,-5.46,1.37,1.37,1.38
28.90,6.78,5.39,6.77,5.39,-5.39,-5.25,-5.53,1.39,1.39,1.39
29.19,6.77,5.36,6.77,5.37,-5.37,-5.22,-5.60,1.40,1.40,1.41
29.48,6.77,5.35,6.76,5.35,-5.34,-5.18,-5.67,1.42,1.42,1.42
29.78,6.76,5.32,6.75,5.32,-5.32,-5.14,-5.73,1.44,1.44,1.44
30.08,6.74,5.29,6.74,5.29,-5.29,-5.09,-5.78,1.45,1.45,1.45
30.38,6.72,5.25,6.72,5.25,-5.25,-5.05,-5.82,1.46,1.47,1.47
30.68,6.70,5.22,6.69,5.22,-5.22,-5.01,-5.86,1.48,1.48,1.48
30.99,6.67,5.17,6.67,5.17,-5.18,-4.97,-5.88,1.49,1.49,1.50
