frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.85,-3.65,-3.85,-3.65,3.65,2.88,0.26,-0.20,-0.20,-0.20
20.20,-3.76,-3.56,-3.76,-3.57,3.57,2.94,0.27,-0.19,-0.19,-0.20
20.40,-3.67,-3.48,-3.67,-3.49,3.49,2.98,0.28,-0.18,-0.19,-0.19
20.61,-3.59,-3.41,-3.59,-3.41,3.40,3.02,0.29,-0.19,-0.18,-0.18
20.81,-3.50,-3.32,-3.50,-3.33,3.32,3.04,0.30,-0.18,-0.18,-0.18
21.02,-3.41,-3.24,-3.41,-3.24,3.24,3.05,0.31,-0.17,-0.17,-0.17
21.23,-3.32,-3.15,-3.32,-3.16,3.16,3.04,0.33,-0.16,-0.16,-0.17
21.44,-3.23,-3.07,-3.23,-3.07,3.07,3.02,0.34,-0.15,-0.16,-0.16
21.66,-3.14,-2.99,-3.14,-2.99,2.99,2.98,0.35,-0.15,-0.15,-0.15
21.87,-3.05,-2.90,-3.05,-2.91,2.91,2.93,0.36,-0.14,-0.14,-0.15
22.09,-2.96,-2.82,-2.96,-2.82,2.82,2.87,0.38,-0.14,-0.14,-0.14
22.31,-2.87,-2.74,-2.87,-2.74,2.74,2.79,0.39,-0.13,-0.13,-0.13
22.54,-2.78,-2.65,-2.78,-2.66,2.65,2.71,0.41,-0.13,-0.12,-0.13
22.76,-2.69,-2.57,-2.69,-2.57,2.57,2.62,0.42,-0.12,-0.12,-0.12
22.99,-2.59,-2.48,-2.59,-2.49,2.49,2.52,0.44,-0.10,-0.11,-0.11
23.22,-2.50,-2.40,-2.50,-2.40,2.40,2.42,0.45,-0.10,-0.10,-0.10
23.45,-2.41,-2.32,-2.41,-2.32,2.32,2.31,0.47,-0.09,-0.09,-0.09
23.69,-2.31,-2.23,-2.31,-2.24,2.24,2.20,0.48,-0.07,-0.08,-0.08
23.92,-2.22,-2.15,-2.22,-2.15,2.15,2.09,0.50,-0.06,-0.07,-0.07
24.16,-2.13,-2.07,-2.12,-2.07,2.07,1.97,0.51,-0.06,-0.05,-0.06
24.40,-2.03,-1.98,-2.03,-1.99,1.99,1.86,0.53,-0.04,-0.04,-0.05
24.65,-1.94,-1.91,-1.94,-1.91,1.91,1.75,0.55,-0.03,-0.03,-0.03
