frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.43,5.64,5.43,5.64,-5.63,-5.62,-3.25,-0.20,-0.20,-0.21
20.20,5.47,5.68,5.47,5.67,-5.67,-5.66,-3.34,-0.20,-0.20,-0.21
20.40,5.52,5.72,5.52,5.71,-5.71,-5.71,-3.43,-0.19,-0.20,-0.19
20.61,5.56,5.74,5.56,5.75,-5.75,-5.75,-3.53,-0.19,-0.19,-0.19
20.81,5.61,5.80,5.61,5.79,-5.79,-5.80,-3.63,-0.18,-0.19,-0.18
21.02,5.65,5.83,5.65,5.83,-5.83,-5.84,-3.73,-0.18,-0.18,-0.18
21.23,5.70,5.88,5.70,5.87,-5.87,-5.88,-3.83,-0.17,-0.17,-0.18
21.44,5.75,5.92,5.75,5.91,-5.91,-5.92,-3.94,-0.16,-0.16,-0.16
21.66,5.80,5.95,5.80,5.96,-5.95,-5.97,-4.05,-0.15,-0.16,-0.16
21.87,5.84,6.00,5.84,5.99,-5.99,-6.01,-4.16,-0.15,-0.15,-0.15
22.09,5.89,6.04,5.89,6.03,-6.03,-6.05,-4.28,-0.14,-0.14,-0.14
22.31,5.93,6.07,5.93,6.07,-6.07,-6.09,-4.40,-0.14,-0.14,-0.14
22.54,5.98,6.11,5.98,6.11,-6.11,-6.13,-4.52,-0.13,-0.13,-0.14
22.76,6.02,6.15,6.02,6.15,-6.15,-6.17,-4.65,-0.13,-0.12,-0.12
22.99,6.07,6.18,6.07,6.18,-6.18,-6.22,-4.78,-0.11,-0.12,-0.12
23.22,6.11,6.21,6.11,6.22,-6.22,-6.26,-4.91,-0.11,-0.11,-0.11
23.45,6.16,6.26,6.16,6.25,-6.26,-6.30,-5.04,-0.10,-0.10,-0.09
23.69,6.21,6.29,6.21,6.29,-6.29,-6.34,-5.18,-0.08,-0.09,-0.09
23.92,6.25,6.33,6.25,6.33,-6.33,-6.37,-5.32,-0.08,-0.07,-0.07
24.16,6.30,6.37,6.30,6.36,-6.36,-6.41,-5.47,-0.06,-0.06,-0.06
24.40,6.35,6.41,6.35,6.40,-6.40,-6.45,-5.61,-0.05,-0.05,-0.05
24.65,6.39,6.42,6.39,6.43,-6.43,-6.49,-5.76,-0.04,-0.04,-0.04
24.89,6.44,6.47,6.44,6.47,-6.47,-6.53,-5.91,-0.03,-0.03,-0.02
25.14,6.49,6.51,6.49,6.50,-6.50,-6.56,-6.07,-0.01,-0.01,-0.01
25.39,6.53,6.54,6.53,6.54,-6.54,-6.60,-6.22,-0.00,-0.00,-0.00
25.65,6.58,6.57,6.58,6.57,-6.57,-6.64,-6.38,0.01,0.01,0.00
25.91,6.62,6.59,6.62,6.60,-6.60,-6.67,-6.53,0.02,0.02,0.02
26.16,6.67,6.64,6.67,6.63,-6.64,-6.71,-6.69,0.04,0.03,0.04
26.43,6.71,6.66,6.71,6.67,-6.67,-6.74,-6.85,0.04,0.05,0.04
26.69,6.76,6.71,6.76,6.70,-6.70,-6.77,-7.00,0.06,0.06,0.05
26.96,6.80,6.72,6.80,6.73,-6.73,-6.81,-7.16,0.07,0.07,0.07
27.23,6.85,6.76,6.85,6.76,-6.76,-6.84,-7.31,0.09,0.09,0.08
27.50,6.89,6.78,6.89,6.79,-6.79,-6.87,-7.46,0.10,0.10,0.10
27.77,6.93,6.82,6.93,6.82,-6.82,-6.90,-7.60,0.11,0.12,0.12
28.05,6.98,6.85,6.98,6.84,-6.85,-6.93,-7.74,0.13,0.13,0.14
28.33,7.02,6.88,7.02,6.88,-6.88,-6.96,-7.88,0.14,0.15,0.15
28.62,7.07,6.90,7.07,6.90,-6.90,-6.99,-8.01,0.16,0.16,0.16
28.90,7.11,6.94,7.11,6.94,-6.93,-7.02,-8.13,0.18,0.18,0.18
29.19,7.16,6.97,7.16,6.97,-6.96,-7.04,-8.24,0.20,0.19,0.19
29.48,7.20,7.00,7.20,7.00,-7.00,-7.07,-8.34,0.21,0.21,0.21
29.78,7.25,7.02,7.25,7.02,-7.03,-7.09,-8.43,0.22,0.22,0.22
30.08,7.29,7.05,7.29,7.06,-7.06,-7.12,-8.51,0.23,0.23,0.23
30.38,7.34,7.08,7.34,7.09,-7.09,-7.14,-8.58,0.25,0.25,0.25
30.68,7.39,7.12,7.39,7.12,-7.12,-7.16,-8.63,0.27,0.27,0.26
30.99,7.44,7.15,7.44,7.15,-7.15,-7.19,-8.68,0.29,0.29,0.28
31.30,7.48,7.18,7.48,7.19,-7.18,-7.21,-8.71,0.30,0.30,0.29
31.61,7.53,7.21,7.53,7.21,-7.21,-7.23,-8.73,0.32,0.31,0.31
31.93,7.57,7.24,7.57,7.24,-7.24,-7.25,-8.73,0.32,0.32,0.32
32.24,7.61,7.27,7.61,7.27,-7.28,-7.27,-8.72,0.34,0.34,0.35
32.57,7.66,7.30,7.66,7.30,-7.31,-7.28,-8.70,0.35,0.36,0.35
32.89,7.71,7.34,7.71,7.33,-7.33,-7.30,-8.67,0.38,0.37,0.38
33.22,7.75,7.37,7.75,7.37,-7.36,-7.31,-8.62,0.39,0.39,0.39
33.55,7.79,7.39,7.79,7.39,-7.39,-7.33,-8.57,0.40,0.41,0.41
33.89,7.84,7.42,7.83,7.42,-7.41,-7.34,-8.51,0.43,0.42,0.41
34.23,7.87,7.43,7.87,7.44,-7.44,-7.35,-8.44,0.43,0.43,0.43
34.57,7.91,7.47,7.91,7.46,-7.46,-7.36,-8.36,0.45,0.44,0.44
34.92,7.94,7.48,7.94,7.48,-7.49,-7.37,-8.28,0.45,0.45,0.45
35.27,7.97,7.49,7.97,7.50,-7.51,-7.38,-8.19,0.46,0.47,0.47
35.62,8.01,7.52,8.01,7.52,-7.53,-7.39,-8.10,0.48,0.48,0.48
35.97,8.04,7.55,8.04,7.54,-7.54,-7.40,-8.01,0.50,0.50,0.50
36.33,8.06,7.56,8.07,7.56,-7.56,-7.40,-7.91,0.50,0.51,0.51
36.70,8.09,7.57,8.09,7.57,-7.57,-7.41,-7.81,0.52,0.52,0.51
