frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.40,-6.29,-5.40,-6.28,6.10,5.15,1.61,0.70,0.70,0.89
20.20,-5.26,-6.15,-5.26,-6.15,6.01,5.11,1.66,0.75,0.75,0.89
20.40,-5.12,-6.01,-5.12,-6.01,5.91,5.08,1.71,0.79,0.79,0.90
20.61,-4.98,-5.89,-4.98,-5.89,5.82,5.05,1.76,0.83,0.83,0.90
20.81,-4.85,-5.75,-4.85,-5.76,5.72,5.02,1.82,0.87,0.87,0.91
21.02,-4.73,-5.64,-4.72,-5.64,5.62,4.99,1.87,0.89,0.90,0.92
21.23,-4.60,-5.51,-4.60,-5.52,5.53,4.95,1.93,0.93,0.93,0.92
21.44,-4.48,-5.40,-4.48,-5.41,5.43,4.92,1.98,0.95,0.95,0.93
21.66,-4.37,-5.31,-4.37,-5.30,5.31,4.89,2.04,0.94,0.94,0.93
21.87,-4.26,-5.19,-4.26,-5.20,5.20,4.85,2.11,0.94,0.94,0.94
22.09,-4.16,-5.10,-4.15,-5.10,5.10,4.82,2.17,0.94,0.95,0.95
22.31,-4.05,-5.00,-4.05,-5.00,5.01,4.78,2.23,0.96,0.96,0.96
22.54,-3.96,-4.92,-3.96,-4.92,4.92,4.75,2.30,0.96,0.96,0.96
22.76,-3.88,-4.84,-3.88,-4.84,4.84,4.71,2.37,0.96,0.97,0.97
22.99,-3.80,-4.78,-3.80,-4.77,4.77,4.67,2.44,0.97,0.97,0.98
23.22,-3.71,-4.70,-3.71,-4.70,4.69,4.63,2.51,0.98,0.98,0.99
23.45,-3.63,-4.62,-3.63,-4.62,4.63,4.60,2.58,1.00,1.00,1.00
23.69,-3.55,-4.56,-3.55,-4.56,4.56,4.56,2.65,1.01,1.01,1.00
23.92,-3.48,-4.49,-3.48,-4.50,4.50,4.52,2.73,1.02,1.02,1.02
24.16,-3.42,-4.44,-3.41,-4.44,4.44,4.48,2.81,1.02,1.03,1.03
24.40,-3.34,-4.37,-3.34,-4.38,4.38,4.44,2.88,1.04,1.04,1.04
24.65,-3.26,-4.32,-3.27,-4.32,4.32,4.40,2.96,1.05,1.05,1.05
24.89,-3.20,-4.26,-3.20,-4.26,4.25,4.36,3.04,1.06,1.06,1.07
25.14,-3.13,-4.20,-3.12,-4.20,4.20,4.32,3.12,1.07,1.07,1.08
25.39,-3.05,-4.13,-3.05,-4.14,4.14,4.28,3.20,1.09,1.09,1.09
25.65,-2.97,-4.07,-2.97,-4.07,4.08,4.24,3.28,1.11,1.10,1.10
25.91,-2.90,-4.02,-2.90,-4.01,4.02,4.19,3.36,1.12,1.12,1.11
26.16,-2.83,-3.95,-2.83,-3.95,3.96,4.15,3.44,1.13,1.13,1.13
26.43,-2.76,-3.90,-2.76,-3.90,3.90,4.11,3.52,1.14,1.13,1.13
26.69,-2.70,-3.85,-2.70,-3.84,3.84,4.06,3.60,1.14,1.14,1.15
26.96,-2.63,-3.80,-2.63,-3.79,3.78,4.02,3.68,1.15,1.16,1.16
27.23,-2.55,-3.73,-2.55,-3.73,3.73,3.97,3.75,1.18,1.18,1.17
27.50,-2.48,-3.68,-2.48,-3.67,3.68,3.93,3.82,1.20,1.20,1.19
27.77,-2.41,-3.61,-2.41,-3.62,3.62,3.88,3.89,1.22,1.21,1.21
28.05,-2.35,-3.57,-2.35,-3.57,3.57,3.84,3.96,1.22,1.22,1.23
28.33,-2.29,-3.52,-2.29,-3.53,3.53,3.79,4.02,1.24,1.24,1.24
28.62,-2.23,-3.49,-2.23,-3.48,3.48,3.74,4.07,1.25,1.25,1.25
28.90,-2.16,-3.42,-2.16,-3.43,3.43,3.70,4.12,1.27,1.27,1.27
29.19,-2.10,-3.38,-2.10,-3.39,3.39,3.65,4.17,1.29,1.28,1.29
29.48,-2.05,-3.34,-2.05,-3.34,3.34,3.60,4.21,1.29,1.30,1.30
29.78,-1.99,-3.31,-1.99,-3.30,3.30,3.55,4.25,1.31,1.31,1.31
30.08,-1.92,-3.25,-1.92,-3.25,3.25,3.50,4.27,1.33,1.33,1.32
30.38,-1.86,-3.21,-1.86,-3.21,3.21,3.45,4.29,1.35,1.34,1.34
30.68,-1.80,-3.16,-1.80,-3.16,3.16,3.40,4.31,1.36,1.36,1.36
30.99,-1.75,-3.13,-1.74,-3.12,3.11,3.35,4.31,1.36,1.37,1.37
31.30,-1.68,-3.07,-1.68,-3.07,3.06,3.30,4.31,1.38,1.38,1.38
31.61,-1.61,-3.02,-1.61,-3.01,3.02,3.25,4.30,1.41,1.40,1.41
31.93,-1.54,-2.96,-1.54,-2.96,2.97,3.20,4.29,1.42,1.42,1.41
32.24,-1.48,-2.91,-1.48,-2.91,2.92,3.15,4.27,1.44,1.43,1.44
32.57,-1.42,-2.87,-1.42,-2.87,2.86,3.10,4.23,1.44,1.44,1.44
32.89,-1.36,-2.82,-1.35,-2.82,2.81,3.04,4.20,1.45,1.46,1.47
