frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-29.41,-22.18,-29.41,-22.18,6.00,6.09,2.61,-23.41,-23.41,-7.22
20.20,-29.24,-22.07,-29.24,-22.08,6.00,6.09,2.69,-23.24,-23.24,-7.16
20.40,-29.08,-21.96,-29.08,-21.96,6.00,6.09,2.76,-23.08,-23.08,-7.11
20.61,-28.91,-21.86,-28.91,-21.85,6.00,6.09,2.84,-22.91,-22.91,-7.06
20.81,-28.74,-21.73,-28.74,-21.74,6.00,6.09,2.92,-22.74,-22.74,-7.00
21.02,-28.57,-21.62,-28.57,-21.62,6.00,6.09,3.00,-22.57,-22.57,-6.94
21.23,-28.40,-21.50,-28.40,-21.51,6.00,6.09,3.09,-22.40,-22.40,-6.89
21.44,-28.24,-21.39,-28.23,-21.39,6.00,6.09,3.18,-22.24,-22.23,-6.84
21.66,-28.07,-21.28,-28.07,-21.27,6.00,6.09,3.27,-22.07,-22.07,-6.79
21.87,-27.90,-21.15,-27.90,-21.15,6.00,6.09,3.36,-21.90,-21.90,-6.74
22.09,-27.73,-21.03,-27.72,-21.03,6.00,6.09,3.46,-21.73,-21.72,-6.69
22.31,-27.55,-20.90,-27.55,-20.90,6.00,6.09,3.55,-21.55,-21.55,-6.64
22.54,-27.38,-20.78,-27.38,-20.78,6.00,6.09,3.65,-21.38,-21.38,-6.60
22.76,-27.20,-20.64,-27.20,-20.64,6.00,6.09,3.76,-21.20,-21.20,-6.55
22.99,-27.03,-20.51,-27.03,-20.51,6.00,6.09,3.86,-21.03,-21.03,-6.51
23.22,-26.85,-20.38,-26.85,-20.39,6.00,6.09,3.97,-20.85,-20.85,-6.46
23.45,-26.68,-20.25,-26.68,-20.26,6.00,6.09,4.08,-20.68,-20.68,-6.42
23.69,-26.51,-20.14,-26.51,-20.13,6.00,6.09,4.20,-20.51,-20.51,-6.37
23.92,-26.34,-20.00,-26.33,-20.00,6.00,6.09,4.31,-20.34,-20.33,-6.33
24.16,-26.16,-19.87,-26.16,-19.88,6.00,6.09,4.43,-20.16,-20.16,-6.28
24.40,-25.99,-19.74,-25.98,-19.74,6.00,6.09,4.55,-19.99,-19.98,-6.24
24.65,-25.81,-19.61,-25.81,-19.60,6.00,6.09,4.67,-19.81,-19.81,-6.20
24.89,-25.63,-19.46,-25.63,-19.47,6.00,6.09,4.79,-19.63,-19.63,-6.16
25.14,-25.46,-19.33,-25.45,-19.33,6.00,6.09,4.92,-19.46,-19.45,-6.12
25.39,-25.28,-19.19,-25.28,-19.20,6.00,6.09,5.04,-19.28,-19.28,-6.08
25.65,-25.11,-19.07,-25.11,-19.06,6.00,6.09,5.17,-19.11,-19.11,-6.04
25.91,-24.93,-18.93,-24.93,-18.93,6.00,6.09,5.29,-18.93,-18.93,-6.00
26.16,-24.76,-18.79,-24.76,-18.79,6.00,6.09,5.42,-18.76,-18.76,-5.96
26.43,-24.58,-18.65,-24.58,-18.65,6.00,6.09,5.55,-18.58,-18.58,-5.93
26.69,-24.40,-18.50,-24.40,-18.51,6.00,6.09,5.67,-18.40,-18.40,-5.89
26.96,-24.23,-18.38,-24.23,-18.37,6.00,6.09,5.80,-18.23,-18.23,-5.85
27.23,-24.05,-18.23,-24.05,-18.23,6.00,6.09,5.92,-18.05,-18.05,-5.82
27.50,-23.88,-18.10,-23.88,-18.09,6.00,6.09,6.04,-17.88,-17.88,-5.78
27.77,-23.70,-17.95,-23.70,-17.95,6.00,6.08,6.16,-17.70,-17.70,-5.74
28.05,-23.53,-17.81,-23.53,-17.82,6.00,6.08,6.27,-17.53,-17.53,-5.71
28.33,-23.35,-17.67,-23.35,-17.68,6.00,6.08,6.38,-17.35,-17.35,-5.67
28.62,-23.18,-17.55,-23.18,-17.54,6.00,6.08,6.48,-17.18,-17.18,-5.63
28.90,-23.00,-17.40,-23.00,-17.40,6.00,6.08,6.58,-17.00,-17.00,-5.59
29.19,-22.83,-17.26,-22.83,-17.27,6.00,6.08,6.67,-16.83,-16.83,-5.56
29.48,-22.65,-17.12,-22.65,-17.13,6.00,6.08,6.75,-16.65,-16.65,-5.52
29.78,-22.48,-17.00,-22.48,-16.99,6.00,6.08,6.83,-16.48,-16.48,-5.48
30.08,-22.31,-16.86,-22.31,-16.86,6.00,6.08,6.89,-16.31,-16.31,-5.45
30.38,-22.14,-16.73,-22.14,-16.72,6.00,6.08,6.95,-16.14,-16.14,-5.41
30.68,-21.97,-16.58,-21.97,-16.59,6.00,6.08,7.00,-15.97,-15.97,-5.38
30.99,-21.81,-16.47,-21.81,-16.46,6.00,6.08,7.04,-15.81,-15.81,-5.34
31.30,-21.65,-16.34,-21.65,-16.34,6.00,6.08,7.07,-15.65,-15.65,-5.31
31.61,-21.49,-16.20,-21.49,-16.21,6.00,6.08,7.10,-15.49,-15.49,-5.28
31.93,-21.33,-16.08,-21.33,-16.07,6.00,6.08,7.11,-15.33,-15.33,-5.25
32.24,-21.16,-15.93,-21.16,-15.94,6.00,6.08,7.11,-15.16,-15.16,-5.22
32.57,-21.00,-15.81,-21.00,-15.80,6.00,6.07,7.10,-15.00,-15.00,-5.19
32.89,-20.83,-15.66,-20.83,-15.66,6.00,6.07,7.09,-14.83,-14.83,-5.16
33.22,-20.67,-15.52,-20.67,-15.53,6.00,6.07,7.07,-14.67,-14.67,-5.14
33.55,-20.51,-15.39,-20.51,-15.39,6.00,6.07,7.04,-14.51,-14.51,-5.11
33.89,-20.35,-15.25,-20.35,-15.25,6.00,6.07,7.00,-14.35,-14.35,-5.09
34.23,-20.19,-15.12,-20.19,-15.12,6.00,6.07,6.96,-14.19,-14.19,-5.07
34.57,-20.04,-14.99,-20.04,-14.99,6.00,6.07,6.91,-14.04,-14.04,-5.04
34.92,-19.88,-14.86,-19.88,-14.86,6.00,6.07,6.86,-13.88,-13.88,-5.02
35.27,-19.72,-14.72,-19.72,-14.72,6.00,6.07,6.81,-13.72,-13.72,-5.00
35.62,-19.57,-14.59,-19.57,-14.58,6.00,6.06,6.75,-13.57,-13.57,-4.98
35.97,-19.41,-14.44,-19.41,-14.44,6.00,6.06,6.69,-13.41,-13.41,-4.96
36.33,-19.26,-14.30,-19.26,-14.31,6.00,6.06,6.63,-13.26,-13.26,-4.95
36.70,-19.10,-14.17,-19.10,-14.16,6.00,6.06,6.56,-13.10,-13.10,-4.93
37.06,-18.94,-14.02,-18.94,-14.02,6.00,6.06,6.50,-12.94,-12.94,-4.91
37.43,-18.78,-13.87,-18.78,-13.88,6.00,6.06,6.44,-12.78,-12.78,-4.90
37.81,-18.62,-13.73,-18.62,-13.73,6.00,6.06,6.38,-12.62,-12.62,-4.88
38.19,-18.46,-13.59,-18.46,-13.59,6.00,6.05,6.32,-12.46,-12.46,-4.87
38.57,-18.31,-13.44,-18.31,-13.44,6.00,6.05,6.26,-12.31,-12.31,-4.86
38.95,-18.16,-13.30,-18.16,-13.30,6.00,6.05,6.20,-12.16,-12.16,-4.85
39.34,-18.01,-13.16,-18.01,-13.16,6.00,6.05,6.15,-12.01,-12.01,-4.84
39.74,-17.86,-13.03,-17.86,-13.02,6.00,6.05,6.10,-11.86,-11.86,-4.83
40.14,-17.71,-12.88,-17.71,-12.88,6.00,6.05,6.05,-11.71,-11.71,-4.83
40.54,-17.56,-12.74,-17.56,-12.74,6.00,6.04,6.00,-11.56,-11.56,-4.82
40.94,-17.41,-12.59,-17.41,-12.59,6.00,6.04,5.96,-11.41,-11.41,-4.81
41.35,-17.26,-12.44,-17.26,-12.45,6.00,6.04,5.93,-11.26,-11.26,-4.81
41.76,-17.11,-12.30,-17.10,-12.30,6.00,6.04,5.89,-11.11,-11.10,-4.80
42.18,-16.95,-12.14,-16.95,-12.15,6.00,6.03,5.86,-10.95,-10.95,-4.80
42.60,-16.80,-12.00,-16.80,-12.00,6.00,6.03,5.84,-10.80,-10.80,-4.79
43.03,-16.65,-11.85,-16.65,-11.86,6.00,6.03,5.82,-10.65,-10.65,-4.79
43.46,-16.50,-11.71,-16.50,-11.71,6.00,6.03,5.80,-10.50,-10.50,-4.78
43.90,-16.36,-11.58,-16.35,-11.57,6.00,6.02,5.79,-10.36,-10.35,-4.78
44.33,-16.21,-11.43,-16.21,-11.44,6.00,6.02,5.78,-10.21,-10.21,-4.77
44.78,-16.07,-11.30,-16.07,-11.30,6.00,6.02,5.78,-10.07,-10.07,-4.77
45.23,-15.93,-11.17,-15.93,-11.16,6.00,6.02,5.78,-9.93,-9.93,-4.76
45.68,-15.79,-11.03,-15.79,-11.03,6.00,6.01,5.78,-9.79,-9.79,-4.76
46.13,-15.65,-10.88,-15.65,-10.89,6.00,6.01,5.79,-9.65,-9.65,-4.76
46.60,-15.52,-10.77,-15.51,-10.76,6.00,6.01,5.81,-9.52,-9.51,-4.75
47.06,-15.38,-10.62,-15.38,-10.63,6.00,6.01,5.83,-9.38,-9.38,-4.75
47.53,-15.25,-10.49,-15.25,-10.50,6.00,6.00,5.85,-9.25,-9.25,-4.75
48.01,-15.12,-10.38,-15.12,-10.37,6.00,6.00,5.87,-9.12,-9.12,-4.74
48.49,-14.99,-10.25,-14.99,-10.24,6.00,6.00,5.90,-8.99,-8.99,-4.74
48.97,-14.86,-10.11,-14.86,-10.12,6.00,6.00,5.94,-8.86,-8.86,-4.74
49.46,-14.73,-9.99,-14.73,-9.99,6.00,5.99,5.97,-8.73,-8.73,-4.73
49.96,-14.61,-9.88,-14.61,-9.87,6.00,5.99,6.01,-8.61,-8.61,-4.73
50.46,-14.49,-9.77,-14.49,-9.76,6.00,5.99,6.05,-8.49,-8.49,-4.72
50.96,-14.37,-9.64,-14.37,-9.65,6.00,5.99,6.10,-8.37,-8.37,-4.72
51.47,-14.27,-9.55,-14.26,-9.55,6.00,5.98,6.15,-8.27,-8.26,-4.71
51.99,-14.16,-9.45,-14.16,-9.44,6.00,5.98,6.19,-8.16,-8.16,-4.71
52.51,-14.05,-9.34,-14.05,-9.34,6.00,5.98,6.24,-8.05,-8.05,-4.71
53.03,-13.94,-9.23,-13.94,-9.23,6.00,5.98,6.29,-7.94,-7.94,-4.70
53.56,-13.84,-9.13,-13.83,-9.13,6.00,5.97,6.34,-7.84,-7.83,-4.70
54.10,-13.73,-9.03,-13.73,-9.03,6.00,5.97,6.39,-7.73,-7.73,-4.70
54.64,-13.63,-8.92,-13.63,-8.93,6.00,5.97,6.44,-7.63,-7.63,-4.70
55.18,-13.54,-8.83,-13.53,-8.83,6.00,5.97,6.49,-7.54,-7.53,-4.70
55.74,-13.44,-8.74,-13.44,-8.73,6.00,5.97,6.54,-7.44,-7.44,-4.70
56.29,-13.35,-8.63,-13.35,-8.64,6.00,5.97,6.58,-7.35,-7.35,-4.71
56.86,-13.25,-8.54,-13.25,-8.53,6.00,5.97,6.62,-7.25,-7.25,-4.71
57.42,-13.16,-8.43,-13.16,-8.43,6.00,5.97,6.65,-7.16,-7.16,-4.72
58.00,-13.07,-8.33,-13.07,-8.34,6.00,5.97,6.68,-7.07,-7.07,-4.73
58.58,-12.99,-8.24,-12.99,-8.25,6.00,5.97,6.71,-6.99,-6.99,-4.74
59.16,-12.91,-8.15,-12.90,-8.15,6.00,5.97,6.73,-6.91,-6.90,-4.75
59.76,-12.82,-8.06,-12.82,-8.05,6.00,5.97,6.74,-6.82,-6.82,-4.76
60.35,-12.72,-7.93,-12.72,-7.94,6.00,5.97,6.75,-6.72,-6.72,-4.78
60.96,-12.63,-7.83,-12.63,-7.83,6.00,5.97,6.75,-6.63,-6.63,-4.79
61.57,-12.53,-7.73,-12.53,-7.72,6.00,5.97,6.74,-6.53,-6.53,-4.80
62.18,-12.44,-7.61,-12.44,-7.62,6.00,5.98,6.73,-6.44,-6.44,-4.82
62.80,-12.35,-7.51,-12.35,-7.51,6.00,5.98,6.70,-6.35,-6.35,-4.83
63.43,-12.26,-7.41,-12.26,-7.41,6.00,5.98,6.67,-6.26,-6.26,-4.84
64.07,-12.17,-7.32,-12.17,-7.31,6.00,5.99,6.63,-6.17,-6.17,-4.85
64.71,-12.07,-7.20,-12.07,-7.21,6.00,5.99,6.58,-6.07,-6.07,-4.86
65.35,-11.98,-7.11,-11.98,-7.12,6.00,5.99,6.53,-5.98,-5.98,-4.86
66.01,-11.89,-7.02,-11.89,-7.02,6.00,6.00,6.47,-5.89,-5.89,-4.86
66.67,-11.80,-6.93,-11.80,-6.93,6.00,6.00,6.40,-5.80,-5.80,-4.86
67.33,-11.70,-6.83,-11.70,-6.84,6.00,6.00,6.33,-5.70,-5.70,-4.86
68.01,-11.60,-6.74,-11.60,-6.74,6.00,6.00,6.25,-5.60,-5.60,-4.85
68.69,-11.50,-6.65,-11.50,-6.65,6.00,6.00,6.16,-5.50,-5.50,-4.84
69.37,-11.40,-6.56,-11.40,-6.56,6.00,6.00,6.07,-5.39,-5.39,-4.83
70.07,-11.30,-6.47,-11.30,-6.48,6.01,6.00,5.98,-5.29,-5.29,-4.82
70.77,-11.21,-6.39,-11.21,-6.40,6.01,5.99,5.88,-5.19,-5.20,-4.81
71.48,-11.12,-6.32,-11.11,-6.32,6.01,5.98,5.78,-5.10,-5.10,-4.79
72.19,-11.02,-6.23,-11.02,-6.23,6.01,5.97,5.68,-5.01,-5.01,-4.78
72.91,-10.91,-6.13,-10.91,-6.14,5.99,5.96,5.58,-4.92,-4.92,-4.77
73.64,-10.81,-6.04,-10.81,-6.04,5.96,5.94,5.47,-4.85,-4.85,-4.76
74.38,-10.71,-5.95,-10.71,-5.96,5.92,5.92,5.37,-4.79,-4.79,-4.75
75.12,-10.62,-5.87,-10.62,-5.87,5.87,5.89,5.26,-4.75,-4.75,-4.74
75.87,-10.53,-5.79,-10.53,-5.79,5.80,5.86,5.16,-4.73,-4.73,-4.73
76.63,-10.44,-5.71,-10.44,-5.71,5.72,5.82,5.06,-4.71,-4.71,-4.72
77.40,-10.35,-5.62,-10.35,-5.63,5.64,5.78,4.95,-4.71,-4.71,-4.72
78.17,-10.26,-5.54,-10.26,-5.54,5.55,5.73,4.85,-4.71,-4.71,-4.71
78.95,-10.17,-5.46,-10.16,-5.46,5.46,5.68,4.75,-4.71,-4.70,-4.70
79.74,-10.06,-5.36,-10.07,-5.37,5.37,5.62,4.65,-4.69,-4.69,-4.69
80.54,-9.97,-5.28,-9.97,-5.29,5.29,5.56,4.56,-4.68,-4.68,-4.68
81.35,-9.89,-5.21,-9.88,-5.21,5.21,5.50,4.46,-4.68,-4.67,-4.67
82.16,-9.80,-5.13,-9.80,-5.13,5.13,5.43,4.37,-4.66,-4.66,-4.66
82.98,-9.70,-5.04,-9.70,-5.05,5.06,5.36,4.28,-4.64,-4.65,-4.65
83.81,-9.62,-4.98,-9.62,-4.98,4.99,5.28,4.20,-4.63,-4.63,-4.63
84.65,-9.53,-4.91,-9.53,-4.92,4.91,5.21,4.11,-4.61,-4.62,-4.61
85.50,-9.45,-4.85,-9.45,-4.85,4.84,5.13,4.03,-4.60,-4.60,-4.59
86.35,-9.36,-4.78,-9.36,-4.78,4.78,5.05,3.96,-4.58,-4.58,-4.57
87.22,-9.27,-4.71,-9.26,-4.71,4.71,4.96,3.88,-4.56,-4.55,-4.55
88.09,-9.17,-4.63,-9.18,-4.64,4.65,4.88,3.81,-4.52,-4.53,-4.53
88.97,-9.09,-4.57,-9.09,-4.58,4.58,4.80,3.74,-4.50,-4.51,-4.51
