frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-32.20,-23.94,-32.20,-23.94,6.00,5.67,2.73,-26.20,-26.20,-8.26
20.20,-32.05,-23.85,-32.05,-23.85,6.00,5.68,2.81,-26.05,-26.05,-8.20
20.40,-31.91,-23.76,-31.91,-23.76,6.00,5.69,2.89,-25.91,-25.91,-8.15
20.61,-31.76,-23.67,-31.76,-23.67,6.00,5.71,2.97,-25.76,-25.76,-8.09
20.81,-31.61,-23.57,-31.61,-23.58,6.00,5.72,3.06,-25.61,-25.61,-8.04
21.02,-31.47,-23.49,-31.47,-23.49,6.00,5.73,3.14,-25.47,-25.47,-7.98
21.23,-31.32,-23.39,-31.32,-23.39,6.00,5.74,3.23,-25.32,-25.32,-7.93
21.44,-31.17,-23.29,-31.17,-23.29,6.00,5.76,3.32,-25.17,-25.17,-7.88
21.66,-31.02,-23.19,-31.02,-23.19,6.00,5.77,3.42,-25.02,-25.02,-7.83
21.87,-30.87,-23.09,-30.87,-23.09,6.00,5.78,3.52,-24.87,-24.87,-7.78
22.09,-30.72,-22.99,-30.72,-22.99,6.00,5.79,3.62,-24.72,-24.72,-7.73
22.31,-30.57,-22.89,-30.57,-22.89,6.00,5.81,3.72,-24.57,-24.57,-7.68
22.54,-30.42,-22.78,-30.42,-22.79,6.00,5.82,3.82,-24.42,-24.42,-7.64
22.76,-30.27,-22.68,-30.27,-22.68,6.00,5.83,3.93,-24.27,-24.27,-7.59
22.99,-30.12,-22.57,-30.12,-22.57,6.00,5.84,4.04,-24.12,-24.12,-7.55
23.22,-29.97,-22.47,-29.97,-22.47,6.00,5.85,4.16,-23.97,-23.97,-7.50
23.45,-29.81,-22.35,-29.81,-22.36,6.00,5.86,4.27,-23.81,-23.81,-7.46
23.69,-29.66,-22.25,-29.66,-22.25,6.00,5.87,4.39,-23.66,-23.66,-7.41
23.92,-29.51,-22.14,-29.51,-22.14,6.00,5.88,4.51,-23.51,-23.51,-7.37
24.16,-29.36,-22.04,-29.36,-22.04,6.00,5.89,4.64,-23.36,-23.36,-7.32
24.40,-29.20,-21.92,-29.20,-21.93,6.00,5.90,4.76,-23.20,-23.20,-7.28
24.65,-29.05,-21.81,-29.05,-21.81,6.00,5.91,4.89,-23.05,-23.05,-7.24
24.89,-28.90,-21.70,-28.89,-21.70,6.00,5.92,5.02,-22.90,-22.89,-7.20
25.14,-28.74,-21.58,-28.74,-21.58,6.00,5.93,5.15,-22.74,-22.74,-7.16
25.39,-28.59,-21.47,-28.59,-21.47,6.00,5.94,5.28,-22.59,-22.59,-7.12
25.65,-28.44,-21.36,-28.44,-21.36,6.00,5.95,5.41,-22.44,-22.44,-7.08
25.91,-28.29,-21.25,-28.29,-21.25,6.00,5.96,5.54,-22.29,-22.29,-7.04
26.16,-28.13,-21.13,-28.13,-21.13,6.00,5.97,5.68,-22.13,-22.13,-7.00
26.43,-27.98,-21.01,-27.98,-21.01,6.00,5.98,5.81,-21.98,-21.98,-6.97
26.69,-27.82,-20.89,-27.82,-20.89,6.00,5.98,5.94,-21.82,-21.82,-6.93
26.96,-27.66,-20.77,-27.67,-20.77,6.00,5.99,6.07,-21.66,-21.67,-6.89
27.23,-27.51,-20.65,-27.51,-20.66,6.00,6.00,6.20,-21.51,-21.51,-6.86
27.50,-27.36,-20.54,-27.36,-20.54,6.00,6.01,6.33,-21.36,-21.36,-6.82
27.77,-27.20,-20.42,-27.20,-20.42,6.00,6.02,6.45,-21.20,-21.20,-6.78
28.05,-27.05,-20.30,-27.05,-20.31,6.00,6.02,6.57,-21.05,-21.05,-6.75
28.33,-26.90,-20.19,-26.90,-20.19,6.00,6.03,6.68,-20.90,-20.90,-6.71
28.62,-26.75,-20.08,-26.75,-20.08,6.00,6.04,6.79,-20.75,-20.75,-6.67
28.90,-26.59,-19.96,-26.59,-19.96,6.00,6.05,6.89,-20.59,-20.59,-6.63
29.19,-26.44,-19.84,-26.44,-19.85,6.00,6.05,6.98,-20.44,-20.44,-6.60
29.48,-26.29,-19.73,-26.28,-19.73,6.00,6.06,7.07,-20.29,-20.28,-6.56
29.78,-26.13,-19.61,-26.13,-19.61,6.00,6.07,7.15,-20.13,-20.13,-6.52
30.08,-25.98,-19.49,-25.98,-19.50,6.00,6.07,7.22,-19.98,-19.98,-6.49
30.38,-25.84,-19.39,-25.84,-19.39,6.00,6.08,7.28,-19.84,-19.84,-6.45
30.68,-25.70,-19.28,-25.70,-19.29,6.00,6.09,7.33,-19.70,-19.70,-6.42
30.99,-25.56,-19.18,-25.56,-19.18,6.00,6.09,7.36,-19.56,-19.56,-6.38
31.30,-25.41,-19.06,-25.41,-19.06,6.00,6.10,7.39,-19.41,-19.41,-6.35
31.61,-25.26,-18.94,-25.26,-18.95,6.00,6.10,7.41,-19.26,-19.26,-6.32
31.93,-25.11,-18.82,-25.11,-18.83,6.00,6.11,7.42,-19.11,-19.11,-6.29
32.24,-24.97,-18.71,-24.97,-18.71,6.00,6.12,7.42,-18.97,-18.97,-6.26
32.57,-24.82,-18.59,-24.82,-18.59,6.00,6.12,7.41,-18.82,-18.82,-6.23
32.89,-24.67,-18.47,-24.67,-18.47,6.00,6.13,7.39,-18.67,-18.67,-6.20
33.22,-24.52,-18.34,-24.52,-18.35,6.00,6.13,7.36,-18.52,-18.52,-6.18
33.55,-24.37,-18.22,-24.37,-18.22,6.00,6.14,7.32,-18.37,-18.37,-6.15
33.89,-24.23,-18.10,-24.23,-18.10,6.00,6.14,7.28,-18.23,-18.23,-6.13
34.23,-24.08,-17.97,-24.08,-17.98,6.00,6.15,7.23,-18.08,-18.08,-6.11
34.57,-23.94,-17.86,-23.94,-17.86,6.00,6.15,7.17,-17.94,-17.94,-6.08
34.92,-23.79,-17.73,-23.79,-17.74,6.00,6.16,7.11,-17.79,-17.79,-6.06
