frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,0.29,2.05,0.29,2.05,-2.05,-1.77,-1.01,-1.76,-1.76,-1.76
20.20,0.35,2.05,0.35,2.05,-2.05,-1.81,-1.04,-1.70,-1.70,-1.70
20.40,0.40,2.05,0.40,2.05,-2.05,-1.85,-1.07,-1.65,-1.65,-1.65
20.61,0.46,2.05,0.46,2.05,-2.05,-1.89,-1.10,-1.60,-1.59,-1.59
20.81,0.52,2.06,0.52,2.06,-2.06,-1.93,-1.13,-1.54,-1.54,-1.54
21.02,0.58,2.06,0.58,2.06,-2.06,-1.97,-1.16,-1.48,-1.48,-1.48
21.23,0.63,2.06,0.63,2.06,-2.07,-2.01,-1.20,-1.44,-1.43,-1.43
21.44,0.69,2.07,0.69,2.07,-2.07,-2.05,-1.23,-1.38,-1.38,-1.38
21.66,0.75,2.08,0.75,2.08,-2.08,-2.09,-1.27,-1.33,-1.33,-1.33
21.87,0.81,2.09,0.81,2.09,-2.09,-2.12,-1.31,-1.28,-1.28,-1.28
22.09,0.86,2.09,0.86,2.10,-2.10,-2.16,-1.34,-1.24,-1.23,-1.23
22.31,0.92,2.10,0.92,2.10,-2.11,-2.20,-1.38,-1.18,-1.19,-1.18
22.54,0.98,2.12,0.98,2.11,-2.12,-2.24,-1.42,-1.14,-1.14,-1.14
22.76,1.03,2.12,1.03,2.13,-2.13,-2.27,-1.47,-1.09,-1.09,-1.09
22.99,1.09,2.14,1.09,2.14,-2.13,-2.30,-1.51,-1.04,-1.05,-1.05
23.22,1.14,2.14,1.14,2.15,-2.14,-2.34,-1.55,-1.00,-1.00,-1.00
23.45,1.20,2.16,1.20,2.16,-2.15,-2.37,-1.60,-0.95,-0.96,-0.96
23.69,1.25,2.16,1.25,2.16,-2.16,-2.40,-1.64,-0.91,-0.91,-0.91
23.92,1.30,2.17,1.30,2.17,-2.17,-2.43,-1.69,-0.87,-0.87,-0.87
24.16,1.35,2.17,1.35,2.18,-2.18,-2.45,-1.73,-0.83,-0.83,-0.82
24.40,1.41,2.19,1.41,2.19,-2.19,-2.48,-1.78,-0.78,-0.78,-0.78
24.65,1.46,2.20,1.46,2.20,-2.20,-2.50,-1.83,-0.74,-0.74,-0.74
24.89,1.51,2.21,1.51,2.21,-2.21,-2.52,-1.88,-0.70,-0.70,-0.70
25.14,1.56,2.22,1.56,2.22,-2.22,-2.54,-1.92,-0.66,-0.66,-0.66
25.39,1.61,2.23,1.61,2.23,-2.23,-2.56,-1.97,-0.62,-0.62,-0.62
25.65,1.66,2.24,1.66,2.24,-2.24,-2.57,-2.02,-0.58,-0.58,-0.58
25.91,1.71,2.25,1.71,2.25,-2.25,-2.58,-2.07,-0.54,-0.54,-0.54
26.16,1.76,2.26,1.76,2.26,-2.26,-2.59,-2.12,-0.50,-0.50,-0.50
26.43,1.80,2.27,1.80,2.27,-2.27,-2.59,-2.16,-0.47,-0.47,-0.47
26.69,1.85,2.28,1.85,2.28,-2.28,-2.59,-2.21,-0.43,-0.43,-0.43
26.96,1.89,2.28,1.89,2.29,-2.29,-2.59,-2.26,-0.40,-0.40,-0.39
27.23,1.94,2.30,1.94,2.29,-2.30,-2.59,-2.30,-0.36,-0.36,-0.36
27.50,1.98,2.30,1.98,2.30,-2.30,-2.59,-2.34,-0.32,-0.32,-0.32
27.77,2.02,2.30,2.02,2.31,-2.31,-2.58,-2.38,-0.29,-0.28,-0.28
28.05,2.07,2.32,2.07,2.31,-2.31,-2.57,-2.42,-0.24,-0.25,-0.25
28.33,2.11,2.32,2.11,2.32,-2.32,-2.55,-2.46,-0.21,-0.21,-0.21
28.62,2.15,2.32,2.15,2.32,-2.32,-2.54,-2.49,-0.17,-0.17,-0.17
