frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.44,10.03,8.44,10.02,-10.02,-7.61,-4.15,-1.58,-1.58,-1.58
20.20,8.46,9.99,8.47,9.99,-9.99,-7.61,-4.27,-1.53,-1.52,-1.52
20.40,8.49,9.96,8.49,9.96,-9.96,-7.61,-4.38,-1.47,-1.47,-1.47
20.61,8.51,9.93,8.51,9.93,-9.92,-7.61,-4.50,-1.41,-1.41,-1.41
20.81,8.53,9.90,8.53,9.89,-9.89,-7.61,-4.62,-1.36,-1.36,-1.36
21.02,8.55,9.86,8.56,9.86,-9.86,-7.61,-4.74,-1.31,-1.30,-1.30
21.23,8.57,9.83,8.57,9.83,-9.83,-7.61,-4.87,-1.25,-1.25,-1.25
21.44,8.60,9.80,8.59,9.80,-9.80,-7.60,-5.00,-1.20,-1.20,-1.20
21.66,8.61,9.77,8.62,9.77,-9.77,-7.60,-5.13,-1.15,-1.15,-1.15
21.87,8.64,9.74,8.63,9.73,-9.73,-7.60,-5.27,-1.10,-1.10,-1.10
22.09,8.65,9.71,8.65,9.70,-9.70,-7.60,-5.41,-1.05,-1.05,-1.05
22.31,8.67,9.67,8.67,9.67,-9.67,-7.60,-5.56,-1.01,-1.01,-1.00
22.54,8.68,9.65,8.68,9.64,-9.64,-7.60,-5.71,-0.96,-0.96,-0.96
22.76,8.69,9.61,8.70,9.61,-9.61,-7.59,-5.86,-0.92,-0.92,-0.91
22.99,8.71,9.59,8.71,9.58,-9.58,-7.59,-6.02,-0.87,-0.87,-0.87
23.22,8.73,9.56,8.73,9.56,-9.55,-7.59,-6.18,-0.82,-0.82,-0.82
23.45,8.74,9.53,8.75,9.53,-9.53,-7.59,-6.35,-0.78,-0.78,-0.78
23.69,8.76,9.50,8.76,9.50,-9.50,-7.59,-6.52,-0.73,-0.73,-0.73
23.92,8.78,9.47,8.78,9.47,-9.47,-7.58,-6.69,-0.69,-0.69,-0.69
24.16,8.79,9.44,8.79,9.44,-9.44,-7.58,-6.87,-0.64,-0.64,-0.64
24.40,8.80,9.41,8.80,9.41,-9.41,-7.58,-7.04,-0.60,-0.60,-0.60
24.65,8.81,9.38,8.82,9.38,-9.38,-7.58,-7.23,-0.56,-0.56,-0.56
24.89,8.82,9.35,8.82,9.35,-9.35,-7.57,-7.41,-0.52,-0.52,-0.52
