frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-9.18,-7.03,-9.18,-7.03,6.00,7.05,2.42,-3.18,-3.18,-2.15
20.20,-9.09,-7.00,-9.08,-6.99,6.00,7.00,2.49,-3.09,-3.08,-2.09
20.40,-9.00,-6.96,-8.99,-6.96,6.00,6.95,2.56,-3.00,-2.99,-2.04
20.61,-8.90,-6.92,-8.90,-6.92,6.00,6.90,2.63,-2.90,-2.90,-1.98
20.81,-8.81,-6.88,-8.81,-6.88,6.00,6.85,2.71,-2.81,-2.81,-1.93
21.02,-8.72,-6.85,-8.71,-6.84,6.00,6.80,2.79,-2.72,-2.71,-1.87
21.23,-8.63,-6.81,-8.62,-6.80,6.00,6.74,2.87,-2.63,-2.62,-1.82
21.44,-8.52,-6.76,-8.53,-6.76,6.00,6.69,2.95,-2.52,-2.53,-1.77
21.66,-8.44,-6.72,-8.43,-6.71,6.00,6.64,3.04,-2.44,-2.43,-1.72
21.87,-8.33,-6.67,-8.34,-6.67,6.00,6.59,3.13,-2.33,-2.34,-1.67
22.09,-8.25,-6.63,-8.25,-6.63,6.00,6.53,3.22,-2.25,-2.25,-1.62
22.31,-8.15,-6.59,-8.15,-6.58,6.00,6.48,3.31,-2.15,-2.15,-1.57
22.54,-8.06,-6.53,-8.06,-6.53,6.00,6.43,3.40,-2.06,-2.06,-1.53
22.76,-7.97,-6.49,-7.96,-6.48,6.00,6.37,3.50,-1.97,-1.96,-1.48
22.99,-7.87,-6.43,-7.87,-6.43,6.00,6.32,3.60,-1.87,-1.87,-1.44
23.22,-7.78,-6.39,-7.78,-6.38,6.00,6.26,3.71,-1.78,-1.78,-1.39
23.45,-7.69,-6.34,-7.68,-6.33,6.00,6.21,3.81,-1.68,-1.68,-1.35
23.69,-7.59,-6.29,-7.59,-6.29,6.01,6.15,3.92,-1.58,-1.59,-1.30
23.92,-7.49,-6.24,-7.50,-6.24,6.01,6.10,4.03,-1.49,-1.49,-1.26
24.16,-7.41,-6.20,-7.40,-6.19,6.01,6.04,4.14,-1.39,-1.39,-1.21
24.40,-7.30,-6.14,-7.31,-6.14,6.01,5.99,4.25,-1.30,-1.30,-1.17
24.65,-7.22,-6.09,-7.22,-6.09,6.00,5.93,4.37,-1.22,-1.22,-1.13
24.89,-7.12,-6.04,-7.12,-6.03,5.98,5.88,4.48,-1.15,-1.14,-1.09
25.14,-7.03,-5.99,-7.03,-5.98,5.95,5.82,4.60,-1.08,-1.08,-1.05
