frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-19.18,-15.99,-19.18,-15.99,6.00,6.03,3.25,-13.18,-13.18,-3.19
20.20,-19.03,-15.90,-19.03,-15.90,6.00,6.04,3.34,-13.03,-13.03,-3.13
20.40,-18.87,-15.79,-18.87,-15.80,6.00,6.05,3.43,-12.87,-12.87,-3.08
20.61,-18.72,-15.70,-18.72,-15.70,6.00,6.06,3.53,-12.72,-12.72,-3.02
20.81,-18.56,-15.59,-18.56,-15.60,6.00,6.07,3.63,-12.56,-12.56,-2.97
21.02,-18.40,-15.49,-18.40,-15.49,6.00,6.08,3.73,-12.40,-12.40,-2.91
21.23,-18.25,-15.39,-18.25,-15.39,6.00,6.09,3.84,-12.25,-12.25,-2.86
21.44,-18.09,-15.28,-18.09,-15.28,6.00,6.10,3.95,-12.09,-12.09,-2.81
21.66,-17.93,-15.17,-17.93,-15.17,6.00,6.11,4.06,-11.93,-11.93,-2.76
21.87,-17.77,-15.06,-17.77,-15.06,6.00,6.12,4.17,-11.77,-11.77,-2.71
22.09,-17.61,-14.95,-17.61,-14.95,6.00,6.13,4.29,-11.61,-11.61,-2.66
22.31,-17.45,-14.84,-17.45,-14.84,6.00,6.13,4.41,-11.45,-11.45,-2.61
22.54,-17.29,-14.72,-17.29,-14.73,6.00,6.14,4.53,-11.29,-11.29,-2.57
22.76,-17.13,-14.61,-17.13,-14.61,6.00,6.14,4.66,-11.13,-11.13,-2.52
22.99,-16.97,-14.49,-16.97,-14.49,6.00,6.15,4.79,-10.97,-10.97,-2.48
23.22,-16.80,-14.37,-16.80,-14.37,6.00,6.15,4.92,-10.80,-10.80,-2.43
23.45,-16.64,-14.25,-16.64,-14.25,6.00,6.15,5.06,-10.64,-10.64,-2.39
23.69,-16.47,-14.13,-16.47,-14.13,6.00,6.15,5.20,-10.47,-10.47,-2.34
23.92,-16.30,-14.00,-16.30,-14.01,6.00,6.16,5.34,-10.30,-10.30,-2.30
24.16,-16.14,-13.89,-16.14,-13.89,6.00,6.16,5.49,-10.14,-10.14,-2.25
24.40,-15.97,-13.76,-15.97,-13.76,6.00,6.16,5.63,-9.97,-9.97,-2.21
24.65,-15.80,-13.63,-15.80,-13.63,6.00,6.16,5.79,-9.80,-9.80,-2.17
24.89,-15.63,-13.50,-15.63,-13.50,6.00,6.15,5.94,-9.63,-9.63,-2.13
25.14,-15.46,-13.37,-15.46,-13.37,6.00,6.15,6.09,-9.46,-9.46,-2.09
25.39,-15.29,-13.24,-15.29,-13.24,6.00,6.15,6.25,-9.29,-9.29,-2.05
25.65,-15.12,-13.11,-15.12,-13.11,6.00,6.15,6.41,-9.12,-9.12,-2.01
25.91,-14.95,-12.98,-14.95,-12.98,6.00,6.14,6.56,-8.95,-8.95,-1.97
26.16,-14.78,-12.85,-14.78,-12.85,6.00,6.14,6.72,-8.78,-8.78,-1.93
26.43,-14.61,-12.71,-14.61,-12.71,6.00,6.13,6.88,-8.61,-8.61,-1.90
26.69,-14.43,-12.57,-14.43,-12.58,6.00,6.13,7.04,-8.43,-8.43,-1.86
26.96,-14.26,-12.44,-14.26,-12.44,6.00,6.12,7.19,-8.26,-8.26,-1.82
27.23,-14.08,-12.29,-14.08,-12.30,6.00,6.12,7.34,-8.08,-8.08,-1.79
27.50,-13.91,-12.16,-13.91,-12.16,6.00,6.11,7.49,-7.91,-7.91,-1.75
27.77,-13.73,-12.02,-13.73,-12.02,6.00,6.11,7.63,-7.73,-7.73,-1.71
28.05,-13.56,-11.88,-13.56,-11.88,6.00,6.10,7.76,-7.56,-7.56,-1.68
28.33,-13.38,-11.74,-13.38,-11.75,6.00,6.09,7.89,-7.38,-7.38,-1.64
28.62,-13.21,-11.61,-13.21,-11.61,6.00,6.09,8.01,-7.21,-7.21,-1.60
28.90,-13.03,-11.47,-13.03,-11.47,6.00,6.08,8.12,-7.03,-7.03,-1.56
