frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.96,-6.02,-6.95,-6.02,6.01,5.73,1.23,-0.94,-0.94,-0.94
20.20,-6.82,-5.94,-6.82,-5.94,5.93,5.71,1.27,-0.88,-0.88,-0.88
20.40,-6.67,-5.85,-6.68,-5.85,5.85,5.68,1.31,-0.82,-0.83,-0.83
20.61,-6.54,-5.77,-6.54,-5.77,5.77,5.64,1.35,-0.77,-0.77,-0.77
20.81,-6.40,-5.69,-6.40,-5.69,5.69,5.60,1.39,-0.72,-0.72,-0.72
21.02,-6.26,-5.61,-6.26,-5.61,5.60,5.55,1.43,-0.66,-0.66,-0.66
21.23,-6.12,-5.52,-6.13,-5.52,5.52,5.50,1.48,-0.61,-0.61,-0.61
21.44,-5.98,-5.43,-5.98,-5.43,5.43,5.45,1.52,-0.55,-0.55,-0.56
21.66,-5.85,-5.34,-5.84,-5.34,5.34,5.39,1.57,-0.51,-0.50,-0.51
21.87,-5.70,-5.25,-5.70,-5.25,5.25,5.32,1.62,-0.45,-0.45,-0.46
22.09,-5.56,-5.16,-5.57,-5.16,5.16,5.25,1.67,-0.40,-0.41,-0.41
22.31,-5.43,-5.08,-5.43,-5.07,5.07,5.18,1.72,-0.36,-0.36,-0.36
22.54,-5.30,-4.98,-5.29,-4.98,4.98,5.11,1.77,-0.32,-0.31,-0.32
22.76,-5.15,-4.89,-5.16,-4.89,4.89,5.03,1.82,-0.26,-0.27,-0.27
22.99,-5.03,-4.80,-5.02,-4.80,4.80,4.95,1.88,-0.23,-0.22,-0.23
23.22,-4.89,-4.71,-4.88,-4.71,4.71,4.86,1.93,-0.18,-0.18,-0.18
23.45,-4.74,-4.61,-4.75,-4.61,4.61,4.78,1.99,-0.13,-0.13,-0.14
23.69,-4.61,-4.52,-4.61,-4.52,4.52,4.69,2.05,-0.09,-0.09,-0.09
23.92,-4.46,-4.42,-4.47,-4.42,4.43,4.60,2.11,-0.04,-0.04,-0.05
24.16,-4.33,-4.34,-4.33,-4.33,4.33,4.51,2.17,-0.00,0.00,0.00
24.40,-4.19,-4.24,-4.19,-4.24,4.24,4.42,2.23,0.04,0.04,0.04
24.65,-4.06,-4.14,-4.06,-4.14,4.14,4.32,2.29,0.08,0.08,0.08
24.89,-3.92,-4.05,-3.92,-4.04,4.05,4.23,2.35,0.12,0.13,0.12
25.14,-3.78,-3.95,-3.78,-3.95,3.95,4.14,2.41,0.17,0.17,0.16
25.39,-3.64,-3.85,-3.65,-3.85,3.85,4.04,2.47,0.21,0.21,0.20
25.65,-3.52,-3.76,-3.51,-3.76,3.76,3.95,2.54,0.24,0.24,0.24
25.91,-3.38,-3.66,-3.38,-3.66,3.66,3.85,2.60,0.28,0.28,0.28
26.16,-3.24,-3.57,-3.24,-3.56,3.56,3.76,2.66,0.32,0.32,0.32
26.43,-3.11,-3.46,-3.11,-3.47,3.47,3.66,2.72,0.36,0.36,0.35
26.69,-2.98,-3.37,-2.98,-3.37,3.37,3.57,2.78,0.40,0.40,0.39
26.96,-2.85,-3.28,-2.85,-3.28,3.28,3.48,2.83,0.43,0.43,0.43
27.23,-2.72,-3.18,-2.72,-3.18,3.18,3.38,2.89,0.46,0.47,0.46
27.50,-2.59,-3.09,-2.59,-3.09,3.09,3.29,2.94,0.50,0.50,0.50
27.77,-2.45,-3.00,-2.45,-2.99,3.00,3.20,2.99,0.54,0.54,0.54
28.05,-2.32,-2.90,-2.32,-2.90,2.90,3.11,3.04,0.58,0.58,0.57
28.33,-2.19,-2.81,-2.20,-2.81,2.81,3.01,3.08,0.62,0.62,0.61
28.62,-2.08,-2.73,-2.07,-2.72,2.72,2.92,3.12,0.65,0.65,0.65
28.90,-1.94,-2.64,-1.95,-2.64,2.64,2.84,3.16,0.69,0.69,0.69
29.19,-1.82,-2.55,-1.82,-2.55,2.55,2.75,3.19,0.72,0.72,0.72
29.48,-1.70,-2.47,-1.70,-2.46,2.46,2.66,3.21,0.76,0.76,0.76
29.78,-1.58,-2.38,-1.58,-2.38,2.38,2.57,3.23,0.81,0.80,0.80
30.08,-1.46,-2.29,-1.46,-2.30,2.30,2.49,3.24,0.84,0.84,0.83
30.38,-1.35,-2.22,-1.34,-2.22,2.22,2.40,3.25,0.88,0.88,0.87
30.68,-1.24,-2.14,-1.24,-2.14,2.14,2.32,3.25,0.91,0.91,0.90
30.99,-1.13,-2.07,-1.13,-2.07,2.07,2.24,3.24,0.94,0.94,0.94
