frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,0.75,3.97,0.76,3.98,-3.98,-4.78,-2.35,-3.22,-3.22,-3.22
20.20,0.78,4.03,0.78,4.03,-4.03,-4.79,-2.42,-3.24,-3.24,-3.25
20.40,0.81,4.08,0.81,4.08,-4.08,-4.80,-2.49,-3.26,-3.27,-3.27
20.61,0.84,4.13,0.84,4.13,-4.13,-4.81,-2.56,-3.29,-3.29,-3.29
20.81,0.86,4.17,0.87,4.18,-4.18,-4.82,-2.63,-3.31,-3.31,-3.31
21.02,0.89,4.22,0.90,4.22,-4.23,-4.83,-2.71,-3.33,-3.33,-3.33
21.23,0.92,4.27,0.92,4.27,-4.28,-4.84,-2.78,-3.35,-3.35,-3.35
21.44,0.96,4.32,0.95,4.32,-4.32,-4.85,-2.86,-3.37,-3.37,-3.37
21.66,0.98,4.37,0.98,4.37,-4.37,-4.86,-2.94,-3.39,-3.38,-3.39
21.87,1.02,4.41,1.01,4.42,-4.41,-4.87,-3.03,-3.40,-3.40,-3.40
22.09,1.04,4.46,1.04,4.46,-4.46,-4.88,-3.11,-3.41,-3.41,-3.42
22.31,1.08,4.50,1.07,4.50,-4.50,-4.90,-3.20,-3.43,-3.43,-3.43
22.54,1.10,4.54,1.10,4.54,-4.54,-4.91,-3.29,-3.44,-3.44,-3.44
22.76,1.13,4.58,1.14,4.58,-4.58,-4.92,-3.39,-3.45,-3.45,-3.45
22.99,1.16,4.62,1.16,4.62,-4.62,-4.93,-3.48,-3.46,-3.46,-3.46
23.22,1.19,4.66,1.19,4.66,-4.66,-4.94,-3.58,-3.46,-3.47,-3.47
23.45,1.21,4.69,1.22,4.70,-4.70,-4.96,-3.68,-3.48,-3.48,-3.48
23.69,1.24,4.73,1.25,4.73,-4.73,-4.97,-3.78,-3.49,-3.49,-3.49
23.92,1.28,4.76,1.27,4.77,-4.77,-4.98,-3.89,-3.49,-3.49,-3.49
24.16,1.30,4.80,1.30,4.80,-4.80,-5.00,-3.99,-3.50,-3.50,-3.50
24.40,1.34,4.83,1.33,4.84,-4.84,-5.01,-4.10,-3.50,-3.50,-3.50
24.65,1.36,4.87,1.37,4.87,-4.87,-5.02,-4.21,-3.51,-3.51,-3.51
24.89,1.40,4.90,1.39,4.91,-4.91,-5.04,-4.32,-3.51,-3.51,-3.51
25.14,1.42,4.94,1.42,4.94,-4.94,-5.05,-4.43,-3.51,-3.52,-3.52
25.39,1.45,4.97,1.45,4.97,-4.97,-5.07,-4.54,-3.53,-3.52,-3.53
25.65,1.47,5.00,1.48,5.01,-5.01,-5.08,-4.66,-3.53,-3.53,-3.53
25.91,1.50,5.04,1.50,5.04,-5.04,-5.10,-4.77,-3.53,-3.53,-3.54
26.16,1.53,5.07,1.53,5.07,-5.07,-5.11,-4.88,-3.53,-3.54,-3.54
26.43,1.55,5.09,1.56,5.10,-5.10,-5.13,-5.00,-3.55,-3.54,-3.54
26.69,1.58,5.13,1.58,5.13,-5.13,-5.14,-5.11,-3.55,-3.55,-3.55
26.96,1.61,5.16,1.61,5.16,-5.16,-5.16,-5.22,-3.55,-3.55,-3.55
27.23,1.63,5.19,1.64,5.19,-5.19,-5.18,-5.33,-3.56,-3.55,-3.56
27.50,1.66,5.22,1.66,5.22,-5.22,-5.19,-5.44,-3.56,-3.56,-3.56
27.77,1.69,5.25,1.69,5.25,-5.25,-5.21,-5.54,-3.56,-3.56,-3.56
28.05,1.71,5.28,1.72,5.28,-5.28,-5.23,-5.65,-3.57,-3.57,-3.57
28.33,1.74,5.31,1.74,5.31,-5.31,-5.25,-5.74,-3.57,-3.57,-3.57
28.62,1.77,5.34,1.77,5.34,-5.34,-5.27,-5.84,-3.57,-3.57,-3.57
28.90,1.79,5.37,1.80,5.37,-5.37,-5.28,-5.92,-3.58,-3.57,-3.58
29.19,1.82,5.40,1.82,5.40,-5.40,-5.30,-6.01,-3.57,-3.58,-3.58
29.48,1.84,5.42,1.84,5.42,-5.42,-5.32,-6.08,-3.58,-3.58,-3.58
29.78,1.86,5.44,1.87,5.45,-5.45,-5.34,-6.15,-3.58,-3.58,-3.58
30.08,1.89,5.47,1.89,5.47,-5.47,-5.36,-6.21,-3.58,-3.58,-3.58
30.38,1.91,5.50,1.91,5.50,-5.50,-5.38,-6.27,-3.58,-3.58,-3.59
30.68,1.93,5.52,1.94,5.52,-5.52,-5.41,-6.31,-3.59,-3.59,-3.59
30.99,1.95,5.54,1.95,5.54,-5.54,-5.43,-6.35,-3.59,-3.59,-3.59
31.30,1.97,5.56,1.97,5.57,-5.57,-5.45,-6.38,-3.59,-3.59,-3.59
31.61,1.99,5.59,1.99,5.59,-5.59,-5.47,-6.41,-3.60,-3.60,-3.60
31.93,2.01,5.61,2.01,5.61,-5.61,-5.49,-6.42,-3.60,-3.60,-3.60
32.24,2.03,5.63,2.03,5.64,-5.64,-5.52,-6.43,-3.60,-3.60,-3.60
32.57,2.05,5.66,2.06,5.66,-5.66,-5.54,-6.43,-3.60,-3.60,-3.61
32.89,2.07,5.68,2.07,5.68,-5.68,-5.56,-6.42,-3.61,-3.61,-3.61
33.22,2.09,5.70,2.09,5.71,-5.70,-5.59,-6.40,-3.61,-3.61,-3.61
33.55,2.10,5.72,2.11,5.72,-5.72,-5.61,-6.39,-3.62,-3.62,-3.62
33.89,2.12,5.74,2.12,5.74,-5.74,-5.63,-6.36,-3.62,-3.62,-3.62
34.23,2.13,5.75,2.14,5.76,-5.76,-5.66,-6.33,-3.63,-3.62,-3.62
34.57,2.15,5.78,2.16,5.78,-5.78,-5.68,-6.29,-3.63,-3.63,-3.63
34.92,2.17,5.80,2.17,5.80,-5.80,-5.71,-6.25,-3.62,-3.63,-3.63
35.27,2.18,5.81,2.19,5.82,-5.82,-5.73,-6.21,-3.63,-3.63,-3.63
35.62,2.19,5.83,2.20,5.83,-5.83,-5.75,-6.17,-3.64,-3.63,-3.64
35.97,2.21,5.85,2.21,5.85,-5.85,-5.78,-6.12,-3.63,-3.64,-3.64
36.33,2.22,5.86,2.22,5.86,-5.86,-5.80,-6.07,-3.64,-3.64,-3.64
36.70,2.23,5.87,2.24,5.87,-5.88,-5.83,-6.02,-3.64,-3.64,-3.64
37.06,2.24,5.88,2.25,5.89,-5.89,-5.85,-5.97,-3.64,-3.64,-3.64
37.43,2.25,5.90,2.25,5.90,-5.90,-5.87,-5.92,-3.64,-3.64,-3.65
37.81,2.26,5.91,2.26,5.91,-5.91,-5.89,-5.88,-3.64,-3.65,-3.65
