frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.95,1.84,2.95,1.84,-1.84,-2.58,-1.75,1.11,1.11,1.11
20.20,3.02,1.94,3.02,1.93,-1.93,-2.61,-1.81,1.09,1.09,1.08
20.40,3.09,2.03,3.09,2.03,-2.03,-2.65,-1.86,1.06,1.06,1.06
20.61,3.16,2.12,3.16,2.12,-2.12,-2.69,-1.92,1.04,1.04,1.04
20.81,3.23,2.21,3.23,2.21,-2.21,-2.72,-1.97,1.02,1.02,1.02
21.02,3.29,2.29,3.29,2.29,-2.29,-2.76,-2.03,0.99,1.00,1.00
21.23,3.36,2.38,3.36,2.38,-2.38,-2.80,-2.09,0.98,0.98,0.98
21.44,3.42,2.46,3.42,2.46,-2.46,-2.84,-2.16,0.96,0.96,0.96
21.66,3.48,2.54,3.48,2.54,-2.54,-2.87,-2.22,0.94,0.94,0.94
21.87,3.54,2.61,3.54,2.61,-2.61,-2.91,-2.29,0.93,0.93,0.93
22.09,3.60,2.69,3.60,2.69,-2.68,-2.95,-2.36,0.92,0.92,0.91
22.31,3.66,2.76,3.66,2.76,-2.75,-2.99,-2.43,0.91,0.91,0.90
22.54,3.71,2.82,3.71,2.82,-2.82,-3.03,-2.50,0.89,0.89,0.89
22.76,3.76,2.88,3.76,2.88,-2.88,-3.07,-2.57,0.88,0.88,0.88
22.99,3.81,2.94,3.81,2.94,-2.94,-3.11,-2.65,0.86,0.87,0.87
23.22,3.87,3.01,3.87,3.01,-3.01,-3.15,-2.72,0.86,0.86,0.86
23.45,3.92,3.07,3.92,3.07,-3.06,-3.19,-2.80,0.85,0.85,0.85
23.69,3.97,3.13,3.97,3.13,-3.12,-3.23,-2.88,0.84,0.85,0.84
23.92,4.02,3.18,4.02,3.18,-3.18,-3.27,-2.97,0.84,0.84,0.84
24.16,4.07,3.24,4.07,3.24,-3.24,-3.31,-3.05,0.83,0.83,0.83
24.40,4.13,3.30,4.13,3.30,-3.30,-3.35,-3.14,0.83,0.83,0.83
24.65,4.18,3.36,4.18,3.35,-3.35,-3.39,-3.22,0.83,0.82,0.82
24.89,4.23,3.41,4.23,3.41,-3.41,-3.43,-3.31,0.82,0.82,0.82
25.14,4.28,3.47,4.28,3.47,-3.47,-3.47,-3.40,0.81,0.81,0.81
25.39,4.34,3.53,4.34,3.53,-3.53,-3.52,-3.49,0.81,0.80,0.81
25.65,4.39,3.59,4.39,3.59,-3.60,-3.56,-3.58,0.79,0.80,0.80
25.91,4.45,3.65,4.45,3.65,-3.66,-3.60,-3.67,0.79,0.79,0.80
26.16,4.51,3.72,4.51,3.72,-3.72,-3.64,-3.77,0.79,0.79,0.79
26.43,4.58,3.79,4.58,3.79,-3.78,-3.68,-3.86,0.80,0.80,0.79
26.69,4.64,3.86,4.64,3.85,-3.84,-3.73,-3.95,0.80,0.80,0.78
26.96,4.69,3.91,4.69,3.90,-3.90,-3.77,-4.04,0.79,0.79,0.78
27.23,4.73,3.95,4.73,3.95,-3.96,-3.81,-4.13,0.77,0.77,0.78
27.50,4.77,4.00,4.77,4.00,-4.01,-3.85,-4.22,0.76,0.76,0.77
27.77,4.82,4.05,4.82,4.05,-4.06,-3.90,-4.30,0.76,0.76,0.77
28.05,4.88,4.12,4.88,4.11,-4.11,-3.94,-4.39,0.77,0.76,0.76
28.33,4.93,4.17,4.93,4.17,-4.16,-3.98,-4.47,0.77,0.77,0.76
28.62,4.98,4.22,4.98,4.22,-4.21,-4.03,-4.55,0.77,0.77,0.76
28.90,5.02,4.27,5.01,4.26,-4.25,-4.07,-4.62,0.77,0.76,0.75
29.19,5.04,4.29,5.05,4.29,-4.30,-4.11,-4.70,0.74,0.75,0.75
29.48,5.08,4.33,5.08,4.33,-4.34,-4.16,-4.76,0.74,0.74,0.75
29.78,5.13,4.38,5.13,4.37,-4.39,-4.20,-4.83,0.74,0.74,0.75
30.08,5.18,4.43,5.18,4.42,-4.43,-4.24,-4.89,0.75,0.75,0.75
30.38,5.22,4.47,5.22,4.47,-4.47,-4.29,-4.94,0.75,0.75,0.75
30.68,5.27,4.53,5.27,4.52,-4.52,-4.33,-4.99,0.75,0.75,0.74
30.99,5.31,4.57,5.31,4.57,-4.57,-4.37,-5.03,0.74,0.75,0.74
31.30,5.36,4.62,5.36,4.62,-4.61,-4.42,-5.07,0.75,0.74,0.74
31.61,5.40,4.66,5.40,4.66,-4.66,-4.46,-5.10,0.74,0.74,0.74
31.93,5.43,4.70,5.43,4.70,-4.70,-4.50,-5.13,0.73,0.73,0.73
32.24,5.47,4.74,5.47,4.74,-4.74,-4.55,-5.15,0.73,0.73,0.73
32.57,5.51,4.79,5.51,4.78,-4.78,-4.59,-5.17,0.73,0.72,0.72
32.89,5.55,4.83,5.55,4.82,-4.83,-4.63,-5.18,0.72,0.72,0.72
33.22,5.58,4.86,5.58,4.86,-4.87,-4.67,-5.19,0.71,0.72,0.72
33.55,5.62,4.90,5.62,4.90,-4.91,-4.72,-5.20,0.71,0.71,0.72
33.89,5.66,4.95,5.66,4.95,-4.95,-4.76,-5.20,0.71,0.71,0.71
34.23,5.70,4.99,5.70,4.99,-4.98,-4.80,-5.19,0.72,0.72,0.71
34.57,5.74,5.04,5.74,5.03,-5.02,-4.85,-5.19,0.72,0.72,0.70
34.92,5.77,5.07,5.77,5.06,-5.05,-4.89,-5.18,0.72,0.71,0.70
