frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-7.90,-7.00,-7.90,-6.99,5.97,5.91,1.90,-1.92,-1.92,-0.90
20.20,-7.84,-6.91,-7.84,-6.91,5.99,5.93,1.96,-1.85,-1.85,-0.93
20.40,-7.78,-6.83,-7.78,-6.83,6.00,5.95,2.01,-1.77,-1.78,-0.95
20.61,-7.72,-6.75,-7.72,-6.74,6.01,5.96,2.07,-1.71,-1.71,-0.97
20.81,-7.66,-6.66,-7.66,-6.66,6.02,5.97,2.13,-1.64,-1.64,-0.99
21.02,-7.59,-6.58,-7.59,-6.58,6.02,5.98,2.19,-1.57,-1.57,-1.01
21.23,-7.53,-6.50,-7.53,-6.49,6.02,5.98,2.26,-1.51,-1.51,-1.03
21.44,-7.46,-6.40,-7.46,-6.41,6.01,5.97,2.32,-1.44,-1.45,-1.05
21.66,-7.40,-6.33,-7.40,-6.33,6.02,5.96,2.39,-1.38,-1.38,-1.07
21.87,-7.33,-6.24,-7.33,-6.24,6.01,5.95,2.46,-1.32,-1.32,-1.08
22.09,-7.26,-6.15,-7.26,-6.16,6.00,5.93,2.53,-1.26,-1.26,-1.10
22.31,-7.19,-6.07,-7.18,-6.07,5.97,5.91,2.60,-1.22,-1.21,-1.11
22.54,-7.11,-5.99,-7.11,-5.99,5.93,5.88,2.68,-1.18,-1.18,-1.12
22.76,-7.03,-5.90,-7.03,-5.90,5.88,5.85,2.76,-1.15,-1.15,-1.13
22.99,-6.96,-5.82,-6.96,-5.81,5.82,5.81,2.84,-1.14,-1.14,-1.14
23.22,-6.88,-5.73,-6.88,-5.73,5.75,5.78,2.92,-1.13,-1.14,-1.15
23.45,-6.81,-5.65,-6.81,-5.65,5.67,5.73,3.00,-1.14,-1.14,-1.16
23.69,-6.74,-5.57,-6.74,-5.57,5.58,5.69,3.08,-1.16,-1.16,-1.17
23.92,-6.67,-5.49,-6.67,-5.49,5.50,5.64,3.17,-1.17,-1.17,-1.17
24.16,-6.60,-5.42,-6.60,-5.42,5.42,5.58,3.26,-1.18,-1.18,-1.18
24.40,-6.53,-5.34,-6.53,-5.35,5.34,5.53,3.35,-1.19,-1.19,-1.18
24.65,-6.47,-5.28,-6.46,-5.27,5.27,5.47,3.44,-1.20,-1.19,-1.19
24.89,-6.39,-5.19,-6.39,-5.20,5.20,5.41,3.53,-1.19,-1.19,-1.19
25.14,-6.32,-5.12,-6.33,-5.12,5.13,5.34,3.62,-1.19,-1.20,-1.20
25.39,-6.27,-5.06,-6.26,-5.06,5.06,5.28,3.71,-1.21,-1.21,-1.20
25.65,-6.21,-5.00,-6.21,-5.00,4.99,5.21,3.80,-1.22,-1.22,-1.21
25.91,-6.15,-4.94,-6.15,-4.93,4.93,5.14,3.90,-1.23,-1.22,-1.21
26.16,-6.08,-4.85,-6.08,-4.86,4.86,5.07,3.99,-1.22,-1.22,-1.22
26.43,-6.01,-4.79,-6.02,-4.79,4.80,5.00,4.08,-1.21,-1.22,-1.22
26.69,-5.96,-4.73,-5.96,-4.73,4.73,4.93,4.17,-1.23,-1.23,-1.23
26.96,-5.91,-4.68,-5.91,-4.67,4.67,4.85,4.26,-1.24,-1.24,-1.23
27.23,-5.85,-4.62,-5.85,-4.61,4.61,4.78,4.34,-1.24,-1.24,-1.23
27.50,-5.79,-4.55,-5.79,-4.55,4.55,4.70,4.43,-1.24,-1.24,-1.24
27.77,-5.73,-4.48,-5.73,-4.49,4.49,4.63,4.51,-1.24,-1.24,-1.24
28.05,-5.68,-4.43,-5.68,-4.43,4.43,4.55,4.58,-1.25,-1.25,-1.25
28.33,-5.63,-4.38,-5.63,-4.37,4.38,4.47,4.65,-1.25,-1.25,-1.25
28.62,-5.58,-4.33,-5.58,-4.32,4.32,4.40,4.72,-1.26,-1.26,-1.25
28.90,-5.53,-4.27,-5.53,-4.27,4.27,4.32,4.78,-1.26,-1.26,-1.26
29.19,-5.48,-4.22,-5.48,-4.22,4.22,4.24,4.84,-1.26,-1.26,-1.26
29.48,-5.43,-4.17,-5.43,-4.16,4.16,4.17,4.88,-1.27,-1.27,-1.26
29.78,-5.38,-4.12,-5.38,-4.11,4.11,4.09,4.92,-1.27,-1.27,-1.26
30.08,-5.32,-4.06,-5.32,-4.06,4.06,4.02,4.96,-1.26,-1.27,-1.26
30.38,-5.27,-4.01,-5.27,-4.00,4.00,3.94,4.98,-1.27,-1.26,-1.26
30.68,-5.21,-3.94,-5.21,-3.94,3.95,3.87,5.00,-1.26,-1.26,-1.27
30.99,-5.16,-3.89,-5.16,-3.89,3.89,3.80,5.01,-1.27,-1.27,-1.27
31.30,-5.11,-3.84,-5.11,-3.83,3.83,3.72,5.01,-1.28,-1.28,-1.27
31.61,-5.06,-3.79,-5.06,-3.78,3.77,3.65,5.00,-1.29,-1.28,-1.27
31.93,-5.00,-3.72,-5.00,-3.72,3.71,3.58,4.98,-1.29,-1.29,-1.28
32.24,-4.94,-3.65,-4.94,-3.65,3.65,3.51,4.95,-1.28,-1.28,-1.28
32.57,-4.87,-3.58,-4.87,-3.58,3.59,3.44,4.92,-1.28,-1.28,-1.29
32.89,-4.81,-3.52,-4.81,-3.52,3.52,3.37,4.88,-1.28,-1.29,-1.29
33.22,-4.76,-3.47,-4.76,-3.46,3.46,3.30,4.83,-1.30,-1.30,-1.29
33.55,-4.70,-3.40,-4.69,-3.40,3.39,3.24,4.77,-1.31,-1.31,-1.29
33.89,-4.63,-3.33,-4.63,-3.33,3.32,3.17,4.70,-1.31,-1.31,-1.30
34.23,-4.55,-3.25,-4.55,-3.25,3.25,3.11,4.64,-1.30,-1.30,-1.30
34.57,-4.48,-3.17,-4.48,-3.17,3.18,3.04,4.56,-1.30,-1.30,-1.31
34.92,-4.42,-3.11,-4.42,-3.11,3.11,2.98,4.48,-1.31,-1.31,-1.31
35.27,-4.36,-3.05,-4.36,-3.04,3.04,2.92,4.40,-1.32,-1.32,-1.31
35.62,-4.29,-2.98,-4.29,-2.97,2.96,2.86,4.31,-1.32,-1.32,-1.31
35.97,-4.22,-2.89,-4.22,-2.90,2.89,2.80,4.22,-1.32,-1.32,-1.32
36.33,-4.14,-2.82,-4.14,-2.82,2.83,2.74,4.12,-1.31,-1.32,-1.32
36.70,-4.07,-2.75,-4.07,-2.75,2.76,2.68,4.03,-1.31,-1.32,-1.32
37.06,-4.01,-2.69,-4.01,-2.68,2.69,2.63,3.93,-1.32,-1.32,-1.32
37.43,-3.95,-2.62,-3.95,-2.62,2.62,2.57,3.83,-1.33,-1.33,-1.32
37.81,-3.89,-2.56,-3.89,-2.56,2.55,2.52,3.73,-1.34,-1.34,-1.33
38.19,-3.82,-2.49,-3.82,-2.49,2.48,2.46,3.63,-1.34,-1.34,-1.33
38.57,-3.76,-2.42,-3.76,-2.41,2.41,2.41,3.53,-1.35,-1.34,-1.34
38.95,-3.69,-2.34,-3.69,-2.34,2.35,2.36,3.44,-1.34,-1.34,-1.34
39.34,-3.63,-2.28,-3.63,-2.28,2.29,2.31,3.34,-1.34,-1.34,-1.35
39.74,-3.57,-2.22,-3.57,-2.22,2.23,2.26,3.24,-1.34,-1.34,-1.35
40.14,-3.52,-2.17,-3.52,-2.16,2.17,2.21,3.14,-1.35,-1.35,-1.35
40.54,-3.48,-2.12,-3.48,-2.12,2.12,2.17,3.05,-1.36,-1.36,-1.36
40.94,-3.44,-2.08,-3.44,-2.07,2.07,2.12,2.95,-1.37,-1.37,-1.36
41.35,-3.40,-2.04,-3.40,-2.03,2.02,2.07,2.86,-1.37,-1.37,-1.36
