frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,19.19,14.50,19.19,14.51,-14.51,-13.10,-6.64,4.68,4.68,4.68
20.20,19.17,14.51,19.16,14.51,-14.51,-13.10,-6.80,4.66,4.66,4.65
20.40,19.14,14.50,19.14,14.51,-14.51,-13.10,-6.96,4.63,4.63,4.63
20.61,19.12,14.50,19.12,14.50,-14.50,-13.10,-7.12,4.62,4.61,4.61
20.81,19.09,14.49,19.09,14.50,-14.50,-13.09,-7.29,4.59,4.59,4.59
21.02,19.07,14.49,19.07,14.49,-14.49,-13.09,-7.46,4.58,4.57,4.57
21.23,19.04,14.48,19.04,14.48,-14.48,-13.09,-7.64,4.55,4.55,4.55
21.44,19.01,14.47,19.01,14.48,-14.48,-13.09,-7.82,4.53,4.53,4.53
21.66,18.98,14.46,18.98,14.47,-14.46,-13.08,-8.01,4.51,4.52,4.51
21.87,18.96,14.45,18.95,14.45,-14.45,-13.08,-8.20,4.50,4.50,4.50
22.09,18.93,14.44,18.93,14.44,-14.44,-13.08,-8.39,4.49,4.49,4.48
22.31,18.90,14.42,18.90,14.43,-14.43,-13.07,-8.60,4.47,4.47,4.47
22.54,18.87,14.40,18.87,14.41,-14.41,-13.07,-8.80,4.46,4.46,4.46
22.76,18.85,14.39,18.84,14.39,-14.39,-13.07,-9.02,4.45,4.45,4.45
22.99,18.82,14.37,18.82,14.37,-14.38,-13.06,-9.23,4.44,4.44,4.44
23.22,18.79,14.35,18.79,14.36,-14.36,-13.06,-9.46,4.43,4.43,4.43
23.45,18.77,14.34,18.76,14.34,-14.34,-13.06,-9.69,4.43,4.43,4.42
23.69,18.74,14.32,18.74,14.32,-14.32,-13.05,-9.93,4.42,4.42,4.41
23.92,18.71,14.29,18.71,14.30,-14.29,-13.05,-10.17,4.41,4.41,4.41
24.16,18.68,14.27,18.68,14.27,-14.27,-13.04,-10.42,4.41,4.41,4.40
24.40,18.65,14.24,18.65,14.25,-14.25,-13.04,-10.67,4.40,4.40,4.40
24.65,18.62,14.22,18.61,14.22,-14.22,-13.04,-10.93,4.40,4.39,4.39
24.89,18.58,14.18,18.58,14.19,-14.19,-13.03,-11.20,4.38,4.39,4.39
25.14,18.55,14.16,18.55,14.16,-14.17,-13.03,-11.48,4.38,4.38,4.38
25.39,18.52,14.14,18.52,14.14,-14.14,-13.02,-11.75,4.38,4.38,4.37
25.65,18.49,14.11,18.49,14.12,-14.12,-13.02,-12.04,4.37,4.37,4.37
25.91,18.46,14.09,18.46,14.09,-14.09,-13.01,-12.33,4.37,4.37,4.36
26.16,18.43,14.06,18.43,14.06,-14.06,-13.01,-12.63,4.36,4.36,4.36
26.43,18.40,14.03,18.40,14.04,-14.04,-13.00,-12.93,4.36,4.36,4.36
26.69,18.37,14.01,18.37,14.01,-14.01,-12.99,-13.24,4.36,4.36,4.35
26.96,18.34,13.98,18.33,13.98,-13.98,-12.99,-13.54,4.35,4.35,4.35
27.23,18.30,13.95,18.30,13.96,-13.95,-12.98,-13.85,4.34,4.35,4.34
27.50,18.27,13.92,18.27,13.92,-13.92,-12.98,-14.16,4.34,4.34,4.34
27.77,18.24,13.89,18.23,13.90,-13.89,-12.97,-14.47,4.34,4.34,4.34
28.05,18.20,13.86,18.20,13.86,-13.86,-12.96,-14.78,4.33,4.34,4.33
28.33,18.17,13.83,18.16,13.83,-13.83,-12.95,-15.08,4.34,4.33,4.33
28.62,18.13,13.79,18.13,13.80,-13.80,-12.95,-15.37,4.33,4.33,4.33
28.90,18.09,13.76,18.09,13.76,-13.76,-12.94,-15.64,4.32,4.33,4.32
29.19,18.06,13.73,18.05,13.73,-13.73,-12.93,-15.91,4.33,4.32,4.32
29.48,18.02,13.69,18.02,13.70,-13.70,-12.92,-16.15,4.32,4.32,4.32
29.78,17.99,13.66,17.98,13.66,-13.66,-12.92,-16.37,4.33,4.32,4.32
30.08,17.95,13.62,17.95,13.63,-13.63,-12.91,-16.56,4.32,4.32,4.32
30.38,17.91,13.59,17.91,13.60,-13.59,-12.90,-16.72,4.31,4.32,4.31
30.68,17.88,13.56,17.87,13.56,-13.56,-12.89,-16.84,4.32,4.31,4.31
30.99,17.84,13.52,17.84,13.53,-13.53,-12.88,-16.94,4.31,4.31,4.31
31.30,17.80,13.48,17.80,13.49,-13.49,-12.87,-16.97,4.31,4.31,4.31
31.61,17.77,13.46,17.76,13.46,-13.46,-12.86,-16.99,4.31,4.31,4.30
31.93,17.73,13.42,17.73,13.42,-13.42,-12.85,-16.96,4.31,4.31,4.30
32.24,17.69,13.38,17.69,13.39,-13.38,-12.84,-16.90,4.30,4.30,4.30
32.57,17.65,13.35,17.64,13.35,-13.35,-12.82,-16.79,4.30,4.30,4.29
32.89,17.60,13.30,17.60,13.31,-13.31,-12.81,-16.67,4.29,4.29,4.29
33.22,17.56,13.26,17.56,13.27,-13.27,-12.80,-16.51,4.29,4.29,4.29
33.55,17.52,13.23,17.52,13.23,-13.23,-12.79,-16.34,4.28,4.28,4.28
33.89,17.48,13.19,17.48,13.20,-13.19,-12.77,-16.14,4.28,4.28,4.28
34.23,17.44,13.15,17.44,13.16,-13.16,-12.76,-15.93,4.28,4.28,4.28
34.57,17.40,13.12,17.39,13.12,-13.12,-12.75,-15.71,4.28,4.28,4.27
34.92,17.35,13.07,17.35,13.08,-13.08,-12.73,-15.49,4.27,4.27,4.27
35.27,17.31,13.03,17.31,13.04,-13.04,-12.72,-15.25,4.27,4.27,4.27
35.62,17.27,13.00,17.26,13.00,-13.00,-12.70,-15.02,4.27,4.27,4.26
35.97,17.22,12.95,17.22,12.96,-12.96,-12.68,-14.78,4.26,4.27,4.26
36.33,17.18,12.91,17.18,12.92,-12.91,-12.67,-14.55,4.26,4.27,4.26
36.70,17.14,12.87,17.13,12.87,-12.87,-12.65,-14.32,4.27,4.26,4.26
37.06,17.09,12.82,17.09,12.83,-12.83,-12.63,-14.10,4.26,4.26,4.26
37.43,17.04,12.78,17.04,12.78,-12.78,-12.61,-13.88,4.25,4.25,4.25
37.81,16.99,12.73,16.99,12.74,-12.74,-12.59,-13.67,4.25,4.25,4.25
38.19,16.95,12.69,16.95,12.70,-12.70,-12.57,-13.46,4.25,4.25,4.25
38.57,16.91,12.66,16.90,12.66,-12.66,-12.55,-13.26,4.25,4.24,4.24
38.95,16.86,12.61,16.86,12.62,-12.62,-12.53,-13.07,4.24,4.24,4.24
39.34,16.82,12.58,16.82,12.58,-12.58,-12.50,-12.88,4.24,4.24,4.23
39.74,16.77,12.53,16.77,12.54,-12.53,-12.48,-12.71,4.23,4.23,4.23
