frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,14.16,9.63,14.16,9.63,-9.63,-9.93,-4.78,4.53,4.53,4.54
20.20,14.19,9.69,14.19,9.68,-9.68,-9.93,-4.91,4.51,4.51,4.51
20.40,14.22,9.74,14.22,9.73,-9.73,-9.94,-5.04,4.49,4.49,4.48
20.61,14.24,9.78,14.25,9.78,-9.78,-9.94,-5.17,4.46,4.46,4.47
20.81,14.27,9.83,14.27,9.83,-9.83,-9.94,-5.30,4.45,4.44,4.44
21.02,14.29,9.87,14.30,9.87,-9.87,-9.94,-5.44,4.42,4.42,4.43
21.23,14.32,9.92,14.32,9.92,-9.92,-9.94,-5.59,4.41,4.41,4.40
21.44,14.34,9.96,14.34,9.96,-9.96,-9.94,-5.74,4.39,4.39,4.38
21.66,14.36,10.00,14.36,10.00,-9.99,-9.94,-5.89,4.37,4.37,4.37
21.87,14.38,10.03,14.38,10.03,-10.03,-9.95,-6.05,4.35,4.35,4.35
22.09,14.40,10.07,14.40,10.07,-10.07,-9.95,-6.21,4.34,4.34,4.33
22.31,14.42,10.10,14.42,10.10,-10.10,-9.95,-6.37,4.32,4.32,4.32
22.54,14.44,10.13,14.44,10.13,-10.13,-9.95,-6.54,4.31,4.31,4.32
22.76,14.46,10.16,14.46,10.16,-10.16,-9.95,-6.72,4.30,4.30,4.30
22.99,14.48,10.19,14.48,10.19,-10.19,-9.95,-6.90,4.29,4.30,4.30
23.22,14.50,10.22,14.50,10.22,-10.21,-9.95,-7.08,4.29,4.29,4.29
23.45,14.51,10.24,14.51,10.24,-10.23,-9.95,-7.27,4.28,4.28,4.27
23.69,14.51,10.25,14.52,10.25,-10.25,-9.95,-7.46,4.27,4.27,4.27
23.92,14.52,10.26,14.52,10.26,-10.26,-9.95,-7.66,4.26,4.26,4.26
24.16,14.52,10.27,14.52,10.27,-10.27,-9.95,-7.86,4.26,4.26,4.26
24.40,14.52,10.27,14.52,10.27,-10.27,-9.95,-8.06,4.25,4.25,4.25
24.65,14.51,10.27,14.52,10.27,-10.27,-9.95,-8.27,4.24,4.25,4.25
24.89,14.51,10.27,14.51,10.27,-10.27,-9.95,-8.49,4.25,4.24,4.24
25.14,14.50,10.27,14.50,10.27,-10.27,-9.95,-8.71,4.24,4.24,4.24
