frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,18.01,12.93,18.01,12.94,-12.93,-13.13,-6.43,5.07,5.07,5.08
20.20,18.02,12.97,18.02,12.97,-12.96,-13.13,-6.59,5.05,5.05,5.05
20.40,18.02,12.99,18.02,12.99,-12.99,-13.14,-6.74,5.03,5.03,5.03
20.61,18.03,13.02,18.03,13.02,-13.02,-13.14,-6.91,5.01,5.01,5.01
20.81,18.03,13.04,18.03,13.04,-13.05,-13.15,-7.07,4.98,4.98,4.99
21.02,18.04,13.07,18.04,13.07,-13.07,-13.15,-7.25,4.97,4.96,4.97
21.23,18.04,13.09,18.04,13.10,-13.10,-13.15,-7.42,4.94,4.94,4.95
21.44,18.05,13.12,18.05,13.12,-13.12,-13.16,-7.60,4.93,4.93,4.93
21.66,18.05,13.14,18.05,13.14,-13.14,-13.16,-7.79,4.91,4.91,4.91
21.87,18.06,13.16,18.06,13.16,-13.16,-13.17,-7.98,4.90,4.89,4.90
22.09,18.06,13.18,18.06,13.18,-13.18,-13.17,-8.17,4.88,4.88,4.88
22.31,18.07,13.20,18.07,13.20,-13.20,-13.18,-8.38,4.87,4.87,4.87
22.54,18.07,13.21,18.07,13.22,-13.22,-13.18,-8.58,4.85,4.86,4.86
22.76,18.08,13.23,18.08,13.23,-13.23,-13.19,-8.79,4.85,4.84,4.85
22.99,18.08,13.24,18.08,13.24,-13.24,-13.19,-9.01,4.83,4.83,4.84
23.22,18.08,13.25,18.08,13.26,-13.26,-13.20,-9.23,4.82,4.82,4.83
23.45,18.09,13.27,18.09,13.27,-13.27,-13.20,-9.46,4.82,4.82,4.82
23.69,18.09,13.28,18.09,13.28,-13.28,-13.21,-9.70,4.81,4.81,4.81
23.92,18.10,13.29,18.10,13.29,-13.29,-13.21,-9.93,4.81,4.80,4.81
24.16,18.10,13.30,18.10,13.30,-13.30,-13.22,-10.18,4.80,4.80,4.80
24.40,18.11,13.31,18.11,13.31,-13.31,-13.22,-10.43,4.80,4.79,4.80
24.65,18.11,13.32,18.11,13.32,-13.32,-13.23,-10.69,4.78,4.79,4.79
