frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.54,3.88,8.54,3.88,-3.88,-4.62,-1.91,4.66,4.66,4.67
20.20,8.53,3.90,8.53,3.89,-3.89,-4.61,-1.97,4.64,4.64,4.64
20.40,8.53,3.92,8.53,3.91,-3.91,-4.61,-2.03,4.62,4.62,4.62
20.61,8.52,3.93,8.53,3.93,-3.93,-4.61,-2.09,4.59,4.60,4.60
20.81,8.52,3.95,8.53,3.95,-3.95,-4.61,-2.15,4.57,4.58,4.58
21.02,8.53,3.98,8.53,3.97,-3.97,-4.60,-2.21,4.56,4.56,4.56
21.23,8.53,4.00,8.54,4.00,-4.00,-4.60,-2.28,4.54,4.54,4.54
21.44,8.54,4.03,8.54,4.03,-4.02,-4.60,-2.34,4.52,4.52,4.52
21.66,8.55,4.06,8.55,4.05,-4.05,-4.59,-2.41,4.50,4.50,4.50
21.87,8.56,4.08,8.57,4.08,-4.08,-4.59,-2.48,4.48,4.48,4.49
22.09,8.58,4.12,8.58,4.11,-4.11,-4.59,-2.56,4.47,4.47,4.47
22.31,8.60,4.15,8.60,4.14,-4.15,-4.59,-2.63,4.45,4.45,4.46
22.54,8.62,4.18,8.63,4.18,-4.19,-4.58,-2.71,4.44,4.44,4.45
22.76,8.65,4.22,8.66,4.22,-4.22,-4.58,-2.79,4.43,4.43,4.44
22.99,8.69,4.27,8.69,4.26,-4.26,-4.58,-2.87,4.43,4.42,4.43
23.22,8.72,4.31,8.72,4.31,-4.30,-4.57,-2.95,4.42,4.42,4.42
23.45,8.75,4.35,8.75,4.35,-4.34,-4.57,-3.03,4.41,4.41,4.41
23.69,8.78,4.39,8.78,4.38,-4.38,-4.56,-3.12,4.40,4.40,4.40
23.92,8.81,4.42,8.81,4.42,-4.41,-4.56,-3.20,4.40,4.40,4.40
24.16,8.83,4.45,8.83,4.45,-4.45,-4.56,-3.29,4.39,4.39,4.39
24.40,8.85,4.47,8.85,4.47,-4.47,-4.55,-3.38,4.38,4.38,4.39
24.65,8.87,4.50,8.87,4.49,-4.49,-4.55,-3.47,4.38,4.38,4.38
24.89,8.88,4.51,8.89,4.51,-4.51,-4.54,-3.57,4.38,4.38,4.38
25.14,8.89,4.53,8.89,4.53,-4.52,-4.54,-3.66,4.38,4.37,4.37
25.39,8.89,4.54,8.89,4.53,-4.52,-4.53,-3.75,4.37,4.37,4.36
25.65,8.88,4.53,8.88,4.53,-4.53,-4.53,-3.85,4.36,4.36,4.36
25.91,8.87,4.53,8.87,4.52,-4.53,-4.53,-3.94,4.35,4.35,4.35
26.16,8.86,4.52,8.87,4.52,-4.53,-4.52,-4.04,4.33,4.34,4.35
26.43,8.86,4.52,8.86,4.52,-4.53,-4.52,-4.13,4.34,4.33,4.35
26.69,8.86,4.53,8.86,4.52,-4.53,-4.51,-4.22,4.34,4.33,4.34
26.96,8.86,4.53,8.86,4.53,-4.53,-4.51,-4.31,4.33,4.33,4.34
27.23,8.86,4.54,8.86,4.53,-4.53,-4.50,-4.40,4.33,4.33,4.33
27.50,8.86,4.54,8.86,4.54,-4.53,-4.49,-4.49,4.33,4.33,4.33
27.77,8.86,4.54,8.86,4.54,-4.54,-4.49,-4.58,4.32,4.32,4.33
28.05,8.86,4.55,8.86,4.54,-4.54,-4.48,-4.66,4.32,4.32,4.32
28.33,8.86,4.55,8.86,4.55,-4.55,-4.48,-4.73,4.32,4.32,4.32
28.62,8.86,4.55,8.86,4.55,-4.55,-4.47,-4.81,4.31,4.31,4.32
28.90,8.86,4.56,8.86,4.55,-4.55,-4.47,-4.88,4.31,4.31,4.31
29.19,8.86,4.56,8.86,4.56,-4.55,-4.46,-4.94,4.31,4.31,4.31
29.48,8.86,4.56,8.86,4.56,-4.56,-4.45,-5.00,4.31,4.31,4.31
29.78,8.86,4.56,8.86,4.56,-4.56,-4.45,-5.05,4.30,4.30,4.31
30.08,8.86,4.56,8.86,4.56,-4.56,-4.44,-5.10,4.30,4.30,4.31
