frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.35,5.24,11.35,5.24,-5.24,-5.73,-3.28,6.11,6.11,6.11
20.20,11.39,5.31,11.39,5.31,-5.31,-5.76,-3.37,6.08,6.08,6.08
20.40,11.44,5.38,11.43,5.38,-5.38,-5.79,-3.46,6.06,6.05,6.05
20.61,11.48,5.44,11.48,5.44,-5.45,-5.82,-3.56,6.03,6.03,6.04
20.81,11.53,5.51,11.52,5.51,-5.51,-5.85,-3.66,6.01,6.01,6.01
21.02,11.57,5.57,11.57,5.57,-5.58,-5.89,-3.76,5.99,5.99,6.00
21.23,11.62,5.64,11.61,5.64,-5.64,-5.92,-3.86,5.98,5.97,5.98
21.44,11.66,5.70,11.66,5.70,-5.70,-5.95,-3.97,5.95,5.95,5.95
21.66,11.71,5.77,11.70,5.77,-5.76,-5.98,-4.08,5.94,5.94,5.94
21.87,11.75,5.82,11.75,5.83,-5.82,-6.02,-4.20,5.92,5.92,5.92
22.09,11.80,5.89,11.79,5.89,-5.88,-6.05,-4.31,5.91,5.91,5.90
22.31,11.84,5.94,11.84,5.94,-5.94,-6.08,-4.43,5.90,5.90,5.89
22.54,11.88,5.99,11.88,6.00,-6.00,-6.12,-4.55,5.88,5.88,5.89
22.76,11.93,6.05,11.92,6.05,-6.05,-6.15,-4.68,5.88,5.87,5.87
22.99,11.97,6.10,11.97,6.10,-6.10,-6.19,-4.81,5.86,5.86,5.87
23.22,12.01,6.15,12.01,6.16,-6.16,-6.22,-4.94,5.85,5.85,5.86
23.45,12.06,6.21,12.05,6.21,-6.21,-6.25,-5.08,5.85,5.85,5.85
23.69,12.10,6.26,12.10,6.26,-6.26,-6.29,-5.22,5.84,5.84,5.84
23.92,12.15,6.31,12.14,6.31,-6.31,-6.32,-5.35,5.84,5.83,5.83
24.16,12.19,6.36,12.19,6.36,-6.36,-6.35,-5.50,5.83,5.83,5.83
24.40,12.23,6.40,12.23,6.41,-6.41,-6.39,-5.64,5.82,5.82,5.82
24.65,12.28,6.46,12.27,6.46,-6.46,-6.42,-5.79,5.82,5.82,5.82
24.89,12.32,6.50,12.32,6.50,-6.51,-6.46,-5.94,5.81,5.81,5.81
25.14,12.36,6.55,12.36,6.55,-6.55,-6.49,-6.10,5.80,5.80,5.80
25.39,12.40,6.60,12.40,6.60,-6.60,-6.53,-6.25,5.80,5.80,5.80
25.65,12.44,6.64,12.44,6.65,-6.65,-6.56,-6.41,5.79,5.79,5.80
