frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.07,9.36,12.07,9.37,-9.36,-9.56,-4.45,2.71,2.71,2.70
20.20,12.06,9.38,12.05,9.38,-9.37,-9.55,-4.57,2.68,2.68,2.67
20.40,12.04,9.38,12.04,9.38,-9.38,-9.55,-4.69,2.66,2.65,2.65
20.61,12.02,9.38,12.02,9.39,-9.39,-9.54,-4.81,2.63,2.63,2.63
20.81,12.00,9.38,12.00,9.38,-9.39,-9.54,-4.94,2.60,2.61,2.61
21.02,11.98,9.38,11.98,9.39,-9.40,-9.54,-5.07,2.58,2.59,2.59
21.23,11.97,9.39,11.97,9.39,-9.40,-9.53,-5.20,2.57,2.57,2.57
21.44,11.95,9.39,11.95,9.39,-9.39,-9.53,-5.34,2.55,2.55,2.55
21.66,11.93,9.39,11.93,9.39,-9.39,-9.52,-5.48,2.54,2.54,2.53
21.87,11.91,9.38,11.91,9.39,-9.38,-9.52,-5.63,2.52,2.53,2.52
22.09,11.89,9.38,11.89,9.38,-9.37,-9.52,-5.78,2.51,2.51,2.50
22.31,11.87,9.37,11.86,9.37,-9.36,-9.51,-5.93,2.51,2.50,2.49
22.54,11.83,9.34,11.83,9.35,-9.35,-9.51,-6.09,2.48,2.48,2.48
22.76,11.80,9.32,11.80,9.33,-9.33,-9.50,-6.25,2.47,2.47,2.47
22.99,11.77,9.30,11.77,9.31,-9.31,-9.50,-6.42,2.46,2.46,2.46
23.22,11.75,9.29,11.74,9.29,-9.29,-9.49,-6.59,2.46,2.45,2.45
23.45,11.72,9.27,11.72,9.28,-9.27,-9.49,-6.76,2.44,2.45,2.44
23.69,11.70,9.26,11.70,9.26,-9.26,-9.48,-6.94,2.44,2.44,2.43
23.92,11.68,9.24,11.68,9.25,-9.25,-9.48,-7.12,2.43,2.43,2.43
24.16,11.67,9.24,11.67,9.24,-9.25,-9.47,-7.30,2.42,2.42,2.42
24.40,11.66,9.23,11.66,9.24,-9.25,-9.47,-7.49,2.41,2.41,2.42
24.65,11.66,9.24,11.66,9.24,-9.25,-9.46,-7.69,2.41,2.41,2.41
24.89,11.67,9.25,11.67,9.26,-9.26,-9.45,-7.88,2.41,2.41,2.41
25.14,11.68,9.27,11.68,9.27,-9.27,-9.45,-8.08,2.41,2.41,2.40
25.39,11.69,9.29,11.69,9.29,-9.28,-9.44,-8.28,2.41,2.41,2.39
25.65,11.69,9.29,11.69,9.30,-9.29,-9.43,-8.49,2.40,2.40,2.39
25.91,11.69,9.30,11.69,9.30,-9.30,-9.43,-8.69,2.39,2.39,2.38
26.16,11.69,9.30,11.69,9.30,-9.31,-9.42,-8.90,2.38,2.38,2.38
26.43,11.69,9.30,11.69,9.31,-9.31,-9.42,-9.11,2.38,2.38,2.38
26.69,11.69,9.31,11.69,9.31,-9.31,-9.41,-9.32,2.37,2.37,2.37
26.96,11.69,9.31,11.69,9.32,-9.32,-9.40,-9.53,2.37,2.37,2.37
27.23,11.69,9.32,11.69,9.32,-9.32,-9.39,-9.73,2.37,2.37,2.36
27.50,11.69,9.32,11.69,9.32,-9.32,-9.39,-9.93,2.36,2.36,2.36
27.77,11.69,9.32,11.69,9.33,-9.33,-9.38,-10.13,2.36,2.36,2.36
28.05,11.69,9.33,11.69,9.33,-9.33,-9.37,-10.32,2.36,2.36,2.35
28.33,11.69,9.33,11.69,9.33,-9.33,-9.36,-10.50,2.35,2.35,2.35
28.62,11.69,9.33,11.69,9.34,-9.34,-9.36,-10.68,2.35,2.35,2.35
28.90,11.69,9.34,11.69,9.34,-9.34,-9.35,-10.85,2.35,2.35,2.34
29.19,11.69,9.34,11.69,9.34,-9.34,-9.34,-11.00,2.35,2.35,2.34
29.48,11.69,9.34,11.69,9.34,-9.34,-9.33,-11.14,2.34,2.34,2.34
29.78,11.69,9.34,11.69,9.34,-9.35,-9.32,-11.26,2.34,2.34,2.34
30.08,11.69,9.34,11.69,9.35,-9.35,-9.31,-11.37,2.34,2.34,2.34
30.38,11.69,9.35,11.69,9.35,-9.35,-9.31,-11.46,2.34,2.34,2.33
30.68,11.69,9.35,11.69,9.35,-9.35,-9.30,-11.53,2.34,2.34,2.33
30.99,11.69,9.35,11.69,9.36,-9.35,-9.29,-11.59,2.33,2.33,2.33
31.30,11.69,9.35,11.69,9.36,-9.36,-9.28,-11.62,2.33,2.33,2.33
31.61,11.69,9.36,11.69,9.36,-9.37,-9.27,-11.64,2.32,2.32,2.32
31.93,11.69,9.36,11.69,9.37,-9.37,-9.26,-11.63,2.32,2.32,2.32
32.24,11.70,9.37,11.70,9.38,-9.38,-9.25,-11.61,2.32,2.32,2.32
32.57,11.70,9.38,11.70,9.38,-9.38,-9.24,-11.57,2.31,2.32,2.31
32.89,11.71,9.39,11.71,9.39,-9.39,-9.23,-11.51,2.32,2.32,2.31
33.22,11.71,9.39,11.71,9.40,-9.39,-9.22,-11.44,2.32,2.32,2.31
33.55,11.70,9.39,11.70,9.39,-9.39,-9.21,-11.35,2.31,2.31,2.30
33.89,11.69,9.38,11.69,9.38,-9.38,-9.20,-11.25,2.31,2.31,2.30
34.23,11.67,9.36,11.67,9.37,-9.37,-9.18,-11.15,2.30,2.30,2.30
34.57,11.65,9.35,11.65,9.35,-9.35,-9.17,-11.03,2.30,2.30,2.29
34.92,11.62,9.32,11.62,9.32,-9.33,-9.16,-10.91,2.29,2.29,2.29
35.27,11.59,9.29,11.59,9.30,-9.30,-9.15,-10.78,2.29,2.29,2.29
35.62,11.56,9.27,11.56,9.27,-9.27,-9.14,-10.65,2.29,2.29,2.28
35.97,11.53,9.24,11.53,9.24,-9.24,-9.13,-10.51,2.29,2.29,2.28
36.33,11.50,9.21,11.50,9.21,-9.21,-9.11,-10.38,2.29,2.29,2.28
36.70,11.47,9.18,11.47,9.18,-9.18,-9.10,-10.24,2.29,2.28,2.28
37.06,11.44,9.15,11.44,9.16,-9.16,-9.09,-10.11,2.28,2.28,2.28
37.43,11.41,9.13,11.41,9.13,-9.13,-9.08,-9.97,2.28,2.28,2.27
