frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.17,7.57,8.17,7.57,-7.57,-7.73,-3.61,0.60,0.60,0.60
20.20,8.17,7.60,8.17,7.59,-7.59,-7.73,-3.71,0.58,0.57,0.57
20.40,8.16,7.61,8.16,7.61,-7.61,-7.73,-3.81,0.55,0.55,0.55
20.61,8.16,7.63,8.16,7.63,-7.63,-7.73,-3.92,0.53,0.53,0.53
20.81,8.15,7.64,8.15,7.64,-7.65,-7.74,-4.03,0.50,0.51,0.51
21.02,8.15,7.66,8.15,7.66,-7.66,-7.74,-4.14,0.49,0.49,0.49
21.23,8.15,7.68,8.15,7.68,-7.68,-7.74,-4.25,0.47,0.47,0.47
21.44,8.14,7.69,8.14,7.69,-7.69,-7.74,-4.37,0.45,0.45,0.45
21.66,8.14,7.71,8.14,7.71,-7.70,-7.74,-4.49,0.44,0.44,0.43
21.87,8.13,7.71,8.13,7.72,-7.71,-7.74,-4.61,0.42,0.42,0.42
22.09,8.13,7.73,8.13,7.73,-7.72,-7.74,-4.74,0.41,0.40,0.40
22.31,8.12,7.73,8.12,7.73,-7.73,-7.75,-4.87,0.39,0.39,0.39
22.54,8.12,7.74,8.12,7.74,-7.74,-7.75,-5.00,0.38,0.38,0.38
22.76,8.11,7.74,8.11,7.74,-7.75,-7.75,-5.14,0.36,0.37,0.37
22.99,8.11,7.75,8.11,7.75,-7.75,-7.75,-5.28,0.36,0.36,0.36
23.22,8.11,7.76,8.11,7.76,-7.76,-7.75,-5.43,0.35,0.35,0.35
23.45,8.11,7.77,8.11,7.77,-7.76,-7.75,-5.57,0.35,0.34,0.34
23.69,8.10,7.77,8.10,7.77,-7.77,-7.75,-5.73,0.33,0.34,0.33
23.92,8.10,7.77,8.10,7.77,-7.77,-7.76,-5.88,0.33,0.33,0.33
24.16,8.10,7.78,8.10,7.77,-7.77,-7.76,-6.04,0.33,0.32,0.32
24.40,8.09,7.77,8.09,7.77,-7.78,-7.76,-6.20,0.31,0.32,0.32
24.65,8.09,7.78,8.09,7.77,-7.78,-7.76,-6.36,0.31,0.31,0.31
