frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,17.09,15.24,17.09,15.24,-15.24,-16.05,-8.30,1.85,1.85,1.85
20.20,17.11,15.29,17.11,15.29,-15.29,-16.05,-8.49,1.82,1.82,1.82
20.40,17.14,15.34,17.13,15.34,-15.34,-16.06,-8.67,1.80,1.80,1.80
20.61,17.16,15.38,17.16,15.38,-15.38,-16.06,-8.86,1.77,1.78,1.78
20.81,17.19,15.43,17.19,15.43,-15.43,-16.07,-9.06,1.76,1.76,1.76
21.02,17.21,15.47,17.21,15.47,-15.47,-16.07,-9.26,1.73,1.74,1.74
21.23,17.24,15.52,17.23,15.52,-15.52,-16.08,-9.46,1.72,1.72,1.72
21.44,17.26,15.56,17.26,15.56,-15.56,-16.08,-9.67,1.70,1.70,1.70
21.66,17.28,15.60,17.28,15.60,-15.60,-16.09,-9.89,1.68,1.68,1.68
21.87,17.31,15.64,17.30,15.64,-15.64,-16.09,-10.11,1.67,1.67,1.67
22.09,17.33,15.68,17.33,15.68,-15.68,-16.10,-10.33,1.65,1.65,1.65
22.31,17.35,15.71,17.35,15.71,-15.71,-16.10,-10.57,1.63,1.64,1.64
22.54,17.38,15.75,17.37,15.75,-15.75,-16.11,-10.81,1.63,1.62,1.63
22.76,17.40,15.78,17.40,15.78,-15.78,-16.12,-11.05,1.61,1.61,1.62
22.99,17.43,15.82,17.43,15.82,-15.82,-16.12,-11.30,1.61,1.61,1.61
23.22,17.45,15.85,17.45,15.85,-15.85,-16.13,-11.57,1.60,1.60,1.60
23.45,17.48,15.89,17.48,15.89,-15.88,-16.13,-11.83,1.60,1.59,1.59
23.69,17.50,15.92,17.50,15.92,-15.91,-16.14,-12.11,1.58,1.58,1.58
23.92,17.52,15.94,17.52,15.94,-15.94,-16.14,-12.38,1.58,1.58,1.58
24.16,17.54,15.97,17.54,15.97,-15.97,-16.15,-12.68,1.57,1.57,1.57
24.40,17.57,16.00,17.56,16.00,-16.00,-16.16,-12.97,1.57,1.56,1.57
24.65,17.59,16.03,17.59,16.03,-16.03,-16.16,-13.28,1.56,1.56,1.56
24.89,17.61,16.05,17.61,16.05,-16.06,-16.17,-13.59,1.55,1.55,1.56
