frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.99,8.24,8.99,8.24,-8.24,-8.32,-4.09,0.75,0.75,0.75
20.20,8.99,8.27,8.99,8.27,-8.27,-8.32,-4.20,0.72,0.72,0.72
20.40,9.00,8.30,9.00,8.30,-8.30,-8.32,-4.31,0.70,0.70,0.70
20.61,9.00,8.32,9.00,8.32,-8.32,-8.32,-4.43,0.67,0.68,0.68
20.81,9.01,8.35,9.00,8.35,-8.35,-8.32,-4.55,0.66,0.66,0.66
21.02,9.01,8.37,9.01,8.37,-8.37,-8.32,-4.67,0.63,0.63,0.64
21.23,9.01,8.39,9.01,8.39,-8.40,-8.32,-4.80,0.61,0.61,0.62
21.44,9.02,8.42,9.01,8.42,-8.42,-8.32,-4.93,0.60,0.60,0.60
21.66,9.02,8.44,9.02,8.44,-8.44,-8.32,-5.06,0.58,0.58,0.58
21.87,9.03,8.46,9.03,8.46,-8.46,-8.33,-5.20,0.57,0.57,0.57
22.09,9.03,8.48,9.03,8.48,-8.48,-8.33,-5.34,0.55,0.55,0.55
22.31,9.04,8.50,9.04,8.50,-8.50,-8.33,-5.48,0.54,0.54,0.54
22.54,9.04,8.51,9.04,8.51,-8.51,-8.33,-5.63,0.52,0.53,0.53
22.76,9.05,8.53,9.05,8.53,-8.53,-8.33,-5.79,0.52,0.52,0.52
22.99,9.05,8.54,9.05,8.54,-8.54,-8.33,-5.94,0.51,0.51,0.51
23.22,9.05,8.55,9.05,8.55,-8.55,-8.33,-6.10,0.50,0.50,0.50
23.45,9.05,8.56,9.05,8.56,-8.56,-8.33,-6.26,0.49,0.49,0.49
23.69,9.06,8.58,9.05,8.57,-8.57,-8.33,-6.43,0.49,0.48,0.48
23.92,9.06,8.58,9.06,8.58,-8.58,-8.33,-6.60,0.48,0.47,0.48
24.16,9.06,8.59,9.06,8.59,-8.59,-8.34,-6.78,0.47,0.47,0.47
24.40,9.06,8.59,9.06,8.60,-8.60,-8.34,-6.95,0.46,0.46,0.47
24.65,9.07,8.61,9.06,8.60,-8.61,-8.34,-7.14,0.46,0.46,0.46
24.89,9.07,8.61,9.07,8.61,-8.61,-8.34,-7.32,0.45,0.45,0.46
25.14,9.07,8.62,9.07,8.62,-8.62,-8.34,-7.51,0.45,0.45,0.45
25.39,9.07,8.63,9.07,8.63,-8.63,-8.34,-7.70,0.44,0.44,0.44
25.65,9.07,8.63,9.07,8.63,-8.63,-8.34,-7.89,0.44,0.44,0.44
25.91,9.07,8.64,9.07,8.64,-8.64,-8.34,-8.08,0.43,0.43,0.43
26.16,9.07,8.64,9.07,8.64,-8.64,-8.34,-8.28,0.43,0.43,0.43
26.43,9.07,8.64,9.07,8.64,-8.65,-8.34,-8.47,0.42,0.42,0.43
26.69,9.07,8.65,9.07,8.65,-8.65,-8.35,-8.67,0.42,0.42,0.42
26.96,9.07,8.65,9.07,8.65,-8.65,-8.35,-8.86,0.41,0.41,0.42
27.23,9.07,8.66,9.07,8.66,-8.66,-8.35,-9.05,0.41,0.41,0.41
27.50,9.07,8.66,9.07,8.66,-8.66,-8.35,-9.24,0.41,0.41,0.41
27.77,9.07,8.66,9.07,8.67,-8.66,-8.35,-9.43,0.40,0.41,0.41
28.05,9.07,8.67,9.07,8.67,-8.67,-8.35,-9.61,0.40,0.40,0.40
28.33,9.07,8.67,9.06,8.67,-8.67,-8.35,-9.78,0.40,0.40,0.40
28.62,9.06,8.66,9.06,8.67,-8.67,-8.35,-9.94,0.39,0.39,0.40
28.90,9.06,8.67,9.06,8.67,-8.67,-8.35,-10.10,0.39,0.39,0.39
29.19,9.06,8.67,9.06,8.67,-8.67,-8.35,-10.24,0.39,0.39,0.39
29.48,9.06,8.67,9.06,8.67,-8.67,-8.35,-10.37,0.39,0.39,0.39
29.78,9.05,8.66,9.05,8.66,-8.66,-8.35,-10.49,0.38,0.39,0.39
30.08,9.05,8.66,9.05,8.66,-8.66,-8.35,-10.59,0.39,0.38,0.39
30.38,9.04,8.66,9.04,8.66,-8.66,-8.36,-10.69,0.38,0.38,0.38
30.68,9.04,8.66,9.04,8.66,-8.65,-8.36,-10.75,0.38,0.38,0.38
30.99,9.03,8.65,9.03,8.65,-8.65,-8.36,-10.81,0.38,0.38,0.38
31.30,9.02,8.64,9.02,8.64,-8.65,-8.36,-10.84,0.37,0.37,0.38
31.61,9.01,8.64,9.01,8.64,-8.64,-8.36,-10.87,0.37,0.37,0.37
31.93,9.00,8.63,9.00,8.63,-8.64,-8.36,-10.87,0.36,0.37,0.37
32.24,9.00,8.63,8.99,8.63,-8.63,-8.36,-10.86,0.37,0.36,0.37
32.57,8.99,8.63,8.99,8.63,-8.62,-8.36,-10.82,0.36,0.36,0.36
32.89,8.98,8.62,8.98,8.62,-8.62,-8.36,-10.78,0.36,0.36,0.36
