frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.53,4.71,7.52,4.71,-4.71,-4.71,-2.39,2.82,2.81,2.82
20.20,7.54,4.75,7.54,4.75,-4.75,-4.73,-2.46,2.79,2.79,2.79
20.40,7.55,4.78,7.55,4.78,-4.78,-4.74,-2.53,2.76,2.77,2.77
20.61,7.56,4.82,7.56,4.82,-4.82,-4.76,-2.60,2.75,2.75,2.75
20.81,7.58,4.85,7.57,4.85,-4.85,-4.77,-2.68,2.73,2.73,2.73
21.02,7.59,4.88,7.59,4.88,-4.88,-4.79,-2.76,2.70,2.71,2.71
21.23,7.60,4.91,7.60,4.91,-4.91,-4.80,-2.84,2.68,2.68,2.69
21.44,7.61,4.94,7.61,4.94,-4.94,-4.81,-2.92,2.67,2.67,2.67
21.66,7.62,4.97,7.62,4.97,-4.97,-4.82,-3.01,2.65,2.65,2.65
21.87,7.63,4.99,7.63,4.99,-4.99,-4.83,-3.09,2.63,2.63,2.64
22.09,7.64,5.02,7.64,5.02,-5.02,-4.84,-3.18,2.62,2.62,2.62
22.31,7.65,5.04,7.65,5.04,-5.04,-4.86,-3.28,2.61,2.61,2.61
22.54,7.66,5.06,7.66,5.06,-5.06,-4.87,-3.37,2.59,2.59,2.60
22.76,7.67,5.08,7.67,5.08,-5.08,-4.88,-3.47,2.58,2.58,2.59
22.99,7.68,5.10,7.68,5.10,-5.10,-4.90,-3.57,2.57,2.57,2.58
23.22,7.69,5.12,7.69,5.12,-5.12,-4.91,-3.67,2.57,2.57,2.57
23.45,7.70,5.14,7.70,5.14,-5.14,-4.93,-3.78,2.56,2.56,2.56
23.69,7.71,5.16,7.70,5.16,-5.15,-4.94,-3.88,2.55,2.55,2.55
23.92,7.72,5.17,7.71,5.17,-5.17,-4.96,-3.99,2.55,2.55,2.55
24.16,7.72,5.18,7.72,5.18,-5.18,-4.98,-4.10,2.54,2.54,2.54
24.40,7.73,5.19,7.72,5.19,-5.19,-5.00,-4.21,2.53,2.53,2.54
