frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,16.30,13.47,16.30,13.47,-13.47,-13.52,-6.37,2.83,2.83,2.83
20.20,16.28,13.48,16.28,13.48,-13.47,-13.52,-6.52,2.81,2.81,2.80
20.40,16.27,13.49,16.27,13.48,-13.48,-13.52,-6.68,2.79,2.78,2.78
20.61,16.25,13.49,16.25,13.49,-13.49,-13.51,-6.84,2.76,2.76,2.76
20.81,16.23,13.49,16.23,13.49,-13.49,-13.51,-7.00,2.74,2.74,2.74
21.02,16.22,13.50,16.22,13.49,-13.50,-13.50,-7.17,2.72,2.72,2.72
21.23,16.20,13.50,16.20,13.50,-13.50,-13.49,-7.34,2.70,2.70,2.70
21.44,16.18,13.50,16.18,13.50,-13.50,-13.49,-7.52,2.68,2.69,2.68
21.66,16.17,13.51,16.17,13.50,-13.50,-13.48,-7.70,2.67,2.67,2.66
21.87,16.15,13.50,16.15,13.50,-13.50,-13.47,-7.88,2.65,2.65,2.65
22.09,16.13,13.50,16.13,13.49,-13.49,-13.47,-8.07,2.64,2.64,2.63
22.31,16.11,13.49,16.11,13.49,-13.49,-13.46,-8.27,2.62,2.62,2.62
22.54,16.10,13.49,16.10,13.48,-13.48,-13.45,-8.47,2.62,2.61,2.61
22.76,16.08,13.48,16.08,13.48,-13.48,-13.44,-8.68,2.60,2.60,2.60
22.99,16.06,13.47,16.06,13.47,-13.47,-13.43,-8.89,2.59,2.59,2.59
23.22,16.04,13.46,16.04,13.46,-13.46,-13.42,-9.10,2.58,2.58,2.58
23.45,16.02,13.45,16.02,13.45,-13.45,-13.41,-9.33,2.57,2.57,2.57
23.69,16.00,13.44,16.00,13.44,-13.43,-13.40,-9.55,2.57,2.57,2.56
23.92,15.99,13.43,15.99,13.42,-13.42,-13.39,-9.79,2.57,2.56,2.56
24.16,15.97,13.42,15.97,13.41,-13.41,-13.37,-10.03,2.56,2.56,2.55
24.40,15.94,13.39,15.94,13.39,-13.39,-13.36,-10.27,2.55,2.55,2.55
24.65,15.92,13.38,15.92,13.37,-13.38,-13.35,-10.52,2.54,2.54,2.54
24.89,15.90,13.36,15.90,13.36,-13.36,-13.33,-10.78,2.54,2.54,2.54
25.14,15.88,13.35,15.88,13.34,-13.35,-13.32,-11.04,2.53,2.53,2.53
25.39,15.86,13.33,15.86,13.33,-13.33,-13.31,-11.31,2.53,2.53,2.53
25.65,15.84,13.32,15.84,13.31,-13.31,-13.29,-11.58,2.53,2.53,2.52
25.91,15.82,13.30,15.82,13.29,-13.29,-13.28,-11.85,2.53,2.52,2.52
26.16,15.79,13.28,15.79,13.28,-13.28,-13.26,-12.13,2.51,2.52,2.51
26.43,15.77,13.26,15.77,13.26,-13.26,-13.24,-12.42,2.51,2.51,2.51
26.69,15.75,13.25,15.75,13.24,-13.24,-13.23,-12.70,2.51,2.51,2.50
26.96,15.72,13.22,15.72,13.22,-13.22,-13.21,-12.99,2.50,2.50,2.50
27.23,15.70,13.20,15.70,13.20,-13.20,-13.19,-13.27,2.50,2.50,2.50
27.50,15.67,13.18,15.67,13.18,-13.18,-13.17,-13.56,2.49,2.49,2.49
27.77,15.65,13.16,15.65,13.16,-13.16,-13.15,-13.84,2.49,2.49,2.49
28.05,15.63,13.15,15.63,13.14,-13.14,-13.13,-14.12,2.49,2.49,2.48
28.33,15.60,13.12,15.60,13.12,-13.12,-13.11,-14.39,2.48,2.48,2.48
28.62,15.58,13.10,15.58,13.10,-13.10,-13.09,-14.65,2.48,2.48,2.48
28.90,15.56,13.09,15.56,13.08,-13.08,-13.07,-14.89,2.48,2.48,2.47
29.19,15.53,13.06,15.53,13.06,-13.05,-13.05,-15.12,2.47,2.48,2.47
29.48,15.51,13.04,15.51,13.03,-13.03,-13.03,-15.33,2.48,2.48,2.47
29.78,15.48,13.01,15.48,13.00,-13.00,-13.01,-15.52,2.48,2.48,2.47
