frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.28,8.05,13.28,8.05,-8.05,-8.07,-3.80,5.23,5.23,5.23
20.20,13.28,8.08,13.28,8.08,-8.08,-8.07,-3.90,5.20,5.20,5.20
20.40,13.28,8.10,13.28,8.10,-8.10,-8.08,-4.00,5.18,5.18,5.18
20.61,13.28,8.12,13.28,8.12,-8.12,-8.08,-4.12,5.15,5.15,5.16
20.81,13.28,8.14,13.28,8.14,-8.15,-8.08,-4.23,5.13,5.13,5.14
21.02,13.28,8.16,13.28,8.16,-8.17,-8.09,-4.34,5.11,5.11,5.12
21.23,13.28,8.18,13.28,8.18,-8.18,-8.09,-4.46,5.09,5.09,5.10
21.44,13.28,8.20,13.28,8.20,-8.20,-8.10,-4.58,5.08,5.08,5.08
21.66,13.28,8.22,13.28,8.22,-8.22,-8.10,-4.71,5.06,5.06,5.06
21.87,13.28,8.23,13.28,8.24,-8.23,-8.11,-4.84,5.04,5.04,5.05
22.09,13.28,8.25,13.28,8.25,-8.25,-8.11,-4.97,5.03,5.03,5.03
22.31,13.28,8.26,13.28,8.26,-8.26,-8.11,-5.11,5.02,5.02,5.02
22.54,13.28,8.27,13.28,8.27,-8.27,-8.12,-5.24,5.00,5.00,5.01
22.76,13.28,8.28,13.28,8.28,-8.28,-8.12,-5.39,4.99,4.99,5.00
22.99,13.28,8.29,13.28,8.29,-8.29,-8.13,-5.53,4.98,4.98,4.99
23.22,13.28,8.30,13.28,8.30,-8.30,-8.13,-5.68,4.98,4.98,4.98
23.45,13.28,8.31,13.28,8.31,-8.31,-8.14,-5.84,4.97,4.97,4.97
23.69,13.28,8.32,13.28,8.32,-8.32,-8.14,-6.00,4.96,4.96,4.96
23.92,13.28,8.32,13.28,8.33,-8.32,-8.15,-6.15,4.95,4.95,4.96
24.16,13.28,8.33,13.28,8.33,-8.33,-8.15,-6.32,4.95,4.95,4.95
24.40,13.28,8.33,13.28,8.33,-8.34,-8.16,-6.48,4.94,4.94,4.95
24.65,13.28,8.34,13.28,8.34,-8.34,-8.16,-6.66,4.94,4.94,4.94
24.89,13.28,8.34,13.28,8.35,-8.35,-8.17,-6.83,4.93,4.93,4.94
25.14,13.28,8.35,13.28,8.35,-8.35,-8.17,-7.00,4.93,4.93,4.93
25.39,13.28,8.36,13.28,8.36,-8.36,-8.18,-7.18,4.92,4.92,4.92
25.65,13.28,8.36,13.28,8.37,-8.36,-8.18,-7.36,4.92,4.92,4.92
25.91,13.28,8.37,13.28,8.37,-8.37,-8.19,-7.54,4.91,4.91,4.91
26.16,13.28,8.37,13.28,8.37,-8.37,-8.20,-7.72,4.91,4.91,4.91
26.43,13.28,8.37,13.28,8.38,-8.38,-8.20,-7.90,4.90,4.90,4.91
26.69,13.28,8.38,13.28,8.38,-8.38,-8.21,-8.08,4.90,4.90,4.90
26.96,13.28,8.38,13.28,8.39,-8.38,-8.21,-8.26,4.89,4.89,4.90
27.23,13.28,8.39,13.28,8.39,-8.39,-8.22,-8.44,4.89,4.89,4.89
27.50,13.28,8.39,13.28,8.39,-8.39,-8.22,-8.61,4.89,4.89,4.89
27.77,13.28,8.39,13.28,8.40,-8.40,-8.23,-8.78,4.88,4.88,4.89
28.05,13.28,8.40,13.28,8.40,-8.40,-8.24,-8.95,4.88,4.88,4.88
28.33,13.28,8.40,13.28,8.40,-8.40,-8.24,-9.11,4.88,4.88,4.88
28.62,13.28,8.40,13.28,8.41,-8.41,-8.25,-9.26,4.87,4.87,4.88
28.90,13.28,8.41,13.28,8.41,-8.41,-8.26,-9.40,4.87,4.87,4.87
29.19,13.28,8.41,13.28,8.41,-8.41,-8.26,-9.54,4.87,4.87,4.87
29.48,13.28,8.41,13.28,8.41,-8.41,-8.27,-9.66,4.87,4.87,4.87
29.78,13.28,8.41,13.28,8.41,-8.41,-8.28,-9.77,4.86,4.86,4.87
30.08,13.28,8.41,13.28,8.42,-8.42,-8.28,-9.87,4.86,4.86,4.87
30.38,13.28,8.42,13.28,8.42,-8.42,-8.29,-9.96,4.86,4.86,4.86
30.68,13.28,8.42,13.28,8.42,-8.42,-8.30,-10.02,4.86,4.86,4.86
30.99,13.28,8.42,13.28,8.42,-8.42,-8.30,-10.08,4.86,4.86,4.86
