frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.59,8.42,9.59,8.42,-8.42,-8.46,-3.94,1.17,1.17,1.17
20.20,9.59,8.42,9.59,8.43,-8.43,-8.46,-4.05,1.16,1.17,1.17
20.40,9.60,8.44,9.60,8.44,-8.44,-8.46,-4.16,1.17,1.16,1.16
20.61,9.60,8.44,9.60,8.44,-8.44,-8.46,-4.27,1.16,1.16,1.16
20.81,9.60,8.45,9.61,8.45,-8.45,-8.46,-4.39,1.15,1.16,1.15
21.02,9.61,8.46,9.60,8.46,-8.46,-8.46,-4.51,1.16,1.15,1.15
21.23,9.60,8.46,9.60,8.46,-8.46,-8.46,-4.63,1.14,1.14,1.14
21.44,9.60,8.46,9.61,8.47,-8.47,-8.46,-4.76,1.13,1.14,1.14
21.66,9.61,8.48,9.61,8.47,-8.48,-8.46,-4.88,1.14,1.13,1.13
21.87,9.61,8.48,9.61,8.48,-8.48,-8.46,-5.02,1.13,1.13,1.13
22.09,9.61,8.49,9.61,8.49,-8.49,-8.46,-5.15,1.12,1.12,1.12
22.31,9.61,8.49,9.61,8.49,-8.49,-8.46,-5.30,1.12,1.12,1.12
22.54,9.62,8.50,9.62,8.50,-8.50,-8.46,-5.44,1.12,1.12,1.12
22.76,9.62,8.51,9.62,8.51,-8.51,-8.46,-5.59,1.11,1.11,1.11
22.99,9.62,8.51,9.62,8.51,-8.51,-8.46,-5.74,1.11,1.11,1.11
23.22,9.62,8.52,9.62,8.52,-8.52,-8.46,-5.89,1.10,1.10,1.10
23.45,9.62,8.52,9.62,8.52,-8.53,-8.46,-6.05,1.10,1.10,1.10
23.69,9.63,8.53,9.63,8.53,-8.53,-8.46,-6.22,1.10,1.10,1.10
23.92,9.63,8.54,9.63,8.54,-8.53,-8.46,-6.38,1.10,1.10,1.09
24.16,9.63,8.54,9.63,8.54,-8.54,-8.46,-6.55,1.10,1.09,1.09
24.40,9.62,8.53,9.62,8.54,-8.54,-8.46,-6.72,1.08,1.09,1.09
24.65,9.62,8.53,9.62,8.53,-8.54,-8.46,-6.90,1.08,1.08,1.09
24.89,9.62,8.54,9.62,8.54,-8.54,-8.46,-7.08,1.08,1.08,1.08
25.14,9.62,8.54,9.62,8.54,-8.54,-8.46,-7.26,1.08,1.08,1.08
25.39,9.62,8.54,9.62,8.54,-8.54,-8.46,-7.44,1.08,1.08,1.08
25.65,9.62,8.54,9.62,8.54,-8.54,-8.46,-7.63,1.08,1.08,1.08
25.91,9.62,8.54,9.62,8.54,-8.54,-8.46,-7.82,1.08,1.08,1.08
26.16,9.62,8.54,9.62,8.54,-8.54,-8.46,-8.00,1.08,1.08,1.08
26.43,9.62,8.54,9.62,8.54,-8.55,-8.46,-8.19,1.08,1.08,1.08
26.69,9.62,8.55,9.62,8.55,-8.55,-8.46,-8.38,1.08,1.08,1.07
26.96,9.62,8.55,9.62,8.55,-8.55,-8.46,-8.57,1.08,1.07,1.07
27.23,9.62,8.55,9.62,8.55,-8.55,-8.46,-8.75,1.08,1.07,1.07
27.50,9.61,8.54,9.62,8.55,-8.55,-8.46,-8.93,1.07,1.07,1.07
27.77,9.61,8.54,9.61,8.54,-8.55,-8.46,-9.11,1.07,1.07,1.07
28.05,9.61,8.55,9.61,8.54,-8.55,-8.46,-9.28,1.07,1.06,1.06
28.33,9.60,8.54,9.60,8.54,-8.55,-8.45,-9.45,1.06,1.06,1.06
28.62,9.60,8.54,9.60,8.54,-8.55,-8.45,-9.61,1.06,1.05,1.06
28.90,9.59,8.54,9.60,8.54,-8.55,-8.45,-9.75,1.05,1.05,1.05
29.19,9.60,8.55,9.60,8.55,-8.55,-8.45,-9.90,1.06,1.05,1.05
29.48,9.59,8.54,9.59,8.55,-8.54,-8.45,-10.02,1.05,1.05,1.05
29.78,9.59,8.55,9.59,8.55,-8.54,-8.45,-10.14,1.05,1.05,1.04
30.08,9.58,8.54,9.58,8.54,-8.54,-8.45,-10.23,1.04,1.04,1.04
30.38,9.57,8.53,9.57,8.54,-8.53,-8.45,-10.32,1.04,1.04,1.04
30.68,9.57,8.53,9.57,8.53,-8.53,-8.45,-10.39,1.04,1.04,1.04
30.99,9.56,8.52,9.56,8.52,-8.52,-8.44,-10.45,1.04,1.04,1.04
31.30,9.56,8.52,9.56,8.52,-8.52,-8.44,-10.48,1.05,1.04,1.04
31.61,9.55,8.50,9.55,8.51,-8.51,-8.44,-10.50,1.04,1.05,1.05
31.93,9.55,8.50,9.55,8.50,-8.50,-8.44,-10.50,1.05,1.05,1.05
32.24,9.54,8.49,9.54,8.49,-8.49,-8.44,-10.50,1.05,1.05,1.05
32.57,9.54,8.49,9.54,8.49,-8.49,-8.44,-10.46,1.05,1.05,1.05
32.89,9.53,8.48,9.53,8.48,-8.48,-8.43,-10.43,1.05,1.05,1.05
33.22,9.53,8.48,9.53,8.47,-8.48,-8.43,-10.37,1.06,1.05,1.05
33.55,9.51,8.46,9.52,8.47,-8.47,-8.43,-10.30,1.04,1.05,1.05
33.89,9.51,8.46,9.51,8.46,-8.47,-8.43,-10.22,1.04,1.05,1.05
34.23,9.51,8.47,9.51,8.46,-8.46,-8.43,-10.14,1.05,1.04,1.04
34.57,9.50,8.46,9.50,8.46,-8.46,-8.42,-10.04,1.04,1.04,1.04
34.92,9.49,8.46,9.49,8.46,-8.46,-8.42,-9.94,1.03,1.03,1.03
35.27,9.48,8.46,9.48,8.46,-8.46,-8.42,-9.83,1.02,1.02,1.02
35.62,9.47,8.46,9.47,8.46,-8.46,-8.42,-9.72,1.01,1.01,1.01
35.97,9.46,8.45,9.46,8.45,-8.46,-8.41,-9.61,1.00,1.00,1.01
36.33,9.45,8.45,9.45,8.45,-8.46,-8.41,-9.49,0.99,0.99,1.00
36.70,9.44,8.46,9.44,8.46,-8.46,-8.41,-9.37,0.98,0.98,0.98
37.06,9.43,8.46,9.43,8.46,-8.46,-8.40,-9.26,0.97,0.97,0.97
37.43,9.42,8.46,9.42,8.46,-8.46,-8.40,-9.14,0.96,0.96,0.96
37.81,9.41,8.46,9.41,8.46,-8.46,-8.39,-9.02,0.95,0.95,0.95
38.19,9.40,8.46,9.40,8.46,-8.46,-8.39,-8.91,0.94,0.94,0.94
38.57,9.39,8.45,9.39,8.46,-8.46,-8.39,-8.80,0.93,0.93,0.94
38.95,9.38,8.45,9.38,8.45,-8.45,-8.38,-8.70,0.93,0.93,0.93
39.34,9.37,8.45,9.37,8.45,-8.45,-8.38,-8.59,0.92,0.92,0.92
39.74,9.36,8.44,9.36,8.44,-8.44,-8.37,-8.50,0.92,0.92,0.92
40.14,9.35,8.44,9.35,8.44,-8.43,-8.37,-8.40,0.92,0.92,0.91
40.54,9.33,8.42,9.33,8.42,-8.42,-8.36,-8.31,0.91,0.91,0.91
40.94,9.32,8.41,9.32,8.41,-8.41,-8.36,-8.23,0.91,0.91,0.91
41.35,9.31,8.40,9.31,8.40,-8.40,-8.35,-8.15,0.91,0.91,0.91
41.76,9.30,8.39,9.30,8.39,-8.39,-8.35,-8.08,0.91,0.91,0.91
42.18,9.28,8.37,9.28,8.37,-8.38,-8.34,-8.01,0.91,0.91,0.91
42.60,9.26,8.35,9.27,8.36,-8.36,-8.33,-7.95,0.90,0.91,0.91
43.03,9.26,8.35,9.26,8.35,-8.34,-8.33,-7.89,0.92,0.91,0.91
43.46,9.24,8.33,9.24,8.33,-8.33,-8.32,-7.84,0.91,0.92,0.91
43.90,9.23,8.32,9.23,8.31,-8.31,-8.31,-7.80,0.92,0.92,0.91
44.33,9.20,8.28,9.21,8.29,-8.29,-8.30,-7.76,0.91,0.92,0.92
44.78,9.19,8.27,9.19,8.27,-8.27,-8.30,-7.73,0.92,0.92,0.92
45.23,9.17,8.25,9.17,8.25,-8.25,-8.29,-7.70,0.92,0.92,0.92
45.68,9.16,8.23,9.16,8.23,-8.23,-8.28,-7.68,0.93,0.93,0.93
46.13,9.15,8.22,9.14,8.21,-8.21,-8.27,-7.66,0.94,0.93,0.93
46.60,9.12,8.19,9.13,8.20,-8.20,-8.26,-7.65,0.92,0.93,0.93
47.06,9.11,8.18,9.11,8.18,-8.18,-8.25,-7.64,0.93,0.93,0.93
47.53,9.09,8.16,9.09,8.16,-8.17,-8.24,-7.64,0.92,0.93,0.93
48.01,9.08,8.15,9.08,8.15,-8.15,-8.23,-7.64,0.93,0.93,0.93
48.49,9.06,8.14,9.06,8.14,-8.14,-8.22,-7.65,0.92,0.93,0.92
48.97,9.05,8.13,9.05,8.13,-8.12,-8.21,-7.67,0.93,0.93,0.92
49.46,9.03,8.11,9.03,8.11,-8.11,-8.19,-7.68,0.92,0.92,0.92
49.96,9.01,8.10,9.01,8.09,-8.10,-8.18,-7.71,0.91,0.91,0.91
50.46,8.98,8.07,8.99,8.08,-8.08,-8.17,-7.73,0.90,0.90,0.91
50.96,8.96,8.06,8.97,8.06,-8.07,-8.16,-7.76,0.89,0.90,0.90
51.47,8.95,8.05,8.95,8.05,-8.05,-8.14,-7.79,0.90,0.90,0.90
51.99,8.93,8.04,8.93,8.04,-8.03,-8.13,-7.83,0.90,0.90,0.89
52.51,8.91,8.02,8.91,8.02,-8.01,-8.11,-7.86,0.90,0.89,0.89
53.03,8.88,7.99,8.88,8.00,-7.99,-8.10,-7.90,0.89,0.89,0.89
53.56,8.85,7.97,8.85,7.97,-7.97,-8.08,-7.94,0.88,0.88,0.88
54.10,8.83,7.95,8.83,7.95,-7.95,-8.06,-7.98,0.88,0.88,0.88
54.64,8.80,7.92,8.81,7.93,-7.93,-8.05,-8.02,0.87,0.88,0.88
55.18,8.79,7.91,8.79,7.90,-7.90,-8.03,-8.06,0.89,0.88,0.88
55.74,8.76,7.87,8.76,7.88,-7.88,-8.01,-8.10,0.89,0.89,0.89
56.29,8.74,7.85,8.74,7.85,-7.85,-7.99,-8.13,0.89,0.89,0.89
56.86,8.71,7.82,8.71,7.82,-7.82,-7.97,-8.17,0.89,0.89,0.89
57.42,8.68,7.79,8.69,7.80,-7.79,-7.95,-8.20,0.89,0.89,0.89
