frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,16.44,15.18,16.44,15.18,-15.18,-14.99,-8.35,1.27,1.26,1.27
20.20,16.52,15.26,16.53,15.26,-15.26,-15.06,-8.53,1.26,1.26,1.27
20.40,16.60,15.35,16.61,15.35,-15.35,-15.14,-8.71,1.26,1.26,1.26
20.61,16.68,15.43,16.68,15.43,-15.43,-15.21,-8.90,1.26,1.26,1.26
20.81,16.75,15.51,16.75,15.51,-15.50,-15.28,-9.09,1.25,1.25,1.25
21.02,16.82,15.58,16.82,15.58,-15.58,-15.35,-9.29,1.24,1.24,1.25
21.23,16.88,15.65,16.89,15.65,-15.65,-15.42,-9.49,1.23,1.24,1.24
21.44,16.95,15.72,16.95,15.72,-15.72,-15.49,-9.70,1.23,1.23,1.24
21.66,17.02,15.80,17.02,15.79,-15.79,-15.55,-9.91,1.23,1.23,1.23
21.87,17.08,15.86,17.09,15.86,-15.86,-15.62,-10.13,1.23,1.23,1.23
22.09,17.14,15.93,17.14,15.93,-15.92,-15.69,-10.35,1.22,1.22,1.22
22.31,17.20,15.99,17.20,15.99,-15.99,-15.75,-10.58,1.22,1.22,1.22
22.54,17.25,16.04,17.26,16.05,-16.05,-15.81,-10.82,1.21,1.21,1.22
22.76,17.31,16.11,17.31,16.10,-16.10,-15.88,-11.06,1.21,1.21,1.21
22.99,17.36,16.16,17.36,16.16,-16.16,-15.94,-11.31,1.21,1.20,1.21
23.22,17.40,16.21,17.41,16.21,-16.21,-16.00,-11.57,1.19,1.20,1.20
23.45,17.45,16.26,17.45,16.26,-16.26,-16.06,-11.83,1.19,1.19,1.20
23.69,17.50,16.31,17.50,16.31,-16.31,-16.11,-12.10,1.20,1.19,1.20
23.92,17.54,16.36,17.54,16.35,-16.35,-16.17,-12.38,1.19,1.19,1.19
24.16,17.58,16.40,17.58,16.40,-16.39,-16.23,-12.66,1.19,1.19,1.19
24.40,17.61,16.43,17.62,16.43,-16.43,-16.28,-12.96,1.18,1.18,1.19
24.65,17.65,16.47,17.65,16.47,-16.47,-16.33,-13.26,1.18,1.18,1.19
24.89,17.68,16.51,17.68,16.50,-16.51,-16.38,-13.57,1.18,1.18,1.18
25.14,17.71,16.54,17.72,16.54,-16.54,-16.43,-13.89,1.18,1.18,1.18
25.39,17.74,16.57,17.74,16.57,-16.57,-16.48,-14.22,1.18,1.18,1.18
25.65,17.77,16.60,17.77,16.59,-16.60,-16.52,-14.55,1.18,1.18,1.18
25.91,17.79,16.62,17.80,16.62,-16.62,-16.57,-14.90,1.17,1.17,1.18
26.16,17.81,16.64,17.82,16.64,-16.64,-16.61,-15.25,1.17,1.17,1.18
26.43,17.84,16.67,17.84,16.66,-16.67,-16.65,-15.61,1.18,1.17,1.18
26.69,17.85,16.69,17.86,16.69,-16.69,-16.69,-15.98,1.17,1.17,1.17
26.96,17.87,16.71,17.87,16.71,-16.70,-16.73,-16.36,1.17,1.17,1.17
27.23,17.89,16.73,17.89,16.72,-16.72,-16.77,-16.74,1.17,1.17,1.17
27.50,17.89,16.73,17.90,16.73,-16.74,-16.80,-17.13,1.16,1.16,1.17
27.77,17.90,16.74,17.91,16.75,-16.75,-16.83,-17.52,1.16,1.16,1.17
28.05,17.92,16.77,17.92,16.76,-16.76,-16.86,-17.91,1.16,1.16,1.16
28.33,17.92,16.77,17.93,16.77,-16.77,-16.89,-18.30,1.16,1.16,1.16
28.62,17.93,16.78,17.93,16.78,-16.78,-16.91,-18.68,1.16,1.15,1.16
28.90,17.92,16.78,17.93,16.78,-16.78,-16.94,-19.06,1.14,1.15,1.15
29.19,17.93,16.79,17.93,16.79,-16.79,-16.96,-19.41,1.15,1.14,1.15
29.48,17.93,16.79,17.93,16.79,-16.79,-16.98,-19.75,1.14,1.14,1.15
29.78,17.93,16.80,17.93,16.79,-16.79,-17.00,-20.06,1.14,1.14,1.14
30.08,17.92,16.79,17.93,16.79,-16.79,-17.01,-20.33,1.14,1.14,1.14
30.38,17.92,16.79,17.92,16.79,-16.78,-17.03,-20.56,1.14,1.14,1.14
30.68,17.91,16.78,17.91,16.78,-16.78,-17.04,-20.74,1.14,1.14,1.14
30.99,17.90,16.77,17.90,16.77,-16.77,-17.05,-20.87,1.14,1.14,1.14
31.30,17.89,16.76,17.89,16.75,-16.76,-17.06,-20.95,1.14,1.14,1.14
31.61,17.88,16.74,17.88,16.74,-16.74,-17.06,-20.96,1.14,1.14,1.15
31.93,17.87,16.73,17.87,16.73,-16.73,-17.06,-20.92,1.14,1.14,1.15
32.24,17.86,16.72,17.86,16.71,-16.71,-17.06,-20.82,1.15,1.15,1.15
32.57,17.84,16.70,17.85,16.70,-16.70,-17.06,-20.68,1.15,1.15,1.15
32.89,17.83,16.69,17.83,16.69,-16.68,-17.06,-20.51,1.15,1.15,1.15
33.22,17.81,16.67,17.81,16.67,-16.67,-17.05,-20.29,1.15,1.15,1.15
33.55,17.79,16.65,17.79,16.65,-16.65,-17.04,-20.05,1.14,1.14,1.15
33.89,17.77,16.63,17.77,16.63,-16.64,-17.03,-19.80,1.14,1.14,1.15
34.23,17.75,16.62,17.75,16.62,-16.62,-17.02,-19.53,1.14,1.14,1.14
34.57,17.73,16.60,17.73,16.60,-16.60,-17.01,-19.25,1.13,1.13,1.14
34.92,17.71,16.59,17.71,16.59,-16.58,-16.99,-18.97,1.13,1.13,1.13
35.27,17.68,16.57,17.69,16.57,-16.56,-16.97,-18.69,1.12,1.12,1.12
35.62,17.66,16.56,17.66,16.55,-16.55,-16.95,-18.41,1.12,1.11,1.11
35.97,17.62,16.52,17.63,16.52,-16.53,-16.93,-18.13,1.09,1.10,1.11
36.33,17.59,16.50,17.60,16.50,-16.51,-16.90,-17.87,1.08,1.09,1.10
36.70,17.56,16.49,17.57,16.49,-16.49,-16.88,-17.61,1.07,1.08,1.08
37.06,17.54,16.48,17.54,16.47,-16.47,-16.85,-17.36,1.08,1.07,1.07
37.43,17.50,16.45,17.51,16.45,-16.45,-16.82,-17.12,1.06,1.06,1.06
37.81,17.47,16.43,17.47,16.43,-16.42,-16.79,-16.89,1.05,1.05,1.05
38.19,17.43,16.40,17.44,16.40,-16.40,-16.75,-16.67,1.03,1.04,1.04
38.57,17.40,16.37,17.40,16.37,-16.37,-16.72,-16.46,1.03,1.03,1.04
38.95,17.37,16.35,17.37,16.34,-16.35,-16.68,-16.26,1.03,1.02,1.03
39.34,17.33,16.32,17.34,16.32,-16.32,-16.64,-16.07,1.02,1.02,1.02
39.74,17.30,16.29,17.30,16.29,-16.28,-16.60,-15.89,1.02,1.02,1.02
40.14,17.26,16.26,17.26,16.25,-16.25,-16.56,-15.72,1.01,1.01,1.01
40.54,17.21,16.21,17.22,16.22,-16.21,-16.51,-15.57,1.00,1.01,1.01
40.94,17.18,16.18,17.18,16.18,-16.18,-16.47,-15.42,1.01,1.00,1.01
41.35,17.14,16.14,17.14,16.14,-16.14,-16.42,-15.28,1.00,1.00,1.01
41.76,17.10,16.10,17.10,16.10,-16.10,-16.37,-15.16,1.00,1.00,1.01
42.18,17.06,16.06,17.06,16.06,-16.06,-16.32,-15.04,1.01,1.00,1.01
42.60,17.01,16.01,17.02,16.01,-16.02,-16.27,-14.94,1.00,1.00,1.01
43.03,16.98,15.98,16.98,15.97,-15.97,-16.21,-14.84,1.01,1.01,1.01
43.46,16.93,15.93,16.94,15.93,-15.93,-16.16,-14.75,1.01,1.01,1.01
43.90,16.89,15.89,16.89,15.88,-15.88,-16.11,-14.68,1.02,1.01,1.01
44.33,16.84,15.83,16.84,15.83,-15.83,-16.05,-14.61,1.01,1.01,1.02
44.78,16.79,15.78,16.80,15.78,-15.78,-15.99,-14.55,1.01,1.01,1.02
45.23,16.74,15.73,16.75,15.73,-15.73,-15.93,-14.50,1.01,1.02,1.02
45.68,16.70,15.68,16.70,15.68,-15.68,-15.87,-14.46,1.02,1.02,1.03
46.13,16.65,15.63,16.65,15.63,-15.63,-15.81,-14.42,1.02,1.02,1.03
46.60,16.60,15.58,16.60,15.58,-15.58,-15.75,-14.40,1.03,1.03,1.03
47.06,16.55,15.53,16.55,15.53,-15.53,-15.69,-14.38,1.03,1.03,1.03
47.53,16.50,15.48,16.50,15.48,-15.48,-15.62,-14.37,1.02,1.03,1.03
48.01,16.45,15.43,16.45,15.43,-15.43,-15.56,-14.37,1.02,1.02,1.03
48.49,16.40,15.39,16.40,15.38,-15.38,-15.50,-14.38,1.02,1.02,1.02
48.97,16.34,15.33,16.35,15.33,-15.33,-15.43,-14.40,1.01,1.02,1.02
49.46,16.29,15.28,16.29,15.28,-15.28,-15.37,-14.42,1.01,1.01,1.02
49.96,16.24,15.24,16.24,15.23,-15.23,-15.30,-14.45,1.01,1.01,1.01
50.46,16.18,15.18,16.19,15.18,-15.19,-15.23,-14.48,1.00,1.00,1.01
50.96,16.13,15.14,16.13,15.14,-15.14,-15.16,-14.52,1.00,1.00,1.00
51.47,16.08,15.09,16.08,15.09,-15.09,-15.10,-14.56,1.00,0.99,1.00
51.99,16.02,15.04,16.03,15.04,-15.04,-15.03,-14.61,0.99,0.99,0.99
52.51,15.97,14.99,15.97,14.98,-14.99,-14.96,-14.67,0.99,0.98,0.99
53.03,15.91,14.93,15.91,14.93,-14.93,-14.89,-14.73,0.98,0.98,0.99
53.56,15.85,14.88,15.86,14.88,-14.88,-14.82,-14.78,0.98,0.98,0.98
54.10,15.80,14.83,15.80,14.83,-14.82,-14.75,-14.85,0.98,0.98,0.98
54.64,15.74,14.77,15.74,14.77,-14.76,-14.68,-14.91,0.98,0.98,0.98
55.18,15.68,14.71,15.68,14.71,-14.70,-14.62,-14.97,0.98,0.98,0.98
55.74,15.62,14.64,15.62,14.64,-14.64,-14.55,-15.03,0.98,0.98,0.99
56.29,15.56,14.58,15.56,14.58,-14.58,-14.48,-15.08,0.98,0.98,0.99
56.86,15.50,14.52,15.50,14.52,-14.52,-14.41,-15.13,0.98,0.98,0.99
57.42,15.44,14.46,15.44,14.46,-14.46,-14.34,-15.18,0.99,0.99,0.99
