frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,15.69,12.87,15.69,12.87,-12.87,-12.33,-6.06,2.81,2.81,2.81
20.20,15.69,12.87,15.69,12.88,-12.88,-12.33,-6.21,2.81,2.81,2.81
20.40,15.69,12.88,15.69,12.88,-12.88,-12.33,-6.35,2.81,2.81,2.80
20.61,15.69,12.88,15.68,12.88,-12.88,-12.32,-6.51,2.81,2.80,2.80
20.81,15.68,12.88,15.68,12.88,-12.88,-12.32,-6.67,2.79,2.80,2.79
21.02,15.68,12.88,15.67,12.88,-12.88,-12.32,-6.83,2.79,2.79,2.79
21.23,15.67,12.88,15.67,12.88,-12.88,-12.32,-7.00,2.78,2.78,2.78
21.44,15.66,12.87,15.66,12.88,-12.88,-12.32,-7.17,2.78,2.78,2.78
21.66,15.66,12.88,15.65,12.88,-12.88,-12.32,-7.35,2.78,2.77,2.77
21.87,15.65,12.87,15.65,12.88,-12.88,-12.32,-7.53,2.77,2.77,2.77
22.09,15.65,12.88,15.64,12.88,-12.87,-12.32,-7.72,2.77,2.77,2.76
22.31,15.64,12.87,15.64,12.87,-12.87,-12.32,-7.91,2.77,2.77,2.76
22.54,15.63,12.86,15.63,12.87,-12.86,-12.31,-8.10,2.76,2.76,2.76
22.76,15.62,12.86,15.62,12.86,-12.86,-12.31,-8.31,2.76,2.76,2.75
22.99,15.61,12.85,15.61,12.85,-12.86,-12.31,-8.51,2.75,2.75,2.75
23.22,15.60,12.85,15.60,12.85,-12.85,-12.31,-8.73,2.74,2.75,2.74
23.45,15.59,12.84,15.59,12.84,-12.85,-12.31,-8.94,2.74,2.74,2.74
23.69,15.59,12.84,15.58,12.84,-12.84,-12.31,-9.17,2.74,2.74,2.74
23.92,15.58,12.84,15.58,12.84,-12.84,-12.31,-9.40,2.74,2.74,2.73
24.16,15.58,12.84,15.57,12.84,-12.84,-12.30,-9.63,2.74,2.74,2.73
24.40,15.57,12.83,15.57,12.83,-12.83,-12.30,-9.87,2.73,2.73,2.73
24.65,15.56,12.82,15.56,12.83,-12.83,-12.30,-10.12,2.73,2.73,2.73
24.89,15.56,12.83,15.55,12.83,-12.82,-12.30,-10.37,2.73,2.73,2.72
25.14,15.55,12.82,15.55,12.82,-12.82,-12.30,-10.63,2.73,2.73,2.72
25.39,15.54,12.81,15.54,12.81,-12.81,-12.29,-10.89,2.73,2.73,2.72
25.65,15.53,12.80,15.53,12.80,-12.80,-12.29,-11.16,2.73,2.72,2.72
25.91,15.52,12.79,15.51,12.79,-12.79,-12.29,-11.43,2.73,2.72,2.72
26.16,15.50,12.77,15.50,12.78,-12.78,-12.29,-11.71,2.72,2.72,2.72
26.43,15.49,12.76,15.48,12.76,-12.76,-12.28,-11.98,2.72,2.72,2.72
26.69,15.47,12.75,15.47,12.75,-12.75,-12.28,-12.27,2.72,2.72,2.71
26.96,15.46,12.74,15.45,12.74,-12.74,-12.28,-12.55,2.72,2.72,2.71
27.23,15.44,12.72,15.43,12.72,-12.72,-12.27,-12.83,2.72,2.71,2.71
27.50,15.42,12.70,15.42,12.70,-12.71,-12.27,-13.11,2.71,2.71,2.71
27.77,15.40,12.68,15.40,12.69,-12.69,-12.27,-13.39,2.70,2.71,2.71
28.05,15.39,12.68,15.38,12.68,-12.68,-12.26,-13.67,2.71,2.71,2.70
28.33,15.37,12.66,15.37,12.66,-12.66,-12.26,-13.94,2.70,2.70,2.70
28.62,15.36,12.65,15.35,12.65,-12.65,-12.26,-14.20,2.71,2.70,2.70
28.90,15.33,12.63,15.33,12.63,-12.64,-12.25,-14.44,2.69,2.70,2.69
29.19,15.32,12.62,15.31,12.62,-12.62,-12.25,-14.68,2.69,2.69,2.69
29.48,15.30,12.60,15.30,12.61,-12.61,-12.24,-14.89,2.69,2.69,2.69
29.78,15.29,12.60,15.28,12.60,-12.59,-12.24,-15.09,2.69,2.69,2.68
30.08,15.27,12.58,15.27,12.58,-12.58,-12.24,-15.25,2.69,2.69,2.68
30.38,15.25,12.56,15.25,12.56,-12.56,-12.23,-15.40,2.69,2.69,2.68
30.68,15.23,12.54,15.23,12.54,-12.54,-12.23,-15.50,2.68,2.68,2.68
30.99,15.21,12.52,15.21,12.52,-12.52,-12.22,-15.59,2.68,2.68,2.68
31.30,15.19,12.50,15.19,12.50,-12.50,-12.22,-15.63,2.68,2.69,2.68
31.61,15.18,12.48,15.17,12.48,-12.48,-12.21,-15.66,2.69,2.69,2.69
31.93,15.16,12.46,15.16,12.46,-12.46,-12.20,-15.64,2.69,2.69,2.69
32.24,15.14,12.44,15.14,12.44,-12.44,-12.20,-15.60,2.70,2.70,2.69
32.57,15.12,12.42,15.12,12.42,-12.42,-12.19,-15.52,2.70,2.70,2.69
32.89,15.10,12.40,15.09,12.40,-12.40,-12.18,-15.43,2.70,2.69,2.69
33.22,15.08,12.38,15.07,12.38,-12.38,-12.18,-15.30,2.69,2.69,2.69
33.55,15.05,12.35,15.05,12.36,-12.36,-12.17,-15.17,2.68,2.69,2.69
33.89,15.04,12.34,15.03,12.34,-12.34,-12.16,-15.00,2.69,2.69,2.69
34.23,15.02,12.33,15.02,12.33,-12.33,-12.15,-14.84,2.69,2.69,2.68
34.57,15.00,12.31,14.99,12.31,-12.31,-12.15,-14.65,2.69,2.69,2.68
34.92,14.97,12.29,14.97,12.29,-12.29,-12.14,-14.47,2.68,2.68,2.67
35.27,14.94,12.27,14.94,12.27,-12.27,-12.13,-14.27,2.66,2.67,2.66
35.62,14.92,12.26,14.91,12.25,-12.26,-12.12,-14.07,2.66,2.65,2.65
35.97,14.89,12.23,14.89,12.23,-12.24,-12.11,-13.87,2.64,2.64,2.65
