frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.82,9.05,10.82,9.04,-9.05,-8.85,-4.32,1.77,1.77,1.77
20.20,10.83,9.06,10.83,9.06,-9.06,-8.88,-4.44,1.77,1.77,1.77
20.40,10.84,9.08,10.84,9.07,-9.07,-8.91,-4.55,1.77,1.77,1.76
20.61,10.85,9.09,10.85,9.09,-9.08,-8.94,-4.67,1.76,1.76,1.76
20.81,10.85,9.10,10.85,9.10,-9.09,-8.97,-4.79,1.75,1.76,1.75
21.02,10.86,9.11,10.85,9.10,-9.11,-9.00,-4.92,1.75,1.75,1.75
21.23,10.86,9.12,10.86,9.12,-9.12,-9.03,-5.05,1.74,1.74,1.74
21.44,10.87,9.13,10.87,9.13,-9.13,-9.05,-5.18,1.74,1.74,1.74
21.66,10.88,9.15,10.87,9.14,-9.14,-9.08,-5.32,1.74,1.73,1.73
21.87,10.88,9.15,10.88,9.15,-9.15,-9.11,-5.46,1.73,1.73,1.73
22.09,10.89,9.17,10.89,9.16,-9.16,-9.13,-5.60,1.73,1.73,1.72
22.31,10.90,9.18,10.89,9.17,-9.17,-9.15,-5.75,1.72,1.72,1.72
22.54,10.90,9.18,10.90,9.18,-9.19,-9.17,-5.90,1.71,1.72,1.72
22.76,10.91,9.20,10.91,9.19,-9.20,-9.20,-6.06,1.71,1.71,1.71
22.99,10.92,9.21,10.92,9.21,-9.21,-9.22,-6.22,1.71,1.71,1.71
23.22,10.93,9.23,10.93,9.22,-9.22,-9.24,-6.38,1.71,1.71,1.70
23.45,10.93,9.23,10.93,9.23,-9.23,-9.25,-6.55,1.70,1.70,1.70
23.69,10.94,9.24,10.94,9.24,-9.24,-9.27,-6.72,1.70,1.70,1.70
23.92,10.94,9.25,10.94,9.25,-9.24,-9.29,-6.89,1.69,1.70,1.69
24.16,10.95,9.26,10.94,9.25,-9.25,-9.30,-7.07,1.70,1.69,1.69
24.40,10.95,9.26,10.95,9.26,-9.26,-9.32,-7.25,1.69,1.69,1.69
24.65,10.95,9.26,10.95,9.26,-9.26,-9.33,-7.44,1.68,1.69,1.69
24.89,10.96,9.28,10.95,9.27,-9.27,-9.34,-7.63,1.69,1.68,1.68
25.14,10.96,9.28,10.96,9.28,-9.28,-9.36,-7.82,1.68,1.68,1.68
25.39,10.97,9.29,10.97,9.29,-9.28,-9.37,-8.01,1.68,1.68,1.68
25.65,10.98,9.30,10.97,9.29,-9.29,-9.38,-8.20,1.69,1.68,1.68
25.91,10.98,9.30,10.98,9.30,-9.30,-9.39,-8.40,1.68,1.68,1.68
26.16,10.99,9.31,10.99,9.30,-9.31,-9.40,-8.60,1.68,1.68,1.68
26.43,10.99,9.31,10.99,9.31,-9.31,-9.41,-8.79,1.68,1.68,1.68
26.69,11.00,9.33,11.00,9.32,-9.32,-9.42,-8.99,1.68,1.68,1.67
26.96,11.00,9.33,11.00,9.33,-9.32,-9.42,-9.19,1.67,1.68,1.67
27.23,11.01,9.34,11.00,9.33,-9.33,-9.43,-9.38,1.68,1.67,1.67
27.50,11.00,9.33,11.00,9.33,-9.34,-9.44,-9.57,1.66,1.67,1.67
27.77,11.01,9.34,11.01,9.34,-9.34,-9.44,-9.76,1.67,1.67,1.67
28.05,11.02,9.36,11.01,9.35,-9.35,-9.45,-9.94,1.67,1.67,1.66
28.33,11.02,9.36,11.02,9.36,-9.36,-9.45,-10.11,1.66,1.66,1.66
28.62,11.03,9.37,11.02,9.36,-9.36,-9.46,-10.28,1.66,1.66,1.66
28.90,11.02,9.37,11.02,9.37,-9.37,-9.46,-10.44,1.65,1.65,1.65
29.19,11.03,9.38,11.03,9.37,-9.38,-9.46,-10.58,1.65,1.65,1.65
29.48,11.03,9.38,11.03,9.38,-9.38,-9.47,-10.72,1.64,1.65,1.65
29.78,11.04,9.40,11.04,9.39,-9.39,-9.47,-10.84,1.65,1.65,1.64
30.08,11.04,9.40,11.04,9.39,-9.39,-9.47,-10.95,1.65,1.65,1.64
30.38,11.04,9.40,11.04,9.40,-9.39,-9.47,-11.04,1.64,1.65,1.64
30.68,11.04,9.40,11.04,9.40,-9.40,-9.47,-11.12,1.64,1.64,1.64
30.99,11.04,9.40,11.04,9.40,-9.40,-9.47,-11.18,1.64,1.64,1.64
31.30,11.04,9.40,11.04,9.40,-9.40,-9.47,-11.22,1.64,1.64,1.64
31.61,11.05,9.40,11.04,9.40,-9.40,-9.47,-11.24,1.65,1.65,1.65
31.93,11.05,9.40,11.05,9.39,-9.40,-9.47,-11.25,1.65,1.65,1.65
32.24,11.05,9.40,11.05,9.40,-9.40,-9.47,-11.25,1.65,1.65,1.65
32.57,11.05,9.40,11.05,9.40,-9.40,-9.47,-11.23,1.65,1.65,1.65
32.89,11.06,9.41,11.05,9.40,-9.40,-9.47,-11.19,1.66,1.65,1.65
33.22,11.06,9.41,11.05,9.40,-9.40,-9.47,-11.14,1.66,1.65,1.65
33.55,11.05,9.40,11.05,9.40,-9.41,-9.47,-11.08,1.64,1.65,1.65
33.89,11.06,9.41,11.06,9.41,-9.41,-9.47,-11.01,1.65,1.65,1.65
34.23,11.06,9.42,11.06,9.41,-9.42,-9.47,-10.93,1.64,1.64,1.64
34.57,11.07,9.43,11.06,9.42,-9.42,-9.47,-10.84,1.65,1.64,1.64
34.92,11.06,9.43,11.06,9.43,-9.43,-9.46,-10.74,1.63,1.63,1.63
35.27,11.06,9.44,11.06,9.44,-9.44,-9.46,-10.64,1.62,1.63,1.62
35.62,11.07,9.46,11.06,9.44,-9.44,-9.46,-10.53,1.62,1.62,1.61
35.97,11.06,9.45,11.06,9.45,-9.45,-9.46,-10.43,1.60,1.61,1.61
36.33,11.06,9.46,11.06,9.46,-9.46,-9.46,-10.32,1.59,1.59,1.60
36.70,11.06,9.48,11.06,9.47,-9.47,-9.45,-10.21,1.58,1.58,1.58
37.06,11.06,9.49,11.06,9.49,-9.48,-9.45,-10.10,1.57,1.57,1.57
37.43,11.06,9.50,11.06,9.50,-9.49,-9.45,-9.99,1.56,1.56,1.56
37.81,11.06,9.51,11.06,9.51,-9.50,-9.45,-9.89,1.55,1.55,1.55
38.19,11.06,9.52,11.06,9.51,-9.51,-9.44,-9.78,1.54,1.54,1.54
38.57,11.06,9.52,11.06,9.52,-9.52,-9.44,-9.68,1.54,1.54,1.54
38.95,11.06,9.53,11.06,9.53,-9.53,-9.44,-9.59,1.53,1.53,1.53
39.34,11.06,9.54,11.06,9.53,-9.53,-9.44,-9.50,1.53,1.53,1.52
39.74,11.06,9.54,11.06,9.54,-9.54,-9.43,-9.41,1.52,1.52,1.52
40.14,11.06,9.55,11.05,9.54,-9.54,-9.43,-9.33,1.52,1.52,1.51
40.54,11.05,9.54,11.05,9.54,-9.54,-9.43,-9.25,1.51,1.51,1.51
40.94,11.05,9.54,11.05,9.54,-9.54,-9.43,-9.18,1.51,1.51,1.51
41.35,11.05,9.54,11.05,9.54,-9.54,-9.42,-9.12,1.51,1.51,1.51
41.76,11.05,9.54,11.05,9.54,-9.54,-9.42,-9.06,1.51,1.51,1.51
42.18,11.05,9.54,11.04,9.53,-9.53,-9.42,-9.00,1.51,1.51,1.51
42.60,11.04,9.53,11.04,9.53,-9.53,-9.41,-8.96,1.51,1.51,1.51
43.03,11.04,9.53,11.04,9.53,-9.52,-9.41,-8.91,1.51,1.51,1.51
43.46,11.04,9.53,11.03,9.52,-9.52,-9.41,-8.88,1.52,1.52,1.51
43.90,11.03,9.52,11.03,9.51,-9.51,-9.41,-8.85,1.52,1.52,1.51
44.33,11.02,9.50,11.02,9.50,-9.50,-9.40,-8.83,1.51,1.52,1.52
44.78,11.02,9.50,11.01,9.49,-9.50,-9.40,-8.81,1.52,1.52,1.52
45.23,11.01,9.49,11.01,9.48,-9.49,-9.40,-8.80,1.52,1.52,1.52
45.68,11.01,9.48,11.01,9.48,-9.48,-9.40,-8.80,1.53,1.53,1.53
46.13,11.01,9.48,11.00,9.47,-9.47,-9.39,-8.80,1.53,1.53,1.53
46.60,11.00,9.47,11.00,9.47,-9.47,-9.39,-8.81,1.53,1.53,1.53
47.06,11.00,9.47,11.00,9.46,-9.46,-9.39,-8.82,1.53,1.53,1.53
47.53,10.99,9.46,10.99,9.46,-9.46,-9.39,-8.84,1.53,1.53,1.53
48.01,10.99,9.46,10.99,9.46,-9.46,-9.38,-8.87,1.53,1.53,1.53
48.49,10.98,9.46,10.98,9.45,-9.45,-9.38,-8.90,1.52,1.53,1.52
48.97,10.98,9.46,10.98,9.45,-9.45,-9.38,-8.93,1.53,1.52,1.52
49.46,10.97,9.45,10.97,9.45,-9.45,-9.38,-8.97,1.52,1.52,1.52
49.96,10.97,9.46,10.96,9.45,-9.45,-9.37,-9.02,1.52,1.51,1.51
50.46,10.95,9.44,10.95,9.44,-9.45,-9.37,-9.07,1.50,1.51,1.51
50.96,10.95,9.45,10.95,9.44,-9.44,-9.37,-9.12,1.50,1.50,1.50
51.47,10.94,9.44,10.94,9.44,-9.44,-9.37,-9.18,1.50,1.50,1.50
51.99,10.94,9.45,10.94,9.44,-9.44,-9.36,-9.24,1.50,1.50,1.49
52.51,10.93,9.44,10.93,9.43,-9.43,-9.36,-9.30,1.49,1.49,1.49
53.03,10.92,9.43,10.92,9.43,-9.43,-9.36,-9.36,1.49,1.49,1.49
53.56,10.91,9.43,10.91,9.42,-9.42,-9.35,-9.43,1.48,1.49,1.48
54.10,10.91,9.43,10.90,9.42,-9.42,-9.35,-9.50,1.49,1.48,1.48
54.64,10.89,9.41,10.89,9.41,-9.41,-9.35,-9.56,1.48,1.48,1.48
55.18,10.89,9.41,10.89,9.40,-9.40,-9.34,-9.63,1.49,1.49,1.48
55.74,10.88,9.39,10.88,9.39,-9.39,-9.34,-9.69,1.49,1.48,1.49
56.29,10.87,9.38,10.87,9.38,-9.38,-9.34,-9.75,1.49,1.49,1.49
56.86,10.86,9.37,10.86,9.37,-9.37,-9.33,-9.81,1.49,1.49,1.49
57.42,10.86,9.37,10.86,9.36,-9.36,-9.33,-9.86,1.50,1.50,1.49
58.00,10.85,9.36,10.85,9.35,-9.35,-9.33,-9.91,1.50,1.50,1.49
58.58,10.84,9.35,10.84,9.34,-9.34,-9.32,-9.95,1.50,1.50,1.49
59.16,10.82,9.33,10.82,9.33,-9.33,-9.32,-9.99,1.49,1.49,1.49
59.76,10.81,9.32,10.81,9.32,-9.32,-9.31,-10.02,1.49,1.49,1.49
60.35,10.80,9.31,10.80,9.31,-9.31,-9.31,-10.04,1.48,1.49,1.49
60.96,10.80,9.32,10.79,9.30,-9.31,-9.30,-10.05,1.49,1.49,1.48
61.57,10.78,9.30,10.78,9.30,-9.30,-9.30,-10.05,1.48,1.48,1.48
62.18,10.77,9.29,10.77,9.29,-9.29,-9.29,-10.04,1.48,1.48,1.48
62.80,10.76,9.29,10.76,9.28,-9.28,-9.29,-10.03,1.48,1.47,1.47
63.43,10.75,9.28,10.75,9.28,-9.27,-9.28,-10.00,1.47,1.47,1.47
64.07,10.73,9.27,10.73,9.27,-9.26,-9.28,-9.97,1.46,1.47,1.46
64.71,10.72,9.26,10.71,9.25,-9.25,-9.27,-9.93,1.47,1.46,1.46
65.35,10.70,9.24,10.70,9.24,-9.24,-9.27,-9.87,1.46,1.46,1.46
66.01,10.69,9.23,10.69,9.23,-9.23,-9.26,-9.81,1.46,1.46,1.46
66.67,10.68,9.22,10.67,9.21,-9.21,-9.25,-9.75,1.46,1.46,1.46
67.33,10.66,9.20,10.66,9.20,-9.20,-9.24,-9.67,1.46,1.46,1.46
68.01,10.65,9.19,10.65,9.19,-9.19,-9.24,-9.59,1.46,1.46,1.46
68.69,10.64,9.18,10.63,9.17,-9.17,-9.23,-9.51,1.46,1.46,1.46
69.37,10.62,9.16,10.62,9.16,-9.16,-9.22,-9.42,1.46,1.46,1.46
