frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-7.63,-9.45,-7.63,-9.45,6.00,6.31,2.68,-1.63,-1.63,1.82
20.20,-7.54,-9.36,-7.54,-9.35,6.00,6.29,2.75,-1.54,-1.54,1.82
20.40,-7.46,-9.27,-7.46,-9.27,6.00,6.26,2.83,-1.46,-1.46,1.81
20.61,-7.39,-9.20,-7.39,-9.19,6.00,6.24,2.92,-1.39,-1.39,1.81
20.81,-7.32,-9.12,-7.32,-9.12,6.00,6.22,3.00,-1.32,-1.32,1.80
21.02,-7.27,-9.07,-7.27,-9.06,6.00,6.19,3.09,-1.27,-1.27,1.80
21.23,-7.22,-9.01,-7.22,-9.01,6.00,6.17,3.17,-1.22,-1.22,1.79
21.44,-7.17,-8.96,-7.17,-8.95,6.00,6.15,3.27,-1.17,-1.17,1.79
21.66,-7.11,-8.89,-7.11,-8.89,6.00,6.12,3.36,-1.11,-1.11,1.78
21.87,-7.05,-8.83,-7.05,-8.83,6.00,6.10,3.46,-1.05,-1.05,1.78
22.09,-6.99,-8.76,-6.99,-8.76,6.00,6.08,3.56,-0.99,-0.99,1.77
22.31,-6.92,-8.69,-6.92,-8.68,6.00,6.05,3.66,-0.92,-0.92,1.77
22.54,-6.84,-8.61,-6.84,-8.61,6.00,6.03,3.76,-0.84,-0.84,1.77
22.76,-6.76,-8.52,-6.76,-8.52,6.00,6.01,3.87,-0.76,-0.76,1.76
22.99,-6.68,-8.44,-6.68,-8.43,6.00,5.98,3.98,-0.68,-0.68,1.76
23.22,-6.59,-8.34,-6.59,-8.34,6.00,5.96,4.09,-0.59,-0.59,1.75
23.45,-6.51,-8.26,-6.51,-8.25,6.00,5.94,4.21,-0.51,-0.51,1.75
23.69,-6.42,-8.17,-6.42,-8.16,6.00,5.92,4.33,-0.42,-0.42,1.75
23.92,-6.33,-8.07,-6.33,-8.07,6.00,5.89,4.45,-0.33,-0.33,1.74
24.16,-6.24,-7.98,-6.24,-7.98,6.00,5.87,4.57,-0.24,-0.24,1.74
24.40,-6.15,-7.89,-6.15,-7.88,6.00,5.85,4.69,-0.15,-0.15,1.74
24.65,-6.06,-7.80,-6.06,-7.79,6.00,5.84,4.82,-0.06,-0.06,1.74
24.89,-5.96,-7.69,-5.96,-7.69,6.00,5.82,4.95,0.04,0.04,1.73
25.14,-5.87,-7.60,-5.86,-7.59,6.00,5.81,5.08,0.13,0.14,1.73
25.39,-5.77,-7.49,-5.77,-7.49,6.00,5.79,5.21,0.23,0.23,1.73
25.65,-5.66,-7.39,-5.66,-7.39,6.00,5.78,5.34,0.34,0.34,1.73
25.91,-5.56,-7.29,-5.55,-7.28,6.00,5.77,5.47,0.44,0.45,1.73
26.16,-5.44,-7.16,-5.44,-7.17,6.00,5.77,5.60,0.56,0.56,1.73
26.43,-5.33,-7.06,-5.33,-7.05,6.00,5.77,5.73,0.67,0.67,1.73
26.69,-5.22,-6.94,-5.22,-6.94,6.00,5.78,5.86,0.78,0.78,1.72
26.96,-5.11,-6.83,-5.11,-6.83,6.00,5.79,5.99,0.89,0.89,1.72
27.23,-5.02,-6.74,-5.02,-6.74,6.00,5.80,6.11,0.98,0.98,1.72
27.50,-4.94,-6.66,-4.94,-6.65,6.00,5.83,6.23,1.06,1.06,1.72
27.77,-4.87,-6.59,-4.87,-6.58,6.00,5.86,6.35,1.13,1.13,1.72
28.05,-4.81,-6.52,-4.81,-6.52,6.00,5.91,6.46,1.19,1.19,1.71
28.33,-4.77,-6.48,-4.77,-6.48,6.00,5.96,6.56,1.23,1.23,1.71
