frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.41,-4.63,-2.41,-4.63,4.62,4.47,1.14,2.21,2.21,2.22
20.20,-2.37,-4.57,-2.37,-4.57,4.56,4.42,1.18,2.19,2.19,2.20
20.40,-2.33,-4.50,-2.33,-4.50,4.51,4.37,1.21,2.17,2.17,2.17
20.61,-2.29,-4.44,-2.29,-4.44,4.45,4.32,1.25,2.15,2.15,2.15
20.81,-2.25,-4.38,-2.26,-4.38,4.39,4.27,1.29,2.13,2.13,2.13
21.02,-2.22,-4.32,-2.22,-4.32,4.32,4.22,1.33,2.10,2.11,2.10
21.23,-2.18,-4.26,-2.18,-4.26,4.26,4.18,1.37,2.08,2.08,2.08
21.44,-2.14,-4.20,-2.15,-4.20,4.20,4.13,1.41,2.06,2.05,2.06
21.66,-2.11,-4.15,-2.11,-4.15,4.14,4.08,1.45,2.03,2.03,2.04
21.87,-2.07,-4.09,-2.07,-4.09,4.08,4.03,1.49,2.01,2.01,2.02
22.09,-2.02,-4.02,-2.03,-4.02,4.02,3.98,1.54,1.99,1.99,2.00
22.31,-1.98,-3.96,-1.98,-3.96,3.95,3.93,1.59,1.97,1.97,1.98
22.54,-1.94,-3.89,-1.94,-3.89,3.89,3.88,1.63,1.95,1.95,1.95
22.76,-1.89,-3.82,-1.90,-3.82,3.83,3.82,1.68,1.93,1.93,1.93
22.99,-1.85,-3.76,-1.85,-3.76,3.76,3.77,1.73,1.91,1.91,1.91
23.22,-1.81,-3.70,-1.81,-3.70,3.70,3.72,1.78,1.89,1.89,1.89
23.45,-1.76,-3.64,-1.77,-3.64,3.64,3.67,1.83,1.88,1.87,1.88
23.69,-1.72,-3.58,-1.72,-3.58,3.58,3.62,1.89,1.86,1.86,1.86
23.92,-1.67,-3.52,-1.68,-3.52,3.52,3.57,1.94,1.85,1.85,1.85
24.16,-1.63,-3.46,-1.64,-3.46,3.46,3.52,2.00,1.83,1.83,1.83
24.40,-1.59,-3.41,-1.59,-3.41,3.41,3.47,2.05,1.81,1.81,1.82
24.65,-1.55,-3.36,-1.55,-3.35,3.35,3.41,2.11,1.80,1.80,1.81
24.89,-1.50,-3.29,-1.50,-3.29,3.29,3.36,2.16,1.79,1.79,1.79
25.14,-1.45,-3.23,-1.46,-3.23,3.23,3.31,2.22,1.78,1.78,1.78
25.39,-1.41,-3.18,-1.41,-3.17,3.18,3.26,2.28,1.76,1.77,1.77
25.65,-1.36,-3.12,-1.36,-3.12,3.12,3.21,2.34,1.75,1.75,1.76
25.91,-1.31,-3.06,-1.32,-3.06,3.06,3.15,2.39,1.74,1.74,1.75
26.16,-1.27,-3.01,-1.27,-3.00,3.00,3.10,2.45,1.73,1.73,1.74
26.43,-1.22,-2.94,-1.22,-2.94,2.94,3.05,2.51,1.72,1.72,1.72
26.69,-1.17,-2.88,-1.18,-2.88,2.89,3.00,2.56,1.71,1.71,1.71
26.96,-1.13,-2.83,-1.13,-2.82,2.83,2.95,2.62,1.70,1.70,1.70
27.23,-1.08,-2.77,-1.09,-2.77,2.78,2.89,2.67,1.69,1.69,1.69
27.50,-1.04,-2.72,-1.04,-2.72,2.72,2.84,2.72,1.68,1.68,1.68
27.77,-1.00,-2.68,-1.00,-2.67,2.67,2.79,2.77,1.67,1.67,1.68
28.05,-0.95,-2.62,-0.96,-2.62,2.62,2.74,2.81,1.67,1.66,1.67
28.33,-0.91,-2.57,-0.91,-2.57,2.57,2.69,2.86,1.66,1.66,1.66
28.62,-0.86,-2.52,-0.87,-2.52,2.52,2.64,2.90,1.66,1.65,1.66
28.90,-0.82,-2.47,-0.82,-2.47,2.47,2.58,2.93,1.65,1.65,1.65
29.19,-0.78,-2.43,-0.78,-2.42,2.42,2.53,2.97,1.64,1.64,1.65
29.48,-0.73,-2.37,-0.74,-2.37,2.37,2.48,3.00,1.64,1.64,1.64
29.78,-0.69,-2.33,-0.69,-2.33,2.32,2.43,3.02,1.63,1.63,1.64
30.08,-0.64,-2.27,-0.65,-2.28,2.28,2.38,3.04,1.63,1.63,1.63
30.38,-0.61,-2.24,-0.61,-2.23,2.23,2.33,3.06,1.62,1.62,1.63
30.68,-0.56,-2.18,-0.57,-2.18,2.19,2.28,3.07,1.62,1.62,1.62
30.99,-0.52,-2.13,-0.53,-2.14,2.14,2.23,3.08,1.62,1.61,1.61
31.30,-0.49,-2.10,-0.49,-2.09,2.10,2.18,3.08,1.61,1.61,1.61
31.61,-0.46,-2.06,-0.46,-2.06,2.06,2.13,3.07,1.60,1.60,1.60
31.93,-0.43,-2.02,-0.43,-2.02,2.02,2.09,3.06,1.59,1.59,1.59
32.24,-0.40,-1.99,-0.40,-1.99,1.98,2.04,3.05,1.58,1.58,1.59
32.57,-0.37,-1.95,-0.37,-1.95,1.95,1.99,3.03,1.57,1.57,1.58
32.89,-0.34,-1.91,-0.34,-1.91,1.91,1.94,3.01,1.56,1.56,1.57
33.22,-0.31,-1.87,-0.31,-1.87,1.87,1.90,2.98,1.56,1.56,1.56
33.55,-0.28,-1.83,-0.28,-1.83,1.83,1.85,2.95,1.55,1.55,1.55
33.89,-0.25,-1.79,-0.25,-1.79,1.79,1.80,2.91,1.54,1.54,1.54
34.23,-0.22,-1.75,-0.22,-1.75,1.75,1.76,2.87,1.53,1.53,1.53
34.57,-0.19,-1.72,-0.19,-1.72,1.72,1.71,2.83,1.52,1.52,1.53
34.92,-0.16,-1.68,-0.16,-1.68,1.68,1.67,2.78,1.52,1.52,1.52
35.27,-0.13,-1.64,-0.14,-1.64,1.64,1.62,2.73,1.51,1.51,1.51
35.62,-0.10,-1.61,-0.11,-1.61,1.61,1.58,2.68,1.51,1.50,1.51
35.97,-0.08,-1.58,-0.08,-1.58,1.57,1.54,2.63,1.49,1.50,1.50
36.33,-0.04,-1.54,-0.05,-1.54,1.54,1.49,2.58,1.50,1.49,1.50
36.70,-0.02,-1.51,-0.02,-1.51,1.51,1.45,2.52,1.48,1.48,1.49
37.06,0.01,-1.47,0.01,-1.47,1.47,1.41,2.46,1.48,1.48,1.48
37.43,0.04,-1.44,0.04,-1.44,1.44,1.37,2.40,1.47,1.47,1.48
37.81,0.07,-1.40,0.07,-1.40,1.40,1.33,2.35,1.47,1.47,1.47
38.19,0.10,-1.37,0.09,-1.37,1.37,1.29,2.29,1.47,1.46,1.47
38.57,0.12,-1.34,0.12,-1.34,1.34,1.26,2.23,1.45,1.46,1.46
38.95,0.15,-1.31,0.15,-1.31,1.31,1.22,2.17,1.45,1.45,1.46
39.34,0.18,-1.27,0.17,-1.27,1.28,1.18,2.11,1.45,1.45,1.45
39.74,0.20,-1.25,0.20,-1.25,1.24,1.15,2.05,1.44,1.44,1.45
40.14,0.23,-1.21,0.22,-1.21,1.21,1.11,1.99,1.44,1.44,1.44
40.54,0.25,-1.19,0.25,-1.19,1.18,1.08,1.94,1.43,1.43,1.44
40.94,0.28,-1.15,0.27,-1.15,1.15,1.04,1.88,1.43,1.43,1.43
41.35,0.30,-1.13,0.30,-1.12,1.13,1.01,1.82,1.42,1.42,1.43
41.76,0.33,-1.09,0.32,-1.09,1.10,0.98,1.77,1.42,1.42,1.42
42.18,0.35,-1.07,0.35,-1.07,1.07,0.95,1.72,1.42,1.41,1.42
42.60,0.37,-1.04,0.37,-1.04,1.04,0.92,1.66,1.41,1.41,1.41
43.03,0.39,-1.02,0.39,-1.02,1.01,0.89,1.61,1.40,1.40,1.41
43.46,0.41,-0.99,0.41,-0.99,0.99,0.86,1.56,1.39,1.40,1.40
43.90,0.44,-0.96,0.43,-0.96,0.96,0.83,1.51,1.40,1.39,1.40
44.33,0.46,-0.94,0.46,-0.93,0.94,0.81,1.47,1.39,1.39,1.40
44.78,0.48,-0.91,0.48,-0.91,0.91,0.78,1.42,1.39,1.39,1.39
45.23,0.51,-0.88,0.50,-0.89,0.89,0.76,1.37,1.39,1.39,1.39
45.68,0.52,-0.87,0.52,-0.86,0.86,0.73,1.33,1.38,1.39,1.39
46.13,0.55,-0.84,0.54,-0.84,0.84,0.71,1.29,1.39,1.39,1.39
46.60,0.57,-0.82,0.56,-0.82,0.82,0.69,1.24,1.39,1.38,1.39
47.06,0.59,-0.80,0.59,-0.80,0.80,0.66,1.20,1.39,1.39,1.39
47.53,0.61,-0.78,0.61,-0.78,0.78,0.64,1.16,1.39,1.39,1.39
48.01,0.63,-0.76,0.63,-0.76,0.76,0.62,1.12,1.39,1.39,1.39
48.49,0.65,-0.74,0.65,-0.74,0.74,0.60,1.09,1.39,1.39,1.39
48.97,0.67,-0.72,0.66,-0.72,0.72,0.59,1.05,1.39,1.38,1.39
49.46,0.69,-0.70,0.68,-0.70,0.70,0.57,1.01,1.39,1.38,1.39
49.96,0.70,-0.69,0.70,-0.68,0.68,0.55,0.98,1.38,1.38,1.39
50.46,0.73,-0.66,0.72,-0.66,0.66,0.54,0.94,1.39,1.39,1.39
50.96,0.75,-0.64,0.74,-0.64,0.64,0.52,0.91,1.39,1.39,1.39
51.47,0.77,-0.62,0.76,-0.62,0.62,0.51,0.88,1.39,1.39,1.39
51.99,0.78,-0.61,0.78,-0.61,0.60,0.49,0.85,1.38,1.38,1.39
52.51,0.80,-0.59,0.80,-0.59,0.59,0.48,0.82,1.38,1.38,1.39
53.03,0.82,-0.57,0.82,-0.57,0.57,0.47,0.79,1.38,1.39,1.39
53.56,0.84,-0.55,0.84,-0.55,0.55,0.46,0.76,1.39,1.39,1.39
54.10,0.87,-0.52,0.86,-0.53,0.53,0.45,0.73,1.40,1.39,1.39
54.64,0.87,-0.52,0.87,-0.51,0.51,0.44,0.71,1.38,1.39,1.39
55.18,0.89,-0.50,0.89,-0.50,0.50,0.43,0.68,1.38,1.39,1.39
55.74,0.91,-0.48,0.90,-0.48,0.48,0.42,0.65,1.39,1.38,1.39
