frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.49,-1.29,-3.49,-1.29,1.29,-0.15,-1.41,-2.20,-2.20,-2.21
20.20,-3.37,-1.15,-3.37,-1.14,1.14,-0.22,-1.45,-2.23,-2.23,-2.23
20.40,-3.25,-1.00,-3.25,-1.00,1.00,-0.29,-1.49,-2.26,-2.25,-2.26
20.61,-3.13,-0.85,-3.13,-0.85,0.85,-0.35,-1.53,-2.28,-2.28,-2.27
20.81,-3.00,-0.71,-3.00,-0.70,0.71,-0.42,-1.58,-2.30,-2.30,-2.30
21.02,-2.88,-0.56,-2.88,-0.56,0.56,-0.49,-1.62,-2.32,-2.32,-2.33
21.23,-2.75,-0.41,-2.76,-0.41,0.42,-0.56,-1.67,-2.34,-2.34,-2.35
21.44,-2.63,-0.27,-2.64,-0.27,0.28,-0.63,-1.71,-2.36,-2.36,-2.37
21.66,-2.52,-0.14,-2.52,-0.13,0.13,-0.70,-1.76,-2.39,-2.38,-2.39
21.87,-2.40,0.00,-2.40,0.00,-0.01,-0.77,-1.81,-2.41,-2.41,-2.41
22.09,-2.28,0.14,-2.28,0.14,-0.15,-0.84,-1.86,-2.43,-2.43,-2.43
22.31,-2.16,0.28,-2.16,0.28,-0.29,-0.91,-1.92,-2.45,-2.45,-2.45
22.54,-2.05,0.42,-2.05,0.43,-0.43,-0.99,-1.97,-2.48,-2.47,-2.47
22.76,-1.92,0.57,-1.93,0.57,-0.57,-1.06,-2.03,-2.49,-2.49,-2.50
22.99,-1.80,0.71,-1.80,0.71,-0.71,-1.13,-2.08,-2.51,-2.51,-2.52
23.22,-1.68,0.85,-1.68,0.85,-0.85,-1.20,-2.14,-2.53,-2.53,-2.54
23.45,-1.56,0.98,-1.56,0.98,-0.99,-1.27,-2.20,-2.55,-2.55,-2.55
23.69,-1.45,1.12,-1.44,1.12,-1.12,-1.34,-2.26,-2.57,-2.56,-2.57
23.92,-1.32,1.25,-1.32,1.26,-1.25,-1.42,-2.32,-2.58,-2.58,-2.58
24.16,-1.20,1.39,-1.21,1.39,-1.38,-1.49,-2.39,-2.59,-2.59,-2.60
24.40,-1.09,1.51,-1.09,1.51,-1.51,-1.56,-2.45,-2.60,-2.61,-2.61
24.65,-0.98,1.63,-0.98,1.64,-1.64,-1.63,-2.52,-2.62,-2.62,-2.62
24.89,-0.87,1.76,-0.87,1.76,-1.77,-1.71,-2.58,-2.64,-2.63,-2.64
25.14,-0.75,1.89,-0.75,1.89,-1.89,-1.78,-2.65,-2.64,-2.65,-2.65
25.39,-0.64,2.01,-0.64,2.01,-2.01,-1.85,-2.72,-2.65,-2.66,-2.66
25.65,-0.53,2.13,-0.53,2.13,-2.13,-1.92,-2.78,-2.67,-2.67,-2.67
25.91,-0.43,2.25,-0.42,2.25,-2.25,-2.00,-2.85,-2.68,-2.68,-2.68
26.16,-0.31,2.37,-0.32,2.37,-2.37,-2.07,-2.92,-2.68,-2.69,-2.69
26.43,-0.21,2.49,-0.21,2.49,-2.49,-2.14,-2.99,-2.70,-2.70,-2.71
26.69,-0.11,2.60,-0.11,2.60,-2.60,-2.21,-3.06,-2.71,-2.71,-2.72
26.96,-0.01,2.71,-0.01,2.71,-2.71,-2.29,-3.12,-2.73,-2.73,-2.73
27.23,0.09,2.82,0.08,2.82,-2.82,-2.36,-3.19,-2.73,-2.74,-2.74
27.50,0.18,2.92,0.18,2.92,-2.92,-2.43,-3.25,-2.75,-2.74,-2.75
27.77,0.28,3.02,0.28,3.03,-3.03,-2.51,-3.32,-2.75,-2.75,-2.75
28.05,0.38,3.13,0.37,3.13,-3.13,-2.58,-3.38,-2.75,-2.76,-2.76
28.33,0.46,3.22,0.46,3.22,-3.22,-2.65,-3.44,-2.76,-2.76,-2.77
28.62,0.55,3.31,0.55,3.32,-3.32,-2.72,-3.50,-2.77,-2.77,-2.77
28.90,0.64,3.41,0.63,3.41,-3.41,-2.79,-3.55,-2.77,-2.77,-2.78
29.19,0.72,3.49,0.72,3.49,-3.50,-2.87,-3.60,-2.78,-2.78,-2.78
29.48,0.80,3.58,0.80,3.58,-3.58,-2.94,-3.65,-2.78,-2.78,-2.79
29.78,0.88,3.66,0.88,3.66,-3.67,-3.01,-3.70,-2.79,-2.79,-2.79
30.08,0.96,3.75,0.95,3.74,-3.75,-3.08,-3.74,-2.79,-2.80,-2.80
30.38,1.02,3.81,1.03,3.82,-3.82,-3.15,-3.78,-2.81,-2.80,-2.80
30.68,1.10,3.90,1.09,3.90,-3.90,-3.22,-3.82,-2.80,-2.80,-2.81
30.99,1.17,3.98,1.16,3.97,-3.97,-3.29,-3.85,-2.80,-2.81,-2.82
31.30,1.22,4.03,1.22,4.04,-4.03,-3.36,-3.88,-2.82,-2.81,-2.82
31.61,1.28,4.10,1.28,4.10,-4.10,-3.43,-3.90,-2.82,-2.82,-2.83
31.93,1.33,4.16,1.33,4.16,-4.16,-3.50,-3.92,-2.83,-2.83,-2.84
32.24,1.38,4.21,1.38,4.22,-4.22,-3.57,-3.94,-2.84,-2.84,-2.84
32.57,1.43,4.27,1.42,4.27,-4.27,-3.64,-3.96,-2.85,-2.85,-2.85
32.89,1.47,4.32,1.47,4.33,-4.33,-3.71,-3.97,-2.86,-2.86,-2.86
33.22,1.52,4.38,1.51,4.38,-4.38,-3.78,-3.97,-2.86,-2.87,-2.87
33.55,1.56,4.43,1.56,4.43,-4.43,-3.85,-3.98,-2.87,-2.88,-2.88
33.89,1.60,4.48,1.60,4.48,-4.48,-3.91,-3.98,-2.88,-2.88,-2.89
34.23,1.64,4.53,1.64,4.53,-4.53,-3.98,-3.98,-2.89,-2.89,-2.90
34.57,1.68,4.57,1.68,4.58,-4.57,-4.04,-3.98,-2.90,-2.90,-2.90
34.92,1.72,4.62,1.71,4.62,-4.62,-4.11,-3.98,-2.90,-2.90,-2.91
35.27,1.75,4.66,1.75,4.66,-4.66,-4.17,-3.97,-2.91,-2.91,-2.92
35.62,1.78,4.69,1.78,4.70,-4.70,-4.24,-3.97,-2.92,-2.92,-2.92
35.97,1.81,4.73,1.81,4.73,-4.74,-4.30,-3.96,-2.93,-2.93,-2.93
36.33,1.85,4.77,1.84,4.77,-4.77,-4.36,-3.95,-2.92,-2.93,-2.93
36.70,1.87,4.80,1.87,4.81,-4.81,-4.42,-3.95,-2.94,-2.94,-2.94
37.06,1.90,4.84,1.90,4.84,-4.84,-4.48,-3.94,-2.94,-2.94,-2.95
37.43,1.93,4.87,1.92,4.87,-4.87,-4.54,-3.94,-2.94,-2.95,-2.95
37.81,1.95,4.90,1.95,4.90,-4.90,-4.60,-3.93,-2.96,-2.95,-2.96
38.19,1.98,4.93,1.97,4.93,-4.93,-4.66,-3.93,-2.95,-2.96,-2.96
38.57,2.00,4.96,2.00,4.96,-4.96,-4.72,-3.93,-2.96,-2.96,-2.97
38.95,2.02,4.98,2.02,4.99,-4.99,-4.77,-3.93,-2.97,-2.97,-2.97
39.34,2.04,5.01,2.04,5.01,-5.01,-4.83,-3.93,-2.97,-2.97,-2.98
39.74,2.06,5.03,2.05,5.03,-5.03,-4.88,-3.93,-2.98,-2.98,-2.98
