frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.25,0.26,2.25,0.26,-0.26,-0.54,-0.47,1.99,1.99,1.99
20.20,2.25,0.28,2.25,0.28,-0.28,-0.54,-0.48,1.97,1.97,1.97
20.40,2.24,0.30,2.25,0.30,-0.31,-0.55,-0.50,1.94,1.94,1.94
20.61,2.25,0.33,2.25,0.33,-0.33,-0.56,-0.51,1.92,1.92,1.92
20.81,2.25,0.35,2.25,0.35,-0.35,-0.57,-0.53,1.90,1.90,1.90
21.02,2.25,0.38,2.26,0.38,-0.38,-0.58,-0.54,1.87,1.88,1.87
21.23,2.26,0.41,2.26,0.41,-0.40,-0.59,-0.56,1.86,1.85,1.85
21.44,2.26,0.43,2.26,0.43,-0.43,-0.60,-0.58,1.83,1.83,1.83
21.66,2.26,0.45,2.27,0.46,-0.46,-0.61,-0.60,1.80,1.81,1.81
21.87,2.27,0.48,2.27,0.48,-0.48,-0.62,-0.61,1.79,1.79,1.79
22.09,2.28,0.51,2.28,0.51,-0.51,-0.63,-0.63,1.77,1.76,1.77
22.31,2.28,0.53,2.28,0.54,-0.54,-0.64,-0.65,1.74,1.74,1.75
22.54,2.29,0.57,2.29,0.57,-0.57,-0.65,-0.67,1.72,1.72,1.72
22.76,2.30,0.60,2.30,0.60,-0.60,-0.65,-0.69,1.70,1.70,1.70
22.99,2.31,0.63,2.31,0.63,-0.63,-0.66,-0.71,1.69,1.68,1.68
23.22,2.31,0.65,2.32,0.65,-0.65,-0.67,-0.73,1.66,1.66,1.66
23.45,2.33,0.68,2.33,0.68,-0.68,-0.68,-0.76,1.65,1.65,1.65
23.69,2.33,0.70,2.34,0.71,-0.71,-0.69,-0.78,1.63,1.63,1.63
23.92,2.35,0.73,2.35,0.73,-0.73,-0.70,-0.80,1.62,1.62,1.62
24.16,2.36,0.76,2.36,0.75,-0.76,-0.71,-0.82,1.61,1.60,1.60
24.40,2.36,0.77,2.37,0.78,-0.78,-0.73,-0.85,1.58,1.59,1.59
24.65,2.38,0.80,2.38,0.80,-0.80,-0.74,-0.87,1.58,1.57,1.58
24.89,2.39,0.83,2.39,0.83,-0.83,-0.75,-0.90,1.56,1.56,1.56
25.14,2.40,0.85,2.41,0.85,-0.85,-0.76,-0.92,1.55,1.55,1.55
25.39,2.42,0.88,2.42,0.88,-0.88,-0.77,-0.94,1.54,1.54,1.54
25.65,2.43,0.90,2.43,0.90,-0.91,-0.78,-0.97,1.53,1.53,1.53
25.91,2.45,0.93,2.45,0.93,-0.93,-0.79,-0.99,1.52,1.52,1.52
26.16,2.46,0.95,2.46,0.96,-0.96,-0.80,-1.02,1.50,1.50,1.51
26.43,2.48,0.99,2.48,0.99,-0.99,-0.81,-1.04,1.50,1.49,1.49
26.69,2.49,1.01,2.49,1.01,-1.01,-0.82,-1.06,1.48,1.48,1.48
26.96,2.51,1.04,2.51,1.04,-1.03,-0.83,-1.09,1.48,1.47,1.47
27.23,2.52,1.06,2.52,1.06,-1.06,-0.84,-1.11,1.46,1.46,1.46
27.50,2.53,1.08,2.53,1.08,-1.08,-0.86,-1.13,1.45,1.45,1.45
27.77,2.54,1.09,2.54,1.10,-1.10,-0.87,-1.16,1.44,1.44,1.45
28.05,2.56,1.12,2.56,1.12,-1.12,-0.88,-1.18,1.44,1.44,1.44
28.33,2.57,1.14,2.57,1.14,-1.14,-0.89,-1.20,1.43,1.43,1.43
28.62,2.59,1.16,2.59,1.16,-1.16,-0.90,-1.22,1.43,1.43,1.43
28.90,2.60,1.18,2.60,1.18,-1.18,-0.91,-1.24,1.42,1.42,1.42
29.19,2.61,1.19,2.62,1.20,-1.20,-0.92,-1.26,1.41,1.42,1.42
29.48,2.64,1.23,2.63,1.22,-1.22,-0.94,-1.27,1.42,1.41,1.41
29.78,2.65,1.24,2.65,1.24,-1.24,-0.95,-1.29,1.41,1.41,1.41
30.08,2.66,1.26,2.66,1.26,-1.26,-0.96,-1.30,1.40,1.40,1.40
30.38,2.67,1.27,2.68,1.28,-1.28,-0.97,-1.31,1.39,1.40,1.40
30.68,2.69,1.30,2.69,1.30,-1.30,-0.98,-1.32,1.40,1.39,1.39
30.99,2.70,1.32,2.70,1.31,-1.31,-0.99,-1.33,1.39,1.39,1.38
31.30,2.70,1.32,2.71,1.33,-1.32,-1.01,-1.34,1.38,1.38,1.38
31.61,2.71,1.34,2.71,1.34,-1.34,-1.02,-1.35,1.37,1.37,1.37
31.93,2.71,1.35,2.71,1.35,-1.35,-1.03,-1.35,1.36,1.36,1.36
32.24,2.71,1.35,2.71,1.36,-1.36,-1.04,-1.36,1.35,1.35,1.36
32.57,2.72,1.37,2.72,1.37,-1.37,-1.06,-1.36,1.35,1.34,1.35
32.89,2.72,1.38,2.72,1.38,-1.39,-1.07,-1.36,1.34,1.34,1.34
33.22,2.73,1.40,2.73,1.40,-1.40,-1.08,-1.36,1.33,1.33,1.33
33.55,2.73,1.41,2.73,1.41,-1.41,-1.09,-1.36,1.32,1.32,1.32
33.89,2.73,1.42,2.73,1.42,-1.42,-1.10,-1.35,1.31,1.31,1.31
34.23,2.73,1.43,2.73,1.43,-1.43,-1.12,-1.35,1.30,1.30,1.30
34.57,2.74,1.44,2.74,1.44,-1.44,-1.13,-1.35,1.30,1.30,1.30
34.92,2.74,1.45,2.74,1.45,-1.45,-1.14,-1.34,1.29,1.29,1.29
35.27,2.74,1.46,2.74,1.46,-1.46,-1.15,-1.33,1.28,1.29,1.28
35.62,2.74,1.46,2.74,1.47,-1.46,-1.16,-1.33,1.28,1.28,1.28
35.97,2.74,1.47,2.74,1.47,-1.47,-1.18,-1.32,1.27,1.27,1.27
36.33,2.74,1.47,2.74,1.47,-1.48,-1.19,-1.31,1.27,1.26,1.27
36.70,2.73,1.47,2.74,1.48,-1.48,-1.20,-1.31,1.25,1.26,1.26
37.06,2.74,1.49,2.74,1.49,-1.49,-1.21,-1.30,1.25,1.25,1.25
37.43,2.74,1.49,2.74,1.49,-1.49,-1.23,-1.29,1.25,1.25,1.25
37.81,2.74,1.50,2.74,1.50,-1.50,-1.24,-1.28,1.24,1.24,1.24
38.19,2.74,1.50,2.74,1.50,-1.50,-1.25,-1.28,1.24,1.24,1.24
38.57,2.74,1.51,2.74,1.51,-1.51,-1.26,-1.27,1.23,1.23,1.23
38.95,2.74,1.51,2.74,1.51,-1.51,-1.27,-1.26,1.23,1.23,1.23
39.34,2.74,1.52,2.74,1.52,-1.52,-1.29,-1.26,1.23,1.22,1.22
39.74,2.73,1.51,2.73,1.52,-1.52,-1.30,-1.25,1.21,1.22,1.22
40.14,2.73,1.52,2.73,1.52,-1.52,-1.31,-1.25,1.21,1.21,1.21
40.54,2.73,1.52,2.73,1.52,-1.52,-1.32,-1.24,1.21,1.21,1.21
40.94,2.73,1.53,2.73,1.53,-1.53,-1.33,-1.24,1.21,1.20,1.20
41.35,2.72,1.52,2.73,1.53,-1.53,-1.34,-1.24,1.19,1.20,1.20
41.76,2.72,1.53,2.72,1.53,-1.53,-1.35,-1.23,1.19,1.19,1.19
42.18,2.72,1.53,2.72,1.53,-1.53,-1.37,-1.23,1.19,1.19,1.19
42.60,2.71,1.53,2.71,1.53,-1.53,-1.38,-1.23,1.18,1.18,1.18
43.03,2.71,1.53,2.71,1.53,-1.54,-1.39,-1.23,1.18,1.18,1.18
