frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.78,1.52,-1.77,1.52,-1.53,-1.79,-0.91,-3.30,-3.30,-3.30
20.20,-1.75,1.57,-1.76,1.56,-1.57,-1.79,-0.94,-3.32,-3.32,-3.32
20.40,-1.74,1.61,-1.74,1.60,-1.61,-1.79,-0.96,-3.34,-3.34,-3.35
20.61,-1.73,1.64,-1.72,1.64,-1.64,-1.79,-0.99,-3.37,-3.37,-3.37
20.81,-1.71,1.68,-1.71,1.68,-1.68,-1.79,-1.02,-3.38,-3.39,-3.39
21.02,-1.70,1.72,-1.70,1.72,-1.71,-1.79,-1.05,-3.41,-3.40,-3.42
21.23,-1.69,1.75,-1.69,1.75,-1.73,-1.78,-1.09,-3.42,-3.42,-3.44
21.44,-1.69,1.77,-1.69,1.77,-1.76,-1.78,-1.12,-3.45,-3.45,-3.46
21.66,-1.70,1.78,-1.70,1.78,-1.78,-1.78,-1.15,-3.48,-3.48,-3.48
21.87,-1.71,1.79,-1.70,1.79,-1.80,-1.78,-1.19,-3.50,-3.50,-3.50
22.09,-1.71,1.81,-1.71,1.80,-1.81,-1.78,-1.22,-3.52,-3.52,-3.52
22.31,-1.72,1.82,-1.72,1.82,-1.82,-1.78,-1.26,-3.54,-3.54,-3.54
22.54,-1.73,1.84,-1.72,1.84,-1.84,-1.78,-1.30,-3.56,-3.56,-3.57
22.76,-1.73,1.86,-1.73,1.85,-1.85,-1.78,-1.34,-3.58,-3.58,-3.59
22.99,-1.74,1.87,-1.74,1.87,-1.87,-1.77,-1.37,-3.61,-3.61,-3.61
23.22,-1.75,1.88,-1.74,1.88,-1.89,-1.77,-1.41,-3.63,-3.63,-3.63
23.45,-1.74,1.90,-1.74,1.90,-1.91,-1.77,-1.46,-3.65,-3.65,-3.64
23.69,-1.73,1.93,-1.73,1.92,-1.93,-1.77,-1.50,-3.66,-3.66,-3.66
23.92,-1.72,1.95,-1.72,1.95,-1.96,-1.77,-1.54,-3.67,-3.67,-3.67
24.16,-1.70,1.99,-1.70,1.98,-1.98,-1.77,-1.58,-3.68,-3.68,-3.69
24.40,-1.69,2.01,-1.69,2.01,-2.01,-1.76,-1.63,-3.70,-3.70,-3.70
24.65,-1.67,2.04,-1.67,2.04,-2.04,-1.76,-1.67,-3.70,-3.71,-3.71
24.89,-1.66,2.07,-1.66,2.07,-2.06,-1.76,-1.72,-3.72,-3.72,-3.73
25.14,-1.65,2.09,-1.65,2.09,-2.08,-1.76,-1.76,-3.73,-3.73,-3.74
25.39,-1.64,2.11,-1.64,2.11,-2.10,-1.76,-1.81,-3.74,-3.74,-3.75
25.65,-1.64,2.12,-1.64,2.12,-2.12,-1.76,-1.85,-3.76,-3.76,-3.76
25.91,-1.64,2.13,-1.64,2.13,-2.13,-1.75,-1.90,-3.77,-3.77,-3.77
26.16,-1.64,2.14,-1.64,2.14,-2.15,-1.75,-1.94,-3.79,-3.79,-3.78
26.43,-1.64,2.16,-1.64,2.15,-2.16,-1.75,-1.99,-3.80,-3.80,-3.80
26.69,-1.64,2.17,-1.64,2.17,-2.17,-1.75,-2.03,-3.81,-3.81,-3.81
26.96,-1.64,2.18,-1.64,2.18,-2.18,-1.74,-2.07,-3.82,-3.82,-3.82
27.23,-1.64,2.19,-1.64,2.19,-2.19,-1.74,-2.12,-3.82,-3.82,-3.83
27.50,-1.64,2.20,-1.64,2.19,-2.19,-1.74,-2.16,-3.83,-3.83,-3.84
27.77,-1.65,2.19,-1.65,2.20,-2.19,-1.74,-2.20,-3.84,-3.84,-3.84
28.05,-1.65,2.20,-1.65,2.19,-2.19,-1.73,-2.23,-3.84,-3.84,-3.85
28.33,-1.67,2.19,-1.67,2.19,-2.19,-1.73,-2.27,-3.85,-3.85,-3.86
28.62,-1.68,2.18,-1.68,2.18,-2.18,-1.73,-2.30,-3.86,-3.86,-3.86
28.90,-1.70,2.17,-1.70,2.17,-2.17,-1.73,-2.33,-3.87,-3.87,-3.87
29.19,-1.72,2.15,-1.71,2.15,-2.16,-1.72,-2.36,-3.88,-3.87,-3.87
29.48,-1.73,2.15,-1.73,2.15,-2.15,-1.72,-2.38,-3.88,-3.88,-3.88
29.78,-1.74,2.14,-1.74,2.14,-2.14,-1.72,-2.41,-3.88,-3.88,-3.88
30.08,-1.76,2.13,-1.76,2.13,-2.13,-1.71,-2.42,-3.89,-3.89,-3.89
30.38,-1.78,2.11,-1.77,2.12,-2.12,-1.71,-2.44,-3.90,-3.89,-3.89
30.68,-1.79,2.11,-1.79,2.11,-2.11,-1.71,-2.45,-3.90,-3.90,-3.90
30.99,-1.80,2.11,-1.80,2.10,-2.09,-1.70,-2.46,-3.89,-3.90,-3.91
31.30,-1.83,2.08,-1.82,2.09,-2.08,-1.70,-2.46,-3.91,-3.90,-3.91
31.61,-1.85,2.07,-1.85,2.07,-2.06,-1.69,-2.46,-3.91,-3.91,-3.92
31.93,-1.88,2.05,-1.88,2.04,-2.04,-1.69,-2.46,-3.92,-3.92,-3.93
32.24,-1.91,2.02,-1.91,2.02,-2.02,-1.69,-2.45,-3.93,-3.93,-3.93
32.57,-1.94,2.00,-1.94,2.00,-2.00,-1.68,-2.44,-3.94,-3.94,-3.94
32.89,-1.98,1.97,-1.97,1.97,-1.98,-1.68,-2.43,-3.95,-3.95,-3.95
33.22,-2.00,1.96,-2.00,1.95,-1.95,-1.67,-2.41,-3.95,-3.96,-3.96
33.55,-2.04,1.93,-2.04,1.93,-1.93,-1.67,-2.39,-3.97,-3.97,-3.97
33.89,-2.07,1.91,-2.07,1.91,-1.91,-1.66,-2.37,-3.98,-3.98,-3.98
34.23,-2.10,1.89,-2.10,1.89,-1.89,-1.66,-2.34,-3.99,-3.99,-3.99
34.57,-2.12,1.87,-2.12,1.87,-1.88,-1.65,-2.31,-3.99,-3.99,-3.99
34.92,-2.14,1.86,-2.14,1.86,-1.86,-1.65,-2.28,-4.00,-4.00,-4.00
35.27,-2.16,1.85,-2.16,1.84,-1.84,-1.64,-2.25,-4.00,-4.00,-4.01
35.62,-2.18,1.83,-2.18,1.83,-1.82,-1.63,-2.22,-4.00,-4.00,-4.01
35.97,-2.21,1.81,-2.21,1.81,-1.81,-1.63,-2.18,-4.01,-4.01,-4.02
36.33,-2.23,1.79,-2.23,1.79,-1.79,-1.62,-2.14,-4.01,-4.02,-4.02
36.70,-2.27,1.76,-2.26,1.76,-1.76,-1.61,-2.11,-4.03,-4.03,-4.03
37.06,-2.29,1.75,-2.29,1.74,-1.74,-1.60,-2.07,-4.03,-4.03,-4.04
37.43,-2.33,1.71,-2.33,1.71,-1.71,-1.60,-2.03,-4.04,-4.04,-4.04
37.81,-2.36,1.69,-2.36,1.69,-1.68,-1.59,-1.99,-4.04,-4.04,-4.05
38.19,-2.39,1.66,-2.39,1.66,-1.66,-1.58,-1.95,-4.05,-4.05,-4.05
38.57,-2.43,1.63,-2.43,1.63,-1.63,-1.57,-1.91,-4.06,-4.06,-4.06
38.95,-2.46,1.60,-2.46,1.60,-1.60,-1.56,-1.88,-4.06,-4.06,-4.06
39.34,-2.49,1.58,-2.49,1.58,-1.58,-1.55,-1.84,-4.07,-4.07,-4.07
39.74,-2.52,1.55,-2.52,1.55,-1.56,-1.54,-1.80,-4.07,-4.07,-4.07
40.14,-2.54,1.54,-2.54,1.53,-1.53,-1.53,-1.76,-4.07,-4.07,-4.08
40.54,-2.57,1.51,-2.57,1.51,-1.51,-1.52,-1.73,-4.08,-4.08,-4.08
40.94,-2.59,1.50,-2.59,1.49,-1.49,-1.51,-1.69,-4.08,-4.08,-4.09
41.35,-2.63,1.46,-2.62,1.47,-1.47,-1.50,-1.66,-4.09,-4.09,-4.09
41.76,-2.65,1.45,-2.65,1.44,-1.44,-1.49,-1.62,-4.09,-4.09,-4.10
42.18,-2.68,1.42,-2.68,1.42,-1.42,-1.47,-1.59,-4.10,-4.10,-4.10
42.60,-2.71,1.40,-2.71,1.40,-1.40,-1.46,-1.56,-4.10,-4.10,-4.11
43.03,-2.74,1.37,-2.74,1.37,-1.37,-1.44,-1.53,-4.11,-4.11,-4.11
43.46,-2.77,1.35,-2.77,1.35,-1.35,-1.43,-1.50,-4.12,-4.11,-4.12
43.90,-2.79,1.33,-2.79,1.32,-1.32,-1.41,-1.47,-4.11,-4.12,-4.12
44.33,-2.82,1.30,-2.82,1.30,-1.30,-1.40,-1.44,-4.12,-4.12,-4.12
44.78,-2.85,1.28,-2.84,1.28,-1.28,-1.38,-1.41,-4.13,-4.13,-4.13
45.23,-2.87,1.26,-2.87,1.26,-1.26,-1.36,-1.39,-4.13,-4.13,-4.13
45.68,-2.89,1.24,-2.89,1.24,-1.24,-1.35,-1.36,-4.13,-4.13,-4.13
46.13,-2.91,1.22,-2.91,1.22,-1.22,-1.33,-1.34,-4.13,-4.13,-4.13
46.60,-2.93,1.20,-2.93,1.20,-1.20,-1.31,-1.32,-4.12,-4.12,-4.13
47.06,-2.95,1.18,-2.95,1.18,-1.17,-1.29,-1.30,-4.12,-4.12,-4.13
47.53,-2.97,1.16,-2.97,1.15,-1.15,-1.26,-1.28,-4.12,-4.12,-4.13
48.01,-3.00,1.13,-3.00,1.13,-1.13,-1.24,-1.26,-4.13,-4.13,-4.13
48.49,-3.02,1.11,-3.02,1.11,-1.11,-1.22,-1.24,-4.13,-4.13,-4.13
48.97,-3.04,1.09,-3.04,1.09,-1.09,-1.19,-1.23,-4.13,-4.13,-4.13
49.46,-3.06,1.07,-3.06,1.07,-1.07,-1.17,-1.21,-4.13,-4.13,-4.13
49.96,-3.08,1.05,-3.08,1.05,-1.05,-1.14,-1.20,-4.13,-4.13,-4.13
50.46,-3.09,1.04,-3.09,1.03,-1.03,-1.12,-1.18,-4.12,-4.12,-4.13
50.96,-3.11,1.02,-3.11,1.02,-1.01,-1.09,-1.17,-4.12,-4.12,-4.13
51.47,-3.13,1.00,-3.13,1.00,-1.00,-1.07,-1.16,-4.12,-4.12,-4.13
51.99,-3.15,0.98,-3.15,0.98,-0.98,-1.04,-1.15,-4.12,-4.13,-4.13
52.51,-3.18,0.95,-3.17,0.95,-0.96,-1.01,-1.14,-4.13,-4.13,-4.13
53.03,-3.19,0.94,-3.19,0.94,-0.94,-0.98,-1.13,-4.12,-4.13,-4.13
53.56,-3.21,0.92,-3.21,0.92,-0.91,-0.96,-1.12,-4.12,-4.13,-4.13
54.10,-3.23,0.90,-3.23,0.90,-0.89,-0.93,-1.11,-4.12,-4.12,-4.13
54.64,-3.26,0.87,-3.25,0.87,-0.87,-0.90,-1.10,-4.13,-4.13,-4.13
55.18,-3.27,0.86,-3.27,0.85,-0.86,-0.87,-1.09,-4.12,-4.13,-4.13
55.74,-3.29,0.84,-3.29,0.84,-0.84,-0.85,-1.09,-4.13,-4.13,-4.13
56.29,-3.31,0.82,-3.30,0.82,-0.82,-0.83,-1.08,-4.13,-4.13,-4.13
56.86,-3.32,0.81,-3.32,0.81,-0.81,-0.80,-1.07,-4.13,-4.13,-4.13
57.42,-3.33,0.80,-3.33,0.79,-0.80,-0.78,-1.07,-4.13,-4.13,-4.13
58.00,-3.34,0.78,-3.33,0.79,-0.79,-0.76,-1.06,-4.12,-4.12,-4.12
58.58,-3.34,0.78,-3.34,0.78,-0.78,-0.75,-1.05,-4.12,-4.12,-4.12
59.16,-3.34,0.78,-3.34,0.77,-0.77,-0.73,-1.05,-4.11,-4.11,-4.12
59.76,-3.35,0.77,-3.35,0.77,-0.76,-0.72,-1.04,-4.11,-4.11,-4.12
60.35,-3.35,0.76,-3.35,0.76,-0.76,-0.72,-1.03,-4.11,-4.11,-4.11
60.96,-3.36,0.75,-3.36,0.75,-0.76,-0.71,-1.03,-4.11,-4.11,-4.11
61.57,-3.36,0.75,-3.35,0.75,-0.75,-0.71,-1.02,-4.11,-4.11,-4.11
62.18,-3.35,0.76,-3.35,0.75,-0.75,-0.71,-1.01,-4.10,-4.10,-4.11
62.80,-3.35,0.76,-3.35,0.75,-0.75,-0.71,-1.01,-4.10,-4.10,-4.11
63.43,-3.35,0.75,-3.35,0.75,-0.75,-0.72,-1.00,-4.10,-4.10,-4.10
64.07,-3.35,0.75,-3.35,0.75,-0.75,-0.73,-0.99,-4.10,-4.10,-4.10
64.71,-3.34,0.76,-3.34,0.75,-0.76,-0.74,-0.99,-4.10,-4.10,-4.10
65.35,-3.34,0.76,-3.34,0.76,-0.77,-0.76,-0.98,-4.10,-4.10,-4.10
66.01,-3.33,0.77,-3.32,0.77,-0.77,-0.77,-0.97,-4.10,-4.10,-4.10
66.67,-3.31,0.79,-3.31,0.79,-0.79,-0.79,-0.97,-4.09,-4.10,-4.10
67.33,-3.29,0.81,-3.29,0.80,-0.80,-0.81,-0.96,-4.09,-4.09,-4.10
68.01,-3.28,0.82,-3.28,0.82,-0.82,-0.83,-0.95,-4.09,-4.09,-4.10
68.69,-3.26,0.84,-3.26,0.83,-0.83,-0.85,-0.94,-4.09,-4.10,-4.10
69.37,-3.25,0.85,-3.25,0.85,-0.85,-0.88,-0.94,-4.10,-4.10,-4.10
70.07,-3.23,0.87,-3.22,0.87,-0.87,-0.90,-0.93,-4.10,-4.10,-4.10
70.77,-3.20,0.90,-3.20,0.89,-0.89,-0.92,-0.92,-4.09,-4.10,-4.10
71.48,-3.18,0.92,-3.18,0.92,-0.92,-0.95,-0.92,-4.10,-4.10,-4.10
72.19,-3.16,0.94,-3.15,0.94,-0.94,-0.97,-0.91,-4.10,-4.09,-4.10
72.91,-3.13,0.97,-3.13,0.97,-0.97,-1.00,-0.90,-4.09,-4.10,-4.10
73.64,-3.11,1.00,-3.11,0.99,-0.99,-1.02,-0.90,-4.10,-4.10,-4.11
74.38,-3.09,1.02,-3.08,1.02,-1.02,-1.05,-0.89,-4.11,-4.11,-4.11
75.12,-3.06,1.05,-3.06,1.05,-1.05,-1.07,-0.89,-4.11,-4.11,-4.11
75.87,-3.03,1.09,-3.03,1.08,-1.08,-1.10,-0.88,-4.11,-4.12,-4.12
76.63,-3.01,1.11,-3.01,1.11,-1.12,-1.12,-0.88,-4.12,-4.12,-4.12
77.40,-2.98,1.15,-2.98,1.15,-1.15,-1.14,-0.88,-4.13,-4.13,-4.13
78.17,-2.95,1.19,-2.95,1.19,-1.19,-1.17,-0.88,-4.14,-4.14,-4.14
78.95,-2.92,1.23,-2.92,1.22,-1.22,-1.19,-0.87,-4.14,-4.15,-4.15
79.74,-2.90,1.26,-2.89,1.26,-1.26,-1.22,-0.87,-4.16,-4.16,-4.16
80.54,-2.87,1.30,-2.87,1.30,-1.30,-1.24,-0.87,-4.17,-4.17,-4.17
81.35,-2.84,1.34,-2.84,1.34,-1.34,-1.26,-0.87,-4.18,-4.18,-4.18
82.16,-2.81,1.38,-2.81,1.38,-1.37,-1.29,-0.87,-4.18,-4.18,-4.19
82.98,-2.79,1.41,-2.79,1.41,-1.41,-1.31,-0.87,-4.20,-4.20,-4.20
83.81,-2.77,1.44,-2.77,1.44,-1.44,-1.34,-0.88,-4.21,-4.21,-4.21
84.65,-2.76,1.47,-2.75,1.47,-1.47,-1.36,-0.88,-4.23,-4.22,-4.23
85.50,-2.73,1.51,-2.74,1.50,-1.50,-1.39,-0.88,-4.23,-4.23,-4.24
86.35,-2.72,1.52,-2.72,1.52,-1.52,-1.41,-0.89,-4.24,-4.24,-4.24
87.22,-2.71,1.54,-2.70,1.54,-1.55,-1.44,-0.89,-4.26,-4.25,-4.25
88.09,-2.69,1.57,-2.69,1.56,-1.57,-1.46,-0.90,-4.26,-4.26,-4.26
88.97,-2.68,1.59,-2.68,1.59,-1.59,-1.48,-0.90,-4.27,-4.27,-4.27
89.86,-2.67,1.61,-2.67,1.61,-1.60,-1.51,-0.91,-4.27,-4.27,-4.28
90.76,-2.66,1.62,-2.66,1.62,-1.62,-1.53,-0.92,-4.27,-4.28,-4.28
91.66,-2.66,1.63,-2.66,1.63,-1.63,-1.55,-0.93,-4.28,-4.28,-4.29
92.58,-2.66,1.63,-2.66,1.63,-1.63,-1.57,-0.94,-4.29,-4.29,-4.29
93.51,-2.67,1.63,-2.66,1.63,-1.63,-1.59,-0.95,-4.30,-4.29,-4.30
94.44,-2.66,1.64,-2.67,1.63,-1.63,-1.61,-0.96,-4.29,-4.30,-4.30
95.39,-2.68,1.63,-2.68,1.62,-1.62,-1.63,-0.97,-4.30,-4.30,-4.31
96.34,-2.70,1.61,-2.69,1.61,-1.61,-1.64,-0.98,-4.31,-4.31,-4.31
97.30,-2.72,1.60,-2.71,1.60,-1.60,-1.65,-0.99,-4.32,-4.32,-4.32
98.28,-2.73,1.59,-2.73,1.58,-1.59,-1.66,-1.00,-4.31,-4.32,-4.32
99.26,-2.76,1.57,-2.76,1.57,-1.57,-1.66,-1.02,-4.33,-4.33,-4.33
100.25,-2.79,1.55,-2.79,1.55,-1.55,-1.66,-1.03,-4.34,-4.33,-4.34
101.25,-2.82,1.53,-2.82,1.53,-1.53,-1.65,-1.04,-4.35,-4.35,-4.35
102.27,-2.85,1.51,-2.85,1.50,-1.50,-1.64,-1.05,-4.35,-4.36,-4.36
103.29,-2.89,1.48,-2.88,1.48,-1.48,-1.62,-1.07,-4.37,-4.37,-4.37
104.32,-2.92,1.46,-2.92,1.46,-1.46,-1.60,-1.08,-4.38,-4.38,-4.38
105.37,-2.95,1.44,-2.95,1.43,-1.44,-1.58,-1.09,-4.38,-4.39,-4.39
106.42,-2.99,1.41,-2.99,1.41,-1.41,-1.54,-1.10,-4.40,-4.40,-4.40
107.48,-3.02,1.39,-3.02,1.39,-1.39,-1.51,-1.11,-4.41,-4.41,-4.41
108.56,-3.05,1.37,-3.05,1.37,-1.37,-1.47,-1.12,-4.42,-4.42,-4.42
109.64,-3.08,1.35,-3.08,1.35,-1.35,-1.42,-1.13,-4.43,-4.43,-4.43
110.74,-3.10,1.34,-3.10,1.33,-1.33,-1.37,-1.14,-4.43,-4.44,-4.44
111.85,-3.13,1.32,-3.13,1.32,-1.32,-1.32,-1.14,-4.45,-4.45,-4.45
112.97,-3.16,1.30,-3.16,1.30,-1.30,-1.27,-1.15,-4.46,-4.46,-4.46
114.10,-3.19,1.28,-3.19,1.28,-1.28,-1.21,-1.15,-4.47,-4.47,-4.47
115.24,-3.21,1.27,-3.21,1.26,-1.26,-1.15,-1.15,-4.47,-4.48,-4.48
116.39,-3.25,1.24,-3.25,1.24,-1.24,-1.09,-1.15,-4.49,-4.48,-4.49
117.55,-3.28,1.22,-3.28,1.22,-1.21,-1.03,-1.14,-4.49,-4.49,-4.50
118.73,-3.32,1.19,-3.32,1.19,-1.18,-0.97,-1.13,-4.50,-4.50,-4.51
119.92,-3.36,1.15,-3.36,1.15,-1.15,-0.90,-1.12,-4.51,-4.51,-4.51
121.12,-3.40,1.12,-3.40,1.11,-1.12,-0.84,-1.11,-4.51,-4.52,-4.52
122.33,-3.45,1.07,-3.44,1.07,-1.08,-0.78,-1.10,-4.52,-4.52,-4.52
123.55,-3.49,1.04,-3.49,1.03,-1.04,-0.71,-1.08,-4.52,-4.53,-4.53
124.79,-3.54,0.99,-3.54,0.99,-0.99,-0.65,-1.06,-4.53,-4.53,-4.53
126.03,-3.59,0.95,-3.59,0.95,-0.95,-0.59,-1.03,-4.54,-4.53,-4.54
127.29,-3.64,0.90,-3.64,0.90,-0.90,-0.53,-1.00,-4.54,-4.54,-4.54
128.57,-3.70,0.84,-3.69,0.85,-0.85,-0.47,-0.97,-4.55,-4.54,-4.54
129.85,-3.75,0.80,-3.75,0.79,-0.79,-0.41,-0.94,-4.54,-4.54,-4.55
131.15,-3.81,0.74,-3.81,0.74,-0.74,-0.35,-0.90,-4.54,-4.54,-4.55
132.46,-3.87,0.68,-3.87,0.68,-0.67,-0.29,-0.86,-4.54,-4.54,-4.55
133.79,-3.94,0.61,-3.94,0.61,-0.60,-0.24,-0.82,-4.54,-4.54,-4.55
135.12,-4.02,0.53,-4.01,0.53,-0.53,-0.18,-0.77,-4.55,-4.54,-4.55
136.48,-4.09,0.46,-4.09,0.45,-0.45,-0.13,-0.73,-4.54,-4.54,-4.55
137.84,-4.18,0.36,-4.18,0.36,-0.37,-0.07,-0.67,-4.55,-4.54,-4.54
139.22,-4.26,0.28,-4.26,0.28,-0.28,-0.02,-0.62,-4.54,-4.54,-4.54
140.61,-4.35,0.19,-4.35,0.19,-0.19,0.03,-0.56,-4.54,-4.53,-4.54
142.02,-4.43,0.10,-4.43,0.09,-0.09,0.09,-0.51,-4.52,-4.53,-4.53
143.44,-4.53,-0.01,-4.53,-0.01,0.01,0.14,-0.45,-4.52,-4.52,-4.52
144.87,-4.63,-0.11,-4.62,-0.11,0.11,0.19,-0.39,-4.52,-4.51,-4.52
146.32,-4.72,-0.21,-4.72,-0.22,0.22,0.24,-0.32,-4.50,-4.51,-4.51
147.78,-4.83,-0.33,-4.83,-0.33,0.33,0.29,-0.26,-4.50,-4.50,-4.50
149.26,-4.93,-0.43,-4.93,-0.44,0.44,0.34,-0.19,-4.49,-4.49,-4.50
150.75,-5.04,-0.55,-5.04,-0.55,0.55,0.39,-0.12,-4.49,-4.49,-4.49
152.26,-5.14,-0.66,-5.14,-0.66,0.67,0.44,-0.05,-4.47,-4.48,-4.48
153.78,-5.25,-0.78,-5.25,-0.78,0.78,0.48,0.02,-4.47,-4.47,-4.47
155.32,-5.35,-0.89,-5.35,-0.89,0.89,0.53,0.09,-4.45,-4.46,-4.46
156.88,-5.46,-1.01,-5.46,-1.01,1.01,0.58,0.16,-4.45,-4.45,-4.45
158.44,-5.56,-1.12,-5.56,-1.12,1.12,0.63,0.24,-4.44,-4.44,-4.44
160.03,-5.66,-1.23,-5.66,-1.23,1.23,0.67,0.31,-4.43,-4.43,-4.43
161.63,-5.76,-1.34,-5.76,-1.34,1.34,0.72,0.39,-4.42,-4.41,-4.42
163.24,-5.85,-1.44,-5.85,-1.44,1.45,0.77,0.47,-4.40,-4.40,-4.41
164.88,-5.94,-1.54,-5.94,-1.54,1.55,0.82,0.54,-4.39,-4.39,-4.40
166.53,-6.03,-1.64,-6.03,-1.65,1.65,0.86,0.62,-4.38,-4.38,-4.39
168.19,-6.12,-1.74,-6.12,-1.74,1.74,0.91,0.70,-4.38,-4.38,-4.38
169.87,-6.20,-1.83,-6.19,-1.82,1.82,0.96,0.78,-4.38,-4.38,-4.37
171.57,-6.25,-1.88,-6.25,-1.89,1.88,1.01,0.87,-4.37,-4.37,-4.37
173.29,-6.30,-1.94,-6.30,-1.94,1.93,1.05,0.95,-4.37,-4.37,-4.36
175.02,-6.33,-1.98,-6.33,-1.98,1.97,1.10,1.03,-4.36,-4.36,-4.35
176.77,-6.35,-2.00,-6.34,-2.00,1.99,1.15,1.12,-4.36,-4.36,-4.35
178.54,-6.34,-2.00,-6.34,-2.00,1.99,1.20,1.20,-4.35,-4.35,-4.34
180.32,-6.33,-1.99,-6.33,-1.99,1.98,1.25,1.29,-4.35,-4.35,-4.34
182.13,-6.31,-1.97,-6.31,-1.97,1.97,1.29,1.38,-4.34,-4.34,-4.34
183.95,-6.29,-1.95,-6.28,-1.95,1.95,1.34,1.46,-4.34,-4.33,-4.34
185.79,-6.26,-1.92,-6.26,-1.92,1.94,1.39,1.55,-4.32,-4.33,-4.34
187.65,-6.24,-1.90,-6.25,-1.91,1.93,1.44,1.64,-4.31,-4.32,-4.34
189.52,-6.26,-1.92,-6.25,-1.91,1.93,1.49,1.73,-4.33,-4.32,-4.34
191.42,-6.27,-1.93,-6.27,-1.94,1.95,1.54,1.82,-4.32,-4.32,-4.34
193.33,-6.31,-1.97,-6.31,-1.98,1.98,1.59,1.91,-4.33,-4.33,-4.34
