frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.61,6.07,4.61,6.07,-6.07,-5.91,-3.04,-1.46,-1.46,-1.46
20.20,4.64,6.12,4.64,6.13,-6.13,-5.94,-3.12,-1.48,-1.49,-1.48
20.40,4.66,6.18,4.67,6.17,-6.18,-5.97,-3.21,-1.52,-1.51,-1.51
20.61,4.69,6.22,4.69,6.22,-6.23,-6.00,-3.30,-1.53,-1.54,-1.53
20.81,4.71,6.27,4.71,6.27,-6.27,-6.03,-3.39,-1.56,-1.56,-1.55
21.02,4.73,6.31,4.73,6.31,-6.31,-6.06,-3.49,-1.58,-1.58,-1.58
21.23,4.75,6.35,4.75,6.36,-6.35,-6.08,-3.58,-1.60,-1.60,-1.60
21.44,4.77,6.40,4.77,6.39,-6.39,-6.11,-3.69,-1.62,-1.62,-1.62
21.66,4.78,6.42,4.78,6.42,-6.42,-6.14,-3.79,-1.64,-1.64,-1.64
21.87,4.78,6.45,4.79,6.45,-6.45,-6.17,-3.90,-1.67,-1.66,-1.66
22.09,4.80,6.49,4.79,6.48,-6.48,-6.19,-4.01,-1.68,-1.69,-1.68
22.31,4.80,6.51,4.80,6.51,-6.51,-6.22,-4.12,-1.71,-1.71,-1.70
22.54,4.79,6.52,4.80,6.53,-6.53,-6.25,-4.23,-1.74,-1.73,-1.73
22.76,4.80,6.55,4.80,6.55,-6.55,-6.27,-4.35,-1.75,-1.75,-1.75
22.99,4.79,6.56,4.79,6.57,-6.57,-6.30,-4.47,-1.78,-1.77,-1.77
23.22,4.79,6.58,4.79,6.58,-6.58,-6.32,-4.60,-1.79,-1.79,-1.79
23.45,4.79,6.59,4.79,6.59,-6.59,-6.35,-4.72,-1.80,-1.81,-1.80
23.69,4.78,6.60,4.79,6.61,-6.60,-6.37,-4.85,-1.82,-1.82,-1.82
23.92,4.78,6.62,4.78,6.61,-6.61,-6.40,-4.99,-1.83,-1.84,-1.83
24.16,4.77,6.62,4.77,6.62,-6.62,-6.42,-5.12,-1.85,-1.85,-1.85
24.40,4.75,6.62,4.76,6.62,-6.62,-6.44,-5.26,-1.87,-1.87,-1.86
24.65,4.75,6.62,4.75,6.63,-6.63,-6.47,-5.40,-1.88,-1.88,-1.87
24.89,4.74,6.63,4.74,6.63,-6.63,-6.49,-5.54,-1.89,-1.89,-1.89
25.14,4.73,6.63,4.73,6.64,-6.63,-6.51,-5.68,-1.90,-1.90,-1.90
25.39,4.72,6.63,4.72,6.64,-6.63,-6.53,-5.83,-1.91,-1.91,-1.91
25.65,4.71,6.63,4.71,6.63,-6.64,-6.56,-5.97,-1.92,-1.93,-1.92
25.91,4.70,6.63,4.70,6.64,-6.64,-6.58,-6.12,-1.94,-1.94,-1.93
26.16,4.69,6.64,4.69,6.64,-6.64,-6.60,-6.26,-1.95,-1.95,-1.94
26.43,4.68,6.64,4.68,6.64,-6.64,-6.62,-6.41,-1.96,-1.96,-1.96
26.69,4.67,6.64,4.67,6.65,-6.64,-6.64,-6.56,-1.97,-1.97,-1.97
26.96,4.66,6.64,4.66,6.65,-6.64,-6.66,-6.70,-1.98,-1.98,-1.98
27.23,4.66,6.65,4.65,6.65,-6.64,-6.68,-6.84,-1.98,-1.99,-1.99
27.50,4.64,6.64,4.65,6.65,-6.64,-6.69,-6.98,-2.00,-2.00,-2.00
27.77,4.63,6.64,4.63,6.64,-6.64,-6.71,-7.12,-2.01,-2.01,-2.00
28.05,4.63,6.64,4.62,6.64,-6.64,-6.73,-7.25,-2.01,-2.02,-2.01
28.33,4.61,6.63,4.62,6.64,-6.64,-6.75,-7.37,-2.03,-2.02,-2.02
28.62,4.61,6.63,4.61,6.63,-6.64,-6.76,-7.49,-2.02,-2.03,-2.02
28.90,4.60,6.63,4.60,6.63,-6.63,-6.78,-7.61,-2.03,-2.03,-2.03
29.19,4.59,6.62,4.60,6.63,-6.63,-6.80,-7.71,-2.04,-2.04,-2.03
29.48,4.60,6.64,4.60,6.64,-6.64,-6.81,-7.81,-2.03,-2.04,-2.04
29.78,4.59,6.63,4.59,6.64,-6.64,-6.83,-7.90,-2.05,-2.04,-2.04
30.08,4.59,6.64,4.59,6.64,-6.64,-6.84,-7.98,-2.05,-2.05,-2.05
30.38,4.58,6.64,4.58,6.64,-6.64,-6.86,-8.04,-2.06,-2.06,-2.05
30.68,4.58,6.64,4.58,6.64,-6.64,-6.87,-8.10,-2.06,-2.06,-2.06
30.99,4.58,6.65,4.58,6.65,-6.65,-6.88,-8.15,-2.06,-2.07,-2.07
31.30,4.57,6.65,4.57,6.65,-6.65,-6.90,-8.18,-2.08,-2.07,-2.07
31.61,4.57,6.65,4.57,6.65,-6.65,-6.91,-8.20,-2.08,-2.08,-2.08
31.93,4.56,6.65,4.56,6.65,-6.66,-6.92,-8.22,-2.09,-2.09,-2.09
32.24,4.56,6.66,4.56,6.66,-6.66,-6.93,-8.22,-2.10,-2.10,-2.09
