frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,14.84,8.63,14.84,8.63,-8.63,-8.49,-3.97,6.21,6.21,6.21
20.20,14.82,8.63,14.81,8.63,-8.63,-8.52,-4.08,6.19,6.18,6.19
20.40,14.78,8.62,14.78,8.62,-8.62,-8.54,-4.19,6.15,6.16,6.16
20.61,14.76,8.62,14.76,8.62,-8.62,-8.56,-4.30,6.14,6.14,6.14
20.81,14.74,8.62,14.74,8.62,-8.62,-8.58,-4.42,6.12,6.12,6.12
21.02,14.71,8.62,14.72,8.62,-8.62,-8.61,-4.54,6.09,6.10,6.09
21.23,14.70,8.63,14.69,8.62,-8.62,-8.63,-4.66,6.08,6.08,6.07
21.44,14.67,8.62,14.67,8.62,-8.62,-8.65,-4.79,6.05,6.05,6.05
21.66,14.65,8.62,14.65,8.62,-8.62,-8.67,-4.92,6.03,6.03,6.03
21.87,14.62,8.61,14.62,8.61,-8.62,-8.70,-5.06,6.00,6.00,6.01
22.09,14.61,8.62,14.61,8.62,-8.62,-8.72,-5.19,5.99,5.98,5.99
22.31,14.59,8.62,14.59,8.62,-8.63,-8.74,-5.34,5.96,5.96,5.97
22.54,14.57,8.63,14.57,8.63,-8.63,-8.75,-5.48,5.94,5.94,5.94
22.76,14.56,8.64,14.55,8.64,-8.63,-8.77,-5.63,5.93,5.92,5.92
22.99,14.54,8.64,14.54,8.64,-8.64,-8.79,-5.79,5.90,5.90,5.90
23.22,14.52,8.64,14.52,8.64,-8.64,-8.80,-5.94,5.88,5.88,5.88
23.45,14.51,8.64,14.51,8.64,-8.64,-8.81,-6.10,5.87,5.87,5.87
23.69,14.50,8.65,14.50,8.65,-8.65,-8.82,-6.27,5.85,5.85,5.85
23.92,14.49,8.65,14.49,8.65,-8.65,-8.83,-6.44,5.84,5.84,5.84
24.16,14.47,8.65,14.47,8.65,-8.65,-8.84,-6.61,5.82,5.82,5.82
24.40,14.45,8.64,14.45,8.64,-8.65,-8.84,-6.79,5.80,5.81,5.81
24.65,14.44,8.64,14.44,8.64,-8.64,-8.84,-6.97,5.79,5.79,5.80
24.89,14.43,8.65,14.43,8.64,-8.64,-8.84,-7.15,5.79,5.78,5.78
25.14,14.42,8.65,14.42,8.65,-8.64,-8.84,-7.34,5.78,5.77,5.77
25.39,14.40,8.64,14.40,8.64,-8.64,-8.84,-7.52,5.76,5.76,5.76
25.65,14.39,8.64,14.39,8.64,-8.64,-8.83,-7.71,5.75,5.75,5.75
25.91,14.38,8.64,14.38,8.64,-8.65,-8.82,-7.91,5.73,5.73,5.74
26.16,14.37,8.64,14.37,8.64,-8.65,-8.81,-8.10,5.72,5.72,5.73
26.43,14.36,8.65,14.36,8.65,-8.65,-8.80,-8.29,5.71,5.71,5.71
26.69,14.36,8.66,14.36,8.66,-8.65,-8.78,-8.49,5.71,5.71,5.70
26.96,14.35,8.66,14.35,8.66,-8.65,-8.77,-8.68,5.70,5.69,5.69
27.23,14.34,8.66,14.34,8.66,-8.65,-8.75,-8.87,5.68,5.68,5.68
27.50,14.32,8.65,14.33,8.65,-8.65,-8.73,-9.06,5.66,5.67,5.67
27.77,14.32,8.65,14.32,8.65,-8.65,-8.71,-9.24,5.67,5.66,5.67
28.05,14.31,8.65,14.31,8.65,-8.65,-8.69,-9.42,5.66,5.66,5.66
28.33,14.30,8.65,14.30,8.65,-8.65,-8.67,-9.59,5.65,5.65,5.65
28.62,14.29,8.64,14.29,8.64,-8.64,-8.65,-9.75,5.65,5.65,5.65
28.90,14.28,8.64,14.28,8.64,-8.64,-8.63,-9.91,5.64,5.64,5.64
29.19,14.27,8.63,14.27,8.63,-8.63,-8.60,-10.05,5.64,5.63,5.64
29.48,14.26,8.63,14.26,8.63,-8.63,-8.58,-10.18,5.63,5.63,5.63
29.78,14.25,8.62,14.25,8.62,-8.63,-8.56,-10.30,5.62,5.63,5.63
30.08,14.25,8.63,14.24,8.62,-8.62,-8.53,-10.41,5.63,5.62,5.62
30.38,14.23,8.61,14.23,8.62,-8.62,-8.51,-10.49,5.61,5.62,5.62
30.68,14.22,8.61,14.22,8.61,-8.61,-8.49,-10.57,5.61,5.61,5.61
30.99,14.22,8.62,14.21,8.61,-8.60,-8.47,-10.62,5.62,5.61,5.60
31.30,14.19,8.59,14.20,8.60,-8.59,-8.44,-10.66,5.59,5.60,5.60
31.61,14.18,8.59,14.18,8.59,-8.58,-8.42,-10.67,5.59,5.59,5.59
31.93,14.16,8.58,14.15,8.57,-8.57,-8.40,-10.67,5.58,5.58,5.58
32.24,14.13,8.55,14.14,8.56,-8.56,-8.38,-10.66,5.57,5.57,5.58
32.57,14.12,8.55,14.12,8.55,-8.55,-8.36,-10.63,5.57,5.56,5.57
32.89,14.10,8.54,14.10,8.54,-8.54,-8.34,-10.58,5.56,5.56,5.56
33.22,14.08,8.53,14.08,8.53,-8.53,-8.32,-10.51,5.55,5.55,5.55
33.55,14.06,8.52,14.06,8.52,-8.52,-8.30,-10.44,5.54,5.54,5.54
33.89,14.04,8.51,14.04,8.51,-8.51,-8.28,-10.35,5.53,5.53,5.53
34.23,14.02,8.50,14.02,8.50,-8.50,-8.26,-10.26,5.52,5.52,5.52
34.57,14.01,8.49,14.01,8.49,-8.49,-8.25,-10.15,5.52,5.52,5.52
34.92,13.99,8.48,13.99,8.48,-8.48,-8.23,-10.04,5.51,5.51,5.51
35.27,13.97,8.47,13.97,8.47,-8.46,-8.21,-9.92,5.50,5.51,5.50
35.62,13.95,8.45,13.95,8.45,-8.45,-8.20,-9.80,5.50,5.50,5.50
35.97,13.93,8.44,13.93,8.44,-8.44,-8.18,-9.68,5.49,5.49,5.49
36.33,13.91,8.42,13.91,8.42,-8.42,-8.17,-9.55,5.49,5.48,5.49
36.70,13.88,8.40,13.89,8.41,-8.41,-8.15,-9.42,5.47,5.48,5.48
37.06,13.87,8.40,13.86,8.39,-8.39,-8.14,-9.29,5.48,5.47,5.47
37.43,13.85,8.38,13.85,8.38,-8.38,-8.13,-9.17,5.47,5.47,5.47
37.81,13.82,8.36,13.83,8.36,-8.36,-8.11,-9.04,5.46,5.46,5.46
38.19,13.81,8.35,13.80,8.35,-8.35,-8.10,-8.92,5.46,5.46,5.46
38.57,13.78,8.33,13.78,8.33,-8.33,-8.09,-8.80,5.45,5.45,5.45
38.95,13.76,8.31,13.76,8.31,-8.31,-8.07,-8.68,5.44,5.45,5.45
39.34,13.74,8.30,13.74,8.30,-8.30,-8.06,-8.57,5.44,5.44,5.44
39.74,13.72,8.28,13.72,8.28,-8.28,-8.05,-8.47,5.44,5.44,5.44
40.14,13.70,8.27,13.70,8.27,-8.27,-8.04,-8.36,5.43,5.43,5.43
40.54,13.68,8.25,13.68,8.25,-8.25,-8.03,-8.26,5.43,5.43,5.43
40.94,13.66,8.24,13.66,8.24,-8.23,-8.02,-8.17,5.42,5.42,5.42
