frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.89,6.78,4.89,6.78,-6.78,-6.21,-3.62,-1.89,-1.89,-1.89
20.20,4.81,6.72,4.81,6.72,-6.72,-6.19,-3.72,-1.91,-1.91,-1.91
20.40,4.72,6.66,4.72,6.66,-6.66,-6.18,-3.82,-1.94,-1.93,-1.94
20.61,4.64,6.60,4.64,6.60,-6.60,-6.17,-3.93,-1.96,-1.96,-1.96
20.81,4.57,6.55,4.57,6.55,-6.55,-6.17,-4.03,-1.98,-1.98,-1.98
21.02,4.49,6.50,4.50,6.50,-6.50,-6.16,-4.14,-2.00,-2.00,-2.01
21.23,4.43,6.46,4.43,6.46,-6.45,-6.17,-4.26,-2.02,-2.02,-2.03
21.44,4.36,6.41,4.36,6.41,-6.41,-6.17,-4.38,-2.05,-2.05,-2.05
21.66,4.30,6.37,4.30,6.37,-6.37,-6.18,-4.50,-2.06,-2.07,-2.07
21.87,4.23,6.32,4.24,6.32,-6.33,-6.19,-4.62,-2.10,-2.09,-2.09
22.09,4.19,6.30,4.18,6.29,-6.30,-6.20,-4.75,-2.11,-2.11,-2.11
22.31,4.13,6.26,4.13,6.27,-6.27,-6.22,-4.88,-2.14,-2.13,-2.13
22.54,4.09,6.25,4.09,6.25,-6.24,-6.24,-5.01,-2.15,-2.15,-2.16
22.76,4.05,6.23,4.05,6.23,-6.22,-6.26,-5.15,-2.17,-2.17,-2.18
22.99,4.01,6.21,4.01,6.21,-6.20,-6.28,-5.29,-2.19,-2.19,-2.20
23.22,3.97,6.19,3.98,6.19,-6.19,-6.31,-5.43,-2.22,-2.21,-2.22
23.45,3.95,6.18,3.95,6.18,-6.18,-6.34,-5.58,-2.23,-2.23,-2.23
23.69,3.92,6.17,3.92,6.17,-6.17,-6.37,-5.73,-2.24,-2.24,-2.25
23.92,3.90,6.16,3.90,6.16,-6.16,-6.40,-5.88,-2.26,-2.26,-2.26
24.16,3.88,6.16,3.88,6.15,-6.15,-6.44,-6.04,-2.27,-2.27,-2.28
24.40,3.86,6.15,3.87,6.15,-6.15,-6.48,-6.20,-2.29,-2.29,-2.29
24.65,3.86,6.16,3.86,6.16,-6.16,-6.52,-6.36,-2.30,-2.30,-2.30
24.89,3.85,6.17,3.85,6.17,-6.17,-6.56,-6.53,-2.32,-2.32,-2.32
25.14,3.85,6.18,3.86,6.18,-6.18,-6.60,-6.69,-2.33,-2.33,-2.33
25.39,3.86,6.20,3.86,6.20,-6.20,-6.65,-6.86,-2.34,-2.34,-2.34
25.65,3.88,6.23,3.88,6.22,-6.22,-6.69,-7.03,-2.34,-2.35,-2.35
25.91,3.89,6.25,3.89,6.25,-6.25,-6.74,-7.20,-2.36,-2.36,-2.36
26.16,3.91,6.28,3.91,6.28,-6.29,-6.79,-7.38,-2.37,-2.37,-2.37
26.43,3.94,6.33,3.94,6.32,-6.32,-6.84,-7.55,-2.38,-2.38,-2.39
26.69,3.97,6.37,3.97,6.37,-6.37,-6.90,-7.72,-2.39,-2.39,-2.40
26.96,4.01,6.42,4.01,6.42,-6.41,-6.95,-7.89,-2.40,-2.40,-2.41
27.23,4.05,6.47,4.05,6.46,-6.46,-7.01,-8.05,-2.41,-2.42,-2.42
27.50,4.08,6.51,4.09,6.51,-6.52,-7.06,-8.21,-2.43,-2.42,-2.43
27.77,4.14,6.57,4.14,6.57,-6.57,-7.12,-8.37,-2.43,-2.43,-2.43
28.05,4.20,6.64,4.20,6.63,-6.63,-7.18,-8.53,-2.43,-2.44,-2.44
28.33,4.25,6.70,4.26,6.70,-6.70,-7.24,-8.67,-2.45,-2.44,-2.45
28.62,4.32,6.77,4.32,6.77,-6.77,-7.30,-8.81,-2.45,-2.45,-2.45
28.90,4.38,6.84,4.38,6.84,-6.84,-7.36,-8.94,-2.46,-2.46,-2.46
29.19,4.45,6.91,4.46,6.92,-6.92,-7.42,-9.06,-2.47,-2.46,-2.46
29.48,4.54,7.01,4.54,7.00,-7.00,-7.48,-9.17,-2.46,-2.47,-2.47
29.78,4.62,7.09,4.62,7.09,-7.09,-7.54,-9.27,-2.47,-2.47,-2.47
30.08,4.71,7.19,4.71,7.18,-7.18,-7.60,-9.36,-2.47,-2.48,-2.48
30.38,4.79,7.27,4.80,7.28,-7.28,-7.66,-9.43,-2.49,-2.48,-2.48
30.68,4.89,7.38,4.89,7.38,-7.37,-7.73,-9.49,-2.48,-2.49,-2.49
30.99,4.99,7.49,4.99,7.48,-7.48,-7.79,-9.53,-2.48,-2.49,-2.50
31.30,5.08,7.58,5.08,7.58,-7.58,-7.85,-9.56,-2.50,-2.49,-2.50
31.61,5.18,7.69,5.18,7.68,-7.68,-7.91,-9.57,-2.50,-2.51,-2.51
31.93,5.27,7.79,5.27,7.79,-7.79,-7.97,-9.57,-2.52,-2.52,-2.52
32.24,5.37,7.89,5.37,7.89,-7.90,-8.03,-9.56,-2.53,-2.53,-2.52
32.57,5.48,8.01,5.48,8.01,-8.01,-8.10,-9.53,-2.53,-2.53,-2.53
32.89,5.59,8.13,5.59,8.13,-8.13,-8.15,-9.49,-2.54,-2.54,-2.54
33.22,5.70,8.25,5.70,8.25,-8.24,-8.21,-9.43,-2.54,-2.54,-2.55
33.55,5.80,8.36,5.81,8.36,-8.36,-8.27,-9.37,-2.56,-2.56,-2.56
33.89,5.91,8.48,5.91,8.48,-8.48,-8.33,-9.30,-2.57,-2.57,-2.57
34.23,6.02,8.60,6.02,8.59,-8.60,-8.38,-9.22,-2.57,-2.58,-2.58
34.57,6.13,8.71,6.13,8.71,-8.71,-8.44,-9.13,-2.58,-2.58,-2.58
34.92,6.23,8.82,6.24,8.82,-8.82,-8.49,-9.03,-2.59,-2.59,-2.59
35.27,6.34,8.94,6.34,8.93,-8.93,-8.54,-8.93,-2.59,-2.59,-2.60
35.62,6.44,9.04,6.44,9.04,-9.04,-8.59,-8.83,-2.60,-2.60,-2.60
