frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-4.54,-4.44,-4.54,-4.44,4.44,3.72,0.91,-0.09,-0.09,-0.10
20.20,-4.50,-4.38,-4.50,-4.38,4.38,3.81,0.94,-0.12,-0.12,-0.12
20.40,-4.46,-4.31,-4.46,-4.31,4.31,3.89,0.97,-0.15,-0.15,-0.15
20.61,-4.42,-4.25,-4.42,-4.25,4.24,3.95,1.00,-0.17,-0.17,-0.17
20.81,-4.37,-4.18,-4.37,-4.18,4.18,4.01,1.03,-0.19,-0.19,-0.19
21.02,-4.33,-4.11,-4.32,-4.11,4.11,4.05,1.06,-0.22,-0.21,-0.22
21.23,-4.27,-4.03,-4.27,-4.03,4.04,4.07,1.09,-0.23,-0.23,-0.24
21.44,-4.23,-3.97,-4.23,-3.97,3.97,4.08,1.12,-0.26,-0.26,-0.26
21.66,-4.18,-3.90,-4.18,-3.90,3.90,4.08,1.15,-0.28,-0.28,-0.28
21.87,-4.14,-3.84,-4.13,-3.83,3.83,4.06,1.19,-0.31,-0.30,-0.30
22.09,-4.08,-3.76,-4.08,-3.76,3.76,4.03,1.22,-0.32,-0.32,-0.32
22.31,-4.03,-3.69,-4.03,-3.69,3.69,3.98,1.26,-0.34,-0.34,-0.34
22.54,-3.99,-3.62,-3.98,-3.61,3.62,3.92,1.30,-0.37,-0.36,-0.37
22.76,-3.93,-3.54,-3.93,-3.54,3.54,3.85,1.33,-0.38,-0.39,-0.39
22.99,-3.88,-3.47,-3.88,-3.47,3.47,3.78,1.37,-0.41,-0.41,-0.41
23.22,-3.83,-3.40,-3.82,-3.40,3.40,3.69,1.41,-0.43,-0.42,-0.43
23.45,-3.77,-3.33,-3.77,-3.33,3.33,3.60,1.45,-0.44,-0.44,-0.44
23.69,-3.72,-3.26,-3.71,-3.26,3.26,3.51,1.49,-0.46,-0.45,-0.46
23.92,-3.66,-3.19,-3.66,-3.19,3.19,3.41,1.54,-0.47,-0.47,-0.47
24.16,-3.61,-3.12,-3.61,-3.12,3.12,3.31,1.58,-0.48,-0.49,-0.49
24.40,-3.56,-3.06,-3.56,-3.06,3.06,3.21,1.62,-0.50,-0.50,-0.50
24.65,-3.51,-3.00,-3.50,-2.99,2.99,3.11,1.66,-0.52,-0.51,-0.51
24.89,-3.45,-2.92,-3.45,-2.92,2.92,3.01,1.71,-0.52,-0.53,-0.53
25.14,-3.39,-2.85,-3.39,-2.85,2.85,2.92,1.75,-0.53,-0.53,-0.54
25.39,-3.34,-2.79,-3.33,-2.78,2.79,2.82,1.80,-0.55,-0.55,-0.55
25.65,-3.28,-2.72,-3.28,-2.72,2.72,2.73,1.84,-0.56,-0.56,-0.56
25.91,-3.23,-2.66,-3.23,-2.66,2.65,2.65,1.88,-0.58,-0.57,-0.57
26.16,-3.17,-2.59,-3.17,-2.59,2.59,2.56,1.92,-0.58,-0.58,-0.58
26.43,-3.12,-2.52,-3.11,-2.52,2.52,2.48,1.97,-0.60,-0.60,-0.60
26.69,-3.06,-2.45,-3.06,-2.45,2.45,2.40,2.01,-0.61,-0.60,-0.61
26.96,-3.00,-2.38,-3.00,-2.38,2.39,2.33,2.05,-0.61,-0.62,-0.62
27.23,-2.95,-2.32,-2.95,-2.32,2.32,2.26,2.08,-0.63,-0.63,-0.63
27.50,-2.90,-2.26,-2.89,-2.26,2.26,2.19,2.12,-0.64,-0.64,-0.64
27.77,-2.84,-2.20,-2.84,-2.19,2.19,2.12,2.15,-0.64,-0.64,-0.64
28.05,-2.78,-2.13,-2.78,-2.13,2.13,2.06,2.19,-0.64,-0.65,-0.65
28.33,-2.73,-2.07,-2.73,-2.07,2.07,2.00,2.21,-0.65,-0.65,-0.66
28.62,-2.68,-2.02,-2.68,-2.02,2.02,1.94,2.24,-0.66,-0.66,-0.66
28.90,-2.63,-1.96,-2.63,-1.96,1.96,1.88,2.26,-0.67,-0.67,-0.67
29.19,-2.58,-1.91,-2.57,-1.90,1.90,1.83,2.28,-0.68,-0.67,-0.67
29.48,-2.52,-1.84,-2.52,-1.84,1.84,1.78,2.30,-0.67,-0.68,-0.68
29.78,-2.47,-1.79,-2.47,-1.79,1.79,1.73,2.31,-0.68,-0.68,-0.68
30.08,-2.42,-1.73,-2.42,-1.73,1.73,1.68,2.32,-0.69,-0.69,-0.69
30.38,-2.37,-1.68,-2.37,-1.68,1.68,1.63,2.32,-0.69,-0.69,-0.69
30.68,-2.32,-1.62,-2.32,-1.62,1.62,1.58,2.32,-0.70,-0.70,-0.70
30.99,-2.27,-1.56,-2.27,-1.57,1.57,1.54,2.31,-0.70,-0.70,-0.71
31.30,-2.23,-1.52,-2.23,-1.51,1.52,1.49,2.30,-0.71,-0.71,-0.71
31.61,-2.19,-1.47,-2.19,-1.47,1.47,1.45,2.29,-0.72,-0.72,-0.72
31.93,-2.15,-1.42,-2.15,-1.42,1.42,1.40,2.27,-0.73,-0.72,-0.73
32.24,-2.11,-1.38,-2.11,-1.38,1.37,1.36,2.25,-0.73,-0.73,-0.73
32.57,-2.07,-1.33,-2.07,-1.33,1.33,1.32,2.22,-0.74,-0.74,-0.74
32.89,-2.04,-1.29,-2.03,-1.28,1.28,1.28,2.18,-0.76,-0.75,-0.75
33.22,-1.99,-1.23,-1.99,-1.23,1.23,1.24,2.15,-0.75,-0.76,-0.76
33.55,-1.96,-1.19,-1.96,-1.19,1.19,1.19,2.11,-0.77,-0.77,-0.77
33.89,-1.92,-1.14,-1.92,-1.14,1.14,1.15,2.06,-0.77,-0.77,-0.78
34.23,-1.89,-1.10,-1.88,-1.10,1.10,1.11,2.02,-0.79,-0.78,-0.79
34.57,-1.85,-1.06,-1.85,-1.06,1.06,1.07,1.97,-0.79,-0.79,-0.79
34.92,-1.82,-1.02,-1.82,-1.02,1.02,1.03,1.91,-0.80,-0.80,-0.80
35.27,-1.79,-0.98,-1.78,-0.98,0.98,0.99,1.86,-0.81,-0.81,-0.81
35.62,-1.75,-0.94,-1.75,-0.94,0.94,0.95,1.80,-0.81,-0.81,-0.81
