frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.16,5.47,3.16,5.47,-5.47,-5.18,-3.15,-2.31,-2.31,-2.31
20.20,3.17,5.50,3.17,5.51,-5.51,-5.23,-3.23,-2.33,-2.33,-2.33
20.40,3.18,5.54,3.19,5.54,-5.55,-5.29,-3.32,-2.36,-2.36,-2.36
20.61,3.20,5.58,3.20,5.58,-5.59,-5.34,-3.42,-2.38,-2.38,-2.38
20.81,3.22,5.62,3.22,5.63,-5.62,-5.39,-3.51,-2.40,-2.40,-2.40
21.02,3.23,5.66,3.24,5.67,-5.66,-5.45,-3.61,-2.43,-2.42,-2.43
21.23,3.26,5.71,3.26,5.71,-5.71,-5.50,-3.71,-2.44,-2.45,-2.45
21.44,3.27,5.74,3.27,5.75,-5.75,-5.55,-3.81,-2.47,-2.47,-2.47
21.66,3.29,5.78,3.30,5.79,-5.79,-5.61,-3.92,-2.49,-2.49,-2.49
21.87,3.31,5.83,3.32,5.83,-5.83,-5.66,-4.03,-2.52,-2.51,-2.51
22.09,3.34,5.87,3.34,5.87,-5.87,-5.71,-4.14,-2.53,-2.53,-2.53
22.31,3.36,5.91,3.36,5.91,-5.91,-5.76,-4.26,-2.55,-2.55,-2.55
22.54,3.37,5.95,3.38,5.96,-5.96,-5.82,-4.38,-2.58,-2.58,-2.58
22.76,3.40,6.00,3.40,6.00,-6.00,-5.87,-4.50,-2.60,-2.60,-2.60
22.99,3.42,6.04,3.42,6.04,-6.04,-5.92,-4.62,-2.62,-2.62,-2.62
23.22,3.44,6.08,3.45,6.09,-6.08,-5.97,-4.75,-2.64,-2.64,-2.64
23.45,3.47,6.12,3.47,6.12,-6.12,-6.02,-4.88,-2.65,-2.65,-2.65
23.69,3.49,6.16,3.50,6.17,-6.16,-6.07,-5.02,-2.67,-2.67,-2.67
23.92,3.52,6.20,3.52,6.20,-6.20,-6.12,-5.15,-2.68,-2.68,-2.68
24.16,3.54,6.24,3.54,6.24,-6.24,-6.17,-5.29,-2.70,-2.70,-2.70
24.40,3.56,6.27,3.57,6.28,-6.28,-6.22,-5.43,-2.72,-2.71,-2.71
24.65,3.59,6.31,3.59,6.32,-6.32,-6.27,-5.58,-2.72,-2.73,-2.72
24.89,3.61,6.36,3.62,6.35,-6.35,-6.32,-5.72,-2.74,-2.74,-2.74
25.14,3.64,6.39,3.64,6.39,-6.39,-6.37,-5.87,-2.75,-2.75,-2.75
25.39,3.66,6.43,3.67,6.43,-6.43,-6.41,-6.02,-2.76,-2.76,-2.76
25.65,3.69,6.46,3.69,6.46,-6.46,-6.46,-6.17,-2.77,-2.77,-2.77
25.91,3.71,6.49,3.71,6.49,-6.50,-6.50,-6.33,-2.78,-2.78,-2.78
26.16,3.73,6.52,3.74,6.53,-6.53,-6.55,-6.48,-2.80,-2.80,-2.79
26.43,3.75,6.56,3.76,6.56,-6.57,-6.59,-6.63,-2.81,-2.81,-2.81
26.69,3.78,6.60,3.78,6.60,-6.60,-6.64,-6.78,-2.82,-2.82,-2.82
26.96,3.80,6.63,3.81,6.64,-6.64,-6.68,-6.93,-2.83,-2.83,-2.83
27.23,3.83,6.67,3.83,6.67,-6.67,-6.72,-7.08,-2.84,-2.84,-2.84
27.50,3.85,6.70,3.86,6.70,-6.70,-6.76,-7.23,-2.85,-2.85,-2.85
27.77,3.88,6.73,3.88,6.74,-6.74,-6.80,-7.37,-2.85,-2.85,-2.85
28.05,3.91,6.77,3.91,6.77,-6.77,-6.84,-7.51,-2.86,-2.86,-2.86
28.33,3.93,6.80,3.94,6.80,-6.80,-6.88,-7.64,-2.87,-2.86,-2.87
28.62,3.96,6.83,3.96,6.83,-6.83,-6.92,-7.76,-2.87,-2.87,-2.87
28.90,3.98,6.86,3.98,6.86,-6.86,-6.95,-7.88,-2.88,-2.88,-2.88
29.19,4.00,6.88,4.01,6.89,-6.89,-6.99,-7.99,-2.89,-2.89,-2.88
29.48,4.03,6.92,4.03,6.92,-6.92,-7.02,-8.09,-2.89,-2.89,-2.89
29.78,4.06,6.95,4.06,6.95,-6.95,-7.06,-8.19,-2.89,-2.89,-2.89
30.08,4.08,6.98,4.08,6.98,-6.98,-7.09,-8.27,-2.90,-2.90,-2.90
30.38,4.09,6.99,4.10,7.01,-7.01,-7.12,-8.34,-2.91,-2.90,-2.90
30.68,4.12,7.03,4.12,7.03,-7.03,-7.15,-8.40,-2.91,-2.91,-2.91
30.99,4.14,7.06,4.14,7.06,-7.05,-7.18,-8.44,-2.91,-2.91,-2.92
31.30,4.15,7.07,4.16,7.08,-7.07,-7.21,-8.48,-2.92,-2.92,-2.92
31.61,4.16,7.09,4.16,7.10,-7.09,-7.23,-8.50,-2.93,-2.93,-2.93
31.93,4.17,7.11,4.17,7.11,-7.11,-7.26,-8.51,-2.94,-2.94,-2.94
32.24,4.18,7.12,4.18,7.13,-7.13,-7.28,-8.50,-2.95,-2.95,-2.94
32.57,4.19,7.14,4.19,7.14,-7.15,-7.30,-8.49,-2.96,-2.96,-2.95
32.89,4.20,7.16,4.20,7.16,-7.17,-7.32,-8.47,-2.96,-2.96,-2.96
33.22,4.21,7.18,4.21,7.18,-7.18,-7.34,-8.43,-2.97,-2.97,-2.97
33.55,4.22,7.20,4.22,7.20,-7.20,-7.36,-8.39,-2.98,-2.98,-2.98
33.89,4.22,7.21,4.23,7.22,-7.22,-7.38,-8.34,-2.99,-2.99,-2.99
34.23,4.23,7.23,4.23,7.23,-7.23,-7.40,-8.28,-3.00,-3.00,-3.00
34.57,4.24,7.24,4.24,7.24,-7.24,-7.41,-8.21,-3.00,-3.00,-3.00
34.92,4.24,7.25,4.24,7.26,-7.25,-7.42,-8.14,-3.01,-3.01,-3.01
35.27,4.24,7.26,4.25,7.27,-7.27,-7.44,-8.06,-3.02,-3.02,-3.02
35.62,4.25,7.27,4.25,7.27,-7.27,-7.45,-7.98,-3.02,-3.02,-3.02
35.97,4.25,7.28,4.25,7.28,-7.28,-7.45,-7.90,-3.03,-3.03,-3.03
36.33,4.25,7.28,4.25,7.29,-7.29,-7.46,-7.82,-3.04,-3.03,-3.03
36.70,4.25,7.29,4.25,7.29,-7.30,-7.47,-7.73,-3.04,-3.04,-3.04
37.06,4.25,7.30,4.25,7.30,-7.30,-7.47,-7.65,-3.05,-3.05,-3.05
37.43,4.25,7.30,4.25,7.31,-7.31,-7.48,-7.57,-3.05,-3.05,-3.05
37.81,4.25,7.31,4.25,7.31,-7.31,-7.48,-7.48,-3.06,-3.06,-3.06
38.19,4.25,7.31,4.25,7.31,-7.32,-7.48,-7.40,-3.06,-3.06,-3.06
38.57,4.24,7.31,4.25,7.32,-7.32,-7.48,-7.32,-3.08,-3.07,-3.07
38.95,4.25,7.32,4.25,7.32,-7.32,-7.48,-7.25,-3.07,-3.07,-3.07
39.34,4.24,7.32,4.25,7.33,-7.32,-7.47,-7.17,-3.08,-3.08,-3.08
39.74,4.24,7.32,4.24,7.33,-7.33,-7.47,-7.10,-3.08,-3.08,-3.08
40.14,4.24,7.33,4.24,7.33,-7.33,-7.46,-7.04,-3.08,-3.09,-3.09
