frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.97,-2.85,-1.97,-2.85,2.85,2.89,-0.29,0.88,0.88,0.88
20.20,-1.86,-2.72,-1.86,-2.72,2.72,2.80,-0.30,0.86,0.85,0.86
20.40,-1.76,-2.59,-1.75,-2.59,2.58,2.71,-0.31,0.82,0.83,0.83
20.61,-1.64,-2.45,-1.64,-2.45,2.45,2.62,-0.32,0.81,0.80,0.81
20.81,-1.53,-2.32,-1.53,-2.32,2.32,2.52,-0.33,0.79,0.78,0.79
21.02,-1.43,-2.19,-1.42,-2.18,2.19,2.41,-0.34,0.76,0.77,0.76
21.23,-1.31,-2.05,-1.31,-2.05,2.06,2.30,-0.35,0.75,0.74,0.74
21.44,-1.21,-1.93,-1.21,-1.93,1.93,2.18,-0.36,0.72,0.72,0.72
21.66,-1.11,-1.81,-1.11,-1.80,1.80,2.07,-0.37,0.69,0.70,0.70
21.87,-1.01,-1.69,-1.00,-1.68,1.68,1.95,-0.38,0.67,0.67,0.68
22.09,-0.90,-1.56,-0.90,-1.56,1.55,1.83,-0.40,0.66,0.65,0.66
22.31,-0.80,-1.44,-0.80,-1.43,1.43,1.72,-0.41,0.64,0.63,0.64
22.54,-0.71,-1.32,-0.70,-1.31,1.32,1.60,-0.42,0.61,0.61,0.61
22.76,-0.60,-1.19,-0.61,-1.20,1.20,1.49,-0.43,0.60,0.59,0.59
22.99,-0.52,-1.09,-0.52,-1.08,1.09,1.37,-0.45,0.57,0.57,0.57
23.22,-0.43,-0.98,-0.43,-0.98,0.98,1.26,-0.46,0.55,0.55,0.55
23.45,-0.34,-0.88,-0.34,-0.88,0.88,1.15,-0.48,0.54,0.53,0.54
23.69,-0.26,-0.78,-0.26,-0.78,0.78,1.05,-0.49,0.52,0.52,0.52
23.92,-0.18,-0.69,-0.18,-0.68,0.68,0.94,-0.51,0.51,0.50,0.51
24.16,-0.10,-0.59,-0.10,-0.59,0.59,0.84,-0.52,0.49,0.49,0.49
24.40,-0.03,-0.51,-0.02,-0.50,0.50,0.74,-0.54,0.47,0.48,0.48
24.65,0.05,-0.42,0.05,-0.42,0.42,0.64,-0.55,0.47,0.47,0.47
24.89,0.12,-0.33,0.12,-0.33,0.33,0.55,-0.57,0.45,0.45,0.45
25.14,0.19,-0.25,0.19,-0.25,0.25,0.46,-0.58,0.44,0.44,0.44
25.39,0.26,-0.17,0.26,-0.17,0.16,0.37,-0.60,0.43,0.43,0.43
25.65,0.33,-0.09,0.33,-0.09,0.08,0.29,-0.62,0.41,0.41,0.42
25.91,0.40,-0.01,0.40,-0.01,0.00,0.20,-0.63,0.40,0.40,0.41
26.16,0.47,0.07,0.47,0.07,-0.08,0.12,-0.65,0.39,0.39,0.40
26.43,0.54,0.16,0.54,0.16,-0.15,0.05,-0.67,0.38,0.38,0.38
26.69,0.60,0.23,0.61,0.24,-0.23,-0.02,-0.68,0.37,0.37,0.37
26.96,0.67,0.31,0.67,0.31,-0.30,-0.10,-0.70,0.37,0.36,0.36
27.23,0.73,0.38,0.73,0.38,-0.37,-0.16,-0.71,0.36,0.35,0.35
27.50,0.78,0.44,0.79,0.44,-0.44,-0.23,-0.73,0.34,0.34,0.34
27.77,0.84,0.50,0.84,0.51,-0.51,-0.29,-0.74,0.33,0.33,0.34
28.05,0.90,0.57,0.90,0.57,-0.57,-0.35,-0.76,0.33,0.32,0.33
28.33,0.95,0.63,0.96,0.64,-0.64,-0.41,-0.77,0.31,0.32,0.32
28.62,1.02,0.70,1.01,0.70,-0.70,-0.46,-0.79,0.32,0.32,0.32
28.90,1.07,0.76,1.07,0.76,-0.76,-0.52,-0.80,0.31,0.31,0.31
29.19,1.12,0.81,1.13,0.82,-0.82,-0.57,-0.81,0.30,0.31,0.31
29.48,1.18,0.88,1.18,0.88,-0.88,-0.62,-0.83,0.30,0.30,0.30
29.78,1.23,0.93,1.23,0.94,-0.94,-0.66,-0.84,0.29,0.29,0.30
30.08,1.29,1.00,1.28,0.99,-1.00,-0.71,-0.85,0.29,0.29,0.29
30.38,1.33,1.04,1.34,1.05,-1.05,-0.75,-0.86,0.28,0.28,0.29
30.68,1.39,1.11,1.39,1.11,-1.11,-0.79,-0.87,0.28,0.28,0.28
30.99,1.44,1.17,1.44,1.16,-1.16,-0.83,-0.87,0.28,0.28,0.27
31.30,1.48,1.21,1.48,1.22,-1.21,-0.87,-0.88,0.27,0.27,0.27
31.61,1.53,1.27,1.52,1.27,-1.27,-0.90,-0.89,0.27,0.26,0.26
31.93,1.56,1.31,1.56,1.31,-1.32,-0.94,-0.89,0.24,0.25,0.25
32.24,1.60,1.35,1.61,1.36,-1.36,-0.97,-0.89,0.24,0.24,0.25
32.57,1.65,1.41,1.64,1.41,-1.41,-1.00,-0.90,0.24,0.23,0.24
32.89,1.68,1.45,1.68,1.45,-1.46,-1.03,-0.90,0.23,0.23,0.23
33.22,1.72,1.50,1.72,1.50,-1.50,-1.06,-0.90,0.22,0.22,0.22
33.55,1.75,1.54,1.75,1.54,-1.54,-1.08,-0.90,0.21,0.21,0.21
33.89,1.78,1.58,1.78,1.58,-1.58,-1.11,-0.90,0.20,0.20,0.20
34.23,1.81,1.62,1.81,1.62,-1.62,-1.14,-0.90,0.19,0.19,0.19
34.57,1.84,1.65,1.84,1.65,-1.65,-1.16,-0.90,0.19,0.18,0.19
34.92,1.86,1.68,1.86,1.68,-1.68,-1.18,-0.90,0.18,0.18,0.18
35.27,1.88,1.71,1.88,1.71,-1.71,-1.20,-0.90,0.17,0.17,0.17
35.62,1.91,1.74,1.91,1.74,-1.74,-1.22,-0.89,0.17,0.16,0.17
35.97,1.92,1.76,1.93,1.77,-1.77,-1.24,-0.89,0.15,0.16,0.16
36.33,1.95,1.79,1.95,1.79,-1.79,-1.26,-0.89,0.16,0.16,0.16
36.70,1.96,1.81,1.96,1.81,-1.81,-1.28,-0.88,0.15,0.15,0.15
37.06,1.98,1.84,1.98,1.84,-1.83,-1.29,-0.88,0.15,0.14,0.14
37.43,1.99,1.85,1.99,1.85,-1.85,-1.31,-0.88,0.14,0.14,0.14
37.81,2.00,1.87,2.00,1.87,-1.87,-1.33,-0.88,0.13,0.13,0.13
38.19,2.01,1.88,2.01,1.88,-1.89,-1.34,-0.87,0.12,0.12,0.13
38.57,2.02,1.90,2.02,1.90,-1.90,-1.35,-0.87,0.12,0.12,0.12
38.95,2.03,1.91,2.03,1.91,-1.91,-1.37,-0.87,0.12,0.12,0.12
39.34,2.04,1.93,2.04,1.93,-1.92,-1.38,-0.87,0.12,0.11,0.11
39.74,2.04,1.93,2.04,1.93,-1.93,-1.39,-0.86,0.11,0.11,0.11
40.14,2.04,1.94,2.04,1.94,-1.94,-1.40,-0.86,0.10,0.10,0.10
40.54,2.04,1.94,2.04,1.95,-1.95,-1.41,-0.86,0.09,0.09,0.10
40.94,2.05,1.96,2.05,1.96,-1.96,-1.42,-0.86,0.10,0.09,0.09
41.35,2.04,1.95,2.05,1.96,-1.96,-1.43,-0.86,0.08,0.09,0.09
41.76,2.05,1.97,2.04,1.96,-1.96,-1.44,-0.87,0.09,0.08,0.08
42.18,2.04,1.96,2.04,1.96,-1.96,-1.44,-0.87,0.08,0.08,0.08
42.60,2.03,1.96,2.03,1.96,-1.97,-1.45,-0.87,0.07,0.07,0.07
43.03,2.03,1.96,2.03,1.96,-1.96,-1.46,-0.87,0.07,0.06,0.07
43.46,2.02,1.96,2.02,1.96,-1.96,-1.46,-0.88,0.06,0.06,0.06
43.90,2.02,1.96,2.02,1.96,-1.96,-1.47,-0.88,0.06,0.06,0.06
44.33,2.01,1.95,2.01,1.95,-1.95,-1.48,-0.89,0.06,0.06,0.06
44.78,1.99,1.94,1.99,1.94,-1.94,-1.48,-0.89,0.05,0.05,0.05
45.23,1.98,1.93,1.98,1.93,-1.93,-1.49,-0.90,0.05,0.05,0.05
45.68,1.96,1.91,1.97,1.92,-1.92,-1.49,-0.91,0.04,0.05,0.05
46.13,1.96,1.91,1.96,1.91,-1.91,-1.49,-0.91,0.05,0.05,0.05
46.60,1.94,1.89,1.94,1.89,-1.89,-1.50,-0.92,0.05,0.05,0.05
47.06,1.92,1.87,1.92,1.87,-1.87,-1.50,-0.93,0.05,0.05,0.05
47.53,1.90,1.85,1.90,1.85,-1.85,-1.50,-0.94,0.05,0.05,0.05
48.01,1.88,1.83,1.88,1.83,-1.83,-1.50,-0.95,0.05,0.05,0.05
48.49,1.86,1.81,1.86,1.81,-1.81,-1.50,-0.96,0.05,0.05,0.05
48.97,1.83,1.78,1.83,1.78,-1.78,-1.51,-0.97,0.05,0.05,0.05
49.46,1.80,1.75,1.80,1.75,-1.75,-1.51,-0.98,0.05,0.05,0.05
49.96,1.76,1.71,1.77,1.72,-1.72,-1.51,-1.00,0.04,0.05,0.05
50.46,1.74,1.69,1.74,1.69,-1.68,-1.51,-1.01,0.06,0.05,0.05
50.96,1.70,1.65,1.70,1.65,-1.65,-1.51,-1.02,0.05,0.05,0.05
51.47,1.66,1.61,1.66,1.61,-1.61,-1.51,-1.04,0.05,0.05,0.05
51.99,1.62,1.57,1.62,1.57,-1.58,-1.51,-1.05,0.05,0.05,0.05
52.51,1.58,1.53,1.58,1.53,-1.54,-1.51,-1.06,0.04,0.04,0.05
53.03,1.55,1.50,1.55,1.50,-1.50,-1.50,-1.08,0.05,0.05,0.05
53.56,1.51,1.46,1.51,1.47,-1.47,-1.50,-1.09,0.04,0.05,0.05
54.10,1.49,1.44,1.48,1.43,-1.43,-1.50,-1.10,0.06,0.05,0.05
54.64,1.44,1.39,1.45,1.40,-1.40,-1.50,-1.12,0.04,0.05,0.05
55.18,1.42,1.37,1.42,1.37,-1.37,-1.50,-1.13,0.05,0.05,0.05
55.74,1.39,1.34,1.39,1.34,-1.34,-1.49,-1.14,0.05,0.05,0.05
56.29,1.35,1.30,1.36,1.31,-1.31,-1.49,-1.15,0.04,0.05,0.05
56.86,1.33,1.28,1.33,1.28,-1.28,-1.49,-1.16,0.05,0.05,0.05
57.42,1.30,1.25,1.30,1.25,-1.24,-1.48,-1.17,0.06,0.05,0.05
58.00,1.27,1.21,1.27,1.21,-1.21,-1.48,-1.18,0.06,0.06,0.06
58.58,1.23,1.17,1.23,1.18,-1.17,-1.48,-1.19,0.06,0.06,0.06
59.16,1.20,1.14,1.20,1.14,-1.14,-1.47,-1.20,0.06,0.06,0.06
59.76,1.16,1.10,1.16,1.10,-1.10,-1.47,-1.21,0.06,0.06,0.06
60.35,1.13,1.06,1.13,1.06,-1.07,-1.46,-1.21,0.06,0.06,0.07
60.96,1.09,1.02,1.09,1.03,-1.03,-1.46,-1.21,0.06,0.06,0.07
61.57,1.06,0.99,1.06,0.99,-0.99,-1.45,-1.22,0.07,0.07,0.07
62.18,1.03,0.96,1.03,0.96,-0.96,-1.45,-1.22,0.07,0.07,0.07
62.80,1.00,0.93,1.00,0.92,-0.92,-1.44,-1.22,0.08,0.08,0.07
63.43,0.96,0.88,0.96,0.89,-0.88,-1.44,-1.22,0.08,0.08,0.08
64.07,0.92,0.84,0.93,0.85,-0.85,-1.43,-1.22,0.07,0.08,0.08
64.71,0.90,0.82,0.89,0.81,-0.82,-1.43,-1.21,0.08,0.07,0.08
65.35,0.86,0.78,0.86,0.78,-0.79,-1.42,-1.21,0.07,0.07,0.08
66.01,0.83,0.75,0.84,0.76,-0.76,-1.41,-1.20,0.07,0.08,0.08
66.67,0.81,0.73,0.81,0.73,-0.73,-1.41,-1.20,0.08,0.08,0.08
67.33,0.79,0.71,0.79,0.71,-0.71,-1.40,-1.19,0.08,0.08,0.08
68.01,0.76,0.68,0.76,0.69,-0.68,-1.39,-1.18,0.08,0.08,0.08
68.69,0.74,0.66,0.74,0.66,-0.66,-1.38,-1.17,0.08,0.08,0.08
69.37,0.72,0.64,0.72,0.64,-0.64,-1.38,-1.16,0.08,0.08,0.08
70.07,0.70,0.62,0.70,0.63,-0.62,-1.37,-1.15,0.08,0.08,0.08
70.77,0.69,0.61,0.69,0.61,-0.61,-1.36,-1.14,0.08,0.08,0.08
71.48,0.67,0.59,0.67,0.59,-0.59,-1.35,-1.13,0.08,0.08,0.08
72.19,0.65,0.57,0.66,0.58,-0.58,-1.34,-1.11,0.07,0.08,0.08
72.91,0.64,0.56,0.64,0.56,-0.57,-1.34,-1.10,0.08,0.07,0.08
73.64,0.63,0.56,0.63,0.55,-0.55,-1.33,-1.09,0.08,0.07,0.07
74.38,0.61,0.54,0.61,0.55,-0.54,-1.32,-1.08,0.07,0.07,0.07
75.12,0.60,0.53,0.60,0.54,-0.53,-1.31,-1.07,0.07,0.07,0.07
75.87,0.59,0.53,0.59,0.53,-0.53,-1.30,-1.05,0.07,0.06,0.06
76.63,0.57,0.51,0.57,0.52,-0.52,-1.29,-1.04,0.05,0.06,0.06
77.40,0.56,0.51,0.56,0.51,-0.51,-1.28,-1.03,0.05,0.05,0.05
78.17,0.54,0.50,0.54,0.50,-0.50,-1.27,-1.02,0.04,0.04,0.04
78.95,0.53,0.50,0.53,0.50,-0.50,-1.26,-1.01,0.03,0.03,0.03
79.74,0.51,0.49,0.51,0.50,-0.49,-1.25,-1.00,0.02,0.02,0.02
80.54,0.50,0.49,0.50,0.49,-0.49,-1.24,-0.99,0.01,0.01,0.01
81.35,0.49,0.49,0.49,0.49,-0.49,-1.23,-0.98,0.00,-0.00,-0.00
82.16,0.47,0.48,0.47,0.49,-0.49,-1.22,-0.97,-0.02,-0.01,-0.01
82.98,0.46,0.48,0.46,0.48,-0.48,-1.21,-0.96,-0.02,-0.02,-0.02
83.81,0.45,0.48,0.45,0.48,-0.48,-1.20,-0.95,-0.03,-0.03,-0.03
84.65,0.43,0.48,0.43,0.48,-0.48,-1.19,-0.95,-0.05,-0.04,-0.05
85.50,0.42,0.48,0.42,0.48,-0.48,-1.18,-0.94,-0.06,-0.06,-0.06
86.35,0.41,0.47,0.41,0.47,-0.47,-1.17,-0.94,-0.06,-0.07,-0.06
87.22,0.39,0.46,0.40,0.47,-0.47,-1.16,-0.93,-0.08,-0.08,-0.07
88.09,0.39,0.47,0.39,0.47,-0.47,-1.15,-0.93,-0.08,-0.08,-0.08
88.97,0.38,0.47,0.38,0.47,-0.47,-1.14,-0.92,-0.09,-0.09,-0.09
89.86,0.37,0.47,0.37,0.47,-0.47,-1.13,-0.92,-0.10,-0.10,-0.10
90.76,0.37,0.47,0.37,0.47,-0.47,-1.11,-0.92,-0.10,-0.10,-0.10
91.66,0.36,0.47,0.36,0.47,-0.47,-1.10,-0.92,-0.11,-0.11,-0.11
92.58,0.36,0.47,0.36,0.47,-0.47,-1.09,-0.92,-0.11,-0.12,-0.11
93.51,0.35,0.47,0.36,0.48,-0.48,-1.08,-0.92,-0.13,-0.12,-0.12
94.44,0.36,0.48,0.36,0.48,-0.48,-1.07,-0.92,-0.12,-0.12,-0.12
