frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-9.06,-11.52,-9.05,-11.51,6.00,5.09,2.48,-3.06,-3.05,2.46
20.20,-8.95,-11.39,-8.96,-11.39,6.00,5.17,2.55,-2.95,-2.96,2.44
20.40,-8.86,-11.26,-8.86,-11.27,6.00,5.25,2.63,-2.86,-2.86,2.41
20.61,-8.76,-11.15,-8.76,-11.14,6.00,5.33,2.70,-2.76,-2.76,2.39
20.81,-8.66,-11.02,-8.66,-11.02,6.00,5.41,2.79,-2.66,-2.66,2.37
21.02,-8.56,-10.90,-8.55,-10.89,6.00,5.49,2.87,-2.56,-2.55,2.34
21.23,-8.45,-10.77,-8.45,-10.77,6.00,5.57,2.95,-2.45,-2.45,2.32
21.44,-8.35,-10.64,-8.35,-10.65,6.00,5.64,3.04,-2.35,-2.35,2.30
21.66,-8.25,-10.53,-8.25,-10.52,6.00,5.72,3.13,-2.25,-2.25,2.28
21.87,-8.15,-10.40,-8.14,-10.40,6.00,5.79,3.23,-2.15,-2.14,2.26
22.09,-8.04,-10.27,-8.04,-10.28,6.00,5.86,3.32,-2.04,-2.04,2.24
22.31,-7.93,-10.14,-7.93,-10.14,6.00,5.93,3.42,-1.93,-1.93,2.22
22.54,-7.83,-10.02,-7.82,-10.01,6.00,5.99,3.52,-1.83,-1.82,2.19
22.76,-7.71,-9.87,-7.71,-9.88,6.00,6.06,3.62,-1.71,-1.71,2.17
22.99,-7.61,-9.76,-7.61,-9.75,6.00,6.12,3.73,-1.61,-1.61,2.15
23.22,-7.50,-9.63,-7.50,-9.63,6.00,6.17,3.84,-1.50,-1.50,2.13
23.45,-7.39,-9.50,-7.39,-9.50,6.00,6.23,3.95,-1.39,-1.39,2.12
23.69,-7.28,-9.38,-7.28,-9.38,6.00,6.28,4.06,-1.28,-1.28,2.10
23.92,-7.17,-9.25,-7.17,-9.25,6.00,6.32,4.18,-1.17,-1.17,2.09
24.16,-7.05,-9.11,-7.06,-9.13,6.00,6.36,4.30,-1.05,-1.06,2.07
24.40,-6.95,-9.00,-6.94,-9.00,6.00,6.40,4.41,-0.95,-0.94,2.06
24.65,-6.83,-8.88,-6.83,-8.87,6.00,6.43,4.54,-0.83,-0.83,2.05
24.89,-6.71,-8.73,-6.71,-8.74,6.00,6.45,4.66,-0.71,-0.71,2.03
25.14,-6.59,-8.60,-6.59,-8.61,6.00,6.47,4.78,-0.59,-0.59,2.02
25.39,-6.47,-8.47,-6.47,-8.47,6.00,6.49,4.90,-0.47,-0.47,2.01
25.65,-6.35,-8.35,-6.35,-8.34,6.00,6.49,5.03,-0.35,-0.35,2.00
25.91,-6.22,-8.21,-6.22,-8.21,6.00,6.49,5.15,-0.22,-0.22,1.99
26.16,-6.10,-8.07,-6.10,-8.07,6.00,6.49,5.28,-0.10,-0.10,1.98
26.43,-5.97,-7.93,-5.97,-7.93,6.00,6.47,5.40,0.03,0.03,1.96
26.69,-5.84,-7.79,-5.84,-7.79,6.00,6.45,5.52,0.16,0.16,1.95
26.96,-5.71,-7.65,-5.71,-7.64,6.00,6.42,5.63,0.29,0.29,1.94
27.23,-5.57,-7.50,-5.58,-7.50,6.00,6.39,5.75,0.43,0.42,1.93
27.50,-5.45,-7.37,-5.44,-7.36,6.00,6.34,5.86,0.55,0.56,1.92
27.77,-5.31,-7.22,-5.31,-7.22,6.00,6.29,5.96,0.69,0.69,1.92
28.05,-5.17,-7.07,-5.17,-7.08,6.00,6.23,6.06,0.83,0.83,1.91
28.33,-5.04,-6.93,-5.04,-6.94,6.01,6.17,6.15,0.97,0.97,1.90
28.62,-4.90,-6.80,-4.90,-6.80,6.02,6.10,6.23,1.12,1.12,1.90
28.90,-4.77,-6.65,-4.77,-6.65,6.03,6.02,6.30,1.26,1.26,1.89
29.19,-4.63,-6.52,-4.63,-6.51,6.03,5.93,6.36,1.40,1.40,1.89
29.48,-4.48,-6.35,-4.48,-6.36,6.01,5.84,6.40,1.54,1.53,1.88
29.78,-4.34,-6.22,-4.34,-6.21,5.98,5.74,6.44,1.64,1.64,1.88
30.08,-4.19,-6.06,-4.19,-6.06,5.92,5.63,6.46,1.73,1.73,1.87
30.38,-4.05,-5.92,-4.04,-5.91,5.84,5.52,6.47,1.79,1.79,1.87
30.68,-3.89,-5.75,-3.89,-5.75,5.73,5.40,6.46,1.84,1.84,1.86
30.99,-3.73,-5.58,-3.74,-5.59,5.61,5.28,6.44,1.88,1.87,1.85
31.30,-3.59,-5.44,-3.58,-5.43,5.46,5.15,6.40,1.87,1.88,1.85
31.61,-3.43,-5.27,-3.43,-5.27,5.30,5.02,6.34,1.87,1.86,1.84
31.93,-3.28,-5.11,-3.28,-5.11,5.12,4.88,6.27,1.84,1.84,1.83
32.24,-3.13,-4.95,-3.12,-4.95,4.95,4.74,6.18,1.82,1.82,1.83
32.57,-2.96,-4.78,-2.96,-4.78,4.78,4.60,6.08,1.82,1.81,1.82
32.89,-2.81,-4.61,-2.80,-4.61,4.61,4.45,5.97,1.80,1.81,1.81
33.22,-2.64,-4.43,-2.64,-4.44,4.44,4.30,5.84,1.80,1.80,1.80
33.55,-2.48,-4.26,-2.48,-4.27,4.27,4.14,5.69,1.79,1.79,1.79
33.89,-2.32,-4.10,-2.32,-4.09,4.10,3.99,5.54,1.78,1.78,1.78
34.23,-2.16,-3.93,-2.16,-3.93,3.93,3.83,5.37,1.77,1.77,1.77
34.57,-1.99,-3.76,-1.99,-3.76,3.75,3.66,5.20,1.77,1.76,1.77
34.92,-1.83,-3.59,-1.83,-3.58,3.58,3.50,5.01,1.75,1.76,1.76
35.27,-1.66,-3.41,-1.66,-3.41,3.41,3.34,4.82,1.75,1.75,1.75
35.62,-1.49,-3.24,-1.49,-3.24,3.24,3.17,4.63,1.75,1.74,1.75
35.97,-1.33,-3.06,-1.32,-3.06,3.06,3.00,4.42,1.74,1.74,1.74
36.33,-1.16,-2.89,-1.16,-2.89,2.89,2.83,4.21,1.73,1.73,1.74
36.70,-0.99,-2.72,-0.99,-2.71,2.71,2.66,4.00,1.72,1.73,1.73
37.06,-0.82,-2.53,-0.82,-2.54,2.54,2.49,3.78,1.72,1.72,1.72
37.43,-0.64,-2.35,-0.64,-2.36,2.36,2.32,3.56,1.72,1.72,1.72
37.81,-0.48,-2.19,-0.47,-2.18,2.18,2.15,3.34,1.70,1.71,1.71
38.19,-0.30,-2.01,-0.30,-2.01,2.00,1.97,3.11,1.70,1.70,1.71
38.57,-0.13,-1.83,-0.13,-1.83,1.83,1.80,2.89,1.70,1.70,1.70
38.95,0.05,-1.64,0.05,-1.65,1.65,1.63,2.66,1.70,1.70,1.70
39.34,0.22,-1.46,0.23,-1.46,1.46,1.45,2.43,1.69,1.69,1.69
39.74,0.40,-1.29,0.40,-1.28,1.28,1.28,2.20,1.68,1.68,1.69
40.14,0.58,-1.10,0.58,-1.10,1.10,1.10,1.98,1.68,1.68,1.68
40.54,0.75,-0.93,0.76,-0.92,0.92,0.93,1.75,1.67,1.67,1.68
40.94,0.94,-0.72,0.94,-0.73,0.73,0.75,1.52,1.68,1.67,1.67
41.35,1.11,-0.55,1.12,-0.55,0.55,0.58,1.29,1.66,1.67,1.67
41.76,1.30,-0.35,1.30,-0.36,0.36,0.40,1.06,1.67,1.66,1.66
42.18,1.47,-0.18,1.47,-0.18,0.18,0.23,0.83,1.65,1.65,1.66
42.60,1.65,0.01,1.65,0.00,-0.01,0.05,0.60,1.65,1.65,1.65
43.03,1.83,0.18,1.83,0.19,-0.19,-0.12,0.37,1.64,1.64,1.65
43.46,2.01,0.37,2.01,0.37,-0.38,-0.30,0.13,1.64,1.64,1.64
