frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.78,-5.32,-5.78,-5.32,5.31,4.96,1.31,-0.46,-0.46,-0.46
20.20,-5.73,-5.25,-5.73,-5.25,5.25,4.90,1.35,-0.48,-0.48,-0.48
20.40,-5.69,-5.18,-5.68,-5.18,5.18,4.85,1.39,-0.51,-0.50,-0.51
20.61,-5.64,-5.11,-5.64,-5.11,5.12,4.80,1.43,-0.52,-0.53,-0.53
20.81,-5.60,-5.05,-5.60,-5.04,5.05,4.74,1.47,-0.55,-0.55,-0.55
21.02,-5.56,-4.98,-5.55,-4.98,4.98,4.69,1.52,-0.57,-0.57,-0.58
21.23,-5.51,-4.91,-5.51,-4.91,4.92,4.63,1.57,-0.59,-0.59,-0.60
21.44,-5.47,-4.85,-5.46,-4.85,4.85,4.58,1.61,-0.62,-0.62,-0.62
21.66,-5.42,-4.78,-5.42,-4.78,4.78,4.52,1.66,-0.64,-0.64,-0.64
21.87,-5.38,-4.72,-5.37,-4.72,4.71,4.47,1.71,-0.66,-0.66,-0.66
22.09,-5.33,-4.65,-5.33,-4.65,4.65,4.41,1.76,-0.68,-0.68,-0.68
22.31,-5.29,-4.59,-5.28,-4.58,4.58,4.36,1.82,-0.71,-0.71,-0.70
22.54,-5.24,-4.51,-5.23,-4.51,4.51,4.30,1.87,-0.73,-0.73,-0.73
22.76,-5.18,-4.43,-5.18,-4.43,4.44,4.25,1.93,-0.74,-0.75,-0.75
22.99,-5.13,-4.36,-5.13,-4.36,4.36,4.19,1.99,-0.76,-0.76,-0.77
23.22,-5.08,-4.29,-5.07,-4.29,4.29,4.14,2.05,-0.79,-0.78,-0.79
23.45,-5.02,-4.22,-5.02,-4.22,4.21,4.08,2.10,-0.80,-0.80,-0.80
23.69,-4.96,-4.14,-4.96,-4.14,4.14,4.02,2.17,-0.82,-0.82,-0.82
23.92,-4.90,-4.07,-4.89,-4.06,4.06,3.97,2.23,-0.83,-0.83,-0.83
24.16,-4.83,-3.98,-4.83,-3.99,3.99,3.91,2.29,-0.84,-0.84,-0.85
24.40,-4.78,-3.92,-4.77,-3.91,3.91,3.85,2.36,-0.86,-0.86,-0.86
24.65,-4.71,-3.84,-4.71,-3.84,3.84,3.80,2.42,-0.87,-0.87,-0.87
24.89,-4.65,-3.76,-4.65,-3.76,3.76,3.74,2.49,-0.89,-0.89,-0.89
25.14,-4.58,-3.68,-4.58,-3.68,3.68,3.68,2.55,-0.89,-0.90,-0.90
25.39,-4.52,-3.61,-4.51,-3.60,3.60,3.63,2.62,-0.91,-0.91,-0.91
25.65,-4.45,-3.53,-4.45,-3.53,3.53,3.57,2.68,-0.92,-0.92,-0.92
25.91,-4.38,-3.45,-4.38,-3.45,3.45,3.51,2.75,-0.93,-0.93,-0.93
26.16,-4.32,-3.38,-4.31,-3.37,3.37,3.46,2.81,-0.95,-0.95,-0.94
26.43,-4.25,-3.29,-4.25,-3.29,3.29,3.40,2.88,-0.96,-0.96,-0.96
26.69,-4.18,-3.21,-4.18,-3.21,3.21,3.34,2.94,-0.96,-0.97,-0.97
26.96,-4.11,-3.13,-4.11,-3.13,3.14,3.28,3.00,-0.97,-0.98,-0.98
27.23,-4.05,-3.06,-4.05,-3.06,3.06,3.23,3.06,-0.99,-0.98,-0.99
27.50,-3.99,-2.99,-3.98,-2.99,2.99,3.17,3.12,-1.00,-0.99,-1.00
27.77,-3.92,-2.92,-3.92,-2.92,2.92,3.11,3.17,-1.00,-1.00,-1.00
28.05,-3.86,-2.85,-3.86,-2.85,2.85,3.05,3.22,-1.01,-1.01,-1.01
28.33,-3.81,-2.79,-3.80,-2.78,2.78,3.00,3.27,-1.02,-1.01,-1.02
28.62,-3.74,-2.72,-3.74,-2.72,2.72,2.94,3.32,-1.02,-1.03,-1.02
28.90,-3.69,-2.66,-3.68,-2.66,2.65,2.88,3.35,-1.03,-1.03,-1.03
29.19,-3.63,-2.60,-3.62,-2.59,2.59,2.82,3.39,-1.04,-1.03,-1.03
29.48,-3.56,-2.52,-3.56,-2.52,2.52,2.77,3.42,-1.03,-1.04,-1.04
29.78,-3.50,-2.46,-3.50,-2.46,2.46,2.71,3.44,-1.04,-1.04,-1.04
30.08,-3.44,-2.39,-3.44,-2.39,2.39,2.65,3.46,-1.04,-1.05,-1.05
30.38,-3.39,-2.34,-3.38,-2.33,2.33,2.60,3.47,-1.06,-1.05,-1.05
30.68,-3.33,-2.27,-3.33,-2.27,2.27,2.54,3.48,-1.06,-1.06,-1.06
30.99,-3.27,-2.20,-3.27,-2.21,2.21,2.48,3.48,-1.05,-1.06,-1.07
31.30,-3.23,-2.16,-3.22,-2.15,2.16,2.42,3.47,-1.07,-1.07,-1.07
31.61,-3.18,-2.10,-3.18,-2.10,2.10,2.37,3.46,-1.07,-1.08,-1.08
31.93,-3.14,-2.05,-3.14,-2.05,2.05,2.31,3.44,-1.09,-1.08,-1.09
32.24,-3.10,-2.01,-3.09,-2.00,2.00,2.25,3.41,-1.10,-1.09,-1.09
32.57,-3.05,-1.95,-3.05,-1.96,1.95,2.20,3.38,-1.10,-1.11,-1.10
32.89,-3.02,-1.91,-3.01,-1.90,1.90,2.14,3.34,-1.12,-1.11,-1.11
33.22,-2.97,-1.85,-2.97,-1.85,1.85,2.09,3.30,-1.12,-1.12,-1.12
33.55,-2.92,-1.79,-2.92,-1.79,1.79,2.03,3.25,-1.12,-1.13,-1.13
33.89,-2.88,-1.74,-2.87,-1.73,1.74,1.97,3.19,-1.14,-1.13,-1.14
34.23,-2.83,-1.68,-2.83,-1.68,1.68,1.92,3.14,-1.14,-1.14,-1.15
34.57,-2.78,-1.63,-2.78,-1.63,1.63,1.86,3.07,-1.15,-1.15,-1.15
34.92,-2.74,-1.58,-2.73,-1.57,1.57,1.81,3.00,-1.16,-1.16,-1.16
35.27,-2.69,-1.52,-2.69,-1.52,1.52,1.75,2.93,-1.17,-1.16,-1.17
35.62,-2.64,-1.47,-2.64,-1.47,1.47,1.70,2.86,-1.17,-1.17,-1.17
35.97,-2.60,-1.42,-2.59,-1.42,1.42,1.64,2.78,-1.18,-1.17,-1.18
36.33,-2.55,-1.37,-2.55,-1.37,1.37,1.59,2.70,-1.18,-1.18,-1.18
36.70,-2.52,-1.33,-2.51,-1.32,1.32,1.54,2.62,-1.20,-1.19,-1.19
37.06,-2.47,-1.27,-2.47,-1.27,1.27,1.48,2.53,-1.19,-1.20,-1.20
37.43,-2.43,-1.23,-2.43,-1.23,1.22,1.43,2.45,-1.20,-1.20,-1.20
37.81,-2.39,-1.18,-2.38,-1.18,1.18,1.38,2.36,-1.21,-1.20,-1.21
38.19,-2.34,-1.13,-2.34,-1.13,1.13,1.32,2.27,-1.20,-1.21,-1.21
38.57,-2.31,-1.09,-2.30,-1.09,1.09,1.27,2.18,-1.22,-1.21,-1.22
38.95,-2.27,-1.05,-2.26,-1.04,1.05,1.22,2.09,-1.22,-1.22,-1.22
39.34,-2.23,-1.00,-2.23,-1.00,1.01,1.17,2.00,-1.22,-1.23,-1.23
39.74,-2.20,-0.97,-2.20,-0.97,0.96,1.11,1.92,-1.23,-1.23,-1.23
