frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.35,11.80,12.35,11.80,-11.79,-11.97,-6.01,0.56,0.56,0.55
20.20,12.34,11.81,12.34,11.81,-11.82,-11.98,-6.15,0.53,0.53,0.53
20.40,12.33,11.83,12.34,11.83,-11.84,-12.00,-6.30,0.50,0.50,0.50
20.61,12.33,11.85,12.34,11.85,-11.86,-12.01,-6.46,0.47,0.48,0.48
20.81,12.34,11.88,12.34,11.88,-11.88,-12.03,-6.62,0.46,0.46,0.46
21.02,12.34,11.91,12.35,11.91,-11.91,-12.04,-6.78,0.44,0.44,0.43
21.23,12.35,11.94,12.35,11.94,-11.93,-12.06,-6.95,0.42,0.42,0.41
21.44,12.35,11.96,12.35,11.96,-11.96,-12.08,-7.12,0.39,0.39,0.39
21.66,12.35,11.98,12.36,11.99,-11.99,-12.09,-7.29,0.37,0.37,0.37
21.87,12.36,12.01,12.36,12.01,-12.02,-12.11,-7.48,0.35,0.35,0.35
22.09,12.37,12.04,12.37,12.04,-12.05,-12.12,-7.66,0.33,0.32,0.33
22.31,12.38,12.07,12.38,12.07,-12.07,-12.14,-7.85,0.31,0.31,0.31
22.54,12.38,12.10,12.39,12.11,-12.10,-12.16,-8.05,0.28,0.29,0.28
22.76,12.40,12.14,12.40,12.14,-12.13,-12.17,-8.25,0.27,0.26,0.26
22.99,12.40,12.16,12.40,12.16,-12.16,-12.19,-8.46,0.24,0.24,0.24
23.22,12.40,12.18,12.41,12.19,-12.19,-12.20,-8.67,0.22,0.23,0.22
23.45,12.42,12.21,12.42,12.21,-12.21,-12.22,-8.88,0.21,0.21,0.21
23.69,12.42,12.23,12.43,12.23,-12.23,-12.23,-9.11,0.19,0.19,0.19
23.92,12.43,12.25,12.43,12.26,-12.26,-12.25,-9.34,0.18,0.18,0.18
24.16,12.44,12.28,12.44,12.28,-12.28,-12.26,-9.57,0.17,0.16,0.16
24.40,12.44,12.29,12.45,12.30,-12.30,-12.28,-9.81,0.15,0.15,0.15
24.65,12.45,12.31,12.45,12.31,-12.31,-12.29,-10.06,0.14,0.14,0.14
24.89,12.45,12.33,12.46,12.33,-12.33,-12.31,-10.30,0.12,0.12,0.12
25.14,12.46,12.35,12.47,12.35,-12.35,-12.32,-10.56,0.11,0.11,0.11
25.39,12.47,12.37,12.47,12.37,-12.37,-12.33,-10.82,0.10,0.10,0.10
25.65,12.48,12.39,12.48,12.39,-12.39,-12.35,-11.09,0.09,0.09,0.09
25.91,12.48,12.40,12.49,12.41,-12.41,-12.36,-11.36,0.07,0.08,0.08
26.16,12.49,12.42,12.49,12.43,-12.43,-12.37,-11.63,0.07,0.07,0.07
26.43,12.50,12.45,12.50,12.44,-12.45,-12.38,-11.91,0.06,0.05,0.05
26.69,12.50,12.46,12.51,12.47,-12.47,-12.39,-12.19,0.04,0.04,0.04
26.96,12.51,12.48,12.51,12.48,-12.48,-12.40,-12.47,0.03,0.03,0.03
27.23,12.52,12.50,12.52,12.50,-12.50,-12.41,-12.75,0.03,0.02,0.02
27.50,12.52,12.51,12.53,12.51,-12.51,-12.42,-13.03,0.01,0.02,0.01
27.77,12.53,12.52,12.53,12.52,-12.52,-12.43,-13.31,0.01,0.01,0.01
28.05,12.53,12.53,12.53,12.53,-12.53,-12.44,-13.58,0.00,0.00,0.00
28.33,12.53,12.54,12.54,12.54,-12.54,-12.45,-13.84,-0.01,-0.00,-0.01
28.62,12.53,12.54,12.53,12.54,-12.54,-12.45,-14.10,-0.01,-0.01,-0.01
28.90,12.53,12.55,12.53,12.55,-12.55,-12.46,-14.34,-0.01,-0.02,-0.02
29.19,12.52,12.54,12.53,12.55,-12.55,-12.46,-14.58,-0.03,-0.02,-0.02
29.48,12.52,12.55,12.52,12.55,-12.55,-12.47,-14.79,-0.03,-0.03,-0.03
29.78,12.51,12.54,12.52,12.55,-12.55,-12.47,-14.98,-0.04,-0.03,-0.03
30.08,12.51,12.55,12.51,12.54,-12.55,-12.47,-15.14,-0.03,-0.04,-0.04
30.38,12.49,12.53,12.50,12.54,-12.54,-12.48,-15.29,-0.05,-0.04,-0.04
30.68,12.49,12.54,12.49,12.54,-12.54,-12.48,-15.40,-0.04,-0.05,-0.05
30.99,12.48,12.54,12.48,12.53,-12.53,-12.48,-15.49,-0.05,-0.05,-0.06
31.30,12.46,12.52,12.47,12.53,-12.52,-12.48,-15.53,-0.06,-0.06,-0.06
31.61,12.44,12.51,12.44,12.51,-12.51,-12.47,-15.56,-0.07,-0.07,-0.07
31.93,12.42,12.50,12.43,12.50,-12.50,-12.47,-15.55,-0.08,-0.08,-0.08
32.24,12.40,12.48,12.41,12.49,-12.49,-12.47,-15.52,-0.09,-0.09,-0.08
32.57,12.39,12.48,12.39,12.48,-12.48,-12.46,-15.44,-0.09,-0.09,-0.09
32.89,12.36,12.46,12.37,12.47,-12.47,-12.46,-15.36,-0.11,-0.10,-0.10
