frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.84,6.08,11.84,6.08,-6.06,-5.22,-2.58,5.79,5.79,5.76
20.20,11.84,6.10,11.84,6.10,-6.09,-5.22,-2.65,5.75,5.75,5.74
20.40,11.84,6.11,11.84,6.11,-6.12,-5.22,-2.73,5.72,5.72,5.73
20.61,11.84,6.12,11.84,6.13,-6.15,-5.22,-2.81,5.70,5.70,5.72
20.81,11.84,6.14,11.84,6.14,-6.16,-5.22,-2.88,5.68,5.68,5.70
21.02,11.84,6.16,11.84,6.15,-6.18,-5.22,-2.97,5.67,5.67,5.69
21.23,11.84,6.17,11.84,6.17,-6.18,-5.22,-3.05,5.66,5.66,5.68
21.44,11.84,6.18,11.85,6.18,-6.18,-5.22,-3.14,5.66,5.66,5.67
21.66,11.84,6.19,11.85,6.19,-6.18,-5.22,-3.23,5.67,5.67,5.66
21.87,11.84,6.20,11.84,6.19,-6.16,-5.22,-3.32,5.68,5.67,5.65
22.09,11.82,6.18,11.82,6.17,-6.14,-5.22,-3.42,5.68,5.67,5.65
22.31,11.77,6.14,11.78,6.14,-6.12,-5.22,-3.52,5.65,5.66,5.64
22.54,11.72,6.09,11.72,6.09,-6.09,-5.22,-3.61,5.63,5.63,5.63
22.76,11.66,6.04,11.66,6.04,-6.06,-5.22,-3.72,5.60,5.60,5.62
22.99,11.61,5.98,11.63,6.00,-6.03,-5.22,-3.82,5.58,5.60,5.63
23.22,11.61,5.99,11.61,5.99,-6.01,-5.22,-3.93,5.61,5.60,5.62
23.45,11.61,5.99,11.61,5.98,-5.99,-5.22,-4.04,5.63,5.62,5.62
23.69,11.61,5.98,11.61,5.99,-5.98,-5.22,-4.15,5.64,5.64,5.63
23.92,11.61,5.98,11.61,5.98,-5.97,-5.22,-4.27,5.64,5.64,5.63
24.16,11.61,5.97,11.61,5.98,-5.97,-5.22,-4.38,5.64,5.64,5.64
24.40,11.61,5.98,11.61,5.98,-5.98,-5.22,-4.50,5.64,5.64,5.64
24.65,11.61,5.98,11.61,5.98,-5.98,-5.22,-4.62,5.63,5.63,5.64
24.89,11.61,5.98,11.61,5.98,-5.98,-5.22,-4.74,5.63,5.63,5.64
25.14,11.61,5.98,11.61,5.98,-5.98,-5.22,-4.87,5.63,5.63,5.64
25.39,11.61,5.98,11.62,5.98,-5.97,-5.22,-4.99,5.64,5.64,5.63
25.65,11.61,5.97,11.62,5.97,-5.96,-5.22,-5.12,5.65,5.65,5.64
25.91,11.61,5.97,11.61,5.96,-5.95,-5.22,-5.24,5.67,5.66,5.64
26.16,11.58,5.94,11.58,5.94,-5.93,-5.22,-5.37,5.66,5.65,5.64
26.43,11.54,5.91,11.55,5.91,-5.90,-5.22,-5.49,5.64,5.64,5.63
26.69,11.50,5.87,11.50,5.87,-5.88,-5.22,-5.61,5.62,5.63,5.63
26.96,11.46,5.84,11.47,5.84,-5.85,-5.22,-5.74,5.61,5.62,5.63
27.23,11.44,5.82,11.44,5.82,-5.83,-5.22,-5.86,5.61,5.61,5.63
27.50,11.42,5.81,11.42,5.80,-5.81,-5.22,-5.97,5.61,5.61,5.62
27.77,11.40,5.80,11.41,5.80,-5.80,-5.22,-6.09,5.60,5.60,5.60
28.05,11.39,5.79,11.40,5.80,-5.80,-5.22,-6.20,5.59,5.60,5.60
28.33,11.39,5.80,11.39,5.80,-5.81,-5.21,-6.30,5.59,5.59,5.59
28.62,11.39,5.80,11.39,5.81,-5.82,-5.21,-6.40,5.58,5.58,5.59
28.90,11.39,5.82,11.39,5.82,-5.82,-5.21,-6.49,5.57,5.57,5.58
29.19,11.39,5.83,11.40,5.83,-5.82,-5.21,-6.58,5.57,5.57,5.57
29.48,11.39,5.83,11.40,5.84,-5.82,-5.21,-6.65,5.58,5.58,5.56
29.78,11.39,5.84,11.39,5.84,-5.80,-5.21,-6.72,5.59,5.59,5.55
30.08,11.37,5.83,11.36,5.82,-5.78,-5.21,-6.78,5.59,5.58,5.54
30.38,11.30,5.77,11.30,5.77,-5.76,-5.21,-6.83,5.55,5.55,5.54
30.68,11.23,5.71,11.24,5.71,-5.73,-5.21,-6.87,5.50,5.50,5.53
30.99,11.16,5.65,11.18,5.67,-5.71,-5.21,-6.90,5.45,5.47,5.51
31.30,11.16,5.66,11.16,5.65,-5.70,-5.21,-6.92,5.47,5.46,5.50
31.61,11.16,5.66,11.16,5.66,-5.68,-5.21,-6.93,5.48,5.47,5.50
31.93,11.16,5.67,11.16,5.67,-5.67,-5.20,-6.92,5.49,5.49,5.50
32.24,11.16,5.68,11.17,5.68,-5.66,-5.20,-6.92,5.51,5.51,5.49
32.57,11.16,5.68,11.17,5.69,-5.64,-5.20,-6.89,5.52,5.53,5.48
32.89,11.16,5.68,11.15,5.67,-5.62,-5.20,-6.86,5.54,5.53,5.48
33.22,11.11,5.64,11.10,5.62,-5.59,-5.20,-6.82,5.52,5.51,5.48
33.55,11.03,5.55,11.04,5.55,-5.56,-5.20,-6.78,5.47,5.48,5.49
33.89,10.96,5.47,10.98,5.49,-5.52,-5.19,-6.72,5.44,5.45,5.49
34.23,10.93,5.44,10.94,5.45,-5.49,-5.19,-6.66,5.44,5.45,5.49
34.57,10.93,5.44,10.93,5.43,-5.46,-5.19,-6.59,5.47,5.46,5.50
34.92,10.93,5.44,10.93,5.44,-5.45,-5.19,-6.52,5.49,5.48,5.49
35.27,10.93,5.43,10.93,5.44,-5.44,-5.19,-6.45,5.50,5.50,5.50
35.62,10.93,5.44,10.93,5.44,-5.43,-5.18,-6.37,5.50,5.50,5.50
35.97,10.93,5.44,10.93,5.44,-5.42,-5.18,-6.28,5.51,5.51,5.49
36.33,10.92,5.44,10.93,5.44,-5.41,-5.18,-6.20,5.51,5.52,5.49
36.70,10.91,5.43,10.91,5.43,-5.39,-5.17,-6.11,5.52,5.52,5.48
37.06,10.89,5.41,10.87,5.39,-5.37,-5.17,-6.02,5.52,5.50,5.48
37.43,10.81,5.34,10.81,5.34,-5.35,-5.17,-5.93,5.46,5.47,5.48
37.81,10.74,5.28,10.76,5.29,-5.33,-5.16,-5.85,5.41,5.42,5.46
38.19,10.70,5.26,10.71,5.26,-5.32,-5.16,-5.76,5.39,5.40,5.45
38.57,10.70,5.27,10.70,5.27,-5.30,-5.15,-5.67,5.40,5.40,5.43
38.95,10.70,5.29,10.70,5.28,-5.29,-5.15,-5.59,5.42,5.42,5.42
39.34,10.70,5.30,10.71,5.31,-5.27,-5.14,-5.50,5.43,5.44,5.40
39.74,10.70,5.32,10.70,5.31,-5.26,-5.14,-5.42,5.45,5.44,5.39
40.14,10.67,5.31,10.65,5.28,-5.25,-5.13,-5.34,5.43,5.41,5.36
40.54,10.58,5.23,10.59,5.23,-5.23,-5.13,-5.27,5.35,5.35,5.36
40.94,10.49,5.15,10.52,5.18,-5.22,-5.12,-5.20,5.27,5.30,5.34
41.35,10.48,5.15,10.48,5.14,-5.20,-5.12,-5.13,5.28,5.28,5.33
41.76,10.47,5.15,10.47,5.14,-5.17,-5.11,-5.06,5.30,5.30,5.33
42.18,10.47,5.15,10.48,5.16,-5.14,-5.10,-5.00,5.34,5.34,5.32
42.60,10.47,5.16,10.47,5.16,-5.10,-5.09,-4.94,5.37,5.37,5.32
43.03,10.46,5.16,10.43,5.13,-5.08,-5.09,-4.88,5.39,5.36,5.31
43.46,10.37,5.07,10.37,5.07,-5.05,-5.08,-4.83,5.32,5.32,5.30
43.90,10.27,4.97,10.30,5.00,-5.03,-5.07,-4.78,5.24,5.27,5.30
44.33,10.25,4.96,10.26,4.96,-5.02,-5.06,-4.73,5.24,5.24,5.30
44.78,10.25,4.97,10.25,4.95,-5.00,-5.05,-4.69,5.25,5.24,5.29
45.23,10.25,4.96,10.25,4.97,-4.98,-5.04,-4.65,5.27,5.27,5.29
45.68,10.25,4.97,10.25,4.98,-4.96,-5.02,-4.62,5.29,5.29,5.28
