frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.57,2.33,9.57,2.33,-2.33,-2.27,-1.22,7.24,7.24,7.24
20.20,9.57,2.35,9.57,2.34,-2.34,-2.28,-1.25,7.23,7.23,7.22
20.40,9.57,2.36,9.57,2.36,-2.36,-2.30,-1.28,7.21,7.21,7.21
20.61,9.57,2.37,9.57,2.37,-2.37,-2.31,-1.32,7.20,7.20,7.20
20.81,9.57,2.39,9.57,2.38,-2.38,-2.33,-1.36,7.19,7.19,7.18
21.02,9.57,2.40,9.57,2.40,-2.40,-2.34,-1.39,7.17,7.17,7.17
21.23,9.57,2.41,9.57,2.41,-2.41,-2.36,-1.43,7.16,7.16,7.16
21.44,9.57,2.42,9.57,2.42,-2.42,-2.37,-1.47,7.15,7.15,7.15
21.66,9.57,2.43,9.57,2.43,-2.43,-2.38,-1.52,7.14,7.14,7.14
21.87,9.57,2.44,9.57,2.44,-2.44,-2.40,-1.56,7.13,7.13,7.13
22.09,9.57,2.44,9.57,2.44,-2.44,-2.41,-1.60,7.13,7.13,7.13
22.31,9.57,2.45,9.57,2.45,-2.45,-2.42,-1.65,7.12,7.12,7.12
22.54,9.57,2.45,9.57,2.45,-2.45,-2.43,-1.69,7.12,7.12,7.12
22.76,9.57,2.46,9.57,2.46,-2.45,-2.44,-1.74,7.12,7.12,7.11
22.99,9.57,2.45,9.57,2.46,-2.45,-2.45,-1.79,7.12,7.12,7.12
23.22,9.57,2.46,9.57,2.46,-2.45,-2.46,-1.84,7.12,7.12,7.11
23.45,9.57,2.46,9.57,2.46,-2.46,-2.47,-1.89,7.11,7.11,7.11
23.69,9.57,2.45,9.57,2.45,-2.47,-2.48,-1.94,7.10,7.09,7.12
23.92,9.57,2.45,9.58,2.46,-2.49,-2.49,-1.99,7.08,7.08,7.12
24.16,9.60,2.47,9.60,2.48,-2.52,-2.50,-2.04,7.09,7.09,7.13
24.40,9.65,2.53,9.65,2.52,-2.53,-2.50,-2.10,7.12,7.12,7.13
24.65,9.69,2.56,9.70,2.57,-2.54,-2.51,-2.15,7.15,7.15,7.12
