frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.04,8.08,13.04,8.08,-8.06,-8.10,-3.42,4.98,4.98,4.96
20.20,13.04,8.10,13.04,8.10,-8.09,-8.09,-3.52,4.95,4.95,4.94
20.40,13.04,8.11,13.04,8.11,-8.12,-8.09,-3.62,4.92,4.92,4.93
20.61,13.04,8.12,13.04,8.13,-8.14,-8.08,-3.72,4.90,4.90,4.92
20.81,13.04,8.14,13.04,8.14,-8.16,-8.08,-3.82,4.88,4.88,4.90
21.02,13.04,8.15,13.04,8.15,-8.17,-8.07,-3.93,4.87,4.87,4.89
21.23,13.04,8.16,13.04,8.17,-8.18,-8.06,-4.04,4.86,4.86,4.88
21.44,13.04,8.18,13.04,8.18,-8.18,-8.06,-4.15,4.86,4.86,4.87
21.66,13.04,8.19,13.04,8.19,-8.18,-8.05,-4.27,4.87,4.87,4.86
21.87,13.04,8.20,13.04,8.19,-8.16,-8.04,-4.39,4.88,4.87,4.84
22.09,13.02,8.18,13.01,8.17,-8.14,-8.03,-4.52,4.88,4.87,4.84
22.31,12.97,8.14,12.97,8.14,-8.12,-8.02,-4.64,4.85,4.85,4.83
22.54,12.92,8.09,12.92,8.09,-8.09,-8.01,-4.77,4.83,4.83,4.83
22.76,12.87,8.05,12.87,8.04,-8.06,-8.00,-4.91,4.81,4.80,4.82
22.99,12.82,7.99,12.84,8.01,-8.04,-7.99,-5.04,4.78,4.80,4.83
23.22,12.82,8.00,12.82,7.99,-8.01,-7.98,-5.18,4.81,4.80,4.82
23.45,12.82,8.00,12.82,7.99,-8.00,-7.97,-5.33,4.82,4.82,4.82
23.69,12.82,7.99,12.82,7.99,-7.99,-7.96,-5.47,4.83,4.83,4.83
23.92,12.82,7.99,12.82,7.99,-7.99,-7.95,-5.62,4.83,4.83,4.83
24.16,12.82,7.98,12.82,7.98,-7.99,-7.93,-5.78,4.83,4.83,4.84
24.40,12.82,7.98,12.82,7.99,-7.98,-7.92,-5.93,4.84,4.84,4.84
24.65,12.82,7.98,12.82,7.99,-7.97,-7.91,-6.09,4.85,4.86,4.84
24.89,12.82,7.98,12.81,7.98,-7.94,-7.89,-6.25,4.88,4.87,4.84
25.14,12.79,7.95,12.78,7.95,-7.91,-7.88,-6.42,4.88,4.87,4.84
25.39,12.73,7.89,12.73,7.89,-7.88,-7.86,-6.58,4.85,4.85,4.84
25.65,12.67,7.83,12.67,7.83,-7.85,-7.85,-6.75,4.83,4.82,4.84
25.91,12.61,7.77,12.62,7.78,-7.81,-7.83,-6.92,4.80,4.81,4.84
26.16,12.59,7.75,12.59,7.75,-7.79,-7.81,-7.08,4.80,4.81,4.84
26.43,12.59,7.76,12.59,7.75,-7.77,-7.80,-7.25,4.82,4.81,4.83
26.69,12.59,7.76,12.59,7.76,-7.76,-7.78,-7.42,4.83,4.82,4.83
26.96,12.59,7.76,12.59,7.76,-7.76,-7.76,-7.58,4.83,4.83,4.83
27.23,12.59,7.76,12.59,7.77,-7.76,-7.74,-7.75,4.83,4.83,4.83
27.50,12.59,7.77,12.60,7.78,-7.76,-7.72,-7.91,4.84,4.84,4.82
27.77,12.59,7.78,12.59,7.78,-7.74,-7.70,-8.07,4.85,4.85,4.81
28.05,12.58,7.77,12.56,7.76,-7.73,-7.68,-8.22,4.85,4.84,4.81
28.33,12.51,7.72,12.51,7.72,-7.71,-7.66,-8.36,4.80,4.81,4.79
28.62,12.45,7.66,12.45,7.66,-7.68,-7.64,-8.50,4.77,4.76,4.79
28.90,12.38,7.60,12.39,7.61,-7.66,-7.62,-8.63,4.72,4.74,4.78
29.19,12.36,7.59,12.37,7.59,-7.63,-7.60,-8.75,4.73,4.74,4.77
29.48,12.36,7.59,12.36,7.60,-7.59,-7.58,-8.86,4.77,4.77,4.77
29.78,12.36,7.60,12.36,7.60,-7.56,-7.56,-8.95,4.80,4.79,4.76
30.08,12.34,7.60,12.33,7.58,-7.53,-7.54,-9.04,4.81,4.80,4.75
30.38,12.27,7.53,12.27,7.53,-7.51,-7.52,-9.11,4.77,4.76,4.74
30.68,12.20,7.47,12.20,7.47,-7.49,-7.49,-9.16,4.71,4.72,4.73
30.99,12.13,7.41,12.15,7.43,-7.47,-7.47,-9.20,4.66,4.68,4.72
31.30,12.13,7.42,12.13,7.42,-7.46,-7.45,-9.23,4.67,4.67,4.71
31.61,12.13,7.42,12.12,7.42,-7.45,-7.42,-9.24,4.68,4.68,4.71
31.93,12.13,7.43,12.13,7.43,-7.43,-7.40,-9.24,4.70,4.70,4.70
32.24,12.13,7.44,12.14,7.44,-7.42,-7.37,-9.22,4.71,4.72,4.69
32.57,12.13,7.44,12.14,7.45,-7.40,-7.35,-9.19,4.73,4.73,4.69
32.89,12.13,7.44,12.12,7.43,-7.38,-7.32,-9.14,4.75,4.73,4.69
33.22,12.08,7.39,12.07,7.38,-7.36,-7.30,-9.08,4.72,4.71,4.69
33.55,12.00,7.31,12.00,7.31,-7.33,-7.27,-9.02,4.67,4.67,4.69
33.89,11.93,7.23,11.94,7.25,-7.29,-7.25,-8.94,4.64,4.65,4.70
34.23,11.90,7.20,11.91,7.21,-7.24,-7.22,-8.85,4.66,4.67,4.70
34.57,11.90,7.20,11.90,7.20,-7.19,-7.20,-8.75,4.71,4.71,4.70
34.92,11.90,7.20,11.88,7.18,-7.14,-7.17,-8.65,4.76,4.74,4.70
35.27,11.84,7.13,11.83,7.13,-7.10,-7.14,-8.54,4.74,4.73,4.71
35.62,11.76,7.06,11.77,7.06,-7.07,-7.12,-8.43,4.69,4.70,4.71
35.97,11.69,6.99,11.71,7.01,-7.04,-7.09,-8.31,4.65,4.67,4.70
36.33,11.68,6.98,11.68,6.98,-7.02,-7.06,-8.19,4.66,4.66,4.70
36.70,11.68,6.99,11.68,6.98,-6.99,-7.03,-8.07,4.69,4.68,4.70
37.06,11.68,6.99,11.68,6.98,-6.97,-7.01,-7.95,4.71,4.71,4.69
37.43,11.66,6.97,11.67,6.98,-6.95,-6.98,-7.83,4.71,4.72,4.69
37.81,11.64,6.97,11.64,6.96,-6.93,-6.95,-7.71,4.71,4.70,4.67
38.19,11.60,6.94,11.59,6.93,-6.92,-6.92,-7.59,4.68,4.67,4.66
38.57,11.53,6.89,11.53,6.88,-6.91,-6.89,-7.47,4.63,4.63,4.65
38.95,11.46,6.83,11.48,6.85,-6.88,-6.87,-7.36,4.58,4.60,4.63
39.34,11.45,6.83,11.46,6.84,-6.84,-6.84,-7.24,4.61,4.61,4.62
39.74,11.45,6.85,11.44,6.84,-6.81,-6.81,-7.14,4.64,4.63,4.60
40.14,11.42,6.84,11.40,6.81,-6.78,-6.78,-7.03,4.64,4.62,4.58
40.54,11.33,6.76,11.33,6.76,-6.76,-6.75,-6.93,4.57,4.57,4.57
40.94,11.23,6.67,11.26,6.70,-6.74,-6.72,-6.83,4.49,4.52,4.56
41.35,11.22,6.67,11.22,6.67,-6.72,-6.69,-6.74,4.50,4.50,4.55
41.76,11.22,6.68,11.21,6.67,-6.70,-6.66,-6.65,4.53,4.52,4.54
42.18,11.22,6.68,11.23,6.69,-6.66,-6.63,-6.56,4.56,4.56,4.54
42.60,11.22,6.69,11.22,6.69,-6.63,-6.61,-6.48,4.59,4.59,4.53
43.03,11.21,6.68,11.18,6.65,-6.61,-6.58,-6.41,4.60,4.57,4.53
43.46,11.11,6.59,11.11,6.59,-6.59,-6.55,-6.34,4.52,4.52,4.52
43.90,11.01,6.49,11.04,6.52,-6.56,-6.52,-6.27,4.45,4.48,4.52
44.33,10.99,6.48,11.00,6.48,-6.53,-6.49,-6.21,4.46,4.47,4.51
44.78,10.99,6.48,10.98,6.47,-6.49,-6.46,-6.15,4.50,4.49,4.51
45.23,10.98,6.47,10.98,6.47,-6.45,-6.43,-6.10,4.53,4.53,4.51
45.68,10.95,6.45,10.95,6.45,-6.41,-6.40,-6.05,4.54,4.54,4.50
46.13,10.91,6.42,10.89,6.40,-6.39,-6.37,-6.01,4.52,4.51,4.49
46.60,10.83,6.35,10.83,6.35,-6.36,-6.34,-5.97,4.47,4.47,4.48
47.06,10.76,6.28,10.79,6.31,-6.33,-6.31,-5.93,4.43,4.46,4.48
47.53,10.76,6.29,10.76,6.29,-6.30,-6.29,-5.90,4.46,4.46,4.47
48.01,10.76,6.30,10.73,6.27,-6.27,-6.26,-5.87,4.49,4.47,4.46
48.49,10.70,6.26,10.70,6.25,-6.23,-6.23,-5.85,4.47,4.47,4.44
48.97,10.63,6.20,10.64,6.21,-6.20,-6.20,-5.83,4.43,4.44,4.43
49.46,10.59,6.16,10.59,6.16,-6.16,-6.17,-5.81,4.43,4.42,4.43
49.96,10.54,6.12,10.55,6.13,-6.12,-6.14,-5.80,4.42,4.43,4.42
50.46,10.52,6.11,10.52,6.11,-6.09,-6.12,-5.79,4.43,4.43,4.41
50.96,10.49,6.09,10.46,6.06,-6.06,-6.09,-5.79,4.43,4.41,4.40
51.47,10.40,6.01,10.40,6.01,-6.03,-6.06,-5.78,4.37,4.37,4.40
51.99,10.31,5.93,10.34,5.96,-6.00,-6.03,-5.78,4.31,4.34,4.38
52.51,10.31,5.94,10.31,5.94,-5.98,-6.01,-5.78,4.33,4.33,4.37
53.03,10.31,5.96,10.31,5.96,-5.96,-5.98,-5.79,4.35,4.36,4.35
53.56,10.31,5.98,10.31,5.97,-5.93,-5.95,-5.79,4.38,4.38,4.33
54.10,10.29,5.98,10.25,5.94,-5.90,-5.92,-5.80,4.39,4.35,4.31
54.64,10.16,5.86,10.19,5.89,-5.86,-5.90,-5.80,4.30,4.32,4.30
55.18,10.08,5.81,10.12,5.84,-5.83,-5.87,-5.81,4.25,4.29,4.27
55.74,10.08,5.81,10.05,5.78,-5.80,-5.85,-5.82,4.28,4.25,4.27
56.29,10.01,5.76,9.98,5.73,-5.76,-5.82,-5.82,4.25,4.22,4.25
56.86,9.88,5.65,9.92,5.69,-5.72,-5.80,-5.83,4.17,4.20,4.23
57.42,9.85,5.64,9.86,5.65,-5.68,-5.77,-5.83,4.17,4.19,4.21
58.00,9.85,5.66,9.85,5.66,-5.65,-5.75,-5.84,4.20,4.20,4.19
58.58,9.85,5.68,9.83,5.66,-5.63,-5.72,-5.84,4.22,4.21,4.17
59.16,9.81,5.66,9.78,5.62,-5.61,-5.70,-5.84,4.20,4.17,4.15
59.76,9.68,5.55,9.71,5.58,-5.58,-5.67,-5.84,4.10,4.12,4.13
60.35,9.63,5.52,9.65,5.54,-5.56,-5.65,-5.83,4.07,4.10,4.11
60.96,9.63,5.54,9.63,5.54,-5.53,-5.63,-5.82,4.10,4.10,4.09
61.57,9.63,5.55,9.61,5.54,-5.51,-5.60,-5.81,4.12,4.10,4.08
62.18,9.59,5.54,9.55,5.50,-5.49,-5.58,-5.80,4.10,4.06,4.05
62.80,9.44,5.41,9.48,5.45,-5.47,-5.56,-5.78,3.97,4.00,4.03
63.43,9.40,5.40,9.42,5.42,-5.47,-5.54,-5.76,3.93,3.95,4.00
64.07,9.40,5.43,9.39,5.42,-5.46,-5.52,-5.74,3.94,3.93,3.97
64.71,9.40,5.46,9.41,5.47,-5.46,-5.50,-5.71,3.95,3.96,3.94
65.35,9.40,5.50,9.40,5.50,-5.45,-5.48,-5.68,3.95,3.95,3.90
66.01,9.40,5.53,9.35,5.48,-5.44,-5.46,-5.65,3.96,3.91,3.87
66.67,9.25,5.41,9.28,5.44,-5.43,-5.44,-5.61,3.82,3.84,3.84
67.33,9.17,5.37,9.21,5.41,-5.42,-5.42,-5.57,3.75,3.79,3.80
68.01,9.17,5.40,9.16,5.39,-5.41,-5.40,-5.54,3.76,3.75,3.77
68.69,9.15,5.42,9.11,5.38,-5.39,-5.39,-5.49,3.76,3.72,3.74
69.37,9.06,5.37,9.05,5.36,-5.36,-5.37,-5.45,3.70,3.69,3.69
70.07,8.94,5.28,8.99,5.33,-5.34,-5.35,-5.41,3.60,3.65,3.66
70.77,8.94,5.32,8.95,5.33,-5.32,-5.34,-5.37,3.62,3.63,3.62
71.48,8.94,5.36,8.91,5.33,-5.31,-5.32,-5.32,3.63,3.59,3.58
72.19,8.89,5.34,8.85,5.31,-5.30,-5.30,-5.28,3.59,3.55,3.55
72.91,8.73,5.23,8.78,5.28,-5.30,-5.29,-5.23,3.44,3.49,3.50
73.64,8.71,5.25,8.72,5.26,-5.29,-5.28,-5.19,3.42,3.43,3.46
74.38,8.71,5.29,8.70,5.28,-5.29,-5.26,-5.15,3.43,3.42,3.42
75.12,8.70,5.32,8.69,5.30,-5.28,-5.25,-5.11,3.42,3.41,3.39
75.87,8.66,5.31,8.63,5.29,-5.27,-5.24,-5.07,3.39,3.36,3.35
76.63,8.55,5.25,8.57,5.26,-5.26,-5.23,-5.03,3.29,3.31,3.30
77.40,8.49,5.22,8.53,5.26,-5.25,-5.21,-5.00,3.24,3.28,3.27
78.17,8.49,5.26,8.48,5.25,-5.24,-5.20,-4.96,3.25,3.24,3.23
78.95,8.49,5.29,8.43,5.23,-5.23,-5.19,-4.93,3.26,3.20,3.20
79.74,8.32,5.17,8.36,5.20,-5.20,-5.18,-4.90,3.12,3.16,3.15
80.54,8.26,5.14,8.30,5.18,-5.18,-5.18,-4.88,3.08,3.11,3.12
81.35,8.26,5.18,8.25,5.17,-5.17,-5.17,-4.86,3.09,3.07,3.08
82.16,8.24,5.20,8.21,5.17,-5.17,-5.16,-4.84,3.07,3.04,3.04
82.98,8.15,5.16,8.15,5.16,-5.17,-5.15,-4.82,2.99,2.98,2.99
83.81,8.05,5.11,8.08,5.14,-5.17,-5.15,-4.81,2.88,2.91,2.94
84.65,8.03,5.14,8.04,5.15,-5.17,-5.14,-4.80,2.86,2.87,2.89
85.50,8.03,5.20,8.04,5.20,-5.18,-5.14,-4.79,2.85,2.86,2.83
86.35,8.03,5.25,8.00,5.22,-5.19,-5.13,-4.79,2.84,2.81,2.78
