frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.94,-9.36,-5.93,-9.36,6.00,5.94,2.72,0.06,0.07,3.43
20.20,-5.89,-9.31,-5.89,-9.32,6.00,5.94,2.80,0.11,0.11,3.43
20.40,-5.85,-9.27,-5.84,-9.27,6.00,5.94,2.87,0.15,0.16,3.43
20.61,-5.80,-9.23,-5.80,-9.23,6.00,5.94,2.96,0.20,0.20,3.44
20.81,-5.75,-9.18,-5.75,-9.18,6.00,5.94,3.04,0.25,0.25,3.44
21.02,-5.70,-9.13,-5.70,-9.13,6.00,5.94,3.13,0.30,0.30,3.44
21.23,-5.65,-9.08,-5.65,-9.08,6.00,5.94,3.22,0.35,0.35,3.44
21.44,-5.60,-9.04,-5.59,-9.03,6.00,5.94,3.31,0.40,0.41,3.44
21.66,-5.54,-8.98,-5.54,-8.98,6.00,5.94,3.40,0.46,0.46,3.44
21.87,-5.49,-8.93,-5.49,-8.93,6.00,5.94,3.50,0.51,0.51,3.44
22.09,-5.44,-8.88,-5.44,-8.88,6.00,5.94,3.60,0.56,0.56,3.44
22.31,-5.39,-8.84,-5.39,-8.84,6.00,5.94,3.70,0.61,0.61,3.45
22.54,-5.35,-8.79,-5.34,-8.79,6.00,5.94,3.80,0.65,0.66,3.44
22.76,-5.30,-8.75,-5.30,-8.75,6.00,5.94,3.91,0.70,0.70,3.45
22.99,-5.25,-8.70,-5.25,-8.70,6.00,5.94,4.02,0.75,0.75,3.45
23.22,-5.20,-8.65,-5.19,-8.64,6.00,5.94,4.14,0.80,0.81,3.45
23.45,-5.14,-8.59,-5.14,-8.59,6.00,5.94,4.25,0.86,0.86,3.45
23.69,-5.09,-8.54,-5.09,-8.54,6.00,5.94,4.37,0.91,0.91,3.45
23.92,-5.04,-8.50,-5.03,-8.48,6.00,5.94,4.49,0.96,0.97,3.46
24.16,-4.98,-8.43,-4.98,-8.43,6.00,5.94,4.61,1.02,1.02,3.45
24.40,-4.93,-8.37,-4.93,-8.38,6.00,5.93,4.74,1.07,1.07,3.45
24.65,-4.88,-8.33,-4.87,-8.32,6.00,5.93,4.86,1.12,1.13,3.45
24.89,-4.82,-8.25,-4.82,-8.26,6.00,5.93,4.99,1.18,1.18,3.44
25.14,-4.77,-8.20,-4.76,-8.20,6.00,5.93,5.12,1.23,1.24,3.44
25.39,-4.71,-8.13,-4.70,-8.13,6.00,5.93,5.25,1.29,1.30,3.43
25.65,-4.65,-8.07,-4.64,-8.07,6.00,5.93,5.38,1.35,1.36,3.43
25.91,-4.59,-8.00,-4.60,-8.01,6.00,5.93,5.52,1.41,1.40,3.42
26.16,-4.57,-7.98,-4.57,-7.98,6.00,5.93,5.65,1.43,1.43,3.41
26.43,-4.57,-7.97,-4.57,-7.97,6.00,5.93,5.78,1.43,1.43,3.40
26.69,-4.57,-7.97,-4.57,-7.97,6.00,5.93,5.91,1.43,1.43,3.40
26.96,-4.57,-7.97,-4.55,-7.95,6.00,5.93,6.04,1.43,1.45,3.40
27.23,-4.52,-7.92,-4.52,-7.91,6.00,5.93,6.17,1.48,1.48,3.40
27.50,-4.46,-7.85,-4.47,-7.86,6.00,5.93,6.29,1.54,1.53,3.39
27.77,-4.41,-7.80,-4.40,-7.80,6.00,5.93,6.41,1.59,1.60,3.39
28.05,-4.35,-7.74,-4.34,-7.74,6.00,5.93,6.53,1.65,1.66,3.40
28.33,-4.28,-7.67,-4.27,-7.67,6.00,5.92,6.64,1.72,1.73,3.40
28.62,-4.21,-7.60,-4.20,-7.60,6.00,5.92,6.74,1.79,1.80,3.40
28.90,-4.13,-7.52,-4.14,-7.54,6.00,5.92,6.84,1.87,1.86,3.40
29.19,-4.11,-7.50,-4.11,-7.51,6.00,5.92,6.93,1.89,1.89,3.39
29.48,-4.11,-7.50,-4.11,-7.50,6.00,5.92,7.02,1.89,1.89,3.39
29.78,-4.11,-7.50,-4.10,-7.49,6.00,5.92,7.09,1.89,1.90,3.39
30.08,-4.09,-7.47,-4.07,-7.46,6.00,5.92,7.16,1.91,1.93,3.38
30.38,-4.02,-7.40,-4.01,-7.39,6.00,5.92,7.21,1.98,1.99,3.38
30.68,-3.95,-7.32,-3.95,-7.32,6.00,5.92,7.26,2.05,2.05,3.38
30.99,-3.88,-7.24,-3.90,-7.27,6.00,5.91,7.29,2.12,2.10,3.37
31.30,-3.88,-7.24,-3.88,-7.24,6.00,5.91,7.32,2.12,2.12,3.37
