frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.15,-11.01,-6.15,-11.01,6.00,4.95,2.71,-0.15,-0.15,4.86
20.20,-6.01,-10.87,-6.01,-10.87,6.00,5.05,2.79,-0.01,-0.01,4.86
20.40,-5.87,-10.73,-5.87,-10.73,6.00,5.14,2.87,0.13,0.13,4.86
20.61,-5.73,-10.60,-5.73,-10.60,6.00,5.23,2.95,0.27,0.27,4.87
20.81,-5.60,-10.47,-5.59,-10.46,6.00,5.32,3.04,0.40,0.41,4.87
21.02,-5.46,-10.33,-5.47,-10.34,6.00,5.41,3.12,0.54,0.53,4.87
21.23,-5.36,-10.23,-5.36,-10.23,6.00,5.50,3.22,0.64,0.64,4.87
21.44,-5.26,-10.14,-5.26,-10.14,6.00,5.59,3.31,0.74,0.74,4.88
21.66,-5.17,-10.05,-5.17,-10.04,6.00,5.68,3.41,0.83,0.83,4.88
21.87,-5.07,-9.95,-5.07,-9.95,6.00,5.77,3.50,0.93,0.93,4.88
22.09,-4.96,-9.84,-4.96,-9.84,6.00,5.85,3.61,1.04,1.04,4.88
22.31,-4.85,-9.74,-4.85,-9.73,6.00,5.93,3.71,1.15,1.15,4.89
22.54,-4.74,-9.62,-4.73,-9.62,6.00,6.01,3.82,1.26,1.27,4.88
22.76,-4.63,-9.52,-4.63,-9.51,6.00,6.08,3.93,1.37,1.37,4.89
22.99,-4.52,-9.41,-4.54,-9.42,6.00,6.16,4.04,1.48,1.46,4.89
23.22,-4.47,-9.36,-4.47,-9.35,6.00,6.22,4.16,1.53,1.53,4.89
23.45,-4.42,-9.31,-4.42,-9.31,6.00,6.29,4.28,1.58,1.58,4.89
23.69,-4.38,-9.27,-4.38,-9.27,6.00,6.35,4.40,1.62,1.62,4.89
23.92,-4.33,-9.22,-4.31,-9.20,6.00,6.41,4.52,1.67,1.69,4.89
24.16,-4.21,-9.09,-4.20,-9.09,6.00,6.46,4.65,1.79,1.80,4.88
24.40,-4.06,-8.94,-4.06,-8.94,6.00,6.50,4.78,1.94,1.94,4.88
24.65,-3.90,-8.78,-3.90,-8.78,6.00,6.54,4.91,2.10,2.10,4.88
24.89,-3.75,-8.62,-3.76,-8.64,6.00,6.57,5.04,2.25,2.24,4.87
25.14,-3.64,-8.51,-3.65,-8.52,6.00,6.60,5.17,2.36,2.35,4.87
25.39,-3.58,-8.44,-3.57,-8.44,6.00,6.62,5.31,2.42,2.43,4.86
25.65,-3.51,-8.37,-3.51,-8.37,6.00,6.64,5.45,2.49,2.49,4.86
25.91,-3.44,-8.29,-3.43,-8.29,6.00,6.65,5.58,2.56,2.57,4.85
26.16,-3.34,-8.19,-3.34,-8.18,6.00,6.65,5.72,2.66,2.66,4.85
26.43,-3.22,-8.06,-3.22,-8.07,6.00,6.65,5.85,2.78,2.78,4.84
26.69,-3.10,-7.94,-3.10,-7.94,6.00,6.64,5.99,2.90,2.90,4.84
26.96,-2.98,-7.82,-2.98,-7.82,6.00,6.62,6.12,3.02,3.02,4.84
27.23,-2.86,-7.70,-2.86,-7.69,6.00,6.60,6.25,3.14,3.14,4.84
27.50,-2.74,-7.57,-2.74,-7.57,6.00,6.57,6.37,3.26,3.26,4.83
27.77,-2.62,-7.44,-2.62,-7.45,6.00,6.54,6.50,3.38,3.38,4.83
28.05,-2.51,-7.35,-2.52,-7.35,6.00,6.50,6.61,3.49,3.48,4.84
28.33,-2.44,-7.27,-2.44,-7.27,6.00,6.45,6.72,3.56,3.56,4.83
28.62,-2.37,-7.20,-2.37,-7.21,6.00,6.40,6.83,3.63,3.63,4.83
28.90,-2.30,-7.13,-2.29,-7.13,6.00,6.34,6.92,3.70,3.71,4.83
29.19,-2.20,-7.03,-2.19,-7.02,6.00,6.28,7.01,3.80,3.81,4.83
29.48,-2.07,-6.90,-2.07,-6.90,6.00,6.22,7.08,3.93,3.93,4.83
29.78,-1.94,-6.77,-1.95,-6.78,6.00,6.15,7.15,4.06,4.05,4.83
30.08,-1.83,-6.65,-1.84,-6.67,6.00,6.07,7.20,4.17,4.16,4.82
30.38,-1.76,-6.58,-1.75,-6.57,6.00,6.00,7.24,4.24,4.25,4.82
30.68,-1.68,-6.50,-1.68,-6.49,6.00,5.92,7.27,4.32,4.33,4.82
30.99,-1.60,-6.41,-1.60,-6.41,6.01,5.84,7.29,4.41,4.41,4.81
31.30,-1.53,-6.34,-1.53,-6.33,6.02,5.75,7.29,4.48,4.48,4.80
31.61,-1.46,-6.25,-1.46,-6.26,6.01,5.67,7.28,4.55,4.55,4.79
31.93,-1.39,-6.18,-1.39,-6.18,6.00,5.58,7.25,4.61,4.62,4.79
32.24,-1.31,-6.09,-1.31,-6.09,5.98,5.49,7.22,4.67,4.67,4.78
32.57,-1.24,-6.01,-1.24,-6.01,5.95,5.40,7.17,4.71,4.71,4.77
32.89,-1.16,-5.93,-1.16,-5.93,5.90,5.30,7.11,4.74,4.74,4.77
33.22,-1.09,-5.86,-1.09,-5.85,5.85,5.21,7.03,4.76,4.76,4.77
33.55,-1.01,-5.76,-1.01,-5.77,5.78,5.12,6.95,4.77,4.76,4.75
33.89,-0.94,-5.68,-0.94,-5.68,5.70,5.02,6.86,4.76,4.76,4.74
34.23,-0.86,-5.60,-0.86,-5.60,5.61,4.93,6.76,4.75,4.75,4.74
34.57,-0.78,-5.51,-0.78,-5.51,5.52,4.84,6.65,4.74,4.74,4.73
34.92,-0.70,-5.43,-0.70,-5.43,5.43,4.74,6.54,4.73,4.73,4.73
35.27,-0.62,-5.35,-0.62,-5.35,5.35,4.65,6.42,4.72,4.72,4.73
35.62,-0.54,-5.26,-0.54,-5.26,5.26,4.56,6.29,4.72,4.71,4.72
35.97,-0.47,-5.18,-0.46,-5.18,5.17,4.47,6.16,4.70,4.70,4.71
36.33,-0.37,-5.08,-0.37,-5.08,5.07,4.37,6.03,4.71,4.70,4.71
36.70,-0.28,-4.99,-0.28,-4.98,4.98,4.28,5.90,4.70,4.71,4.71
37.06,-0.18,-4.88,-0.18,-4.89,4.90,4.19,5.76,4.72,4.71,4.70
37.43,-0.09,-4.79,-0.09,-4.79,4.81,4.11,5.63,4.72,4.72,4.70
37.81,-0.00,-4.71,-0.00,-4.71,4.72,4.02,5.49,4.72,4.72,4.71
38.19,0.08,-4.63,0.08,-4.63,4.63,3.93,5.36,4.71,4.71,4.71
38.57,0.15,-4.55,0.15,-4.55,4.55,3.85,5.22,4.70,4.70,4.70
38.95,0.22,-4.48,0.23,-4.47,4.46,3.76,5.09,4.68,4.69,4.70
39.34,0.31,-4.39,0.31,-4.39,4.38,3.68,4.96,4.69,4.69,4.70
39.74,0.40,-4.30,0.40,-4.30,4.29,3.60,4.83,4.69,4.68,4.70
40.14,0.49,-4.20,0.49,-4.20,4.20,3.52,4.70,4.69,4.69,4.69
40.54,0.58,-4.11,0.58,-4.11,4.11,3.44,4.57,4.69,4.69,4.69
40.94,0.67,-4.02,0.67,-4.02,4.03,3.36,4.45,4.70,4.70,4.69
41.35,0.74,-3.93,0.75,-3.92,3.95,3.29,4.33,4.69,4.70,4.67
41.76,0.82,-3.84,0.81,-3.85,3.87,3.21,4.21,4.69,4.69,4.66
42.18,0.87,-3.77,0.86,-3.79,3.79,3.14,4.09,4.66,4.65,4.64
42.60,0.89,-3.74,0.89,-3.74,3.71,3.06,3.98,4.60,4.60,4.63
43.03,0.92,-3.70,0.94,-3.67,3.62,2.99,3.87,4.54,4.57,4.62
43.46,1.02,-3.57,1.02,-3.58,3.54,2.92,3.76,4.56,4.55,4.59
43.90,1.12,-3.46,1.12,-3.46,3.46,2.86,3.65,4.58,4.57,4.58
44.33,1.22,-3.34,1.23,-3.33,3.37,2.79,3.55,4.59,4.60,4.56
44.78,1.32,-3.23,1.30,-3.24,3.29,2.73,3.45,4.61,4.59,4.55
45.23,1.37,-3.16,1.35,-3.18,3.20,2.66,3.36,4.57,4.55,4.53
45.68,1.37,-3.15,1.38,-3.14,3.12,2.60,3.26,4.49,4.51,4.52
46.13,1.40,-3.11,1.43,-3.08,3.05,2.54,3.17,4.45,4.49,4.51
46.60,1.51,-3.00,1.50,-3.00,2.99,2.48,3.08,4.50,4.49,4.51
47.06,1.60,-2.90,1.57,-2.93,2.94,2.42,3.00,4.54,4.50,4.50
47.53,1.62,-2.87,1.62,-2.88,2.88,2.36,2.92,4.50,4.51,4.49
48.01,1.64,-2.86,1.68,-2.82,2.83,2.30,2.84,4.47,4.51,4.50
48.49,1.73,-2.77,1.73,-2.77,2.78,2.25,2.76,4.51,4.51,4.50
48.97,1.82,-2.68,1.78,-2.73,2.73,2.19,2.68,4.55,4.51,4.50
49.46,1.82,-2.69,1.82,-2.69,2.68,2.14,2.61,4.50,4.50,4.51
49.96,1.82,-2.69,1.87,-2.64,2.63,2.09,2.54,4.45,4.50,4.51
50.46,1.93,-2.59,1.93,-2.59,2.58,2.04,2.47,4.51,4.51,4.52
50.96,2.04,-2.48,1.99,-2.53,2.53,1.99,2.40,4.57,4.52,4.52
51.47,2.05,-2.48,2.05,-2.48,2.47,1.94,2.34,4.52,4.52,4.53
51.99,2.05,-2.47,2.11,-2.41,2.41,1.89,2.27,4.46,4.52,4.52
52.51,2.17,-2.34,2.17,-2.34,2.34,1.84,2.21,4.51,4.51,4.51
53.03,2.28,-2.22,2.23,-2.27,2.26,1.80,2.15,4.54,4.49,4.50
53.56,2.28,-2.21,2.29,-2.20,2.19,1.75,2.09,4.47,4.48,4.49
54.10,2.30,-2.18,2.35,-2.13,2.12,1.71,2.04,4.42,4.47,4.48
54.64,2.43,-2.03,2.41,-2.05,2.05,1.66,1.98,4.48,4.46,4.46
55.18,2.51,-1.93,2.48,-1.96,1.99,1.62,1.93,4.50,4.47,4.44
55.74,2.51,-1.91,2.52,-1.90,1.95,1.58,1.87,4.46,4.46,4.42
56.29,2.51,-1.88,2.52,-1.87,1.90,1.54,1.82,4.41,4.42,4.39
56.86,2.51,-1.86,2.51,-1.85,1.85,1.50,1.77,4.36,4.36,4.37
57.42,2.51,-1.82,2.51,-1.83,1.80,1.46,1.72,4.31,4.31,4.33
58.00,2.51,-1.79,2.50,-1.80,1.75,1.42,1.67,4.26,4.25,4.30
58.58,2.51,-1.76,2.52,-1.74,1.69,1.38,1.62,4.20,4.22,4.27
59.16,2.55,-1.68,2.58,-1.65,1.63,1.35,1.58,4.18,4.21,4.24
59.76,2.68,-1.52,2.65,-1.55,1.57,1.31,1.53,4.25,4.22,4.20
60.35,2.73,-1.44,2.71,-1.45,1.50,1.28,1.48,4.23,4.22,4.17
60.96,2.74,-1.39,2.75,-1.39,1.45,1.24,1.44,4.19,4.19,4.13
61.57,2.74,-1.37,2.74,-1.36,1.39,1.21,1.39,4.13,4.13,4.11
62.18,2.74,-1.33,2.74,-1.33,1.33,1.17,1.35,4.07,4.08,4.07
62.80,2.74,-1.30,2.74,-1.30,1.28,1.14,1.30,4.02,4.02,4.04
63.43,2.74,-1.26,2.73,-1.27,1.23,1.11,1.26,3.97,3.97,4.00
64.07,2.74,-1.22,2.74,-1.22,1.18,1.07,1.21,3.92,3.92,3.96
64.71,2.77,-1.16,2.79,-1.14,1.12,1.04,1.17,3.89,3.90,3.93
65.35,2.84,-1.05,2.85,-1.04,1.04,1.01,1.12,3.88,3.89,3.89
66.01,2.96,-0.90,2.91,-0.95,0.96,0.98,1.08,3.92,3.88,3.86
66.67,2.96,-0.87,2.97,-0.87,0.88,0.95,1.04,3.84,3.85,3.83
67.33,2.99,-0.82,3.02,-0.79,0.80,0.92,0.99,3.79,3.82,3.81
68.01,3.06,-0.72,3.07,-0.72,0.73,0.89,0.95,3.79,3.79,3.78
68.69,3.15,-0.61,3.13,-0.63,0.65,0.86,0.91,3.80,3.78,3.76
69.37,3.19,-0.56,3.17,-0.58,0.58,0.83,0.86,3.77,3.75,3.75
70.07,3.19,-0.55,3.19,-0.55,0.52,0.80,0.82,3.71,3.71,3.74
70.77,3.19,-0.53,3.24,-0.49,0.46,0.78,0.78,3.65,3.70,3.72
71.48,3.30,-0.41,3.30,-0.41,0.41,0.75,0.73,3.71,3.71,3.71
72.19,3.42,-0.28,3.37,-0.33,0.36,0.72,0.69,3.78,3.74,3.70
72.91,3.42,-0.27,3.42,-0.27,0.32,0.69,0.65,3.74,3.74,3.69
73.64,3.42,-0.26,3.43,-0.25,0.26,0.67,0.60,3.68,3.69,3.68
74.38,3.42,-0.24,3.41,-0.25,0.19,0.64,0.56,3.61,3.60,3.66
75.12,3.43,-0.22,3.44,-0.20,0.12,0.61,0.52,3.55,3.56,3.65
75.87,3.47,-0.15,3.50,-0.13,0.07,0.59,0.47,3.54,3.57,3.62
76.63,3.59,-0.01,3.57,-0.04,0.03,0.56,0.43,3.62,3.60,3.60
77.40,3.65,0.06,3.64,0.06,0.02,0.54,0.39,3.67,3.66,3.59
78.17,3.65,0.08,3.66,0.10,0.02,0.51,0.34,3.67,3.68,3.57
78.95,3.65,0.11,3.60,0.06,0.03,0.48,0.30,3.68,3.63,3.54
79.74,3.48,-0.04,3.49,-0.03,0.06,0.46,0.26,3.54,3.55,3.52
80.54,3.34,-0.16,3.36,-0.14,0.10,0.43,0.21,3.44,3.45,3.50
81.35,3.24,-0.24,3.25,-0.23,0.14,0.41,0.17,3.38,3.39,3.48
82.16,3.19,-0.27,3.20,-0.26,0.18,0.38,0.13,3.37,3.38,3.46
82.98,3.19,-0.25,3.18,-0.26,0.21,0.36,0.08,3.40,3.39,3.44
83.81,3.19,-0.23,3.19,-0.23,0.23,0.33,0.04,3.42,3.41,3.42
84.65,3.19,-0.21,3.19,-0.21,0.23,0.31,-0.01,3.42,3.42,3.40
85.50,3.19,-0.20,3.20,-0.19,0.23,0.28,-0.05,3.42,3.42,3.39
86.35,3.19,-0.18,3.20,-0.17,0.22,0.26,-0.10,3.41,3.42,3.37
87.22,3.18,-0.18,3.16,-0.20,0.23,0.23,-0.14,3.41,3.38,3.36
88.09,3.12,-0.22,3.09,-0.25,0.25,0.20,-0.19,3.37,3.34,3.34
88.97,2.97,-0.36,3.03,-0.29,0.29,0.18,-0.23,3.26,3.32,3.33
89.86,2.96,-0.34,2.96,-0.35,0.34,0.15,-0.28,3.30,3.30,3.30
90.76,2.94,-0.35,2.90,-0.39,0.40,0.13,-0.32,3.34,3.29,3.29
91.66,2.81,-0.46,2.84,-0.43,0.46,0.10,-0.37,3.27,3.29,3.27
92.58,2.74,-0.51,2.73,-0.52,0.52,0.07,-0.42,3.26,3.25,3.25
93.51,2.64,-0.60,2.63,-0.61,0.59,0.05,-0.47,3.23,3.22,3.24
94.44,2.53,-0.69,2.57,-0.65,0.65,0.02,-0.51,3.18,3.22,3.22
95.39,2.51,-0.69,2.50,-0.70,0.71,-0.01,-0.56,3.22,3.21,3.20
96.34,2.47,-0.71,2.43,-0.75,0.75,-0.04,-0.61,3.22,3.19,3.18
97.30,2.36,-0.80,2.37,-0.79,0.79,-0.07,-0.66,3.15,3.16,3.16
98.28,2.28,-0.86,2.31,-0.84,0.82,-0.10,-0.70,3.10,3.13,3.14
99.26,2.28,-0.85,2.27,-0.85,0.83,-0.12,-0.75,3.11,3.11,3.13
100.25,2.28,-0.82,2.27,-0.83,0.83,-0.15,-0.80,3.11,3.10,3.10
101.25,2.28,-0.80,2.28,-0.80,0.82,-0.19,-0.85,3.10,3.10,3.08
102.27,2.28,-0.77,2.27,-0.77,0.78,-0.22,-0.89,3.06,3.05,3.05
103.29,2.28,-0.74,2.27,-0.75,0.72,-0.25,-0.94,3.00,2.99,3.02
104.32,2.28,-0.70,2.30,-0.68,0.65,-0.28,-0.99,2.93,2.95,2.98
105.37,2.34,-0.60,2.37,-0.58,0.56,-0.31,-1.03,2.90,2.93,2.94
106.42,2.47,-0.43,2.42,-0.47,0.47,-0.35,-1.08,2.94,2.89,2.90
107.48,2.51,-0.34,2.49,-0.35,0.37,-0.38,-1.12,2.88,2.86,2.85
108.56,2.51,-0.28,2.57,-0.23,0.26,-0.42,-1.17,2.77,2.83,2.79
109.64,2.65,-0.09,2.64,-0.11,0.13,-0.46,-1.21,2.78,2.77,2.74
110.74,2.74,0.05,2.69,-0.01,0.01,-0.49,-1.25,2.75,2.70,2.69
111.85,2.74,0.09,2.76,0.12,-0.12,-0.53,-1.29,2.62,2.65,2.65
112.97,2.76,0.17,2.82,0.23,-0.25,-0.57,-1.33,2.51,2.57,2.59
114.10,2.96,0.42,2.90,0.36,-0.39,-0.61,-1.37,2.57,2.51,2.54
115.24,2.99,0.50,3.00,0.52,-0.54,-0.66,-1.40,2.45,2.47,2.49
116.39,3.12,0.68,3.12,0.68,-0.69,-0.70,-1.43,2.43,2.43,2.44
117.55,3.20,0.81,3.21,0.81,-0.85,-0.75,-1.46,2.35,2.36,2.39
118.73,3.36,1.00,3.35,0.99,-0.99,-0.79,-1.49,2.37,2.36,2.36
119.92,3.43,1.11,3.48,1.16,-1.12,-0.84,-1.51,2.31,2.36,2.32
121.12,3.65,1.37,3.59,1.30,-1.23,-0.89,-1.54,2.42,2.35,2.28
122.33,3.65,1.40,3.65,1.40,-1.33,-0.94,-1.56,2.32,2.31,2.25
123.55,3.65,1.43,3.66,1.45,-1.42,-0.99,-1.57,2.23,2.25,2.22
124.79,3.65,1.46,3.64,1.46,-1.50,-1.05,-1.59,2.15,2.15,2.19
126.03,3.65,1.49,3.67,1.51,-1.57,-1.10,-1.60,2.08,2.10,2.16
127.29,3.72,1.58,3.73,1.60,-1.65,-1.16,-1.61,2.07,2.08,2.14
128.57,3.82,1.72,3.79,1.68,-1.72,-1.22,-1.61,2.10,2.07,2.10
129.85,3.87,1.79,3.87,1.79,-1.80,-1.28,-1.62,2.07,2.07,2.08
131.15,3.92,1.87,3.96,1.91,-1.89,-1.34,-1.62,2.03,2.07,2.05
132.46,4.05,2.03,4.03,2.00,-1.97,-1.41,-1.62,2.08,2.05,2.02
133.79,4.10,2.11,4.08,2.09,-2.05,-1.47,-1.61,2.05,2.03,1.99
135.12,4.10,2.13,4.11,2.15,-2.11,-1.54,-1.61,1.99,2.00,1.97
136.48,4.10,2.16,4.10,2.17,-2.16,-1.61,-1.60,1.94,1.94,1.94
137.84,4.10,2.19,4.10,2.19,-2.20,-1.68,-1.59,1.90,1.90,1.91
139.22,4.10,2.21,4.10,2.22,-2.23,-1.75,-1.58,1.87,1.87,1.89
140.61,4.10,2.24,4.10,2.24,-2.25,-1.82,-1.56,1.85,1.85,1.86
142.02,4.10,2.27,4.10,2.27,-2.27,-1.90,-1.55,1.83,1.83,1.83
143.44,4.10,2.30,4.10,2.30,-2.30,-1.97,-1.53,1.80,1.80,1.80
144.87,4.10,2.32,4.10,2.33,-2.33,-2.04,-1.52,1.77,1.77,1.78
146.32,4.10,2.36,4.10,2.36,-2.36,-2.12,-1.50,1.74,1.74,1.74
147.78,4.10,2.40,4.10,2.40,-2.40,-2.19,-1.48,1.70,1.70,1.70
149.26,4.10,2.43,4.10,2.44,-2.44,-2.26,-1.47,1.66,1.66,1.67
150.75,4.10,2.48,4.10,2.48,-2.49,-2.33,-1.45,1.61,1.61,1.62
152.26,4.10,2.52,4.10,2.52,-2.54,-2.40,-1.43,1.56,1.56,1.58
153.78,4.10,2.58,4.10,2.58,-2.60,-2.47,-1.41,1.50,1.50,1.52
155.32,4.10,2.63,4.10,2.63,-2.66,-2.53,-1.39,1.44,1.44,1.47
156.88,4.10,2.68,4.10,2.68,-2.71,-2.59,-1.38,1.39,1.39,1.42
158.44,4.10,2.72,4.12,2.74,-2.72,-2.64,-1.36,1.38,1.39,1.38
160.03,4.10,2.77,4.11,2.78,-2.70,-2.69,-1.34,1.40,1.41,1.33
161.63,4.10,2.81,4.04,2.75,-2.65,-2.74,-1.33,1.45,1.40,1.29
163.24,3.94,2.68,3.93,2.67,-2.56,-2.78,-1.31,1.38,1.37,1.26
164.88,3.71,2.48,3.77,2.54,-2.46,-2.81,-1.30,1.25,1.32,1.23
166.53,3.62,2.41,3.57,2.35,-2.36,-2.83,-1.29,1.26,1.21,1.21
168.19,3.41,2.21,3.38,2.18,-2.28,-2.85,-1.27,1.13,1.10,1.20
169.87,3.20,2.01,3.25,2.06,-2.23,-2.86,-1.26,0.97,1.02,1.19
171.57,3.19,2.00,3.23,2.05,-2.21,-2.86,-1.25,0.98,1.02,1.19
173.29,3.33,2.14,3.33,2.14,-2.24,-2.86,-1.24,1.09,1.09,1.19
175.02,3.56,2.36,3.51,2.31,-2.29,-2.84,-1.24,1.27,1.22,1.20
176.77,3.64,2.43,3.68,2.47,-2.37,-2.82,-1.23,1.27,1.31,1.21
178.54,3.82,2.60,3.79,2.57,-2.45,-2.80,-1.22,1.37,1.34,1.22
180.32,3.87,2.63,3.85,2.61,-2.53,-2.76,-1.22,1.34,1.32,1.24
182.13,3.87,2.62,3.88,2.63,-2.59,-2.72,-1.21,1.28,1.29,1.25
183.95,3.87,2.61,3.87,2.61,-2.63,-2.67,-1.21,1.24,1.24,1.26
185.79,3.87,2.60,3.87,2.60,-2.65,-2.62,-1.21,1.22,1.22,1.27
187.65,3.87,2.60,3.87,2.60,-2.64,-2.57,-1.21,1.23,1.23,1.27
189.52,3.87,2.60,3.87,2.60,-2.63,-2.51,-1.21,1.24,1.24,1.27
191.42,3.87,2.60,3.87,2.60,-2.62,-2.44,-1.21,1.25,1.25,1.27
193.33,3.87,2.61,3.88,2.62,-2.61,-2.38,-1.21,1.26,1.28,1.26
195.27,3.87,2.62,3.87,2.62,-2.58,-2.31,-1.21,1.29,1.29,1.25
197.22,3.87,2.62,3.83,2.58,-2.55,-2.24,-1.22,1.32,1.28,1.25
199.19,3.74,2.50,3.76,2.52,-2.50,-2.17,-1.22,1.24,1.26,1.24
201.18,3.65,2.42,3.68,2.44,-2.43,-2.09,-1.22,1.22,1.25,1.23
203.19,3.60,2.38,3.57,2.35,-2.35,-2.02,-1.23,1.25,1.22,1.22
205.23,3.48,2.27,3.46,2.26,-2.27,-1.95,-1.23,1.21,1.20,1.21
207.28,3.34,2.15,3.36,2.17,-2.18,-1.88,-1.24,1.16,1.18,1.19
209.35,3.22,2.05,3.24,2.07,-2.10,-1.80,-1.25,1.12,1.14,1.17
211.44,3.19,2.03,3.14,1.97,-2.03,-1.73,-1.25,1.16,1.11,1.16
213.56,3.03,1.89,3.06,1.91,-1.95,-1.66,-1.26,1.08,1.11,1.14
215.69,2.96,1.82,3.00,1.87,-1.86,-1.60,-1.26,1.10,1.14,1.14
