frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.80,-7.68,-0.80,-7.68,6.00,6.20,2.46,5.20,5.20,6.88
20.20,-0.76,-7.63,-0.76,-7.63,6.00,6.19,2.53,5.24,5.24,6.87
20.40,-0.72,-7.57,-0.72,-7.58,6.00,6.18,2.60,5.28,5.28,6.85
20.61,-0.68,-7.52,-0.68,-7.52,6.00,6.16,2.68,5.32,5.32,6.84
20.81,-0.64,-7.46,-0.64,-7.46,6.00,6.15,2.76,5.36,5.36,6.82
21.02,-0.59,-7.40,-0.59,-7.40,6.00,6.14,2.83,5.41,5.41,6.81
21.23,-0.53,-7.33,-0.53,-7.33,6.00,6.13,2.92,5.47,5.47,6.80
21.44,-0.47,-7.26,-0.47,-7.26,6.00,6.11,3.00,5.53,5.53,6.79
21.66,-0.40,-7.17,-0.40,-7.18,6.00,6.10,3.08,5.60,5.60,6.77
21.87,-0.34,-7.11,-0.34,-7.11,6.00,6.09,3.17,5.66,5.66,6.77
22.09,-0.28,-7.04,-0.28,-7.04,6.00,6.07,3.26,5.72,5.72,6.76
22.31,-0.23,-6.98,-0.23,-6.98,6.00,6.06,3.36,5.77,5.77,6.75
22.54,-0.19,-6.93,-0.18,-6.92,6.00,6.04,3.45,5.81,5.82,6.74
22.76,-0.14,-6.87,-0.14,-6.87,6.00,6.03,3.55,5.86,5.86,6.73
22.99,-0.09,-6.82,-0.09,-6.82,6.00,6.01,3.65,5.91,5.91,6.73
23.22,-0.05,-6.77,-0.05,-6.77,6.00,5.99,3.75,5.95,5.95,6.72
23.45,0.00,-6.72,-0.00,-6.72,6.00,5.98,3.86,6.00,6.00,6.72
23.69,0.05,-6.67,0.05,-6.67,6.00,5.96,3.97,6.05,6.05,6.72
23.92,0.09,-6.62,0.10,-6.62,6.00,5.94,4.07,6.09,6.10,6.72
24.16,0.15,-6.56,0.15,-6.57,6.00,5.92,4.19,6.15,6.15,6.72
24.40,0.20,-6.51,0.20,-6.51,6.00,5.90,4.30,6.20,6.20,6.71
24.65,0.26,-6.45,0.26,-6.45,6.00,5.88,4.41,6.26,6.26,6.71
24.89,0.32,-6.39,0.31,-6.40,6.00,5.86,4.53,6.32,6.31,6.71
25.14,0.36,-6.35,0.37,-6.35,6.00,5.84,4.64,6.36,6.37,6.71
25.39,0.41,-6.30,0.41,-6.30,6.01,5.82,4.76,6.42,6.41,6.71
25.65,0.45,-6.25,0.45,-6.25,6.01,5.80,4.88,6.46,6.46,6.70
25.91,0.49,-6.21,0.49,-6.20,6.01,5.78,5.00,6.50,6.50,6.70
26.16,0.54,-6.15,0.54,-6.15,6.00,5.75,5.12,6.54,6.55,6.69
26.43,0.60,-6.09,0.60,-6.09,5.99,5.73,5.23,6.59,6.59,6.69
26.69,0.65,-6.03,0.65,-6.03,5.98,5.71,5.35,6.63,6.63,6.68
26.96,0.70,-5.97,0.70,-5.98,5.96,5.68,5.46,6.66,6.66,6.67
27.23,0.73,-5.93,0.73,-5.93,5.93,5.66,5.57,6.66,6.66,6.66
27.50,0.76,-5.89,0.76,-5.89,5.89,5.63,5.68,6.65,6.65,6.65
27.77,0.79,-5.85,0.79,-5.85,5.85,5.61,5.79,6.64,6.64,6.64
28.05,0.82,-5.81,0.83,-5.81,5.80,5.58,5.89,6.62,6.63,6.63
28.33,0.88,-5.75,0.88,-5.75,5.75,5.56,5.98,6.63,6.63,6.63
28.62,0.93,-5.70,0.93,-5.69,5.70,5.53,6.07,6.63,6.64,6.63
28.90,0.99,-5.63,0.98,-5.64,5.66,5.50,6.15,6.65,6.64,6.62
29.19,1.03,-5.60,1.03,-5.59,5.61,5.48,6.22,6.64,6.64,6.63
29.48,1.06,-5.56,1.06,-5.56,5.56,5.45,6.29,6.63,6.63,6.62
29.78,1.10,-5.52,1.10,-5.53,5.52,5.42,6.35,6.62,6.61,6.62
30.08,1.13,-5.49,1.14,-5.48,5.47,5.39,6.40,6.60,6.60,6.62
