frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.66,4.83,11.66,4.82,-4.82,-4.83,-2.35,6.83,6.83,6.83
20.20,11.66,4.84,11.66,4.84,-4.84,-4.85,-2.41,6.82,6.82,6.82
20.40,11.66,4.86,11.66,4.86,-4.86,-4.86,-2.48,6.80,6.80,6.80
20.61,11.66,4.87,11.66,4.87,-4.87,-4.88,-2.55,6.79,6.79,6.79
20.81,11.66,4.89,11.66,4.88,-4.88,-4.89,-2.62,6.77,6.77,6.77
21.02,11.66,4.90,11.66,4.90,-4.90,-4.91,-2.69,6.76,6.76,6.76
21.23,11.66,4.91,11.66,4.91,-4.91,-4.92,-2.77,6.75,6.75,6.75
21.44,11.66,4.92,11.66,4.92,-4.92,-4.93,-2.84,6.74,6.74,6.74
21.66,11.66,4.94,11.66,4.93,-4.93,-4.94,-2.92,6.72,6.72,6.72
21.87,11.66,4.94,11.66,4.94,-4.94,-4.96,-3.00,6.71,6.71,6.72
22.09,11.66,4.95,11.66,4.95,-4.95,-4.97,-3.09,6.70,6.70,6.71
22.31,11.66,4.96,11.66,4.96,-4.96,-4.98,-3.18,6.69,6.69,6.70
22.54,11.66,4.97,11.66,4.97,-4.97,-4.99,-3.26,6.69,6.69,6.69
22.76,11.66,4.98,11.66,4.98,-4.98,-5.00,-3.35,6.68,6.68,6.68
22.99,11.66,4.98,11.66,4.99,-4.98,-5.01,-3.45,6.67,6.67,6.67
23.22,11.66,4.99,11.66,4.99,-4.99,-5.02,-3.54,6.67,6.67,6.66
23.45,11.66,4.99,11.66,4.99,-4.99,-5.03,-3.64,6.67,6.67,6.66
23.69,11.66,4.99,11.66,4.99,-4.99,-5.03,-3.74,6.66,6.66,6.66
23.92,11.66,4.99,11.66,4.99,-4.99,-5.04,-3.84,6.66,6.66,6.66
24.16,11.66,4.99,11.66,4.99,-5.00,-5.05,-3.94,6.66,6.66,6.66
24.40,11.66,5.00,11.66,5.00,-5.00,-5.05,-4.05,6.66,6.66,6.66
24.65,11.66,5.00,11.66,5.00,-5.00,-5.06,-4.15,6.66,6.66,6.66
24.89,11.66,5.00,11.66,5.00,-5.00,-5.06,-4.26,6.66,6.66,6.66
25.14,11.66,5.00,11.66,5.00,-5.00,-5.07,-4.37,6.66,6.66,6.66
25.39,11.66,5.00,11.66,5.00,-5.00,-5.07,-4.48,6.65,6.65,6.66
25.65,11.66,5.01,11.66,5.01,-5.01,-5.07,-4.59,6.65,6.65,6.65
25.91,11.66,5.01,11.66,5.01,-5.01,-5.08,-4.70,6.64,6.64,6.65
26.16,11.66,5.02,11.66,5.02,-5.02,-5.08,-4.81,6.64,6.64,6.64
26.43,11.66,5.02,11.66,5.03,-5.03,-5.08,-4.92,6.63,6.63,6.63
26.69,11.66,5.03,11.66,5.03,-5.03,-5.08,-5.02,6.62,6.62,6.62
26.96,11.66,5.04,11.66,5.04,-5.04,-5.08,-5.13,6.62,6.62,6.61
27.23,11.66,5.05,11.66,5.05,-5.05,-5.08,-5.23,6.61,6.61,6.61
27.50,11.66,5.06,11.66,5.06,-5.06,-5.08,-5.33,6.60,6.60,6.60
27.77,11.66,5.07,11.66,5.07,-5.07,-5.08,-5.43,6.59,6.59,6.59
28.05,11.66,5.08,11.66,5.07,-5.07,-5.08,-5.52,6.58,6.58,6.58
28.33,11.66,5.08,11.66,5.08,-5.08,-5.08,-5.61,6.58,6.58,6.58
28.62,11.66,5.08,11.66,5.09,-5.08,-5.08,-5.70,6.57,6.57,6.58
28.90,11.66,5.09,11.66,5.09,-5.09,-5.07,-5.78,6.57,6.57,6.56
29.19,11.66,5.08,11.65,5.08,-5.08,-5.07,-5.85,6.57,6.57,6.57
29.48,11.65,5.08,11.65,5.08,-5.08,-5.06,-5.91,6.57,6.57,6.57
29.78,11.64,5.07,11.64,5.07,-5.07,-5.06,-5.97,6.57,6.57,6.57
30.08,11.63,5.06,11.62,5.06,-5.05,-5.05,-6.02,6.57,6.57,6.57
30.38,11.61,5.04,11.61,5.04,-5.03,-5.05,-6.06,6.58,6.58,6.57
30.68,11.59,5.02,11.59,5.02,-5.00,-5.04,-6.09,6.58,6.58,6.56
30.99,11.56,4.99,11.55,4.99,-4.98,-5.04,-6.11,6.58,6.58,6.56
31.30,11.52,4.96,11.51,4.95,-4.95,-5.03,-6.13,6.57,6.56,6.56
31.61,11.48,4.92,11.48,4.92,-4.93,-5.02,-6.13,6.55,6.54,6.56
31.93,11.44,4.88,11.45,4.89,-4.92,-5.01,-6.13,6.52,6.53,6.56
32.24,11.44,4.89,11.44,4.89,-4.92,-5.01,-6.12,6.52,6.52,6.54
32.57,11.45,4.90,11.44,4.90,-4.93,-5.00,-6.10,6.52,6.51,6.54
32.89,11.46,4.92,11.46,4.92,-4.93,-4.99,-6.07,6.52,6.52,6.54
33.22,11.48,4.94,11.49,4.95,-4.94,-4.98,-6.03,6.53,6.55,6.54
33.55,11.52,4.98,11.52,4.99,-4.95,-4.97,-5.99,6.57,6.57,6.54
33.89,11.55,5.02,11.53,5.00,-4.95,-4.96,-5.94,6.60,6.58,6.52
34.23,11.51,4.99,11.50,4.98,-4.95,-4.95,-5.89,6.56,6.56,6.52
34.57,11.45,4.93,11.45,4.93,-4.93,-4.94,-5.83,6.51,6.51,6.52
34.92,11.38,4.86,11.39,4.88,-4.91,-4.93,-5.77,6.47,6.48,6.51
35.27,11.36,4.85,11.37,4.85,-4.88,-4.91,-5.70,6.48,6.48,6.51
35.62,11.36,4.85,11.35,4.85,-4.85,-4.90,-5.63,6.51,6.50,6.51
35.97,11.36,4.86,11.34,4.84,-4.82,-4.89,-5.56,6.54,6.52,6.50
36.33,11.31,4.81,11.30,4.81,-4.80,-4.88,-5.48,6.51,6.50,6.49
36.70,11.26,4.77,11.26,4.78,-4.79,-4.86,-5.41,6.47,6.48,6.49
37.06,11.22,4.73,11.24,4.75,-4.78,-4.85,-5.33,6.43,6.45,6.48
37.43,11.24,4.77,11.23,4.76,-4.78,-4.84,-5.26,6.45,6.45,6.47
37.81,11.25,4.78,11.24,4.78,-4.78,-4.82,-5.18,6.46,6.46,6.47
38.19,11.25,4.79,11.25,4.79,-4.78,-4.81,-5.11,6.47,6.46,6.45
38.57,11.24,4.80,11.24,4.80,-4.78,-4.80,-5.03,6.46,6.46,6.44
38.95,11.22,4.79,11.22,4.79,-4.77,-4.78,-4.96,6.45,6.45,6.42
39.34,11.20,4.78,11.20,4.79,-4.76,-4.77,-4.89,6.44,6.44,6.42
39.74,11.18,4.77,11.17,4.77,-4.75,-4.75,-4.82,6.43,6.42,6.40
40.14,11.14,4.75,11.12,4.73,-4.74,-4.74,-4.76,6.39,6.37,6.39
40.54,11.07,4.69,11.06,4.69,-4.73,-4.72,-4.70,6.33,6.33,6.37
40.94,11.00,4.63,11.04,4.67,-4.72,-4.71,-4.63,6.28,6.32,6.37
41.35,11.05,4.68,11.06,4.70,-4.71,-4.69,-4.58,6.34,6.35,6.36
41.76,11.12,4.76,11.09,4.73,-4.70,-4.67,-4.52,6.42,6.39,6.36
42.18,11.12,4.77,11.09,4.74,-4.69,-4.66,-4.47,6.43,6.40,6.35
42.60,11.04,4.69,11.04,4.70,-4.67,-4.64,-4.42,6.37,6.37,6.34
43.03,10.96,4.62,10.99,4.65,-4.65,-4.63,-4.38,6.31,6.34,6.34
43.46,10.96,4.63,10.96,4.62,-4.63,-4.61,-4.34,6.33,6.33,6.33
43.90,10.96,4.62,10.93,4.60,-4.61,-4.59,-4.30,6.35,6.32,6.33
44.33,10.90,4.57,10.89,4.56,-4.58,-4.58,-4.26,6.32,6.31,6.33
44.78,10.83,4.51,10.85,4.53,-4.55,-4.56,-4.23,6.28,6.30,6.32
45.23,10.81,4.50,10.83,4.52,-4.53,-4.54,-4.20,6.27,6.29,6.31
