frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.93,0.90,6.93,0.89,-0.92,-1.81,-0.87,6.02,6.01,6.03
20.20,7.00,0.98,7.00,0.98,-0.99,-1.81,-0.90,6.01,6.01,6.02
20.40,7.06,1.06,7.07,1.07,-1.07,-1.82,-0.92,6.00,6.01,6.00
20.61,7.13,1.14,7.14,1.14,-1.13,-1.82,-0.95,6.00,6.00,5.99
20.81,7.19,1.22,7.19,1.22,-1.19,-1.82,-0.98,6.00,6.00,5.97
21.02,7.25,1.29,7.24,1.28,-1.25,-1.82,-1.01,6.01,5.99,5.96
21.23,7.26,1.31,7.27,1.32,-1.29,-1.83,-1.04,5.97,5.97,5.95
21.44,7.27,1.33,7.28,1.34,-1.34,-1.83,-1.07,5.94,5.94,5.94
21.66,7.28,1.36,7.28,1.36,-1.36,-1.83,-1.10,5.92,5.92,5.92
21.87,7.29,1.37,7.29,1.37,-1.38,-1.84,-1.13,5.91,5.91,5.92
22.09,7.30,1.39,7.30,1.40,-1.40,-1.84,-1.16,5.90,5.90,5.91
22.31,7.31,1.41,7.32,1.42,-1.42,-1.85,-1.20,5.89,5.89,5.90
22.54,7.33,1.44,7.33,1.44,-1.44,-1.85,-1.23,5.89,5.88,5.89
22.76,7.34,1.47,7.34,1.46,-1.47,-1.85,-1.27,5.87,5.87,5.88
22.99,7.36,1.49,7.37,1.49,-1.50,-1.86,-1.30,5.86,5.87,5.88
23.22,7.39,1.53,7.39,1.52,-1.53,-1.86,-1.34,5.87,5.86,5.87
23.45,7.42,1.56,7.42,1.56,-1.55,-1.87,-1.38,5.87,5.87,5.87
23.69,7.45,1.59,7.45,1.59,-1.58,-1.87,-1.42,5.87,5.88,5.86
23.92,7.48,1.62,7.48,1.62,-1.60,-1.87,-1.45,5.88,5.88,5.86
24.16,7.50,1.64,7.50,1.64,-1.62,-1.88,-1.49,5.88,5.88,5.86
24.40,7.51,1.65,7.51,1.65,-1.65,-1.88,-1.54,5.86,5.86,5.86
24.65,7.52,1.66,7.52,1.66,-1.67,-1.89,-1.58,5.85,5.85,5.86
24.89,7.53,1.67,7.54,1.68,-1.70,-1.89,-1.62,5.84,5.84,5.86
25.14,7.56,1.70,7.56,1.71,-1.72,-1.90,-1.66,5.84,5.84,5.86
25.39,7.60,1.75,7.60,1.74,-1.75,-1.90,-1.70,5.85,5.85,5.86
25.65,7.63,1.79,7.64,1.79,-1.78,-1.91,-1.74,5.86,5.86,5.85
25.91,7.67,1.83,7.66,1.82,-1.80,-1.91,-1.79,5.87,5.86,5.85
26.16,7.68,1.85,7.68,1.84,-1.83,-1.92,-1.83,5.85,5.85,5.84
26.43,7.68,1.85,7.69,1.86,-1.85,-1.92,-1.87,5.83,5.84,5.83
26.69,7.69,1.87,7.69,1.87,-1.87,-1.93,-1.91,5.82,5.82,5.82
26.96,7.69,1.88,7.69,1.88,-1.88,-1.94,-1.95,5.81,5.81,5.81
27.23,7.69,1.88,7.69,1.89,-1.89,-1.94,-1.99,5.81,5.81,5.81
27.50,7.69,1.89,7.69,1.90,-1.89,-1.95,-2.03,5.80,5.80,5.80
27.77,7.69,1.91,7.69,1.90,-1.90,-1.95,-2.07,5.80,5.80,5.79
28.05,7.69,1.92,7.69,1.91,-1.91,-1.96,-2.11,5.79,5.79,5.78
28.33,7.69,1.92,7.69,1.92,-1.92,-1.97,-2.15,5.77,5.77,5.77
28.62,7.70,1.93,7.70,1.93,-1.94,-1.97,-2.18,5.76,5.75,5.77
28.90,7.70,1.94,7.71,1.94,-1.97,-1.98,-2.21,5.73,5.74,5.76
29.19,7.74,1.97,7.75,1.98,-2.01,-1.99,-2.24,5.74,5.74,5.77
29.48,7.80,2.04,7.80,2.03,-2.05,-2.00,-2.27,5.76,5.75,5.77
29.78,7.86,2.10,7.86,2.09,-2.09,-2.00,-2.29,5.77,5.77,5.77
30.08,7.91,2.15,7.90,2.14,-2.13,-2.01,-2.32,5.79,5.78,5.76
30.38,7.93,2.17,7.94,2.18,-2.16,-2.02,-2.34,5.78,5.79,5.76
30.68,7.96,2.20,7.97,2.21,-2.18,-2.03,-2.35,5.78,5.79,5.76
30.99,7.99,2.23,7.97,2.22,-2.19,-2.04,-2.37,5.80,5.78,5.76
31.30,7.96,2.21,7.96,2.21,-2.19,-2.05,-2.38,5.77,5.77,5.76
31.61,7.93,2.18,7.94,2.18,-2.19,-2.06,-2.39,5.74,5.75,5.75
31.93,7.90,2.15,7.91,2.16,-2.18,-2.07,-2.40,5.72,5.73,5.75
32.24,7.89,2.15,7.89,2.15,-2.17,-2.08,-2.40,5.72,5.72,5.74
32.57,7.89,2.16,7.89,2.15,-2.17,-2.09,-2.40,5.73,5.72,5.74
32.89,7.89,2.16,7.89,2.16,-2.16,-2.10,-2.40,5.74,5.73,5.73
33.22,7.89,2.16,7.89,2.16,-2.15,-2.11,-2.40,5.74,5.74,5.73
33.55,7.89,2.16,7.89,2.17,-2.15,-2.12,-2.39,5.74,5.74,5.73
33.89,7.89,2.18,7.89,2.17,-2.16,-2.13,-2.38,5.74,5.73,5.72
34.23,7.88,2.17,7.88,2.17,-2.17,-2.14,-2.37,5.72,5.71,5.71
34.57,7.87,2.16,7.87,2.16,-2.18,-2.16,-2.36,5.69,5.69,5.71
34.92,7.86,2.16,7.87,2.17,-2.20,-2.17,-2.35,5.66,5.67,5.71
35.27,7.89,2.19,7.90,2.20,-2.22,-2.18,-2.34,5.67,5.68,5.70
35.62,7.94,2.24,7.94,2.24,-2.24,-2.20,-2.32,5.70,5.70,5.70
35.97,7.99,2.31,7.98,2.29,-2.26,-2.21,-2.31,5.73,5.71,5.69
36.33,7.99,2.31,8.00,2.31,-2.28,-2.22,-2.29,5.71,5.71,5.68
36.70,7.99,2.31,8.00,2.32,-2.31,-2.24,-2.27,5.69,5.69,5.68
37.06,7.99,2.32,7.99,2.32,-2.32,-2.25,-2.26,5.67,5.67,5.67
37.43,7.99,2.33,7.99,2.33,-2.34,-2.26,-2.24,5.65,5.65,5.66
37.81,7.99,2.34,7.99,2.34,-2.35,-2.28,-2.22,5.64,5.64,5.66
38.19,7.99,2.35,7.99,2.35,-2.36,-2.29,-2.21,5.64,5.64,5.64
38.57,7.99,2.37,7.99,2.36,-2.37,-2.30,-2.19,5.63,5.63,5.63
38.95,7.99,2.38,7.99,2.38,-2.38,-2.31,-2.18,5.62,5.62,5.61
39.34,7.99,2.39,7.99,2.39,-2.39,-2.32,-2.16,5.60,5.60,5.61
39.74,7.99,2.40,7.99,2.40,-2.40,-2.34,-2.15,5.59,5.59,5.59
40.14,7.99,2.42,7.99,2.42,-2.41,-2.35,-2.14,5.58,5.58,5.58
40.54,7.99,2.43,7.99,2.43,-2.43,-2.36,-2.13,5.57,5.57,5.56
40.94,7.99,2.44,7.99,2.44,-2.44,-2.36,-2.12,5.56,5.56,5.55
41.35,7.99,2.44,7.99,2.45,-2.45,-2.37,-2.11,5.54,5.54,5.55
41.76,7.99,2.45,7.99,2.45,-2.46,-2.38,-2.10,5.53,5.53,5.54
42.18,7.99,2.46,7.99,2.46,-2.47,-2.39,-2.10,5.53,5.53,5.54
42.60,7.99,2.46,7.99,2.46,-2.47,-2.39,-2.09,5.53,5.53,5.53
43.03,7.99,2.47,8.00,2.47,-2.46,-2.40,-2.09,5.53,5.54,5.52
43.46,7.99,2.48,8.00,2.48,-2.45,-2.40,-2.09,5.54,5.54,5.52
43.90,7.99,2.48,7.98,2.46,-2.44,-2.41,-2.09,5.55,5.54,5.52
44.33,7.95,2.44,7.94,2.44,-2.43,-2.41,-2.09,5.52,5.51,5.51
44.78,7.89,2.39,7.91,2.41,-2.42,-2.42,-2.09,5.47,5.48,5.50
45.23,7.87,2.38,7.88,2.39,-2.42,-2.42,-2.10,5.46,5.47,5.49
45.68,7.88,2.40,7.88,2.39,-2.41,-2.43,-2.11,5.47,5.47,5.48
46.13,7.89,2.42,7.89,2.41,-2.41,-2.43,-2.11,5.48,5.48,5.48
46.60,7.89,2.43,7.89,2.43,-2.42,-2.44,-2.12,5.48,5.48,5.47
47.06,7.89,2.44,7.89,2.44,-2.43,-2.44,-2.13,5.46,5.46,5.46
47.53,7.89,2.45,7.89,2.45,-2.45,-2.45,-2.15,5.45,5.45,5.45
48.01,7.89,2.47,7.89,2.46,-2.46,-2.45,-2.16,5.43,5.43,5.43
48.49,7.89,2.48,7.89,2.48,-2.48,-2.46,-2.18,5.41,5.41,5.42
48.97,7.89,2.50,7.89,2.50,-2.49,-2.46,-2.19,5.40,5.40,5.40
49.46,7.89,2.51,7.89,2.51,-2.50,-2.47,-2.21,5.39,5.39,5.38
49.96,7.89,2.52,7.89,2.52,-2.52,-2.48,-2.23,5.38,5.38,5.37
50.46,7.89,2.53,7.89,2.53,-2.53,-2.48,-2.25,5.36,5.36,5.36
50.96,7.89,2.54,7.89,2.54,-2.54,-2.49,-2.27,5.35,5.35,5.36
51.47,7.89,2.55,7.89,2.55,-2.56,-2.50,-2.30,5.33,5.33,5.34
51.99,7.89,2.56,7.89,2.56,-2.58,-2.51,-2.32,5.32,5.32,5.33
52.51,7.89,2.59,7.89,2.58,-2.59,-2.52,-2.34,5.30,5.30,5.31
53.03,7.89,2.60,7.89,2.60,-2.61,-2.53,-2.37,5.28,5.28,5.29
53.56,7.89,2.62,7.90,2.62,-2.62,-2.54,-2.39,5.28,5.28,5.28
54.10,7.89,2.63,7.90,2.64,-2.62,-2.54,-2.42,5.27,5.28,5.26
54.64,7.90,2.66,7.89,2.65,-2.61,-2.56,-2.44,5.29,5.28,5.25
55.18,7.88,2.65,7.86,2.64,-2.60,-2.57,-2.47,5.28,5.26,5.23
55.74,7.80,2.59,7.81,2.60,-2.59,-2.58,-2.49,5.21,5.22,5.21
56.29,7.75,2.56,7.75,2.56,-2.58,-2.59,-2.51,5.17,5.17,5.19
56.86,7.70,2.53,7.71,2.53,-2.57,-2.60,-2.54,5.13,5.14,5.18
57.42,7.69,2.54,7.69,2.54,-2.56,-2.61,-2.56,5.13,5.13,5.16
58.00,7.69,2.55,7.69,2.55,-2.56,-2.62,-2.58,5.13,5.13,5.14
58.58,7.69,2.57,7.69,2.57,-2.57,-2.64,-2.60,5.12,5.12,5.12
59.16,7.69,2.59,7.69,2.60,-2.59,-2.65,-2.62,5.11,5.11,5.10
59.76,7.69,2.62,7.69,2.62,-2.61,-2.66,-2.64,5.08,5.08,5.08
60.35,7.69,2.64,7.69,2.63,-2.63,-2.67,-2.66,5.06,5.06,5.06
60.96,7.69,2.65,7.69,2.65,-2.66,-2.69,-2.67,5.04,5.04,5.04
61.57,7.69,2.67,7.70,2.68,-2.67,-2.70,-2.69,5.02,5.02,5.02
62.18,7.69,2.70,7.69,2.70,-2.68,-2.72,-2.70,5.01,5.01,5.00
62.80,7.68,2.72,7.67,2.71,-2.69,-2.73,-2.71,4.99,4.98,4.96
63.43,7.64,2.71,7.64,2.70,-2.70,-2.74,-2.72,4.95,4.94,4.94
64.07,7.58,2.68,7.60,2.70,-2.70,-2.76,-2.73,4.88,4.90,4.90
64.71,7.57,2.70,7.56,2.69,-2.71,-2.77,-2.73,4.86,4.85,4.87
65.35,7.54,2.71,7.53,2.69,-2.71,-2.79,-2.74,4.83,4.82,4.84
66.01,7.49,2.68,7.51,2.70,-2.71,-2.80,-2.74,4.78,4.80,4.81
66.67,7.49,2.72,7.50,2.73,-2.72,-2.82,-2.74,4.78,4.78,4.77
67.33,7.49,2.75,7.49,2.75,-2.73,-2.84,-2.74,4.76,4.76,4.74
68.01,7.49,2.79,7.46,2.76,-2.75,-2.85,-2.74,4.75,4.72,4.70
68.69,7.40,2.74,7.41,2.75,-2.77,-2.87,-2.74,4.64,4.65,4.67
69.37,7.36,2.74,7.38,2.76,-2.79,-2.88,-2.74,4.57,4.59,4.63
70.07,7.36,2.77,7.38,2.79,-2.81,-2.90,-2.74,4.55,4.56,4.59
70.77,7.41,2.86,7.40,2.85,-2.83,-2.92,-2.74,4.58,4.56,4.55
71.48,7.41,2.90,7.39,2.88,-2.85,-2.94,-2.74,4.56,4.54,4.51
72.19,7.37,2.90,7.37,2.90,-2.87,-2.95,-2.74,4.50,4.50,4.47
72.91,7.30,2.87,7.33,2.89,-2.88,-2.97,-2.74,4.42,4.44,4.43
73.64,7.29,2.90,7.31,2.91,-2.90,-2.99,-2.74,4.39,4.41,4.40
74.38,7.29,2.93,7.27,2.91,-2.92,-3.01,-2.74,4.37,4.35,4.36
75.12,7.27,2.95,7.24,2.92,-2.94,-3.02,-2.74,4.33,4.29,4.32
75.87,7.15,2.88,7.19,2.92,-2.96,-3.04,-2.74,4.19,4.23,4.27
76.63,7.16,2.93,7.18,2.95,-2.98,-3.06,-2.74,4.18,4.20,4.23
77.40,7.19,3.00,7.19,3.00,-2.99,-3.08,-2.75,4.20,4.20,4.19
78.17,7.23,3.08,7.22,3.07,-3.00,-3.10,-2.75,4.23,4.22,4.15
78.95,7.21,3.11,7.19,3.08,-3.01,-3.12,-2.76,4.20,4.18,4.11
79.74,7.12,3.06,7.11,3.05,-3.03,-3.14,-2.77,4.09,4.08,4.06
80.54,7.00,2.98,7.02,3.01,-3.06,-3.16,-2.78,3.94,3.97,4.02
