frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.02,0.96,6.02,0.96,-0.96,-0.97,-0.49,5.06,5.06,5.06
20.20,6.02,0.97,6.02,0.97,-0.97,-0.97,-0.50,5.04,5.04,5.05
20.40,6.02,0.99,6.02,0.99,-0.99,-0.98,-0.51,5.03,5.03,5.03
20.61,6.02,1.00,6.02,1.00,-1.00,-0.98,-0.53,5.01,5.01,5.02
20.81,6.02,1.02,6.02,1.02,-1.02,-0.99,-0.55,5.00,5.00,4.99
21.02,6.02,1.03,6.02,1.03,-1.03,-0.99,-0.56,4.98,4.98,4.98
21.23,6.02,1.04,6.02,1.04,-1.04,-1.00,-0.58,4.97,4.97,4.97
21.44,6.02,1.05,6.02,1.06,-1.06,-1.00,-0.60,4.96,4.96,4.96
21.66,6.02,1.07,6.02,1.07,-1.07,-1.01,-0.61,4.95,4.95,4.94
21.87,6.02,1.07,6.02,1.08,-1.08,-1.01,-0.63,4.94,4.94,4.94
22.09,6.02,1.08,6.02,1.09,-1.09,-1.02,-0.65,4.93,4.93,4.93
22.31,6.02,1.10,6.02,1.09,-1.10,-1.03,-0.67,4.92,4.92,4.92
22.54,6.02,1.11,6.02,1.11,-1.11,-1.03,-0.69,4.91,4.91,4.91
22.76,6.02,1.12,6.02,1.11,-1.11,-1.04,-0.71,4.90,4.90,4.90
22.99,6.02,1.12,6.02,1.12,-1.12,-1.05,-0.73,4.90,4.90,4.90
23.22,6.02,1.13,6.02,1.13,-1.12,-1.05,-0.75,4.89,4.89,4.89
23.45,6.02,1.13,6.02,1.13,-1.13,-1.06,-0.78,4.89,4.89,4.89
23.69,6.02,1.13,6.02,1.13,-1.13,-1.07,-0.80,4.88,4.88,4.89
23.92,6.02,1.13,6.02,1.13,-1.14,-1.08,-0.82,4.88,4.88,4.89
24.16,6.02,1.13,6.02,1.13,-1.14,-1.09,-0.84,4.88,4.88,4.88
24.40,6.02,1.13,6.02,1.13,-1.13,-1.09,-0.87,4.88,4.88,4.88
24.65,6.02,1.13,6.02,1.13,-1.13,-1.10,-0.89,4.89,4.89,4.88
24.89,6.02,1.13,6.01,1.13,-1.12,-1.11,-0.91,4.90,4.90,4.88
25.14,6.00,1.12,6.00,1.12,-1.11,-1.12,-0.94,4.90,4.89,4.88
25.39,5.97,1.10,5.98,1.10,-1.10,-1.12,-0.96,4.88,4.88,4.88
25.65,5.95,1.08,5.95,1.08,-1.09,-1.13,-0.99,4.86,4.86,4.87
25.91,5.93,1.06,5.93,1.06,-1.08,-1.14,-1.01,4.85,4.85,4.87
26.16,5.92,1.06,5.92,1.06,-1.07,-1.14,-1.03,4.85,4.85,4.86
26.43,5.92,1.06,5.91,1.06,-1.07,-1.15,-1.06,4.85,4.85,4.86
26.69,5.92,1.07,5.91,1.07,-1.07,-1.15,-1.08,4.85,4.85,4.84
26.96,5.92,1.08,5.92,1.08,-1.08,-1.16,-1.10,4.84,4.84,4.83
27.23,5.92,1.08,5.92,1.09,-1.08,-1.16,-1.13,4.83,4.83,4.83
27.50,5.92,1.09,5.92,1.10,-1.09,-1.16,-1.15,4.82,4.82,4.82
27.77,5.92,1.11,5.92,1.11,-1.10,-1.16,-1.17,4.81,4.81,4.81
28.05,5.92,1.12,5.92,1.11,-1.11,-1.16,-1.19,4.80,4.80,4.80
28.33,5.92,1.12,5.92,1.12,-1.12,-1.16,-1.21,4.80,4.80,4.80
28.62,5.92,1.12,5.92,1.12,-1.12,-1.16,-1.22,4.79,4.79,4.79
28.90,5.92,1.13,5.92,1.13,-1.13,-1.15,-1.24,4.79,4.79,4.78
29.19,5.92,1.12,5.92,1.13,-1.13,-1.15,-1.25,4.79,4.79,4.79
