frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.52,-4.86,3.52,-4.86,4.89,4.09,1.90,8.40,8.41,8.38
20.20,3.54,-4.83,3.54,-4.83,4.83,4.14,1.95,8.37,8.37,8.37
20.40,3.56,-4.79,3.55,-4.79,4.78,4.19,2.01,8.34,8.34,8.35
20.61,3.58,-4.76,3.57,-4.76,4.74,4.24,2.07,8.32,8.31,8.34
20.81,3.59,-4.73,3.59,-4.73,4.70,4.29,2.13,8.29,8.29,8.31
21.02,3.61,-4.70,3.61,-4.69,4.67,4.33,2.19,8.28,8.28,8.30
21.23,3.64,-4.66,3.63,-4.66,4.64,4.38,2.26,8.28,8.27,8.29
21.44,3.66,-4.63,3.66,-4.62,4.62,4.41,2.32,8.28,8.28,8.28
21.66,3.68,-4.59,3.69,-4.58,4.60,4.45,2.39,8.28,8.29,8.26
21.87,3.71,-4.55,3.70,-4.56,4.59,4.49,2.46,8.30,8.29,8.26
22.09,3.71,-4.54,3.70,-4.55,4.59,4.52,2.53,8.30,8.29,8.25
22.31,3.67,-4.57,3.68,-4.57,4.59,4.54,2.60,8.26,8.27,8.24
22.54,3.64,-4.59,3.63,-4.60,4.59,4.57,2.68,8.23,8.22,8.23
22.76,3.61,-4.61,3.60,-4.62,4.58,4.59,2.76,8.19,8.18,8.22
22.99,3.57,-4.65,3.60,-4.62,4.56,4.61,2.84,8.13,8.16,8.22
23.22,3.63,-4.58,3.62,-4.59,4.54,4.62,2.92,8.17,8.17,8.21
23.45,3.69,-4.52,3.68,-4.53,4.52,4.63,3.00,8.21,8.20,8.21
23.69,3.75,-4.46,3.75,-4.46,4.49,4.64,3.08,8.23,8.24,8.21
23.92,3.81,-4.40,3.80,-4.41,4.45,4.65,3.17,8.26,8.25,8.21
24.16,3.83,-4.38,3.82,-4.38,4.42,4.65,3.26,8.25,8.24,8.21
24.40,3.83,-4.38,3.83,-4.37,4.39,4.64,3.35,8.22,8.22,8.21
24.65,3.83,-4.38,3.83,-4.38,4.37,4.64,3.44,8.20,8.20,8.21
24.89,3.83,-4.38,3.83,-4.38,4.36,4.63,3.53,8.19,8.19,8.21
25.14,3.84,-4.37,3.84,-4.37,4.35,4.62,3.62,8.19,8.19,8.20
25.39,3.85,-4.36,3.85,-4.35,4.34,4.60,3.72,8.19,8.19,8.20
25.65,3.87,-4.33,3.86,-4.33,4.33,4.58,3.81,8.19,8.19,8.19
25.91,3.88,-4.31,3.88,-4.31,4.31,4.56,3.90,8.19,8.19,8.19
26.16,3.90,-4.28,3.90,-4.29,4.29,4.53,4.00,8.19,8.19,8.18
26.43,3.91,-4.27,3.91,-4.27,4.27,4.51,4.09,8.18,8.18,8.18
26.69,3.92,-4.25,3.92,-4.25,4.26,4.48,4.18,8.17,8.17,8.17
26.96,3.93,-4.23,3.92,-4.24,4.24,4.44,4.27,8.17,8.16,8.16
27.23,3.93,-4.23,3.93,-4.23,4.22,4.41,4.36,8.15,8.15,8.16
27.50,3.93,-4.22,3.93,-4.22,4.20,4.37,4.45,8.13,8.13,8.15
27.77,3.93,-4.21,3.93,-4.21,4.19,4.34,4.53,8.12,8.12,8.13
