frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.39,-4.60,-2.40,-4.60,4.59,4.33,1.84,2.20,2.20,2.21
20.20,-2.37,-4.59,-2.37,-4.59,4.59,4.34,1.90,2.21,2.21,2.22
20.40,-2.35,-4.58,-2.35,-4.58,4.58,4.35,1.95,2.23,2.23,2.23
20.61,-2.34,-4.56,-2.33,-4.56,4.57,4.35,2.01,2.24,2.24,2.23
20.81,-2.31,-4.55,-2.32,-4.55,4.56,4.36,2.07,2.25,2.24,2.24
21.02,-2.29,-4.53,-2.30,-4.54,4.55,4.36,2.13,2.25,2.25,2.24
21.23,-2.28,-4.53,-2.28,-4.52,4.53,4.37,2.19,2.25,2.25,2.25
21.44,-2.26,-4.51,-2.27,-4.51,4.52,4.37,2.25,2.25,2.25,2.25
21.66,-2.25,-4.50,-2.26,-4.50,4.50,4.37,2.32,2.25,2.24,2.25
21.87,-2.24,-4.49,-2.24,-4.49,4.48,4.37,2.38,2.24,2.24,2.25
22.09,-2.22,-4.48,-2.22,-4.47,4.46,4.37,2.45,2.24,2.24,2.25
22.31,-2.19,-4.45,-2.20,-4.45,4.44,4.36,2.52,2.24,2.24,2.25
22.54,-2.17,-4.41,-2.16,-4.41,4.41,4.36,2.60,2.24,2.24,2.24
22.76,-2.13,-4.37,-2.14,-4.37,4.38,4.36,2.67,2.24,2.24,2.23
22.99,-2.10,-4.34,-2.11,-4.34,4.34,4.35,2.75,2.24,2.24,2.23
23.22,-2.08,-4.32,-2.08,-4.31,4.31,4.34,2.83,2.23,2.23,2.23
23.45,-2.05,-4.28,-2.06,-4.28,4.29,4.34,2.91,2.23,2.23,2.22
23.69,-2.03,-4.26,-2.03,-4.26,4.27,4.33,2.99,2.23,2.24,2.22
23.92,-2.01,-4.24,-2.02,-4.24,4.25,4.32,3.07,2.24,2.24,2.22
24.16,-2.00,-4.23,-2.01,-4.23,4.24,4.31,3.16,2.24,2.23,2.22
24.40,-2.01,-4.24,-2.01,-4.23,4.23,4.30,3.25,2.22,2.22,2.22
24.65,-2.01,-4.24,-2.02,-4.24,4.22,4.29,3.33,2.21,2.21,2.22
24.89,-2.02,-4.24,-2.02,-4.24,4.21,4.28,3.42,2.19,2.20,2.22
25.14,-2.00,-4.22,-2.01,-4.22,4.20,4.27,3.51,2.20,2.19,2.22
25.39,-1.98,-4.19,-1.98,-4.20,4.19,4.25,3.60,2.20,2.20,2.21
25.65,-1.95,-4.16,-1.95,-4.16,4.17,4.24,3.69,2.22,2.22,2.21
25.91,-1.93,-4.13,-1.93,-4.14,4.16,4.23,3.78,2.23,2.22,2.21
26.16,-1.91,-4.12,-1.92,-4.12,4.14,4.21,3.87,2.23,2.23,2.21
26.43,-1.91,-4.12,-1.91,-4.12,4.13,4.20,3.96,2.22,2.22,2.21
26.69,-1.91,-4.12,-1.91,-4.12,4.13,4.18,4.05,2.21,2.21,2.21
