frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.85,-8.84,-2.87,-8.86,6.00,5.01,2.65,3.15,3.13,5.99
20.20,-2.73,-8.73,-2.72,-8.72,6.00,5.05,2.72,3.27,3.28,6.00
20.40,-2.61,-8.62,-2.59,-8.60,6.00,5.09,2.80,3.39,3.41,6.00
20.61,-2.51,-8.51,-2.49,-8.49,6.00,5.14,2.89,3.49,3.51,6.00
20.81,-2.38,-8.40,-2.38,-8.39,6.00,5.18,2.97,3.62,3.62,6.01
21.02,-2.27,-8.29,-2.32,-8.34,6.00,5.22,3.06,3.73,3.68,6.01
21.23,-2.32,-8.35,-2.31,-8.34,6.00,5.27,3.15,3.68,3.69,6.02
21.44,-2.37,-8.39,-2.35,-8.38,6.00,5.31,3.24,3.63,3.65,6.02
21.66,-2.41,-8.44,-2.41,-8.44,6.00,5.35,3.34,3.59,3.59,6.02
21.87,-2.46,-8.48,-2.45,-8.48,6.00,5.39,3.43,3.54,3.55,6.02
22.09,-2.48,-8.52,-2.48,-8.51,6.00,5.43,3.53,3.52,3.52,6.03
22.31,-2.49,-8.53,-2.49,-8.52,6.00,5.47,3.64,3.51,3.51,6.03
22.54,-2.49,-8.52,-2.50,-8.52,6.00,5.51,3.74,3.51,3.50,6.02
22.76,-2.50,-8.52,-2.50,-8.52,6.00,5.55,3.85,3.50,3.50,6.01
22.99,-2.50,-8.52,-2.50,-8.51,6.00,5.59,3.97,3.50,3.50,6.01
23.22,-2.49,-8.51,-2.49,-8.50,6.00,5.63,4.08,3.51,3.51,6.01
23.45,-2.47,-8.48,-2.49,-8.49,6.00,5.66,4.20,3.53,3.51,6.00
23.69,-2.46,-8.47,-2.47,-8.47,6.00,5.70,4.32,3.54,3.53,6.00
23.92,-2.44,-8.44,-2.43,-8.43,6.00,5.74,4.44,3.56,3.57,6.00
24.16,-2.36,-8.36,-2.36,-8.36,6.00,5.77,4.57,3.64,3.64,6.00
24.40,-2.24,-8.24,-2.25,-8.25,6.00,5.80,4.69,3.76,3.75,6.00
24.65,-2.13,-8.12,-2.13,-8.13,6.00,5.84,4.82,3.87,3.87,6.00
24.89,-2.00,-8.00,-2.01,-8.00,6.00,5.87,4.95,4.00,3.99,6.00
25.14,-1.89,-7.89,-1.89,-7.89,6.00,5.90,5.09,4.11,4.11,6.00
25.39,-1.78,-7.77,-1.77,-7.76,6.00,5.93,5.22,4.22,4.23,5.99
25.65,-1.68,-7.66,-1.66,-7.65,6.00,5.96,5.36,4.32,4.34,5.99
25.91,-1.57,-7.55,-1.60,-7.59,6.00,5.99,5.49,4.43,4.40,5.99
26.16,-1.61,-7.59,-1.62,-7.61,6.00,6.01,5.63,4.39,4.38,5.99
26.43,-1.73,-7.72,-1.74,-7.72,6.00,6.04,5.76,4.27,4.26,5.99
26.69,-1.86,-7.85,-1.87,-7.86,6.00,6.06,5.90,4.14,4.13,5.98
26.96,-1.99,-7.98,-1.93,-7.91,6.00,6.09,6.03,4.01,4.07,5.98
27.23,-1.89,-7.87,-1.88,-7.86,6.00,6.11,6.17,4.11,4.12,5.98
27.50,-1.73,-7.71,-1.74,-7.72,6.00,6.13,6.29,4.27,4.26,5.98
27.77,-1.57,-7.55,-1.58,-7.56,6.00,6.15,6.42,4.43,4.42,5.98
28.05,-1.44,-7.43,-1.48,-7.46,6.00,6.16,6.54,4.56,4.52,5.98
28.33,-1.44,-7.42,-1.44,-7.42,6.00,6.18,6.66,4.56,4.56,5.98
28.62,-1.45,-7.43,-1.44,-7.42,6.00,6.19,6.77,4.55,4.56,5.98
28.90,-1.45,-7.44,-1.46,-7.45,6.00,6.21,6.88,4.55,4.54,5.99
29.19,-1.49,-7.48,-1.50,-7.49,6.00,6.22,6.98,4.51,4.50,5.99
29.48,-1.56,-7.54,-1.56,-7.55,6.00,6.23,7.07,4.44,4.44,5.99
29.78,-1.61,-7.61,-1.60,-7.60,6.00,6.23,7.15,4.39,4.40,6.00
30.08,-1.62,-7.62,-1.60,-7.59,6.00,6.24,7.22,4.38,4.40,5.99
30.38,-1.53,-7.52,-1.53,-7.52,6.00,6.24,7.28,4.47,4.47,5.99
30.68,-1.42,-7.42,-1.43,-7.42,6.00,6.25,7.33,4.58,4.57,5.99
30.99,-1.32,-7.31,-1.33,-7.33,6.00,6.25,7.38,4.68,4.67,5.99
31.30,-1.27,-7.26,-1.26,-7.25,6.00,6.25,7.41,4.73,4.74,5.99
31.61,-1.21,-7.20,-1.20,-7.19,6.00,6.24,7.43,4.79,4.80,5.99
31.93,-1.16,-7.14,-1.17,-7.15,6.00,6.24,7.44,4.84,4.83,5.99
32.24,-1.14,-7.12,-1.15,-7.13,6.00,6.23,7.44,4.86,4.85,5.98
32.57,-1.14,-7.12,-1.14,-7.12,6.00,6.22,7.43,4.86,4.86,5.97
