frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-18.81,-20.75,-18.81,-20.75,6.00,4.83,2.92,-12.81,-12.81,1.94
20.20,-18.66,-20.61,-18.65,-20.60,6.00,4.87,3.00,-12.66,-12.65,1.95
20.40,-18.50,-20.46,-18.50,-20.45,6.00,4.92,3.08,-12.50,-12.50,1.96
20.61,-18.35,-20.31,-18.34,-20.31,6.00,4.96,3.17,-12.35,-12.34,1.96
20.81,-18.19,-20.16,-18.19,-20.16,6.00,5.01,3.26,-12.19,-12.19,1.97
21.02,-18.04,-20.01,-18.04,-20.02,6.00,5.05,3.35,-12.04,-12.04,1.97
21.23,-17.91,-19.89,-17.91,-19.89,6.00,5.10,3.44,-11.91,-11.91,1.98
21.44,-17.79,-19.77,-17.79,-19.76,6.00,5.14,3.54,-11.79,-11.79,1.98
21.66,-17.67,-19.65,-17.66,-19.64,6.00,5.19,3.64,-11.67,-11.66,1.98
21.87,-17.54,-19.51,-17.54,-19.52,6.00,5.23,3.74,-11.54,-11.54,1.98
22.09,-17.41,-19.40,-17.41,-19.39,6.00,5.28,3.85,-11.41,-11.41,1.99
22.31,-17.28,-19.26,-17.28,-19.26,6.00,5.32,3.95,-11.28,-11.28,1.99
22.54,-17.15,-19.13,-17.15,-19.13,6.00,5.36,4.06,-11.15,-11.15,1.98
22.76,-17.02,-18.98,-17.02,-18.99,6.00,5.41,4.18,-11.02,-11.02,1.97
22.99,-16.89,-18.86,-16.89,-18.85,6.00,5.45,4.29,-10.89,-10.89,1.97
23.22,-16.76,-18.73,-16.76,-18.72,6.00,5.49,4.41,-10.76,-10.76,1.97
23.45,-16.64,-18.59,-16.64,-18.60,6.00,5.53,4.53,-10.64,-10.64,1.96
23.69,-16.51,-18.47,-16.51,-18.47,6.00,5.58,4.65,-10.51,-10.51,1.96
23.92,-16.39,-18.34,-16.38,-18.34,6.00,5.62,4.78,-10.39,-10.38,1.96
24.16,-16.25,-18.20,-16.24,-18.20,6.00,5.66,4.91,-10.25,-10.24,1.96
24.40,-16.10,-18.05,-16.10,-18.06,6.00,5.70,5.04,-10.10,-10.10,1.96
24.65,-15.96,-17.91,-15.95,-17.91,6.00,5.74,5.17,-9.96,-9.95,1.96
24.89,-15.81,-17.76,-15.81,-17.76,6.00,5.77,5.30,-9.81,-9.81,1.95
25.14,-15.68,-17.63,-15.68,-17.63,6.00,5.81,5.44,-9.68,-9.68,1.95
25.39,-15.55,-17.49,-15.55,-17.50,6.00,5.85,5.58,-9.55,-9.55,1.94
25.65,-15.43,-17.37,-15.43,-17.37,6.00,5.88,5.71,-9.43,-9.43,1.94
25.91,-15.31,-17.25,-15.30,-17.25,6.00,5.92,5.85,-9.31,-9.30,1.94
26.16,-15.18,-17.12,-15.18,-17.12,6.00,5.95,5.99,-9.18,-9.18,1.94
26.43,-15.06,-17.00,-15.06,-17.00,6.00,5.98,6.12,-9.06,-9.06,1.94
26.69,-14.94,-16.88,-14.94,-16.88,6.00,6.02,6.26,-8.94,-8.94,1.94
26.96,-14.82,-16.76,-14.81,-16.75,6.00,6.05,6.39,-8.82,-8.81,1.94
27.23,-14.66,-16.60,-14.66,-16.60,6.00,6.07,6.52,-8.66,-8.66,1.94
27.50,-14.49,-16.43,-14.49,-16.43,6.00,6.10,6.65,-8.49,-8.49,1.94
27.77,-14.32,-16.26,-14.32,-16.26,6.00,6.13,6.77,-8.32,-8.32,1.94
28.05,-14.16,-16.09,-14.17,-16.10,6.00,6.15,6.89,-8.16,-8.17,1.94
28.33,-14.03,-15.96,-14.02,-15.96,6.00,6.17,7.00,-8.03,-8.02,1.94
28.62,-13.89,-15.83,-13.89,-15.83,6.00,6.19,7.11,-7.89,-7.89,1.94
28.90,-13.76,-15.70,-13.75,-15.69,6.00,6.21,7.20,-7.76,-7.75,1.94
29.19,-13.61,-15.55,-13.60,-15.55,6.00,6.23,7.29,-7.61,-7.60,1.94
29.48,-13.45,-15.39,-13.45,-15.40,6.00,6.24,7.37,-7.45,-7.45,1.94
29.78,-13.30,-15.25,-13.30,-15.25,6.00,6.26,7.44,-7.30,-7.30,1.95
30.08,-13.14,-15.09,-13.13,-15.09,6.00,6.27,7.50,-7.14,-7.13,1.95
30.38,-12.97,-14.92,-12.97,-14.92,6.00,6.27,7.55,-6.97,-6.97,1.95
30.68,-12.80,-14.75,-12.80,-14.75,6.00,6.28,7.59,-6.80,-6.80,1.95
30.99,-12.64,-14.59,-12.65,-14.59,6.00,6.28,7.61,-6.64,-6.65,1.95
31.30,-12.51,-14.46,-12.51,-14.45,6.00,6.28,7.62,-6.51,-6.51,1.95
31.61,-12.38,-14.32,-12.37,-14.32,6.00,6.28,7.62,-6.38,-6.37,1.95
31.93,-12.25,-14.19,-12.25,-14.19,6.00,6.27,7.61,-6.25,-6.25,1.94
32.24,-12.12,-14.05,-12.12,-14.06,6.00,6.26,7.59,-6.12,-6.12,1.93
32.57,-12.00,-13.93,-12.00,-13.93,6.00,6.25,7.55,-6.00,-6.00,1.93
32.89,-11.87,-13.80,-11.86,-13.78,6.00,6.24,7.51,-5.87,-5.86,1.93
33.22,-11.70,-13.61,-11.69,-13.61,6.00,6.22,7.45,-5.70,-5.69,1.92
33.55,-11.51,-13.42,-11.50,-13.42,6.00,6.20,7.38,-5.51,-5.50,1.92
33.89,-11.31,-13.21,-11.32,-13.23,6.00,6.18,7.31,-5.31,-5.32,1.90
34.23,-11.15,-13.05,-11.15,-13.06,6.00,6.15,7.23,-5.15,-5.15,1.90
34.57,-11.01,-12.91,-11.00,-12.90,6.00,6.13,7.14,-5.01,-5.00,1.90
34.92,-10.86,-12.76,-10.86,-12.75,6.00,6.10,7.05,-4.86,-4.86,1.90
35.27,-10.70,-12.60,-10.70,-12.60,6.00,6.07,6.95,-4.70,-4.70,1.90
35.62,-10.54,-12.43,-10.54,-12.43,6.00,6.04,6.84,-4.54,-4.54,1.90
35.97,-10.37,-12.26,-10.36,-12.26,6.00,6.01,6.74,-4.37,-4.36,1.89
36.33,-10.19,-12.08,-10.18,-12.07,6.00,5.99,6.63,-4.19,-4.18,1.89
36.70,-10.01,-11.90,-10.01,-11.90,6.00,5.96,6.52,-4.01,-4.01,1.89
37.06,-9.84,-11.72,-9.85,-11.74,6.00,5.94,6.41,-3.84,-3.85,1.89
37.43,-9.72,-11.60,-9.72,-11.60,6.00,5.91,6.29,-3.72,-3.72,1.88
37.81,-9.60,-11.49,-9.59,-11.48,6.00,5.90,6.18,-3.60,-3.59,1.89
38.19,-9.46,-11.35,-9.45,-11.34,6.00,5.88,6.07,-3.46,-3.45,1.89
38.57,-9.30,-11.18,-9.30,-11.19,6.00,5.87,5.96,-3.30,-3.30,1.89
38.95,-9.14,-11.03,-9.13,-11.02,6.00,5.86,5.85,-3.14,-3.13,1.89
39.34,-8.97,-10.86,-8.96,-10.85,6.00,5.86,5.75,-2.97,-2.96,1.89
