frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-4.83,-8.37,-4.82,-8.37,6.00,5.47,2.62,1.17,1.18,3.55
20.20,-4.75,-8.30,-4.75,-8.30,6.00,5.47,2.70,1.25,1.25,3.56
20.40,-4.67,-8.23,-4.67,-8.23,6.00,5.47,2.77,1.33,1.33,3.57
20.61,-4.59,-8.15,-4.59,-8.16,6.00,5.47,2.85,1.41,1.41,3.57
20.81,-4.51,-8.08,-4.51,-8.08,6.00,5.47,2.93,1.49,1.49,3.58
21.02,-4.43,-8.00,-4.42,-8.00,6.00,5.47,3.02,1.57,1.58,3.58
21.23,-4.33,-7.91,-4.33,-7.91,6.00,5.47,3.10,1.67,1.67,3.59
21.44,-4.22,-7.81,-4.22,-7.81,6.00,5.47,3.19,1.78,1.78,3.58
21.66,-4.13,-7.71,-4.12,-7.70,6.00,5.47,3.28,1.87,1.88,3.58
21.87,-4.03,-7.61,-4.04,-7.62,6.00,5.47,3.38,1.97,1.96,3.58
22.09,-3.97,-7.56,-3.98,-7.57,6.00,5.47,3.47,2.03,2.02,3.59
22.31,-3.98,-7.57,-3.97,-7.56,6.00,5.46,3.57,2.02,2.03,3.59
22.54,-3.98,-7.56,-3.98,-7.56,6.00,5.46,3.67,2.02,2.02,3.58
22.76,-3.99,-7.56,-3.99,-7.56,6.00,5.46,3.78,2.01,2.01,3.57
22.99,-3.99,-7.56,-3.97,-7.54,6.00,5.46,3.88,2.01,2.03,3.57
23.22,-3.93,-7.50,-3.93,-7.49,6.00,5.46,3.99,2.07,2.07,3.57
23.45,-3.86,-7.42,-3.87,-7.43,6.00,5.46,4.10,2.14,2.13,3.56
23.69,-3.80,-7.36,-3.80,-7.36,6.00,5.46,4.22,2.20,2.20,3.56
23.92,-3.72,-7.28,-3.72,-7.28,6.00,5.46,4.33,2.28,2.28,3.56
24.16,-3.64,-7.19,-3.64,-7.19,6.00,5.46,4.45,2.36,2.36,3.56
24.40,-3.53,-7.09,-3.53,-7.09,6.00,5.46,4.57,2.47,2.47,3.56
24.65,-3.44,-7.00,-3.43,-6.99,6.00,5.46,4.70,2.56,2.57,3.56
24.89,-3.33,-6.88,-3.34,-6.90,6.00,5.45,4.82,2.67,2.66,3.56
25.14,-3.28,-6.83,-3.28,-6.84,6.00,5.45,4.95,2.72,2.72,3.56
25.39,-3.26,-6.80,-3.25,-6.80,6.00,5.45,5.07,2.74,2.75,3.55
25.65,-3.24,-6.78,-3.24,-6.79,6.00,5.45,5.20,2.76,2.76,3.55
25.91,-3.23,-6.77,-3.21,-6.75,6.00,5.45,5.33,2.77,2.79,3.55
26.16,-3.15,-6.70,-3.15,-6.70,6.00,5.45,5.45,2.85,2.85,3.54
26.43,-3.07,-6.61,-3.07,-6.61,6.00,5.45,5.58,2.93,2.93,3.54
26.69,-2.98,-6.52,-2.97,-6.51,6.00,5.45,5.71,3.02,3.03,3.54
26.96,-2.88,-6.42,-2.90,-6.44,6.00,5.44,5.83,3.12,3.10,3.54
27.23,-2.86,-6.40,-2.86,-6.40,6.00,5.44,5.95,3.14,3.14,3.54
27.50,-2.85,-6.39,-2.84,-6.38,6.00,5.44,6.07,3.15,3.16,3.54
27.77,-2.84,-6.38,-2.83,-6.37,6.00,5.44,6.19,3.17,3.17,3.54
28.05,-2.82,-6.35,-2.81,-6.34,6.01,5.44,6.30,3.19,3.20,3.54
28.33,-2.77,-6.30,-2.77,-6.31,6.01,5.44,6.41,3.24,3.24,3.54
28.62,-2.72,-6.25,-2.72,-6.26,6.01,5.44,6.51,3.29,3.28,3.54
28.90,-2.68,-6.22,-2.66,-6.21,6.00,5.43,6.60,3.33,3.34,3.55
29.19,-2.60,-6.14,-2.60,-6.14,5.99,5.43,6.69,3.39,3.39,3.54
29.48,-2.52,-6.06,-2.51,-6.06,5.97,5.43,6.77,3.46,3.46,3.54
29.78,-2.43,-5.98,-2.43,-5.98,5.95,5.43,6.84,3.52,3.52,3.55
30.08,-2.36,-5.91,-2.37,-5.92,5.92,5.43,6.90,3.57,3.56,3.55
30.38,-2.33,-5.88,-2.32,-5.87,5.89,5.42,6.96,3.57,3.57,3.55
30.68,-2.30,-5.84,-2.29,-5.84,5.86,5.42,7.00,3.56,3.56,3.55
30.99,-2.27,-5.81,-2.27,-5.81,5.82,5.42,7.03,3.55,3.55,3.55
31.30,-2.24,-5.78,-2.23,-5.78,5.78,5.42,7.05,3.54,3.55,3.55
31.61,-2.20,-5.74,-2.20,-5.74,5.74,5.41,7.07,3.54,3.54,3.54
31.93,-2.17,-5.71,-2.17,-5.71,5.70,5.41,7.06,3.54,3.54,3.54
32.24,-2.14,-5.67,-2.14,-5.67,5.67,5.41,7.06,3.53,3.53,3.53
32.57,-2.11,-5.64,-2.11,-5.64,5.63,5.41,7.04,3.52,3.52,3.53
32.89,-2.08,-5.60,-2.08,-5.60,5.59,5.40,7.01,3.52,3.52,3.53
33.22,-2.05,-5.56,-2.04,-5.56,5.56,5.40,6.97,3.51,3.52,3.52
33.55,-2.01,-5.52,-2.00,-5.52,5.53,5.40,6.93,3.52,3.52,3.51
33.89,-1.97,-5.47,-1.98,-5.48,5.50,5.39,6.88,3.53,3.52,3.50
34.23,-1.96,-5.46,-1.96,-5.46,5.47,5.39,6.82,3.52,3.51,3.50
34.57,-1.96,-5.45,-1.95,-5.45,5.45,5.39,6.76,3.49,3.49,3.50
34.92,-1.96,-5.45,-1.95,-5.44,5.42,5.38,6.69,3.47,3.48,3.50
35.27,-1.93,-5.42,-1.92,-5.42,5.40,5.38,6.61,3.48,3.48,3.49
35.62,-1.90,-5.39,-1.89,-5.39,5.39,5.38,6.54,3.49,3.50,3.49
35.97,-1.86,-5.35,-1.87,-5.36,5.38,5.37,6.46,3.52,3.51,3.49
36.33,-1.86,-5.34,-1.86,-5.34,5.36,5.37,6.37,3.51,3.51,3.49
36.70,-1.86,-5.34,-1.85,-5.34,5.35,5.36,6.29,3.49,3.49,3.49
37.06,-1.86,-5.34,-1.85,-5.34,5.32,5.36,6.21,3.47,3.47,3.48
37.43,-1.84,-5.32,-1.84,-5.33,5.30,5.35,6.12,3.46,3.46,3.48
37.81,-1.83,-5.31,-1.82,-5.30,5.28,5.35,6.04,3.45,3.46,3.49
38.19,-1.79,-5.27,-1.78,-5.26,5.25,5.34,5.95,3.47,3.48,3.48
38.57,-1.73,-5.21,-1.73,-5.21,5.22,5.34,5.87,3.50,3.50,3.48
38.95,-1.67,-5.15,-1.68,-5.17,5.19,5.33,5.79,3.53,3.51,3.49
39.34,-1.66,-5.14,-1.66,-5.14,5.16,5.33,5.71,3.50,3.50,3.48
39.74,-1.66,-5.14,-1.65,-5.13,5.13,5.32,5.64,3.47,3.48,3.48
40.14,-1.65,-5.12,-1.63,-5.11,5.10,5.32,5.57,3.45,3.46,3.48
40.54,-1.61,-5.08,-1.61,-5.08,5.07,5.31,5.50,3.47,3.47,3.47
40.94,-1.57,-5.04,-1.58,-5.05,5.06,5.30,5.43,3.49,3.48,3.47
