frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.94,-4.91,-1.94,-4.91,4.93,4.79,1.89,2.99,2.99,2.98
20.20,-1.92,-4.90,-1.92,-4.90,4.91,4.78,1.94,2.99,2.99,2.98
20.40,-1.89,-4.88,-1.90,-4.89,4.88,4.77,2.00,2.99,2.99,2.99
20.61,-1.87,-4.86,-1.87,-4.87,4.86,4.76,2.06,2.99,2.99,2.99
20.81,-1.84,-4.84,-1.84,-4.84,4.83,4.75,2.12,2.99,2.99,3.00
21.02,-1.82,-4.82,-1.81,-4.82,4.80,4.74,2.18,2.98,2.99,3.00
21.23,-1.77,-4.78,-1.77,-4.79,4.77,4.73,2.24,3.00,3.00,3.01
21.44,-1.73,-4.74,-1.73,-4.74,4.74,4.72,2.31,3.01,3.01,3.01
21.66,-1.69,-4.70,-1.68,-4.70,4.71,4.70,2.37,3.02,3.02,3.01
21.87,-1.64,-4.65,-1.65,-4.66,4.67,4.69,2.44,3.03,3.02,3.01
22.09,-1.61,-4.63,-1.61,-4.63,4.63,4.68,2.51,3.02,3.02,3.02
22.31,-1.58,-4.60,-1.58,-4.60,4.60,4.66,2.58,3.02,3.02,3.02
22.54,-1.55,-4.56,-1.55,-4.57,4.56,4.64,2.66,3.01,3.01,3.01
22.76,-1.53,-4.53,-1.53,-4.53,4.54,4.63,2.73,3.01,3.01,3.00
22.99,-1.50,-4.50,-1.50,-4.50,4.51,4.61,2.81,3.01,3.01,3.00
23.22,-1.48,-4.48,-1.48,-4.47,4.48,4.59,2.89,3.00,3.00,3.00
23.45,-1.45,-4.44,-1.45,-4.45,4.45,4.57,2.97,3.00,2.99,2.99
23.69,-1.43,-4.42,-1.43,-4.42,4.41,4.55,3.06,2.98,2.98,2.99
23.92,-1.41,-4.40,-1.40,-4.39,4.38,4.54,3.14,2.97,2.97,2.99
24.16,-1.37,-4.36,-1.37,-4.36,4.34,4.52,3.23,2.97,2.97,2.99
24.40,-1.32,-4.31,-1.32,-4.31,4.30,4.50,3.32,2.98,2.98,2.99
