frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-25.04,-27.16,-25.03,-27.15,6.00,6.42,2.72,-19.04,-19.03,2.12
20.20,-24.92,-27.05,-24.93,-27.05,6.00,6.41,2.79,-18.92,-18.93,2.13
20.40,-24.80,-26.93,-24.81,-26.94,6.00,6.41,2.87,-18.80,-18.81,2.14
20.61,-24.68,-26.82,-24.69,-26.82,6.00,6.41,2.96,-18.68,-18.69,2.13
20.81,-24.56,-26.70,-24.56,-26.70,6.00,6.41,3.04,-18.56,-18.56,2.14
21.02,-24.43,-26.57,-24.42,-26.56,6.00,6.41,3.13,-18.43,-18.42,2.14
21.23,-24.25,-26.40,-24.25,-26.40,6.00,6.40,3.21,-18.25,-18.25,2.15
21.44,-24.06,-26.21,-24.07,-26.22,6.00,6.40,3.31,-18.06,-18.07,2.15
21.66,-23.88,-26.04,-23.87,-26.03,6.00,6.40,3.40,-17.88,-17.87,2.15
21.87,-23.70,-25.85,-23.70,-25.86,6.00,6.40,3.50,-17.70,-17.70,2.15
22.09,-23.54,-25.70,-23.56,-25.72,6.00,6.40,3.60,-17.54,-17.56,2.16
22.31,-23.44,-25.60,-23.43,-25.59,6.00,6.39,3.70,-17.44,-17.43,2.16
22.54,-23.33,-25.48,-23.33,-25.48,6.00,6.39,3.80,-17.33,-17.33,2.15
22.76,-23.22,-25.36,-23.23,-25.37,6.00,6.39,3.91,-17.22,-17.23,2.14
22.99,-23.11,-25.25,-23.09,-25.23,6.00,6.39,4.02,-17.11,-17.09,2.14
23.22,-22.94,-25.08,-22.94,-25.07,6.00,6.39,4.14,-16.94,-16.94,2.14
23.45,-22.75,-24.88,-22.76,-24.89,6.00,6.38,4.25,-16.75,-16.76,2.13
23.69,-22.57,-24.70,-22.57,-24.70,6.00,6.38,4.37,-16.57,-16.57,2.13
23.92,-22.39,-24.52,-22.40,-24.53,6.00,6.38,4.49,-16.39,-16.40,2.13
24.16,-22.25,-24.38,-22.26,-24.38,6.00,6.38,4.61,-16.25,-16.26,2.13
24.40,-22.14,-24.27,-22.14,-24.27,6.00,6.37,4.73,-16.14,-16.14,2.13
24.65,-22.03,-24.16,-22.03,-24.16,6.00,6.37,4.86,-16.03,-16.03,2.13
24.89,-21.92,-24.04,-21.91,-24.03,6.00,6.37,4.99,-15.92,-15.91,2.13
25.14,-21.76,-23.88,-21.75,-23.87,6.00,6.36,5.12,-15.76,-15.75,2.13
25.39,-21.56,-23.67,-21.56,-23.68,6.00,6.36,5.25,-15.56,-15.56,2.12
25.65,-21.36,-23.48,-21.36,-23.48,6.00,6.36,5.38,-15.36,-15.36,2.11
25.91,-21.16,-23.28,-21.17,-23.28,6.00,6.36,5.51,-15.16,-15.17,2.11
26.16,-21.00,-23.11,-21.01,-23.12,6.00,6.35,5.65,-15.00,-15.01,2.11
26.43,-20.86,-22.97,-20.86,-22.97,6.00,6.35,5.78,-14.86,-14.86,2.11
26.69,-20.72,-22.83,-20.72,-22.83,6.00,6.35,5.91,-14.72,-14.72,2.11
26.96,-20.58,-22.69,-20.57,-22.68,6.00,6.34,6.04,-14.58,-14.57,2.11
27.23,-20.40,-22.51,-20.40,-22.51,6.00,6.34,6.17,-14.40,-14.40,2.11
27.50,-20.21,-22.32,-20.21,-22.32,6.00,6.33,6.29,-14.21,-14.21,2.11
27.77,-20.02,-22.13,-20.02,-22.13,6.00,6.33,6.41,-14.02,-14.02,2.11
28.05,-19.84,-21.95,-19.85,-21.96,6.00,6.33,6.53,-13.84,-13.85,2.11
28.33,-19.71,-21.82,-19.71,-21.81,6.00,6.32,6.64,-13.71,-13.71,2.11
28.62,-19.57,-21.68,-19.57,-21.68,6.00,6.32,6.75,-13.57,-13.57,2.11
28.90,-19.43,-21.54,-19.42,-21.53,6.00,6.31,6.85,-13.43,-13.42,2.11
29.19,-19.25,-21.36,-19.25,-21.36,6.00,6.31,6.94,-13.25,-13.25,2.11
29.48,-19.06,-21.17,-19.06,-21.18,6.00,6.30,7.03,-13.06,-13.06,2.11
29.78,-18.87,-20.99,-18.87,-20.99,6.00,6.30,7.11,-12.87,-12.87,2.12
30.08,-18.68,-20.80,-18.68,-20.80,6.00,6.30,7.17,-12.68,-12.68,2.12
30.38,-18.49,-20.61,-18.48,-20.60,6.00,6.29,7.23,-12.49,-12.48,2.12
30.68,-18.29,-20.41,-18.29,-20.41,6.00,6.29,7.28,-12.29,-12.29,2.12
30.99,-18.10,-20.22,-18.12,-20.23,6.00,6.28,7.32,-12.10,-12.12,2.12
31.30,-17.97,-20.09,-17.97,-20.08,6.00,6.27,7.34,-11.97,-11.97,2.11
31.61,-17.84,-19.95,-17.84,-19.95,6.00,6.27,7.36,-11.84,-11.84,2.11
31.93,-17.72,-19.83,-17.72,-19.83,6.00,6.26,7.37,-11.72,-11.72,2.11
32.24,-17.59,-19.69,-17.60,-19.70,6.00,6.26,7.37,-11.59,-11.60,2.10
32.57,-17.47,-19.57,-17.47,-19.57,6.00,6.25,7.35,-11.47,-11.47,2.10
32.89,-17.34,-19.44,-17.33,-19.42,6.00,6.24,7.33,-11.34,-11.33,2.10
33.22,-17.17,-19.25,-17.16,-19.25,6.00,6.24,7.30,-11.17,-11.16,2.09
33.55,-16.98,-19.06,-16.98,-19.06,6.00,6.23,7.26,-10.98,-10.98,2.08
33.89,-16.78,-18.85,-16.80,-18.87,6.00,6.22,7.21,-10.78,-10.80,2.07
34.23,-16.64,-18.71,-16.66,-18.73,6.00,6.22,7.16,-10.64,-10.66,2.07
34.57,-16.52,-18.59,-16.52,-18.59,6.00,6.21,7.10,-10.52,-10.52,2.07
34.92,-16.40,-18.47,-16.37,-18.43,6.00,6.20,7.04,-10.40,-10.37,2.07
35.27,-16.16,-18.23,-16.14,-18.21,6.00,6.19,6.97,-10.16,-10.14,2.06
35.62,-15.89,-17.95,-15.90,-17.96,6.00,6.19,6.90,-9.89,-9.90,2.06
35.97,-15.62,-17.68,-15.67,-17.73,6.00,6.18,6.83,-9.62,-9.67,2.06
36.33,-15.50,-17.56,-15.51,-17.56,6.00,6.17,6.75,-9.50,-9.51,2.06
36.70,-15.39,-17.44,-15.37,-17.43,6.00,6.16,6.68,-9.39,-9.37,2.05
37.06,-15.26,-17.31,-15.22,-17.27,6.00,6.15,6.60,-9.26,-9.22,2.05
37.43,-15.02,-17.07,-15.02,-17.07,6.00,6.14,6.52,-9.02,-9.02,2.05
37.81,-14.77,-16.83,-14.80,-16.85,6.00,6.13,6.45,-8.77,-8.80,2.06
38.19,-14.58,-16.63,-14.59,-16.64,6.00,6.12,6.37,-8.58,-8.59,2.05
38.57,-14.44,-16.49,-14.43,-16.49,6.00,6.11,6.30,-8.44,-8.43,2.05
